userName,score,at,content
Johana Yuan,5,2024-05-06 02:57:10,Pesan tiket no ribet no antri....
A. Asyariyanto,5,2024-05-06 02:18:14,Mantap
Yuriko Oktareza,1,2024-05-06 01:14:29,Senin 6/05/2024.sekitar pukul 03:00 sya bli pulsa lewat aplikasi kai akses.tryata tidak masuk pulsa sya tapi saldo kepotong.kedua sya ragu saya kira kartu sya gangguan sy beli lagi menggunakan kartu m3 nyatanya sama Baek.sudh sya wa kai akses tapi respon tidak bertanggung jawab wkkwkw ikhlas gua walopun cuma pulsa.ttolonng diperbaiki klo bisa dipulangkan ya saldo sya terimakasih
Lalamiauw official,1,2024-05-06 00:43:07,Kenapa tiket go show sekarang tidak bisa dibeli lewat aplikasi??? Padahal sebelumnya bisa di cek dan beli
Rista Nur Alifiyah,1,2024-05-05 23:33:37,"Ngisi saldo disini uda kena admin di e wallet tp saldonya jga dipotong,. Ini keknya ada yg korupsi pegawainya.. semoga segera terungkap"
Moon,1,2024-05-05 22:55:40,"Mau pesen tiket tapi selalu muncul tulisan ""can't booking more than 15 booking per day"" Padahal hari ini belum booking tiket sama sekali, gimana ceritanya tiba2 udah 15 booking aja. Gimana nih solusinya? Aplikasi buat booking tiket masa gabisa dipake buat booking tiket."
Aiu Atika,2,2024-05-05 21:55:05,"Sangat buruk. Saya sudah mengalami 2x transaksi gagal pesan padahal saldo kaspro berkurang. Dan sampai skrg tidak ada refund pengembalian. Saya tanya ke cs di stasiun dsuruh tunggu paling lama seminggu. Tp hasil tetap nihil. Saldo saya berkurang tapi di riwayat transaksi tidak ada pemotongan, kan sangat aneh, Semoga segera di perbaiki, jangan buat aplikasi gagal gini. Sangat merugikan rakyat."
Bima Reynaldi,1,2024-05-05 20:04:04,"Pembayaran pakai ovo tidak bisa di klik, tolong di perbaiki dulu"
Bayu Kurniawan,2,2024-05-05 19:38:09,"Duh tiket KAI naik terus, sangat berasa bagi saya yang tiap minggu bolak balik naik KA jarak jauh. Naik 3x dalam setahun 😐"
Tri Dher,1,2024-05-05 19:33:50,Apk sampah mau ngebatalin ga bisa
Makaroni City,2,2024-05-05 18:50:52,"Ngaco dah, saat daftar ke basic, isi data, dll Nah saat isi kode dari email,lah pas buka email dan balik ke app nya malah appnya kembali ke tampilan awal, jadi ngulang lagi, eh terus aja gitu, asal mau buka email buat liat kode, eh Balik lagi ke halaman awal"
Ridho Ash,1,2024-05-05 18:30:51,"Berak lah, mo daftar aja OTP gk ngirim"
Paijo Paijo,1,2024-05-05 17:44:32,"Kadaluwarsa,, Waktu pemesanan anda telah habis,, Silahkan lakukan pemesanan ulang,,, Diulang sampai ber kali2,,, sampai 15 X,, malah erorrr,,,GK bisa pesesen lagiiiii,,kepriwek kie,,🤔🤔🤔"
Neysa Billa Ayunda,3,2024-05-05 17:00:14,"Mohon diaktifkan perubahan profile untuk no telpon.. please, ga bisa Redeem MAP krn no_nya dah ga aktif.."
Wing Pranata,1,2024-05-05 16:53:48,Setelah di update mau pesen kereta antar kota kok responnya pemesanan kaduluarsa melulu ya..padahal ga lebih dari 1 menit saya ngisi data
Izni Yusra,1,2024-05-05 16:36:54,"Tidak bisa daftar member basic,apk payah"
Hasnia Tanjung,1,2024-05-05 16:36:09,"Setiap mau daftar jadi member basic selalu tidak bisa, kenapa sih. Padahal jaringan lancar. Sudah pakai wifi, tetep saja tidak bisa. Udah beberapa kali saya coba, tetap tidak bisa. Ini gimana sih, harusnya mempermudah malah mempersulit"
Maulana Zaq,1,2024-05-05 16:03:56,"Aplikasi tidak jelas, kembalikan versi yang dulu."
Ridho 16,1,2024-05-05 14:35:37,"Terlalu banyak Error dan Bug, sistem KAIpay nya juga sampah dan tidak diperbaiki. Costumer Service Lemot, Top Up dan Pembayaran Tiket Menggunakan KAIpay gagal dan saldo terpotong tetapi Tiket tidak terbooking. Mengecewakan"
OfficialtamsQ Tama,1,2024-05-05 14:32:12,Mantap hehee
Masadah,1,2024-05-05 14:24:14,"Kalau Naik Kereta, sering sekali sinyalku hilang, bayar tiket mahal mahal nyedin wifi dalam gerbong aja ga bisa,"
Septian Anggra Susilo,1,2024-05-05 12:25:02,"Muncul tiket tapi saat dipesan tidak tersedia, lebih baik real...habis ya habis"
Den Hendra,1,2024-05-05 12:15:10,"Aplikasi lemottttttt masa udah topup lebih dari 10 menit saldo gak juga bertambah, padahal keterangan di mbanking sudah ""berhasil"""
fransisca susanty,2,2024-05-05 12:14:45,"Mau sok canggih tapi nyebelin, tiap mau isi data ngeblank mulu. Bikin emosi, lebih simple aplikasi versi sebelumnya"
Amanda Pramunadi,1,2024-05-05 11:36:59,"Jelek banget, buat login aja gak bisa terus, anehh banget nih aplikasi, enak yang lama langsung bisa di akses."
RojoVario185cc,3,2024-05-05 11:17:27,"Alhamdulillah berjalan dengan baik,tidak seperti sebelumnya yang kalau mau lanjut pembayaran pasti keluar,kali ini mantap,cepat dan semua fitur lengkap✨ Eitsss saya turunkan lagi bintang nya, buat pesen railfood eror terus hadeh😌😌"
Juniati Idalaela,5,2024-05-05 11:15:00,Memudahkan transportasi darat yg murah tapi nyaman dan aman
Yudi Wicaksono,5,2024-05-05 10:40:51,Sangat baik aksesnya
Rian Sanjaya,1,2024-05-05 10:25:15,Woy disuruh upgrade ke basic tapi email yg sudah terdaftar dan nomer hp ga bisa di daftarkan lagi .. lu nyuruh gw ganti nomer hape lgii?????
Wildan Khusnayana,1,2024-05-05 10:25:07,Force close terus walaupun udh versi terbaru
Masngud Ngud,1,2024-05-05 10:07:17,susah mau UPGREDE nya makin parah apknya🤦‍♀️
Yuda gaming24,1,2024-05-05 09:42:25,sangat mengecewakan
ade irma,2,2024-05-05 09:29:53,"Kereta medan-binjai (dan sebaliknya) gk kayak dulu yg bisa pilih kursi dr aplikasi. Malah bisa2nya pesan tiket tp gk dpt kursi, pdhl sama2 bayar Rp. 5000, mending dicukupkan aja dgn jumlah kursi kayak dulu."
Gerard Jordan,1,2024-05-05 09:28:12,"Dibenerin aplikasinya... Udh server sampah, gangguan mulu, tarif tiket goshow ngga keluar, no seat avaible... Aplikasi problematik emang"
Muhammad Ulil Albab,1,2024-05-05 09:17:15,Habis isi saldo malah berkurang aplikasi ribet kurang memuaskan untuk masyarakat
SULTAN OLENG OFFICIAL,5,2024-05-05 08:39:57,Sangat membantu sekali Terimakasih banyak atas pelayanan nya
Muhammad Ario,5,2024-05-05 08:07:24,"Saya sudah top KAI Pay gak bisa, pakai shopeepay dan OVO gak bisa. Untung CS nya cepat respon. Saya coba lah pakai QRIS baru bisa. Bayar nya pakai QRIS bro sekarang. Namanya perusahaan plat merah agak jelak"
Imam Murtaqi,5,2024-05-05 08:00:29,cukup ok
060_DIAN ELNURSA,5,2024-05-05 07:52:15,Baik mudah praktis
Mei Susanti,1,2024-05-05 07:34:18,Kaspro nya buruk
