userName,score,at,content
Meyza Nuraini,5,2024-05-22 10:58:16,"Game nya seru banget, teka-tekinya susah tapi itu yang buat seru, pokoknya bagus deh💫💫"
Eva Syareefa Mutmainnah,5,2024-05-22 10:45:07,Bagusss tapi sad ending ☹
Rini Juwita Sary,5,2024-05-15 07:49:49,Huhuhuu sereemm tapi seruu
Dotomos,5,2024-05-12 17:08:35,😍
Nursyifa Fadhila,5,2024-05-06 08:45:20,Di tunggu episode berikutnyaa 🥰
Humayroh Dwi zazkya,5,2024-05-04 01:31:26,"Aku sudah Nyelesain semua game dark dome ,gamenya bagus keren"
Qatrunada Ninan,5,2024-05-01 14:20:20,"I So like this, disini ada serem ada misteri aku suka hal ini!"
Supi Lafau,5,2024-05-01 13:32:12,"Game yang bagus tapi saya nggak ngerti,🗿"
Nur liana,5,2024-04-30 08:17:12,BGUS BGT PLS
nadhifa apti,5,2024-04-27 14:59:13,"SUMPAHH INI SERU BANGET BANGET BANGETT, aga susah sii tapi itu yang bikin pengen main lagi. horor nya dapet bikin dugun dugun (degdegan)"
Gita Maiyi Sumalia,5,2024-04-26 06:50:00,Mantep banget 👍🏻
Fais Al Abrar,5,2024-04-23 08:31:55,"Game teka teki yang bagus, dibumbui dengan cerita yang menyentuh perasaan (bagiku saat keduanya bermain piano bersama tapi berbeda alam), grafiknya unik... Aku sudah main sekuel yang sebelumnya/mungkin sesudahnya? (Karena diakhir MC ketemu alai(Alia)) keduanya bagus... Bintang 5"
Che Widya,5,2024-04-23 02:32:16,Aku udah main semua game dari dark dome dan sumpah gak ada yang gagal gak sabar nunggu yang versi terbarunya
Azzellyy Fnf,5,2024-04-18 03:12:15,"Game nya tipe aku bgt si ini,udh main sejak girl in the windows,artnya jg suka bgt"
Caitlyn Sutanto,5,2024-04-15 09:35:16,Seru
Nico Saiba,5,2024-04-15 01:37:29,Game nya bagus bngt teka tekinya bnyak tpi gw nyerah krna susah bngt😭😭😭
Tirza Wardhana,5,2024-04-12 15:25:29,Keren!!!
Resti Yustikavianti,5,2024-04-12 10:40:08,Seru banget! Memecahkan misteri dari 2 sisi.
Hwnaya Jung,5,2024-04-12 05:15:57,Gamenya seru banget puzzle nya bikin mikir banget tapi aku sukaa
Khaerina Yasmin19,5,2024-04-08 16:19:23,So good
Taohid Fajri Saputra,5,2024-04-06 13:14:26,👍
Kezia Morend Lovanka,5,2024-04-04 09:33:26,Bagus bangeeeettttt.. Seruuuuu..... Part 6
Mohammad Risowan,5,2024-04-01 09:53:45,Seperti biasa game dark dome emng top
Alzena Danastri,5,2024-03-29 16:58:16,"SERU BGT COK LU SEMUA HARUS DOWNLOAD!! ASLI INI TEKA TEKI NYA PANJANG DAN SUSAH, TAPI ASIK!! GUE MAIN SAMA TEMEN GUE RASANYA PALA MAU MELEDAK! MANA ENDING NYA PLOT TWIST BGT GILAKK!! BINTANG 5 DEH BUAT GAME INI"
Beema Aurilio,5,2024-03-28 10:35:25,👍👍👍👍
Gank Klenyet Channel,5,2024-03-24 17:12:11,Bgus si Tp buat lagi dnk game kek gini
Aiqya Maharani,5,2024-03-22 04:05:39,aku butuh lanjutannya dengan happy ending 🌟🌟🌟🌟🌟🌟🌟
Muhammad Sadli,5,2024-03-15 10:09:24,"aku sudah mengikuti series game ini saya sangat suka, jika ingin memainkan ikut urutan game nya ⭐⭐⭐⭐⭐"
Mutia Aulia,5,2024-03-12 21:29:31,Kerennnn banget meskipun sedih 🥺
Reza Ahmad Fakhrurrozi,5,2024-03-11 05:06:38,bagus
Zahriani Shofia (Shofia),5,2024-03-06 03:39:03,"game ke 3 dari dark dome yang aku selesaiin, recomended (thumbs up)"
Satria Hutama,5,2024-02-29 08:19:50,Cool
Lussya Edvinawaty,5,2024-02-19 23:04:47,2 thumbs up
Yumna Nola,5,2024-02-19 11:29:43,bagus banget game nya
Dela Aprilia,5,2024-02-18 13:08:02,PERFECT
ZerosiX Prime,5,2024-02-18 09:03:15,"Gamenya bagus dan menarik, puzzle nya pun cukup sulit, tapi ada satu kurang yaitu suara di setiap karakter saran tambahan dub karakter nya biar lebih seru dah itu aja tolong tambahin suara karakternya 😄👍"
Ana Althafunnisa,5,2024-02-16 04:22:36,Sumpah ini geme keren banget
