userName,score,at,content
M.Faiz Tamam,5,2024-05-17 15:14:54,Game nya bagus banget. Cuma sangat besar penyimpanannya udah itu aj😊😐
Itz Iyan,2,2024-05-17 14:04:39,"Update Mulu, event Rerun juga ngapain harus download lagi"
S. K.,3,2024-05-17 12:52:43,"Bisa jelaskan gak?, saya tidak ada menghapus data dari Game ini, tapi kenapa jadi 5GB!?, CAPEK² AKU DOWNLOAD 2 HARI DENGAN WIFI LEMOT GINI!!!, BENCI AKU!."
Alifian Pradana,5,2024-05-17 12:14:28,"1th lebih main, walaupun stuck di LV 68, gameplay nya GK bosenin, walaupun Artnya ada unsur"" seperti imut,Harem,dll. tetap bagus untuk artnya, gacha yang GK ngebosenin juga menurut sy pribadi, kemarin dapat shinano 1× spin gratis aja udh seneng, dan setiap Minggu reset event weekly, titik reset digame ini sekitar jam 14.00/14.30, untuk kedepannya pertahankan dan kembangkan, kami akan memberikan masukan pada game ini kedepannya."
dicky pramono06,1,2024-05-17 11:46:10,I can't play the game after recent update !
Hujan Rina,1,2024-05-17 11:00:05,Udah di download full 14 giga tiba-tiba data nya hilang sendiri dan disuruh unduh kembali padahal hp ram 6 126 giga game ampas jangan di download
Erbin And,1,2024-05-17 09:35:46,"Gamenya bagus gw suka, tapi ada yang fatal dari ini game, yaitu loading yang tidak bisa masuk padahal udah lama menunggu selama 1 jam lebih tidak berjalan loadingnya, masa iya harus delete azur lagi? Mohon fix yostar🙏"
Vick “Uzuna” Schiffer,5,2024-05-17 08:21:58,ARE U READY FOR NEXT NEW UR SHIPS GUYSS ???
Ramzy Albaz,4,2024-05-17 07:45:28,Asli ini minyak digw udh bnyk dan gbisa diclaim lgi tolonglah tambahin fitur berbagi sesama player satu lagi bahan yg dimessage gbisa diclaim cuma gara gara minyak kebanyakkan
Yuvan,1,2024-05-17 04:29:28,Habis update kenapa download ulang data lagi??
vynnx,5,2024-05-17 03:47:52,"ok, i give up to play this game, my phone can't handle this major update"
VELMS,5,2024-05-17 02:53:56,Game nya bagus banyak tobrut🗿
Zero,5,2024-05-17 02:19:33,Game baik + game GG
Eriza,5,2024-05-17 01:20:59,Besar besar game baik 🙏
KRI chiwa,5,2024-05-17 01:00:36,Game yang seru pernah gw mainin kalau bisa tambahkan kapal dari indonesia😅
Rhenal F,5,2024-05-17 00:44:42,"Game ini adalah salah satu game terbaik yang pernah saya mainkan. Namun, dock saya sudah penuh dan tidak bisa bermain lagi. Jadi saya memutuskan untuk berhenti sampai ada event gem gratis agar saya bisa membeli dock tambahan. Saya akan selalu mengikuti update game Azurlane di Facebook dan Twitter. Terimakasih Azurlane."
RIO GAMING,5,2024-05-17 00:29:14,Game terbaiku
anggi alfian,1,2024-05-16 23:56:47,Update terburuk
λlpha MW,5,2024-05-16 23:46:07,ukurannya jangan nambah lagi biar ram 3 kayak saya masih bisa main
anta kusuma,5,2024-05-16 23:31:37,Oyy ini kenapa abis update g busa di main nin
Iori 13,1,2024-05-16 23:29:37,Setelah update kemaren jadi kagak bisa login cuma stuck di loading mulu terpaksa pensi deh padahal akunku udah lumayan jadi
rizal putra,5,2024-05-16 22:43:55,Good
Aku Dewe,5,2024-05-16 21:51:47,Yipeeee now ist workk😆😆
Black Star,4,2024-05-16 20:13:36,Blank screen reinstall.. Some one tell me what happen with this game
Tayoo TM,1,2024-05-16 19:00:27,wth.!! re download 11GB....!!!!! I'd better stop playing.....
M Dzaki Zimbbran,3,2024-05-16 18:58:13,"Terlalu Sulit mendapatkan kapal UR, sulit juga untuk mengumpulkan Gear SR, dan sering mengalami stack di loading game tanpa bisa masuk ke dalam game setelah maintance"
M. Aditia Hadiansyah 6C,2,2024-05-16 18:51:12,Harus kah patch sampai memakan 20 Giga byte? Haruskah mendownload data yang bahkan tidak penting dan masalah yang tidak pernah dialami?!
Feri Frij,1,2024-05-16 17:53:03,Parah amat ni game semakin di update malah smkin gk bs lg diputer. Pdhl perangkat yg gw pake udh OS 11. Udahlah gw delete aj ni game
Rohman Rohman,4,2024-05-16 17:38:55,"Jujur ini game udah bagus cuman kurang 2 hal, gems lebih mudah di farming, SAMA KALO TIAP UPDATE WAJIB BANGET KAYAKNYA ADA MASALAH SETIAP SEHABIS UPDATE ATAU MAINTENANCE"
Yurina 3k,5,2024-05-16 17:37:24,"Cant login after update 1,3gb..help game master"
Muhammad Dani Dermawan Kadir,1,2024-05-16 17:28:09,"Can't be played, stuck on blank screen after manjuu logo, i'm using POCO M6 pro"
Muhammad Fahmi,1,2024-05-16 17:17:37,"Setelah update malah tidak bisa masuk game :( padahal udah nungguin lama + update nya 1 gb an🙂. Update supaya tidak ada bug, eh setelah update ada bug, agak laen."
Samudra Lazuardi,1,2024-05-16 16:37:10,"Setelah update terbaru gak bisa dimainkan gamenya. Bukan dari memori atau apa apa lagi, pas update dari G playstore dan dibuka. Langsung skakmat di layar ""Loading game"" tros. Fix ini dan Berikan Apologems YOSTAR"
Afda Lul,1,2024-05-16 16:28:53,Loading nya malah makin lama
rama Wanted,1,2024-05-16 16:08:54,Setelah update gk bisa masuk stuck loading. Kecewa. Ukuran gk kecil.
Nomian Official,5,2024-05-16 15:52:52,"I am sorry, i'm stucking in loading screen😭😭😭"
Ibrahim Achmad,5,2024-05-16 15:20:56,"Come on Dev, give me a chance to get even bigger new Jersey. When it's only 1.2%, I've gacha up to 101 times but haven't gotten New Jersey yet. Come on, poor f2p people, you have to top up to get it New Jersey. I'm from Wisdom cube 90 to 8 never got new Jersey. You have to get 200 gacha to get it. Hurry the event is over."
Mahfuzh Ihsan alghifari,1,2024-05-16 15:13:44,Ini udh di update lama benar.
Re Nan2513*,2,2024-05-16 15:09:51,Too many bug ex= i can't login after update the game
Yoseph salditra,1,2024-05-16 15:06:00,Bad very very bad
Nafis,5,2024-05-16 15:05:59,"Build character ok, game play ok, event ok, ukuran gede 😭, tapi bisa di download setengah, ok"
Just_Nagi,5,2024-05-16 14:49:29,Pc version please!!!!!!!!
Muhammad Marfin,5,2024-05-16 14:38:31,Tolong tingkatkan kesempatan untuk dapat kapal sr dan ur tolong
M.FAISHAL H.M,5,2024-05-16 14:23:48,Good
リン志摩,3,2024-05-16 14:18:56,"Gamenya cukup bagus, tapi setiap update selalu tidak dapat dimainkan"
Mang Thanos,5,2024-05-16 14:13:20,habis update ko susah login padahal buka apl lain lancar lancar aja ngebug kah?
Ridzky Machardi,1,2024-05-16 13:21:40,"after update when.login loading always stuck,cnt enter game need to reinstall"
Dede Kusumah,1,2024-05-16 12:48:35,Setelah update terbaru saya tidak bisa masuk ke dalam game. Stuck di loading game
Ghofur A.M,5,2024-05-16 12:44:21,The only game who could make me fall in love with anime girl❤️❤️❤️
Didit Aditya,2,2024-05-16 12:35:41,Kenapa setelah saya update gamenya kenapa tidak bisa masuk hanya tulisan loading saja
Keanu Antonius,1,2024-05-16 12:33:43,"Bro this game suck I just 2 or maybe 1 days does not log in cause an work, when I was going to log in it was say it's need an playstore update after I update it it's never going to log in I even just let it for 1 hour but still not log in bro what is wrong with this game I want to meet biscuit!"
Muhammad Nursahbani,5,2024-05-16 12:25:59,Luar biasa 😍😍😍
BIMANTARA KRESNO AJI,4,2024-05-16 12:16:22,Setelah update versi terbaru tidak bisa login
bang bang,5,2024-05-16 12:04:39,i like ship
Zidane Pratama,5,2024-05-16 11:21:23,Bagus banget >~<
Dipo Natanegara,5,2024-05-15 19:52:10,NICE
DENDY MA,3,2024-05-14 15:29:05,"mohon maaf sepertinya saya mendapatkan bug pada dialog di operasi siren, dimana sebuah pilihan pada dialog text box tidak bisa eksekusi ke dialog selanjutnya malah stuck saat sesudah memilih dialog box, tolong segera di perbaiki"
Cep Supendi,5,2024-05-12 18:29:33,"Wow, game ini sangat bagus dan santai untuk dimainkan 😃👍"
Vizz_,5,2024-05-12 02:17:41,ଘ(੭ ᐛ )੭~~⭐⭐⭐⭐⭐.*･｡ﾟ
qia Nul,5,2024-05-11 12:54:48,Game looks cool but it could lag your phone a bit but ITS a great game! You should download it even though ITS laggy ITS worth it i promise!
Supri Yanto,4,2024-05-10 01:47:03,"Pls, yostar, when i tap the download data it keeps auto closing, pls fix this..."
Valencia Valencia,5,2024-05-06 16:22:16,Nice
Bramantyo Lawu Aji,2,2024-05-06 14:29:53,Loading nya lama banget sampai 1-5 bulan tapi grafiknya emang bagus tapi tolong untuk loading nya dipercepat
vynnx,5,2024-05-06 14:08:11,i still waiting for the pc version :)
Alvino Yoga P,1,2024-05-01 23:50:12,GAME KEBANYAKAN DOWLOD DATA
Lies Truth,4,2024-05-01 04:31:33,Tolong adakan pilihan untuk setting grafik jadi lebih rendah. Jangan hanya pilihan fps saja.
fitrah ardiansyah,5,2024-04-30 14:09:33,Fitrah ganteng sangat suka sekali azur lane 😘😘😘
Reznova Blyat,5,2024-04-30 10:38:14,"Very nice bro 😉👌 (The developer is good and I was given even more rewards, thank you GDEV and his team) [Even though the characters are all great, they're not bad] ✓"
Nggaa,5,2024-04-29 15:25:58,omagyat ambatukammmmmm
Dominic,5,2024-04-28 21:11:44,Game terbaikkkk
X-4_Muhammad Danendra,5,2024-04-28 10:30:32,Aku n
Abdul Karim,1,2024-04-28 06:11:31,Game 4no berkedok game kapal😂🤓
Arsyad Linov,5,2024-04-27 22:43:23,Ralley cool
Kadal Telur,4,2024-04-27 16:32:00,Njer baru main udah 17GB xP kukira bisa offline mana Kurang banyak lol:'3
Alif Alfarizki,1,2024-04-26 23:35:32,"Why is it that after the update there is a bug, when I log in to the game the error is stuck on the loading screen even though the network is running smoothly, please fix it"
Yamamoto Hiromori,5,2024-04-26 13:35:04,"Not really like the new update, it make the UI inflexible, but other than that it's good"
Dheat Crown,5,2024-04-26 11:18:45,Aku suka sama anime nya dan game nya pun bagus ... Tingkat kan terus developer ni game udah bagus ... Apalagi soutrack lobby nya bikin player semangat main ... Alur ceritanya juga mirip sama anime ... Mantab dah grafik ok cmn kurang dari game ini hanya pas kita battle kamera sama hero kita terlalu jauh
legzeS xd,4,2024-04-26 09:51:40,Good game
Sugek Tyo,5,2024-04-26 04:17:32,😁👍💯😅
Fauzi Raya,5,2024-04-25 22:29:54,Kawai kawai beauty beauty the best game ever in my life
Dafa King bizon,5,2024-04-25 10:22:38,Mik e gedi
VICDAN Mustafid,4,2024-04-25 03:29:36,Tiap battle ngefreze di hp gw😕
Muhammad Fauzan Afnan (ファウザ),5,2024-04-24 13:11:12,Sangat Ramah untuk pengguna 👀.
Vitra Ramadhan,5,2024-04-24 09:52:14,Game ny bagus
MLian Nadim,5,2024-04-22 03:30:35,Dev tolong tambah kapal induk ijn yogana kapal induk kelas dari Ijn taiyo
Athallah Firdaus,5,2024-04-21 04:30:55,"Sebaiknya kalian JANGAN pernah keluarin gamenya pada saat download data karena bisa menyebabkan stuck di loading screen (update complete, loading game). Jadinya sekali download harus langsung download semuanya jangan setengah-setengah. Karena gw udah mengalami itu 2 kali malah jadinya harus download ulang dari awal. Kalo emang gak bisa login alias stuck, JANGAN dihapus dulu. Tunggu sampe update berikutnya, bisa dimainin apa gk. Kalo bisa ya baguslah karena gw nunggu update bisa. Full Size: 17 GB"
Russt suka rendang,5,2024-04-19 14:20:10,Game sampah cuman umabar TT doang gaada fitur tenjang😈😈
Neymar Lionel,1,2024-04-16 03:47:30,"Bang gwe mau main tapi gak bisa karena download sampai 10 gb gwe hanya ada storage 4,97 pils la devoloper azur lane kasih kecil gane nya sihhinga download size game jadi ada option ke 3 plis"
Irfan Farhan,1,2024-04-15 09:06:14,"Baru download di playstore dan Setelah download data 10gb malah stuck di loading. Sungguh mengecewakan 😤. Mungkin aku tidak di beri kesempatan memainkan game ini, y udh lah uninstal aja. Terima kasih karna telah membuang waktu saya."
V M,5,2024-04-15 07:03:30,"Saya sudah bermain cukup lama dan sempat berhenti bermain, tapi ketika ingin bermain kembali akun saya sudah hilang bisa bantu kembalikan akun saya"
Axeit,5,2024-04-14 10:59:23,"ini game tidak kikir seperti game sebelah, banyak event gratisan buat gw yang f2p tengkyu yostar"
Rafly Ardiansyah,1,2024-04-14 05:33:38,"to developers, after the latest update, I am having a really hard time getting SSR tier characters and UR tier characters in every ongoing banner, both banners for new characters and banners for rerun characters. Please improve the character pull system so that this game is more fun and enjoy to play. Please don't turn it into a game that is stingy to all players of this game. I hope this case will be resolved properly soon. thankyou very much"
Ahmad Alpianoor,3,2024-04-13 20:35:06,Update yg sekarang sdh kelewatan besar jadi ngelaq Mulu dah
BOY 122,5,2024-04-13 19:04:44,Gk ada fitur telanjang
Arkantos 0314,2,2024-04-13 10:40:57,Please add more fox girls
Faozhil Nofrian Madjid,5,2024-04-13 09:40:02,Game bokep anjg🤣😂🤯
NEHAN Fajar,5,2024-04-13 05:06:14,Semoga hoki dapet ultra rare atau GK super rare
Nouval krisna,5,2024-04-12 15:38:40,Mantep to yo rek
Gibral Tar's,5,2024-04-12 06:22:56,"Game yang sangat mendidik,memberi kepuasan dalam bermain 😁👍"
Shin Shin,5,2024-04-12 03:51:34,"The game is already good and has a variety of characters, but I hope you add several languages such as Indonesian"
Aku Siapa,1,2024-04-09 12:33:10,Game babiii
Fadhel M,5,2024-04-08 07:42:19,Kapan update lagi :) baru update setahun yang lalu.. pliss lah dev.. kalo mo ngeupdate perbarui.. di tambah.. kasih lah tempat farming sendiri biar gk bosen ngulang stage Mulu.. kasihlah rekomendasi kecocokan kapal..dan tolonglah tambah event.. terakhir.. tolonglah percepat coldown material.. gw males nungguin..
Heriyanto Heriyanto,5,2024-04-06 13:26:09,Menggoda😋
sultan sukmahakim,1,2024-04-05 07:35:50,"Sebenarnya game ini sudah bagus, tapi masalahnya untuk gacha dapetin kapalnya itu susah banget dan juga gear nya itu juga masalah, dan juga gak bisa direset kembali itu yang paling masalah nya saya ingin reset akunnya tapi gak bisa, jadi saya berpesan kepada yostar untuk memperbaiki semua kesalahan tersebut"
Rahmat Akhmad,5,2024-04-03 23:07:07,🥰
maba beraksi,5,2024-04-03 05:30:06,Gamenya keren bisa cari waifu juga
Muhammad Rizky Ramadhan,5,2024-04-02 21:01:29,Papih aku masih dendam sama papih papih gak kasih Aku guamm Papih jahat banget sama aku 😭😭😭😭 aku dah berusaha buat ngumpulin cube tapi ama papih gak di kasih masa papih cuma kasih aku Zwei doang 😭😭😭😭 papih jahat banget.... Papih aku nitip aku ku namanya Cantya aku titip mereka ya papih bulan abis bulan puasa kau comback lagi main game nya yaaa... Papih kan kesayangan ku aku sayang papih yostar
Honkai Gamer,3,2024-03-28 02:08:21,"This game has been running for 6 years but why isn't there a skip button for completed stages? As someone who has played a lot of games, on average they use the skip feature for stages that have already been completed so that I have the same excess stamina to progress quickly."
Z u l l,5,2024-03-27 16:30:51,"Aku mohon kepada pihak developer untuk memberikan expansi lebih untuk dock karna setiap saya ingin menambah dock itu memerlukan diamond ,iya sih diamond terkadang di berikan gratis tapi itu butuh waktu lama (f2p) ,saya sampai bingung mau gacha kapal tapi dock gak cukup karna udah penuh Jadi saya mohon untuk lebih di mudahkan atau ada cara lain lah terserah ,overall good game"
MuhammadBasyor NurIndrawan,3,2024-03-27 00:55:32,"Semakin Update Semakin Error, Suka Berhenti Di Loading Screen, Kadang Juga Suka Network Disconnected Hah Agak Kecewa :("
Ucup Frontal,3,2024-03-25 05:54:32,"dear yostar, how do I solve the problem of updating 6.5kb data?, My application has been like that for a week, while all the data has been downloaded, please respond"
Muhammad Akbar N,5,2024-03-24 22:58:03,Game yang sangat bagus
Budi Darmawan,5,2024-03-23 11:31:22,I cant play without oil 😭
Uzaki- Chan,1,2024-03-21 10:00:18,Kenapa aku ngga bisa download ini game 🥲
Haarlem,5,2024-03-21 05:40:12,Thank you so much
