userName,score,at,content
Pengguna Google,5,2024-06-25 23:58:56,Mudah
Pengguna Google,4,2024-06-25 23:57:31,sangat membantu
Pengguna Google,5,2024-06-25 23:51:39,Mudah digunakan dan dimengerti lewat hp internet mbanking BCA skrg
Pengguna Google,1,2024-06-25 23:44:35,Internet terputus dan harus mencoba ulang maksudnya gimana padahal sebelumnya baik baik aja sinyal baik ko tidak buka aplikasi ini
Pengguna Google,5,2024-06-25 23:37:46,Mamtul dan akuarat...
Pengguna Google,5,2024-06-25 23:25:14,"Edit Ulasan jadi bintang 5 Sekarang TOP BCA 👍, yang laen jauh ketinggalan."
Pengguna Google,2,2024-06-25 23:22:20,Setelah update kemarin sekarang ga bisa hapus inbox transaksi di m transfer??
Pengguna Google,5,2024-06-25 22:55:03,BCA emang terbaik 👍💯
Pengguna Google,5,2024-06-25 21:54:55,Ok lah
Pengguna Google,5,2024-06-25 21:23:54,Baik
Pengguna Google,1,2024-06-25 20:58:30,Baru aja mo ngecek saldo. Knp akun saya hilang! Harus masukin nomor kartu! Nyusahin aja!
Pengguna Google,5,2024-06-25 20:02:45,"Kenapa sekarang inbox M-Transfer tidak bisa dihapus, terus solusinya bagaimana min jika tidak bisa dihapus"
Pengguna Google,5,2024-06-25 19:46:48,Kenapa sekarang saat membuka aplikasi BCA mobile keluar permintaan untuk meminta izin share lokasi? apakah itu dari bank BCA?
Pengguna Google,4,2024-06-25 19:43:54,"diupdate juga percuma, saldonya ga nambah, yg ada berkurang tiap bulan"
Pengguna Google,2,2024-06-25 19:29:56,Setelah diperbarui kenapa tidak bisa menghapus kotak keluar setelah melakukan transaksi transfer??
Pengguna Google,1,2024-06-25 19:16:46,"Admin, kenapa saldo saya berkurang 618,600 ..itu untuk pembayaran apa ya ?? Masa gak ada konfirmasi dulu ke saya klw ada pemotongan Dana..Tolong di cek ,seumur umur gak pernah ada saldo pemotongan seperti ini"
Pengguna Google,3,2024-06-25 19:05:53,Halo min kenapa sekarang biasa potongan adm 14 rb perbulan kena sekarang 19 rb ada apa dengan bca min biyaya adm nya kena denda 5 rb harus nya kenapa tidak tepat tgl pemotongan admin nya biyar tidak kena biyaya admin tambahan jelaskan min
Pengguna Google,4,2024-06-25 19:01:23,Kenapa di saya kalau ada transfr masuk belum ada notif nya ya?? Dan histori transaksi transfr gk bisa dihapus? Gmn caranya hapus kalau terlalu penuh?
Pengguna Google,1,2024-06-25 18:42:07,Setiap mau login kenapa mesti aktifkan gps? Buat ribet
Pengguna Google,5,2024-06-25 18:38:34,sukses selalu
Pengguna Google,5,2024-06-25 18:08:07,Ok
Pengguna Google,1,2024-06-25 18:06:48,Tolong beri penjelasan Admin Kenapa Aplikasi nya tidak bisa di buka ya untuk cek saldo ataupun transfer pada hal saya sudah daftar lewat mesin ATM nya?
Pengguna Google,5,2024-06-25 18:00:16,Baik Sekali👍
Pengguna Google,4,2024-06-25 17:33:45,"Kenapa tiba2 tombol delete inbox pesan bukti transfer hilang..? Buat apa tampung riwayat inbox byk2 kalau gak bisa di hapus.. Makan memory saja.. Lebih bagus kembalika ke semula ada Edit, terserah org mau hapus atau simpan"
Pengguna Google,4,2024-06-25 17:27:57,Sudah d edit. Itu keluhan 4tahun lalu
Pengguna Google,1,2024-06-25 17:01:55,Tidak bisa hapus inbox transaksi
Pengguna Google,1,2024-06-25 16:59:12,"Halo BCA Mobile, kenapa minta kode OTP via sms gak muncul-muncul yaaaa"
Pengguna Google,5,2024-06-25 16:52:52,sangat membantu
Pengguna Google,5,2024-06-25 16:50:40,Good
Pengguna Google,2,2024-06-25 16:46:53,"Habis update bukan nya lebih cepat kenapa jadi super lemot sekarang, hrs nunggu sekian menit baru ke buka. Jadi nyesel upgrade"
Pengguna Google,5,2024-06-25 16:38:24,Good
Pengguna Google,5,2024-06-25 16:38:23,Cara notif ada transferan masuk. Dan keluar transfer gimana
Pengguna Google,3,2024-06-25 16:34:43,"Sekarang harus aktif map baru bs buka aplikasi. Makin rumit aja. Inbox mtransfer biasanya bisa didelete sekarang tdk bisa. Penuhlah nanti inbox. Ada"" aja nih aplikasi"
Pengguna Google,5,2024-06-25 16:22:54,Top
Pengguna Google,5,2024-06-25 16:20:48,Sempurna
Pengguna Google,1,2024-06-25 16:18:27,"Kenapa sekarang setiap buka selalu ada notifikasi, ""BCA Mobile membutuhkan akses lokasi anda"" ??? Padahal lokasi di hp menyala.. aman atau bahaya yaa ??"
Pengguna Google,5,2024-06-25 15:49:06,Mudah di gunakan dan menjadi aplikasi andalan untuk perbankan.
