userName,score,at,content
Pahmiatol Map,5,2024-05-09 00:11:44,Sangat mudah digunakan
Sari Dwi,5,2024-05-09 00:02:34,Ok aplikasinya
Ahmad Zaen,5,2024-05-09 00:00:39,Bersama brimo transaksi jual beli jadi nyaman
Mamah Mamah,5,2024-05-08 23:57:57,Lumayan membantu
AP piri official,5,2024-05-08 23:57:24,"Semua keperluan ada disini di Brimo, memudahkan saya dalam bertransaksi"
must tant,5,2024-05-08 23:56:11,mantap membantu
lita pitoo,5,2024-05-08 23:54:13,Sangat membantu Atm merakyat Tapi sangat mebudahkan
Anya Khairunnisa,5,2024-05-08 23:45:42,Mudah melakukan akses
Noer Hasanah,5,2024-05-08 23:40:35,Bagus sekali semoga makin baik ♥️
Eshal Azra,5,2024-05-08 23:39:10,Sangat membantu
Syamsu Uddin,4,2024-05-08 23:38:47,Mantap
Petrus Dae,2,2024-05-08 23:34:00,"Aplikasinya eror terus, kemarin masalah jaringan, eh sekarang mlah bilang nomornya tdk sesuai padahal saya masih pake kartu SIM yg sama Bikin susah aja"
Ilham Ramadhan,5,2024-05-08 23:21:48,Mantap pokonya no ribet
DC BK-1035 simalungun,5,2024-05-08 23:15:19,"Bagus,,transaksi lancar"
Ike Yunita Sari,5,2024-05-08 23:11:06,"Semenjak saya memasang aplikasi ini, sangat memudahkan saya dalam bertransaksi maupun mentransfer uang. Terutama saat mengisi pulsa, sangat cepat sekali prosesnya."
Ilham 1,5,2024-05-08 23:09:38,Sangat mendukung
Untung Aldiansyah,5,2024-05-08 22:56:42,Tp gimana cara pinjaman pake brimo bisa ga
Pedro Yosis,5,2024-05-08 22:53:11,Perfect
Mukti Aja,5,2024-05-08 22:48:20,"Mantul transaksi nya ,buat ngisi token listrik cepet bgt keluar no.token nya 👍"
Vita Pujiati,1,2024-05-08 22:45:58,"Sungguh merepotkan, yang awalnya suka banget karena sangat membantu, jadi G suka dengan aplikasi ini, karena ribet saat ganti HP. Padahal sudah update versi Android terbaru, malah gak bisa login. Tolong di perbaiki. Agar memudahkan customer."
Maz Adhenk,1,2024-05-08 22:40:04,Tambah lama tambah gak karuan
IDE TERAMPIL,5,2024-05-08 22:37:09,Slamat pagi kk.mohon perbaikan terhadap brimo.saya punya akun brimo tapi tidak bisa masuk.saya bingung harus bagaimna? Sudah saya coba berkali2 tapi sama saja.mohon di bantu
Anis Jajilah,4,2024-05-08 22:31:12,Bagus
Rian Hernanda,5,2024-05-08 22:01:10,Sangat membantu
Widayanti Iskandar,5,2024-05-08 21:33:46,Mantap
Sumimasen desu,1,2024-05-08 21:32:41,"Saya ganti hp, dihp sebelumnya sudah logout tapi pas mau login dihp satunya kenapa bermasalah. Katanya belum logout diperangkat sebelumnya, padahal hp yg satu sudah di reset setelan pabrik."
Rhapico Emon Apriansya,1,2024-05-08 21:23:16,"Sementara bintang 1 dulu, parah banget mau top up e-wallet ga jelas banget saldo udah kepotong tapi ga masuk masuk, udah buat laporan tapi harus tunggu 3 hari, yaa emang ga seberapa duit nyaa cuma saya sebagai anak kos butuh banget itu duit nya, tolong min solusinya gimana. 3 hari itu lama lo min buat kami anak kos yang duit nya udah abis gara gara top up ga masuk masuk, mau makan apa kami kalo gini"
Bernardus Suranto,5,2024-05-08 20:51:43,"Aplikasi brimo sangat mudah digunakan dan banyak fiturnya, tetapi sekarang kenapa tidak akses dengan Kami para penyandang tunanetra?"
Dicky Simamora,5,2024-05-08 20:38:30,Ok
Muhamad Al,5,2024-05-08 20:18:39,Sangat senang menggunakan bri
Ahmad Syukur,5,2024-05-08 20:10:30,Mantap
Rudiansyah Rudi,1,2024-05-08 20:09:40,Sangat mengecewakan transaksi masih di proses udh di bilang selesai
Muhammad Agusabc123,4,2024-05-08 19:44:56,Sangat membantu
Hari bulan mata uang Arifudin,1,2024-05-08 19:42:42,Cara mudah
Dea Aditiya,1,2024-05-08 18:48:28,"Kurang puas dengan apk brimo ini, yg saldo suka tiba² ilang dan kemarin bayar pake qris tulisannya transaksi gagal tapi saldo kepotong, dicek di mutasi masih proses terus buat pengaduannya susah banget dan gak saldo gak di refund"
Fajeri Yanur,5,2024-05-08 18:43:43,BRImo mantap
Arif Miranto,5,2024-05-08 18:27:50,So far so good
wildan go wing,1,2024-05-08 18:22:02,"pembelian qris payahh.,.saldo sudah berkurang tp qris nya gk masuk.,.pengaduan bolak balik tp hasil zoonnkk...bertahan 1bintang selama blum ada pngembalian.,"
Harlan Abdul harlan bolo,4,2024-05-08 18:21:08,MANTAP
Dali Man,5,2024-05-08 18:15:09,sangat bagus bisa mengetahui keluar-masuk transaksi
Irma Rahman,1,2024-05-08 18:14:51,Buka RDN di Brimo dengan menggunakan kode Refferal 2024 akan mendapatkan saldo gratis 50 ribu. lah bukti nya tidak ada sama sekali. saya daftar sudah lama Al hasil gak dapat apa apa itu semua bohong.
rama bhakti pangestu,1,2024-05-08 18:13:51,Sangat Mengecewakan setelah diperbarui bukannya lebih optimal ini malah makin buruk setelah melakukan transaksi tiba tiba aplikasi keluar sendiri dicoba beberapa kali disemua jenis transaksi tetap saja keluar sendiri... Tolong ditindak lanjuti dan segera diperbaiki
Adif Dicky Anugrah,1,2024-05-08 17:55:16,"Suka ambil double potongan angsuran, di perjanjian tertulis setiap tanggal 24 pemotongan angsuran pembayaran, ini dimajukan sepihak jadi tanggal 17 jadi kena denda... Isi saldo ovo juga pernah nyangkut DI BRI. Uang dipotong tapi saldo tidak masuk. Haha lanjutkan."
Riko Winata,5,2024-05-08 17:49:15,sangat membantu sekali 🙏
Glen Tamera,5,2024-05-08 17:48:11,Sangat membantu sekali
Cipto Reji,5,2024-05-08 17:34:35,Dngan BRI mo ini makin mudah transaksi..👍
Lingga Pamukti Aji,5,2024-05-08 17:21:19,Mantapp puas sekali
Hamdani 16,5,2024-05-08 17:19:19,Sangat membantu
John Sinaga,5,2024-05-08 17:07:07,Mantul
Urba sihab,5,2024-05-08 17:06:17,Trima ksih apk nya keren👍
Kris Bbg,5,2024-05-08 17:03:00,Up
Ali Imran,5,2024-05-08 16:59:42,Sangat Rekomendasi
Zaenal Aza,5,2024-05-08 16:57:20,Oke keren👍😍👍👍🫰. 👍
M Isra Gazam,5,2024-05-08 16:55:59,"Sangat bagus, hanya saja terlalu berat, perbaikan atau pengembangan sangat diharapkan"
Rumasa Nyalira,1,2024-05-08 16:53:57,Kenapa gk bisa kirim ke dana?
Budi Suhendro,5,2024-05-08 16:40:27,Apakah brimo saat ini sedang tdk bisa di akses?
jafar aini,5,2024-05-08 16:33:22,Sangaf praktis dan membantu lebih higenis
Tono Rustono,5,2024-05-08 16:23:10,Semakin mudah dan praktis untuk segala kebutuhan finansial saya. Terimakasih
Ruyanti Ragilzs,5,2024-05-08 16:12:09,Awesome
Sukardi Sukardi,5,2024-05-08 15:56:47,Ok
pas santri,5,2024-05-08 15:56:22,Baru pertama pakai sih semoga aman terkendali
Teguh Wibowo,5,2024-05-08 15:52:08,"Jioss,Mantab,oke.."
Paskalis Brekhmans,5,2024-05-08 15:52:00,Aplikasikan sudah bagus 👌👍👍
Rjp Shop10,5,2024-05-08 15:51:16,Membuat lebih cepat transaksi
kulo alip,5,2024-05-08 15:42:18,Jos
Raisa Raisa novita,5,2024-05-08 15:36:02,Sangat bermampat bagi rakyat kecill
Hamdhan Fajarino,5,2024-05-08 15:34:30,"Mudah, simple, terpercaya"
Abrisam Ghaisan,5,2024-05-08 15:33:36,Sangat membantu
Lenny Dewi,5,2024-05-08 15:30:14,Good. Lengkap. Mudah.
Muhammad Solahuddin,5,2024-05-08 15:25:16,Sangat membantu para nasabah untuk permudah melakukan semua transaksi pembayaran.
A v,1,2024-05-08 15:14:00,"Setiap ada pembaruan pasti selalu berimbas di fitur transfer ewallet,yg tadinya maintence jam 23:30-00:30 sekarang jadi random,kadang dibawah jam 23:30 sudah maintence ,baliknya juga random kadang jam 7 pagi baru bisa buat transaksi e wallet,tolong diperbaiki!!!"
khen punk,3,2024-05-08 15:12:08,Maaf saya kurang puasa dengan fitur dompet digital nya yg sering ngebak. Selalu alasnya transaksi gagal (code : FP 05) paling paling itu di dana
Siska Melany User MLBB Hanabi,5,2024-05-08 14:55:21,Bagus dan cepat
Muhammad Faisal,2,2024-05-08 14:52:45,Suka error transaksi ke dana dalam proses terus gak masuk masuk tapi saldo sudah di potong
sudar dar,5,2024-05-08 14:49:58,Suka
Fardi Official,5,2024-05-08 14:47:51,Sangat membantu
Kamal ludin,5,2024-05-08 14:47:12,Sangat membantu sekali
Jo oo,5,2024-05-08 14:45:14,Lebih praktis dan tidak ribet dalam bertransaksi Bangus banget
Dewa Kipas,1,2024-05-08 14:43:58,Tidak bisa login
Eka Maniest,5,2024-05-08 14:40:34,Bermanfaat untuk saya
Sugito,5,2024-05-08 14:31:13,Bayar topuf
Mardalena Endang,5,2024-05-08 14:28:41,"Aplikasi yg sangat berguna, mempermudah dalam bertransaksi"
Jusriawan J. LAKUNTU,5,2024-05-08 14:28:34,Bagus banget
Kania Lestari,5,2024-05-08 14:28:08,Bagus
samuhun jr,1,2024-05-08 14:20:31,Update..update..update..E wallet..error ...proses terus..ampe kiamat..saldo sudah kepotong....tolol
ebno heldi,5,2024-05-08 14:19:59,Sangat cocok untuk saya
Masri Salman,5,2024-05-08 14:03:36,Mantap
Kukuh Priambudi,5,2024-05-08 13:55:17,"Tolong diupdate fitur tabungan emasnya, agar bisa transfer atau menu cetak logam"
Agus Setiawan,5,2024-05-08 13:40:17,Ok
ZIRIN AMALIA,4,2024-05-08 13:38:52,Ok
Lukman Ibrahim,5,2024-05-08 13:36:18,Sangat membantu
Deri Sudandi,5,2024-05-08 13:33:36,"untuk saat ini apk ini sangat bagus,dan membantu banget dalam brtransaksi online,semoga bri semakin membaik,dan memperketat keamanannya dan tidak ada lagi trjadi hal2 yg tdak di inginkan sperti saldo hilang tiba2 kayak khasus yg aku lihat sedang viral ditiktok."
Sumadi Skw,4,2024-05-08 13:31:45,Ok
Jimiar Nur Al-Fath,5,2024-05-08 13:31:19,Susah banget untuk pendaftaran brimo di proses pengambilan Poto gagal terus
Abeth kanisius Nomleni,5,2024-05-08 13:25:10,Pelayanannya menyenangkan sekali
SHUGI BOB,5,2024-05-08 13:18:25,Nice pokoknya
Eka Safitri,5,2024-05-08 13:16:50,Bagus pembayaran jadi lebih mudah
teguh p,5,2024-05-08 13:15:35,Okokkkk
Yoel 05,5,2024-05-08 13:12:49,memudahkah
MOH QODIM ZAINAL MUTTAQIN,5,2024-05-08 13:12:33,Mantulll
Rahayu Ade,5,2024-05-08 13:11:15,Mantul
Dony Listyono,5,2024-05-08 13:10:42,Memudahkan transaksi
Anto 22,5,2024-05-08 13:02:20,Sangat membantu.
Ezra Ittonk,5,2024-05-08 12:57:15,Baik
Aris,5,2024-05-08 12:55:19,Sangan puas
ujex Hariyanto,5,2024-05-08 12:49:35,Cepet no ribet
yuli sukaningrum,5,2024-05-08 12:47:42,Bagus
Santoso Ari,5,2024-05-08 12:46:52,Mantap
Rita susanti,5,2024-05-08 12:45:24,Saya Sangat memuaskan memakai BRImo BRI
Salman Oppo,5,2024-05-08 12:44:04,Mantap
Eno Sunhope,5,2024-05-08 12:43:04,Oke
Ahmad Saefudin,5,2024-05-08 12:37:19,Aplikasi yg sangat simple
Deri Surya,5,2024-05-08 12:36:05,Cepat dan mudah saat bertransaksi bembayaran atau pembelian
Baiq Hesty,4,2024-05-08 12:33:10,Sangat mempermudah saya dalam segi belnaja online dan semua jenis transaks i
