userName,score,at,content
Ipan Zarif,5,2024-06-01 17:02:49,Yah game nya udah bagus tapi kok gak ada terjemahan bahasa Indonesia ya
Alex Ramadhan,5,2024-06-01 17:00:16,Untuk NEXON game Blue archive sudah bagus tapi ada yang agak kurang kalau bisa arona di buat sesuai dengan perayaan seperti natal arona menggunakan baju natal atau new year arona menggunakan kimono semoga tersampaikan
Farel Maulana,1,2024-06-01 15:52:08,ko gak bisa di ewe :(
Raditya Ghilbran,5,2024-06-01 14:55:58,"Game nya bagus tapi maaf, saat story nya tamat langsung ku uninstall😔🙏"
Amandaadi224 Adi,5,2024-06-01 13:11:55,Game bagus banget bang Nexon games😋😋
Yatogami Tohka.,3,2024-06-01 12:58:21,"Why are most of the children young, what I want are those aged 17-27 years Most of the characters are 17 to 27 years old, I like them"
Riqo Don Riqo,5,2024-06-01 12:43:06,Banyak karakter yang lucu
ulinnuha Ch Wetan,1,2024-06-01 12:14:17,Kok GK ada fitur telanjang sih gw udah habisin Kouta gw untuk liat itu malah GK ada fitur telanjang nya kecewa gw
Uray Raihan Vieri,3,2024-06-01 11:50:10,sering error dengan kode 10009 klo udah error kyk gini g bisa diapa apain
Escal “Robert” Van dyck,5,2024-06-01 11:27:15,Bnyk ank ank
Brian Stevano,5,2024-06-01 10:34:51,"This game is good, i already play it like 6 months. All the gameplay was good, all the character is cute, the story kinda sad but i still love it. Maybe this is opsional but i still want to know my friends character, maybe you can add this fiture Nexon(i don't know is that already a fiture or no)"
Yesa Priyan,5,2024-06-01 09:07:12,Game nya bagus saya suka 🫰
Husain Raffay,3,2024-06-01 08:49:09,plis punya gw force close terus
Lana,5,2024-06-01 08:11:50,Please add Indonesia language because this game is so fun but many player from Indonesia is not understand about the story if the story use English language
MOH RAYHAN,5,2024-06-01 07:56:10,Bagus bisa menghibur
Muhammad Hassan,4,2024-06-01 07:54:24,Ini kenapa ya suka keluar sendiri?
RafdiGaming,5,2024-06-01 07:27:52,Good game
Rizky Fadllilah,5,2024-06-01 07:25:18,Gamenya udah bagus tapi tidak ada fitur murid menjadi nyata🥲🥀
Rezki Aditia,5,2024-06-01 07:20:57,Cok turunin lah GB game nya hp gw cuman ram 4 demen banget main game gini taik
Bandar Lampung,1,2024-06-01 05:27:53,Game terlalu berat update data terlalu mahal tidang mengsupport bagi ram 5 ke bawah
Aldiansyah,5,2024-06-01 02:58:37,Menggoda
Wigih Wkwkwk,1,2024-06-01 02:55:30,Game apaan ini ga ada fitur telanjang nya Lo di tik tok ada pas login ga ada bgaimana ini katanya ada 😡
E v a n s,5,2024-06-01 01:31:53,Aduhai😋
Akarii,1,2024-06-01 01:21:48,ga ada fitur ngaji
Dimas Haikall,5,2024-06-01 00:58:33,Aku suka Asuna 😁🙏
Fabio syakib sasongko,1,2024-06-01 00:09:26,Baru pertamakali main pertamakali login langsung kena illegal program🗿🗿
PrasetioG Wibowo,5,2024-05-31 23:51:05,Game nya bikin sange dan banyak anak kecil nya aku suka bgt😘
Rifki Rifki,2,2024-05-31 20:13:36,kebanyakan loading
Yoandra Chelseano Navega,2,2024-05-31 19:16:24,"gmna si ajg gada fitur telanjang, padahal kan game nya asik. coba aja ada fitur telanjang pasti ku kasi bintang 5"
Shadow In Darkness,5,2024-05-31 18:27:40,Gila sih ini game udah jalan ceritanya lumayan bagus desain Karakternya keren dan modeling mapnya juga bagus dan ada animenya juga baru liris tapi ada satu minus nih coba karakternya gak chibi terus 3 pasti banyak yang minat😃
daffa deandra,4,2024-05-31 17:43:43,Gua suka anak kecil (bukan pedo) 🗿💯
Akmal Ji,5,2024-05-31 17:09:50,game nya tidak ada fitur telanjang
Darma ch,5,2024-05-31 14:52:32,Guede
Justin_Lie,5,2024-05-31 14:45:32,Game nya asik ceritanya mayan boring tapi overall endingnya bagus si
Eva Wan,4,2024-05-31 12:26:35,Gamenya bagus tapi boleh gak tambahin karakter hikari and Nozomi please developer ini buat tugas di buku
L,4,2024-05-31 12:07:15,"sebenarnya ini game udah bagus,cuman ada satu kekurangan doang yaitu ga ada b.indonesianya,untuk kedepan nya mohon di pertimabangkan dev untuk menambahkan b.indonesia nya yaa"
ardhan fahrezy,5,2024-05-31 11:20:47,Banyakin Bansos (please multiply pyroxene rewards) nya nexon 😋😋
Adithyan Fauzi (Reonnaru),5,2024-05-31 10:33:13,Game baik 👍
Ilyazu Mayzu,5,2024-05-31 10:20:20,Banyak Hadiah untuk player Gacor Cik😂
Rizky Susilo,5,2024-05-31 09:33:33,Gamenya bagus tapi mbnya turunin biar gw dapat download datanya plissss
AndikaHD,1,2024-05-31 08:16:55,Kecewa berat gak ada fitur telanjang😞
Muhammad Barra Rayyazka,5,2024-05-31 07:24:58,"Overall game nya bagus. tapi lebih baik di buat vitur telanj*ng,agak nanggung untuk game forno"
mashburnedead27,5,2024-05-31 07:07:04,Loli😈😈😈😈😋😋😋😋😋😋😋😋😋
Ashipa Ashipa,5,2024-05-31 06:13:16,"Game nya sangat bagus dari segi visual, pengisi suara, dan cerita tapi ada 1 hal yang kurang yaitu fitur telanjang dan segs"
