userName,score,at,content
Amarullah Alhaqoni,5,2024-06-04 20:23:06,Keren
Noval Yusuf,3,2024-06-04 20:04:00,Uk I
dwi maryono,5,2024-06-04 16:44:45,siip
Randi Dwi pranoto,2,2024-06-04 14:41:01,"Sering masalah Disconect, tingkatin lagi untuk masalah jaringan, streaming yt lancar masa ini mau searching berita lemot nya mintak ampun"
Rosa Saja,1,2024-06-04 13:54:01,g bisa di download
XBorn ID,4,2024-06-04 10:00:49,"Sepertinya Aplikasi brave harus diperbarui. Hari ini, aplikasi selalu force close"
Sahlan Jumriah,5,2024-06-04 03:17:21,saya berikan Bintang lima
Fritz,5,2024-06-03 20:24:55,mantap
paijo paijo,5,2024-06-03 17:23:57,jossss
Dyonry Bangsawan,5,2024-06-03 17:23:57,bagus
Pariyono Simo,5,2024-06-03 15:14:10,siip
Sekurity Newton,5,2024-06-03 14:37:34,Kren terpercaya
SiGiT aw,4,2024-06-03 14:22:16,"Senin 030624, 21.22 Jozz..."
Waunx Ndzofishing,5,2024-06-03 13:25:26,"Gw udah lama pake brave semenjak ucbrowser down...menurut gw jauh lebih bagus di banding opera mini maupun chrome...adblocknya jauh lebih efisien juga...hanya kadang masalah bug nya di tab baru kelompok kadang suka kepisah jadi tab baru alias keluar tab yang di kelompokin, bug yg lain paling cuma ngga bisa open tab sesuka hati kaya opmin jadi kalo mau balik ke tab sebelumnya pasti refresh page terus"
蕭喬尤Qiao,5,2024-06-03 11:51:29,Awesome browser app
Andi Ono,1,2024-06-03 11:33:08,Mohon diperbaiki lagi.
Revaldo Candranathan,5,2024-06-03 02:53:18,damn good
Taupik Imansyah,5,2024-06-03 02:31:55,"The one & only, brave is really the best in the world"
Bilal Saputra,5,2024-06-02 16:39:10,Baik
Kasih Pareda,5,2024-06-02 12:11:43,👍👍👍
budhy man,4,2024-06-02 11:33:28,"Brr,,,keok..."
Ahmad Bagus,2,2024-06-02 11:00:07,"Versi PC lebih bagus daripada android, gw di pc gw make brave terus sedangkan di hp versi ini parah iklan banyak banget padahal ada adblock nya. Enggak banget download brave di hp, mau cari browser tanpa iklan mending 1dm daripada sampah ini"
Fahrul Azmi,4,2024-06-02 09:35:56,"i love this app, bisa block iklan dari berbagai website video seperti *******😄lumayan bisa enjoy nonton tanpa iklan"
Muhamad Ridwan,1,2024-06-02 07:53:28,"Setiap ada update aplikasi sering lag parah walaupun udh di update, 1 nya cara cuma install ulang"
DS FLAMING,1,2024-06-02 07:25:57,Dulu sangat bagus skrg pop up iklan sering muncul
Aflah Zaihulhaq,4,2024-06-01 22:13:05,"Baru nyoba, kalau ringan dan bagus akan saya naikan bintangnya"
Delisma Rangkuti,5,2024-06-01 14:19:03,Beritahu aku cara untuk mematikan preview halaman. Aku tidak suka fitur itu. Aku menyesal telah mengupdatenya jika fitur itu tidak bisa dimatikan
Tomi Pratama,5,2024-06-01 11:57:12,Udh di update tempat download gak lancar jaman internet cepat lo min
Ahmad Mawardi,5,2024-06-01 07:18:01,Powerfull
Didi Marjuki,3,2024-06-01 01:26:35,"Kok sekarang download nya lama yah. Padahal dulu lancar, jadi saya kurangi bintangnya"
echoequlin clue,5,2024-05-31 17:04:57,mantab
Mus Lim,1,2024-05-31 16:50:30,Brave jelek Masih bekerja sama dengan link yang banyak memperoleh iklan
Iar Kidul,4,2024-05-31 07:41:18,Mantap
Yudianto A,5,2024-05-31 06:09:51,The Best
Hendri YT,1,2024-05-31 05:06:06,Sangat tidack ramah
Ismael Simamora,5,2024-05-31 00:25:39,Fast no Add and safety
zaczakari,1,2024-05-30 10:59:08,A.
Agus Purwanto,2,2024-05-30 06:38:39,Setelah update justru lemot
Sumarno Marno,5,2024-05-29 23:43:10,mantab
Agung Darmawan,5,2024-05-29 23:30:12,Browser nya gak ada iklannya
HERDIN AMRI GIBRANI,5,2024-05-29 14:35:13,Terbaik
Bhakti Nugraha,5,2024-05-29 13:29:19,Good
Senses,5,2024-05-29 10:39:32,Sangat bagus 👍
Fidzy Kid,5,2024-05-29 07:57:43,"Clink, ngengge kat 2022"
Panca Putrawaskita,5,2024-05-29 05:13:00,Mantap pkonya
Heru Wibowo,5,2024-05-29 00:08:22,good
Kenzie Raviandra,5,2024-05-28 13:19:49,"Waktu pertama kali saya menggunakan Barve. Kesan pertama saya terhadap Brave itu LUAR BIASA! Saya berpikir dengan menggunakan brave, saya tidak perlu lagi merasa khawatir dengan situs-situs berbahaya, pop-up² yang menjengkelkan dan iklan-iklan sesat... Memang ada beberapa kekurangan dari browser ini; salah satunya disaat saya ingin searching sesuatu, terkadang tidak sesuai dengan apa yang saya inginkan. Tapi saya memaklumi hal itu... Terimakasih!"
Dedy Harpandi Dedy,5,2024-05-28 11:58:55,"Semoga translate bahasa kedepannya menggunakan ai agar lebih bagus dalam menerjemahkan ke bahasa Indonesia, kalo lagi baca novel agak pusing karena terjemahan kurang baik"
Ahmad,5,2024-05-28 09:10:20,Suka 😍
Holil Holil,5,2024-05-28 06:44:04,"sangat bagus aplikasi nya ,,, iklan nya nggk bnyakk"
AMA Channel,5,2024-05-28 01:46:45,menyenangkan
KZ,3,2024-05-28 00:28:07,"I cant access itch.io site using your browser, but if i use another browser i can access itch.io site"
Rigel Ariful,5,2024-05-27 22:33:39,"Ad blocker nya bagus, ada fitur block script juga untuk cegah pop up ads yg gak bisa di block sama ads blocker biasa."
Ega Ard,5,2024-05-27 14:32:07,Bagus
novan hariyanto,5,2024-05-27 13:31:39,I like it!!!
Rachmat Lababa,5,2024-05-27 12:59:39,Mantab jiwa 👍👍👍
Roshan Syalwan Nurilham,5,2024-05-27 10:33:04,bagus banyak fiturnya bisa adblock ke semua web
Ilmiah,5,2024-05-26 23:24:50,"Browser terbaik yg pernah saya coba. Tidak ada iklan yg mengganggu baik di dalam situs maupun dari app sendiri. Ringan cepat dan sederhana, gk kayak uc browser kebanyakan tingkah. Tolong tambah fitur 60fps video di youtube"
Ruky Faska,2,2024-05-26 22:44:26,"🙏 maaf mimin , sy kasi ⭐️⭐️ , pertanyaan syb knp sering minta diupdate 🙏 Sy papaham , dgn diuodate mgkn utk kelancaran aplikasinya , tp kalau sebentar sebentar minta diupdate kuota kita bekurang min 🙏"
BT Channel Official,3,2024-05-26 20:34:15,"Fitur terjemahan webnya malah tidak bisa di gunakan , khususnya dalam web yang berbahasa tionghoa"
Alif M Taufiq,1,2024-05-26 15:55:30,"Bookmark tidak bisa digunakan, sinyal tiba tiba menjadi jelek, tidak bisa memainkan di latar belakang"
Jozo Kwerkwer,5,2024-05-26 14:31:40,ini menurut ku apk pemblokir iklan paling bagus walaupun g dpt vpn ny gratis tp dpt add blocker gratis bagus bgt udh pake 2 apk add blocker yg gratis sebelum ny tp masih ada iklan yg muncul klo apk ini ngga ada iklan sama sekali
