userName,score,at,content
Pengguna Google,5,2024-07-27 23:48:09,bagus
Pengguna Google,5,2024-07-27 22:52:24,sangat membantu bnaget
Pengguna Google,5,2024-07-27 20:02:38,good
Pengguna Google,5,2024-07-27 19:58:46,mantap
Pengguna Google,3,2024-07-27 19:51:42,cukup bagus karena saya mencari beberapa hal di sini dan langsung ketemu
Pengguna Google,5,2024-07-27 19:19:40,Chat gpt
Pengguna Google,3,2024-07-27 19:01:37,😬
Pengguna Google,5,2024-07-27 17:38:20,luar biasa
Pengguna Google,5,2024-07-27 17:12:28,Chat gpt terbaik
Pengguna Google,5,2024-07-27 16:34:55,great
Pengguna Google,5,2024-07-27 15:26:28,ok
Pengguna Google,5,2024-07-27 14:41:17,aplikasi ini sangat bagus sekali
Pengguna Google,5,2024-07-27 14:31:11,Ai terbaik
Pengguna Google,5,2024-07-27 14:18:33,udah lah tidak bisa berkata kata dah bagus
Pengguna Google,5,2024-07-27 13:56:15,sangat membantu 👍👍
Pengguna Google,5,2024-07-27 13:32:33,good tools
Pengguna Google,5,2024-07-27 12:50:14,sangat membantu
Pengguna Google,1,2024-07-27 12:26:58,CHAT GPT ANJJINGGGGGGG
Pengguna Google,2,2024-07-27 12:10:52,"Tidak membuatku nyaman, ketika bertanya tentang prihal kronologi terjadinya ""grooming"" langsung diblokir. Lucu sekali, seakan-akan tidak ingin menunjukkan jalan tengahnya."
Pengguna Google,5,2024-07-27 11:59:54,bagus bgt
Pengguna Google,5,2024-07-27 11:33:40,aku suka karena bisa untuk mengobro 🖐️😊🖐️
Pengguna Google,5,2024-07-27 11:20:17,aku merasa dipedulikan
Pengguna Google,5,2024-07-27 11:08:03,kerenmn
Pengguna Google,5,2024-07-27 11:07:35,aplikasinya bagus.......yaudah gitu aja
Pengguna Google,5,2024-07-27 10:53:50,mengetahui semua itu membuat saya terbantu dalam pelajaran
Pengguna Google,5,2024-07-27 10:41:44,sangat membantu
Pengguna Google,5,2024-07-27 09:50:13,Jos
Pengguna Google,5,2024-07-27 09:36:14,simple dan cukup membantu
Pengguna Google,5,2024-07-27 09:27:40,wah ini keren bgt sih gratis pula
Pengguna Google,5,2024-07-27 09:02:39,I like this gpt open AI chat the best
Pengguna Google,5,2024-07-27 09:00:56,"Sangat membantu sebagai teman ngobrol, cari inspirasi, aspirasi dan dukungan aktivitas, namun, bila saya boleh usul, sebaiknya ChatGPT digunakan untuk belajar dll, jangan digunakan untuk mencontek jawaban tanpa tau prosesnya, karena semua itu dimulai dari proses, tidak ada yang instan, jika terlalu banyak keinstanan maka kelak akan menyesal pada akhirnya"
Pengguna Google,5,2024-07-27 08:33:55,aplikasi ini sangat membantu saya dalam pencarian jawaban tugas mau pun pertanyaan yang lain pokoknya best deh ni aplikasi
Pengguna Google,5,2024-07-27 08:31:50,Masih bagus google
Pengguna Google,5,2024-07-27 07:56:50,bermanfaat banget buat saya
Pengguna Google,5,2024-07-27 07:53:09,"bagus, dh itu aj"
Pengguna Google,5,2024-07-27 07:33:42,sangat membantu untuk mengerjakan tugas dan mencari tau hal² yg lain seperti detail² yg terkadang tdk dijelaskan oleh guru
Pengguna Google,5,2024-07-27 07:19:04,Sangat bagus..
Pengguna Google,5,2024-07-27 06:54:41,aplikasi ini sgt membantu dalam mengerjakan tugas².Thank you so much 🥰👏👍
Pengguna Google,5,2024-07-27 06:41:17,ngk ada obat si ini apk 🔥🔥🔥🔥🔥🔥🔥🔥
Pengguna Google,5,2024-07-27 06:22:21,perkembangan teknologi sangat bagus
Pengguna Google,5,2024-07-27 05:43:51,asek bolo
Pengguna Google,5,2024-07-27 05:11:46,mantap
Pengguna Google,5,2024-07-27 04:30:34,sedih
Pengguna Google,5,2024-07-27 04:19:16,bagus banget!!!
Pengguna Google,4,2024-07-27 03:52:17,Bagus untuk mencari sesuatu. tapi ada beberapa kekurangan seperti ada jawaban yang chatgpt sendiri gak tau.
Pengguna Google,5,2024-07-27 03:21:22,Keren
Pengguna Google,5,2024-07-27 03:17:40,berguna
Pengguna Google,5,2024-07-27 02:42:03,mantap selama masih gratis
Pengguna Google,5,2024-07-27 02:36:18,sangat membantu
Pengguna Google,5,2024-07-27 02:32:39,Mantap pol
Pengguna Google,5,2024-07-27 01:39:10,"Bagus, berguna"
Pengguna Google,5,2024-07-27 01:32:58,Mantapp sekali buat menjawab soal soal
Pengguna Google,4,2024-07-27 01:08:24,sangat bagus
Pengguna Google,5,2024-07-27 00:53:29,cool dude
Pengguna Google,5,2024-07-27 00:19:46,Keren Banget
Pengguna Google,5,2024-07-26 23:10:36,amazing
Pengguna Google,5,2024-07-26 22:54:30,More free more star
Pengguna Google,5,2024-07-26 21:37:28,Aplikasi ini sopan dan membantu apapun
Pengguna Google,5,2024-07-26 21:29:07,mantap
Pengguna Google,5,2024-07-26 21:05:27,good
