userName,score,at,content
Pengguna Google,5,2024-05-09 23:33:03,bagus tapi kurangi event atau kartu yg pay to win karna saya cuma player gratisan
Kiki Matondang,3,2024-05-09 18:43:09,"logically, game clash royale ini bagus. However, ada satu hal yang saya tidak begitu suka. First. dari Hero levels lawannya yang berbeda jauh dari kita. Second. dari gamenya, yang kadang ngelag, stuck di tengah pada saat login. buat yang pertama, saya tidak terlalu peduli. namun, namun yang kedua mohon di perbaiki, karena akan hal itu yang membuat gamenya tidak banyak yang bermain. thx"
Adelio Putra Prasetyo,5,2024-05-09 18:05:03,tolong lebih adil dalam mencari match agar tidak ketemu orang yang diatas arena kita
daving gunawan,1,2024-05-09 16:17:01,Kok mau top up diamond pass ga bs dibilang salah negara? Padahal betul negaranya sudah di indonesia
MLBB TANK,3,2024-05-09 15:27:15,Seru main tapi hadiah kartu didapat dari leve rk aja abis main ngga dapet
anwar ramdhani,1,2024-05-09 15:14:34,The battle does not match the cards you have
Ali Jumali,4,2024-05-09 13:51:29,pengumpul eliksir terlalu lambat
Muhammad Iksanudin Setyo Nugroho,2,2024-05-09 11:39:54,Sinyal di dalam game kadang langsung lemot padahal jaringanku bagus
Satryo Ardi Prananto,1,2024-05-09 11:15:03,"Jelek, dikasih musuh gg terus tropy ku ga pernah naik apalah game ini"
Rehan javier,4,2024-05-09 10:58:42,game tolol gak jelas taiii setiap main sinyal jelek harus relog kalau ngga relog ngga bisa main tololl yakali saat di game ngelaq ngelaqnya lama banget kalau ngga relog ngelaq terus game aneh taiiii
Syahdan Fadhillah pratama,3,2024-05-09 10:36:20,Semenjak ada nya evolusi card semua berubah 180 drajat
Mayongshora yudha,3,2024-05-09 09:47:28,Kalau main tiba² macet😮‍💨😮‍💨
reza. pro,5,2024-05-09 09:36:57,ror
Apoi,5,2024-05-09 09:33:46,wow
Zandex Junior,3,2024-05-09 09:22:14,Enggak tau kenapa tapi akhir akhir ini saya main ketemu player yg elixir nya kaya gk habis habis setelah mengeluarkan kartu besar tiba tiba bisa spawn kartu gede dan bisa defense terus itu cheat atau apa ngak tau dan satu lagi musuh nya udah di lvl elite semua sedangkan punyaku 1 aja belum ada kartu kecil aja pertahanan nya besar susah mau menang
Raka,1,2024-05-09 09:14:10,Nggk bisa masuk payah
x,1,2024-05-09 08:16:17,Game suprer bodoh!! Harus bayar/beli kalau mau menang atau bersaing.. Dengan segala trik dark sistem tiba-tiba hilang koneksi padahal jaringan sangat bagus. Itu cukup untuk membuat game ini sangat bodoh. Semoga hilang segera game tidak bermutu ini.
Alif Fatala,1,2024-05-09 08:00:52,Lawanya sering GK imbang jadi kalah 👎👎
Rumah Peradaban,2,2024-05-09 06:28:05,"Wahai developer. Kenapa anda pelit sekali dalam satu hal. Ada hadiah bernama hadiah hoki, tapi sudah satu bulan inj saya tidak pernah mendapatkan barang bagus. Ini yg membuat saya lebih menyukai brawl stars dari pada clash royale."
Agung Sayekti,1,2024-05-09 05:22:01,Enemy chosen always have anti-card of ours. Not a good game to be installed.
Jelantik Wijaya,5,2024-05-09 04:43:56,gud
Rupi Pandi,5,2024-05-09 03:53:38,luar biasa
Reynaldy Erlangga,5,2024-05-09 03:47:42,complete 👍
Larva 01gaming,5,2024-05-09 03:13:16,good
andika pratama,5,2024-05-09 03:06:00,Game seru dan asik
Abdul Fatah,5,2024-05-09 02:28:09,ok sip
dede gaming1143,5,2024-05-09 02:20:11,bagus seru
Achmad Guna subakti,5,2024-05-09 01:49:31,game nya seru dan game nya seru
Daud Badar,5,2024-05-09 01:20:48,bagus dan seru
Andi Sahrudin,5,2024-05-09 00:02:04,Bagussss
Zaid Alghifary,1,2024-05-08 23:02:56,game ngelag trs
Pendol 927,1,2024-05-08 17:20:11,Gunanya apa ningkatin hero sampe lvl 14 giliran main liga jdi lvl 12 taik
Slaine Troyad,3,2024-05-08 15:49:09,"in match making, please make it at same level. always match with higher level player, its frustasing."
Enggri Capah,1,2024-05-08 15:15:34,"Players now have a lot of elixir cheats, I'm surprised how many players get elixir cheats, please check the admin immediately, it's really annoying"
JUBA TOG,1,2024-05-08 13:35:19,"Game apaan masak kita masih level 11 musuh malah level 14, masak nggak bisa pilihin musuh yang sepadan.. Untuk game nya sudah bagus"
Its Aein,3,2024-05-08 12:29:48,Game top up
Fhry Rmdhn,3,2024-05-08 11:57:44,Terlalu pay to win
alamsyah abdulaziz,5,2024-05-08 11:53:42,bagus
Muhammad Ahdim,1,2024-05-08 11:32:40,Lawan tidak adil!!!!!
Algifari,5,2024-05-08 10:23:52,Ya elah. Musuh ya cupu cupu jir 😄tolong ya defeloper kuatin lagi musuh ya hhhhh
Muhammad devin b,4,2024-05-08 06:31:41,b.....
Henida Heni,5,2024-05-08 06:20:55,estetic so cool geme
Yunita Kansil,1,2024-05-08 06:20:53,Game pendo memang pendo orang somo sampe di arena tiga dia tarik lag ke arena 2 memang pendo babi susah game nggak ada akhlak memang di kasih player susah game nggak ada otaknya
ridho anugrah,5,2024-05-08 03:45:29,keren bangattt
HAFIZH SATRIO,1,2024-05-08 01:58:23,"Tolong untuk pihak super cell untuk mengadakan mode 2vs2 di rank karena saya bosan bermain sendiri, saya rasa harus ada mode 2v2 agar permainan ini semakin seru,kalau kamu tidak mau saya akan membakar perusahaan super cell hingga rata dengan tanah"
Mochamad Ibnu,1,2024-05-08 01:29:35,"Formasi 3.5 kalah cepat dengan formasi 4.0 padahal lvl sama, haha lawak"
Rahman rVp,1,2024-05-08 01:01:09,Saya kasih bintang 1gameya susah
Ar Gi,5,2024-05-08 00:09:52,bagus tapi sayang akun aku gak bisa login ke sini jelek
Putu Gent54,1,2024-05-07 23:12:09,"Apk jelek 🤣🤣🤣🤣🤣🤣🤣🤣 yang buat gak bermodal,masak trofi udah 10.000 dapet musuh trofinya 15.000 jangan di donload"
Khoirudin Khoirudin,5,2024-05-07 23:00:51,gamenya mantap👍 supercell
andreSPORT,5,2024-05-07 22:07:29,bisa dimainkan walaupun waktu sempit
Aldebaren Wilar,5,2024-05-07 18:18:40,Menarik dan banyak fitur yang di tambah
andrew sagala,1,2024-05-07 17:14:18,"Don't ever install this app, there are people in insiders who will never want us to win in any way unless they pay. NEVER WAS YOUR TIME AND MONEY"
Mhd Hafidz,1,2024-05-07 16:18:05,ngasih lawan yang imbang lah qimak
Ahmd Abdl Hkim,3,2024-05-07 16:09:33,keren
naruto,1,2024-05-07 15:52:25,game gobblok
Gabriel Christian,1,2024-05-07 15:38:43,sekarang clash royale pay to win banget ya
Deza Al Ghazali,5,2024-05-07 15:09:44,bagus
Megi Kaur,5,2024-05-07 14:53:55,bgus
