userName,score,at,content
Lmao Pisan kang,1,2024-06-22 00:25:57,Game p2w tai
Muhammad Bintang Rizky Febrian,1,2024-06-21 22:18:34,"Your search for opponents in pvp is really unfair, I always lose in fights in pvp because the opponent has more stars than mine"
fariel Muh2023,5,2024-06-21 14:41:12,Sistem gachanya yg sangat akurat ketimbang game lain dan fitur pvp yg sangat adil sekali yg mau download silahkan game ini sangat rekomen banget untuk kesehatan kita dijamin yg download langsung jadi ssj1 juta🤞😁👍
Alfian Naban,4,2024-06-21 12:18:52,Mendapatkan Chrono Crystal di permudah dong developer
Wahdan hasbul Wafi,4,2024-06-21 10:26:41,Apa apa loading game binatang
Jefferson Quinlan Liem,1,2024-06-21 07:28:13,Why tosi
Safri Jaya,5,2024-06-21 06:42:38,Good
Ben Too,1,2024-06-21 05:51:35,Game kagak jelas kurang kerjaan
SURYAMIN HADINATA,1,2024-06-21 05:45:00,"The give of cristal to little, Now too Many Cheater in the Game the Db legend and Team do nothing to the cheater, Now only Hang in game"
IdkHehehe,1,2024-06-21 03:21:10,Trash
Imam NC,1,2024-06-21 02:46:46,Akun ku klihatanya ada yg ngebobol...sampe skrang gk bisa dibuka...trtulis akun ada sedang berada diperangkan lain...😅
Ershane Santoso,1,2024-06-21 01:26:59,Pay to win babi
-Mobu-,1,2024-06-21 00:18:47,"14k cc can't get a single LL, not friendly. rating 1"
Sehat Kembaren,5,2024-06-20 17:09:13,Bagus
Simon 141,1,2024-06-20 16:19:34,"Game nya aneh, sering banget maintenance, mana lama bngt maintenance nya, , game kok maintenance seminggu ada 3 sampe 4 kali, perbaiki ya, game sampah, , game kok pay 2 win, , ,, hahahahaha tolol, , semoga perusahaan nya bangkrut, kebakaran, orang²nya meninggal, bosnya di gorok maling, , sama aja kyk judi ni game, wkkwkwkwkwk, , semoga yg punya atau yg nerbitin game ini di gorok dan dimutilasi, aminnnn"
Kaze gaming,5,2024-06-20 16:01:49,Toshi baik buktinya gacha aku hoki
anggio steven,5,2024-06-20 16:00:21,Toshi baik buktinya aku gachanya hoki
Fadri Akhtar,5,2024-06-20 15:56:46,Bagus tapi kalo ada fitur karakter nya bisa ngelawan karakter sendiri itu keren banget
Vandi Eka,5,2024-06-20 14:06:50,game good
Prince Andy,1,2024-06-20 12:56:50,"Tolong system gacha diperbaiki, saya melakukan spin 7 kali dengan total 7000 chrono crystal cuman mendapatkan sparking saja"
