userName,score,at,content
Muhamat imron (Atengg93),5,2024-05-26 16:09:40,bukan kaleng kaleng
Rothi Bakar,5,2024-05-26 12:13:06,Game bagus mohon tabah karakter menggunakan greatsword
Siau Chie,5,2024-05-26 06:48:45,good
Jojo Ernanda,5,2024-05-26 05:33:30,game ny bagus buat yg hobby game pertualangan.gk rugi d download
Mujahidin Satria Wijaya,5,2024-05-24 22:44:19,Tolong beri bahasa Indonesia plis
Sahrul Nurjamil,5,2024-05-24 12:29:39,"Dari semua sudah bagus alur cerita,grapfik. tapi sayang saya sudah punya akun malah gk bisa login gimana nih"
Tedi rustandi,5,2024-05-24 12:08:30,oke lah
Miracle Kaligis,5,2024-05-24 06:12:15,good game
Vincent Sujanto,5,2024-05-24 05:09:08,Nice game! 👍👍👏
ᗅRLγ ᝨႮᝨႮᝨ,5,2024-05-24 02:39:19,Setelah pembaruan kemarin...tombol kontrol arah selalu ngeHeng/stuck ga berfungsi. Tombol² lain normal fungsi. Ada masalah sepertinya neeh..??? Perbaiki lagi boooz
548_Anom Yudi Tri Wibowo,1,2024-05-24 02:02:15,"Ada bug loh pas masuk event dungeon untuk job tempest karena terlalu kuat monster akhirnya di one hit, mau keluar dungeon akhirnya gak bisa terus gimana? Mau keluar dungeon ada embel-embel buka teleport dan akhirnya gak sempat keburu di one hit lg dan tolong di perbaiki"
Arief Rahman,5,2024-05-24 01:09:24,Mantap 👍🏽
Zeline Zakeisha,5,2024-05-23 17:47:20,Pake poco x6 lancar
SU Parto,1,2024-05-22 05:58:43,"Kenapa setiap kali ada Event SURVIVOR'S BANE selalu nge-lag, tolong untuk segera diperbaiki dan diceck kembali untuk setiap path nya sebelum kita rame"" unistal ini game, untuk sementara saya kasih bintang 1 dulu??? Trimakasih"
Goood Game,5,2024-05-21 12:30:22,nice
Muhammad Zaenal,5,2024-05-20 16:20:12,"Untuk optimalisasi, semoga kedepannya menjadi lebih baik agar hp kentang bisa menjajal game p2p ini 👍"
Ank Gemers,5,2024-05-20 15:21:23,Please enter Indonesian in the Diablo immortal game
Aditiyas Ganda p,5,2024-05-20 11:21:14,"Saya sangat kecewa mohon pihak developer perbaiki screen glicthnya karna ini sangat menggangu, padahal saya ingin sekali ingin memainkan game ini"
danil mox,4,2024-05-20 05:01:41,mantabbz
Panji XI Mm2,5,2024-05-19 13:31:36,jeren
Abdi Lazuardi Pratama,5,2024-05-19 05:49:23,surprisingly good and fun
Vincent_Reapeer,5,2024-05-18 15:07:54,Ya semoga Ini game Gak kalah seru sama DIABLO PS 3 .. heheh..🙏
Ivan Aprilian,5,2024-05-18 11:21:35,God game
Dulkipli Rizal,5,2024-05-18 06:32:52,mantap
Bambang T Widayoko,5,2024-05-17 23:31:07,ammazing game. thank for developer. I am so enjoying play
Wayan Pande Agus Ponetra,5,2024-05-17 07:06:14,jos ppp
Nabhan Muhammad,5,2024-05-17 00:51:12,"grafik bagus, karakter banyak, gameplay okelah"
Khal's Activity,4,2024-05-16 17:48:20,"saya baru main lagi, kenapa karakter saya yang sebelumnya hilang?"
Ahmad Maryadi,5,2024-05-16 10:28:17,very nice
ikhsan setiawan,5,2024-05-16 04:52:03,bagus
Yaudah iya,5,2024-05-15 11:42:50,"Ga nyangka bakal sebagus ini,dari segi grafik dan cerita bagus banget"
Naufal Kimmy,5,2024-05-14 19:44:20,bgus
Kemal Jamaludin,5,2024-05-13 16:43:31,this game is awesome
DERYL S,5,2024-05-13 12:07:14,awesome
Andika Saputra,5,2024-05-12 15:22:32,min sediakan bahasa Indonesia donk
Restu Pangluhur,4,2024-05-11 17:12:22,Titip tolong buatkan pilihan untuk tombol arah agar bisa fixed atau mengikuti tap an layar
Baby BTS Army,5,2024-05-11 09:24:39,mantap
Rivan Rizaldi,5,2024-05-11 00:50:39,"setelah menunggu sekian lama, semoga tidak mengecewakan"
5 O,5,2024-05-09 11:56:24,bagus
daisuke jigen,4,2024-05-09 08:05:14,uji coba
Rm aprianto,2,2024-05-09 06:41:11,"Saat main sering ngelag sesaat, apalagi party, tolong diperbaiki"
Muhammad Fadil Muslim,5,2024-05-09 04:19:53,good game
Kevin Susanto,5,2024-05-09 03:44:08,good
Muhamad Iqbal,5,2024-05-09 00:00:29,game yg keren
Ahmad Vareza,5,2024-05-08 16:26:30,"dari segi game sangat bagus dan luar biasa, namun yang disayangkan game sebagus ini ada bug analog sama skill control nya ngebug, dari gabisa dipencet sampe stuck jalan dan attack sendiri, saya harap dari developer sendiri bisa memperhatikan dan memperbaiki nya agar kenyamanan pemain tetap terjaga dan nama baik game dan developer tetap baik dengan konsumen, terimakasih. 🙏"
Nobita Punk,5,2024-05-08 10:19:25,niceee
husni mubarok,1,2024-05-08 06:47:12,Bug analog mulu
Indrajaya,5,2024-05-07 12:35:22,bagus
Dimas Erdiansyah,5,2024-05-06 10:55:08,mantap
Alfa Rsky,5,2024-05-06 03:35:35,great
Sattch,5,2024-05-05 04:31:23,kurangi data
Davarillo,5,2024-05-04 11:24:46,sejauh ini belum ada yang bisa saya keluhkan
Ara Mintarso,5,2024-05-03 23:25:09,ok😀👍🤘
Gande Ristraahhh,5,2024-05-03 11:43:12,bowleh
Muhammad_ Ardianto17,1,2024-05-03 11:22:23,"Wow, it doesn't make sense to buy diamonds, it says 300 diamonds for a price of 79k but why is it 87k after you want to buy it with DANA? The taxes are expensive, even though taxes are also charged for games"
SHハ,5,2024-05-02 06:40:09,nice
Liam S,1,2024-05-02 02:50:37,Ribet banget buat verifikasi akun
pierre styvent,5,2024-05-01 16:38:12,not bad
Kaka Alvarez,5,2024-05-01 16:19:29,gaskeunlah
Nur Mahdi Syah alam RPB,5,2024-05-01 02:59:45,"Arigatouu, gamenya bagus, cuman minta fpsnya lebih dioptimalin aja, kadang lancar kadang kgk, naik turun"
Ahmad Farhan,5,2024-05-01 02:17:04,Good Game
Rasya dwi alfiansyah,5,2024-04-30 23:47:18,"game MMOARPG ter dark keren dan, good story"
kadek gerad,1,2024-04-30 13:41:49,game kh00ntol mau main di persulit buat akun.. emang dhanc00k game korea
Nazirsyah Nazir,5,2024-04-30 10:27:51,"Support joystick 3rd party lagi , mantap, sayang grafis high ny blm support ,cma mentok di medium, tapi stabil 60FPS 3 jam main minim drop fps"
Dapa,4,2024-04-29 10:20:53,Sudah bagus tapi game ini tidak bisa di download latar belakang
Mamas Mugi,4,2024-04-29 07:17:56,"Game bagus, seandainya kamera di buat agak rendah sedikit dan dari belakang ngambil nya biar hero terlihat agak besar pasti lebih keren deh😌😊"
Agivlhon,3,2024-04-29 07:00:44,Buat akun nya susah.... Gagal terus Make acount so difficult...
DeJarwo Jarwo,5,2024-04-29 02:52:25,mantap
Rayes Sky,5,2024-04-28 18:13:06,"klo ada bahasa indonesia, fix game ini sempurna!"
The FX LIGHT,5,2024-04-28 11:57:14,great game
D K,5,2024-04-28 09:16:28,W GAME BWANG
Om Om,5,2024-04-27 22:29:50,enjoy
Paka Tumba,1,2024-04-27 14:57:26,Jangan download. Patah2. Banyak bug. Mana ada ram/rom 12/256 bisa patah2 waktu jalan.
Rifkiehasm,5,2024-04-27 12:56:59,Semoga f2p friendly
Anjar Setioko,5,2024-04-27 07:02:45,top game
