userName,score,at,content
nana 1982,5,2024-08-01 08:32:54,AWas judi online
Arachman Rachman,1,2024-08-01 08:27:15,Asu
Tojang Idris,5,2024-07-27 11:04:46,Bagus
Idas Suwarno,5,2024-07-27 08:11:26,Saya kasih bintang 5 aplikasi sangat baik pertahankan terus jangan kalah dengan terabok yg penuh dengan iklan...
Johanes Satriyo,5,2024-07-27 07:51:12,Terima Kasih Banyak untuk produk yang sangat bermanfaat
ratna kusumawati,1,2024-07-25 04:59:23,"Hati2 file tiba2 hilang, gabisa dipercaya"
Deanne Ander,5,2024-07-20 22:48:07,"keren, sdh lama bgt pake Dropbox, awetnya kebangetan"
Rahmat Jadino,5,2024-07-20 18:02:50,"beri gue bintang 7, puuuuhciiing loch gue nih@#!!$#₩₩₩!!!"
harijadi lagi,5,2024-07-18 14:08:35,Mantap boss!!
ORI ORI,5,2024-07-17 18:02:34,Blm coba mudah2 an mantap
Raffa Aditya,4,2024-07-17 05:06:14,Bagus simpel tapi cuma 2gb tambahin 5gb dongg
erix SW,1,2024-07-12 18:46:50,berbayar dan ribet..layak dihapus
Sponskar,5,2024-07-09 09:09:42,Ga perlu pusing kalo mau transfer video dari laptop ke HP
Min ki Min,5,2024-07-03 00:09:54,Ikinlos
Sabu19 “Sabu19 larang03” Larang03,5,2024-07-02 11:55:22,Ok
desti cer,1,2024-06-25 14:33:26,bisa di downloads tapi loading ny lama
Ferrous Wrougthnaut,3,2024-06-25 11:21:30,"Agak Buruk Saat Mengunggah 1 file Gagal Padahal Sebelumnya tidak seperti itu tolong diperbaiki dan Muncul Notifikasi ""Kegagalan Permanen"""
Aura Respati,1,2024-06-23 06:37:59,"Error dropboxnya, tolong dibenerin bug nya"
Caracal productions,4,2024-06-19 10:19:08,"Ini mah bagus banget sih, kgk perlu mediafire atau yang lain buat download file file, ya walau kadang gabisa download, tapi tetep bagus kok! Sama juga bisa download pack buat bikin animasi,"
Ace Darmawan,5,2024-06-19 09:01:09,Sangat membantu
Putri indah bela Putri indah,5,2024-06-15 16:33:56,Bagus sekali
purwa pegagan,5,2024-06-14 18:09:02,Dropbox drive foto Google play and the rest of the year and the rest of the🇬🇮 rest of the day I was a good time
Fachri Alfi,5,2024-06-14 11:01:58,"Pertahankan aplikasi nya bagus, jangan sampe kaya terabox aku kasih b1 gara2 iklan ga ngotak trus upload video sama ngambil berkas yg lama ga ketemu, pertahankan ya udah baguusssssss"
S Impartial,5,2024-06-12 05:13:48,niceapp
Iskandar Tjipto Nugroho,5,2024-06-09 13:51:24,Penyimpanan clould yg bagus
Aluh Haris,5,2024-06-08 13:58:45,sangat bagus
Hary Bangun,5,2024-06-01 09:18:14,"Bagus sekali sihh, tapi untuk kamu yang mau mindahin file lebih dari 2 Gb mending pake yang lainnya aja ya 😜🤭👌🏻"
Maman fathurohman,5,2024-06-01 06:36:35,Sangat membantu
Slamet Haryanto,5,2024-05-30 02:57:15,good
Deyn Elite,5,2024-05-29 17:42:03,sangat cocok bagi saya
Nirwana,1,2024-05-29 10:45:58,"Gk bisa lihat video kalo offline, harus membutuhkan sinyal kalau mau memutar video. Ini aplikasi mencadangkhan video atau aplikasi video online sih, masa iya lihat video offline aja harus membutuhkan sinyal? Developernya kocaks ini😅"
Ega Rachmawati,5,2024-05-25 14:50:35,Terimakasih
Rio Sapto,5,2024-05-25 03:22:37,ok
DARMA SUYASA,5,2024-05-24 04:04:09,Saya suka dengan aplikasi ini karena dapat mencadangkan file size besar walaupun ada kendala saat meng-ungah nya tetapi ini yang terbaik !!!!
Ayu Tyas,5,2024-05-22 04:55:27,👍
AIM 717,5,2024-05-21 17:59:31,sangat membantu dan mudah d gunakan
Dhidi Coker,5,2024-05-18 17:58:11,gooddd
Maz Iman,1,2024-05-14 17:32:21,"Akun saya tiba-tiba hilang dengan sendirinya, saya tidak dapat masuk menggunakan email dan kata sandi. Saya menyesal karena banyak file penting dalam akun saya, anda telah menonaktifkan akun saya tanpa ada kejelasan."
Erdha Maya Sari,5,2024-05-13 17:25:17,What's your battery What's your birthday Shut up I don't
gundul Mukiyyo,3,2024-05-08 00:58:55,3 sja ya
Dabby courtez,1,2024-05-07 18:35:40,Akun hilang. Kecewa banget
STAF AHLI REPUBLIK INDONESIA,5,2024-05-07 12:41:55,Top
Tsendy Katsuha,1,2024-05-05 04:32:45,Kalo kapasitas nyimpan filenya cm 2gb.. Ngapain mesti donlod apk ini
Pajero 2000,5,2024-05-03 10:52:10,"Bagus,cuma yang perlu ditingkatkan adalah penyinpanan gratis nya,masa cuma 2 GB,kalo 15 GB gapapa lah kalo cuma 2 GB kureng"
Mikhail Deep,5,2024-04-29 02:39:56,bagus👍
Arkaan Janied Ginta,1,2024-04-25 02:33:52,Apaan coba ngasih Penyimpanan Gratis cuma Kecil Banget cuma Sebesar 2 GB doang gak kaya Google Drive sama MEGA
Hamizan Mizan,1,2024-04-23 04:59:21,Apaan sih lihat video offline yang saya simpan aja harus pakai data/wifi. Kalau nggak malah gak bisa. Percuma dong download nih apl. Bisanya nyimpen doang tapi kalo play video harus pakai data/wifi. Sungguh menghabiskan data👎🏼
n n,3,2024-04-18 04:07:16,Paket free cuma 2 GB. Per tgl 18 April 2024
Yuan Sudrajat,5,2024-04-16 03:06:12,Aplikasi yg sangat bermanfaat...tks
Andy Borneo,5,2024-04-10 23:20:27,ok
Bona Moor,5,2024-04-07 18:47:07,Mantul
Teuku Alwi,5,2024-04-06 23:17:00,Sangat bermanfaat
farhanyasmin suryana,4,2024-04-05 07:54:19,Coba gratis kalo bagus ya lanjut
HUNTING27 Vlog,1,2024-04-02 05:03:04,mantap
Muhammad Syahrir,4,2024-03-28 06:51:28,Coba
Zezi Mirza,5,2024-03-27 21:58:44,sangat membantu
Mas Manado,1,2024-03-27 13:09:32,Cuma 2 giga
Arita Sulaiman,2,2024-03-26 22:36:26,Bagus
Supraji Jie,5,2024-03-18 05:59:12,Dropbox good. Apknya enak di gunakan
Joni Wardi,2,2024-03-14 21:56:50,Ribet gak suka aja
Panut Effendi,5,2024-03-13 00:37:40,Bagus
Sol Dir,5,2024-03-12 05:32:10,Sangat Bagus
Bambang Sutrisno,5,2024-03-11 08:50:05,Simple Nice
Blayhole,1,2024-03-07 14:20:17,"Hey,why log out again [automatically],,tolong developer kalau mau masuk lagi jangan login ulang ,,kecuali aku hapus apk nya baru login ulang ,, and lot of bug? ,,I hope the developer reads my message,, Thanks you,,"
onyourm_ima,5,2024-03-02 03:28:26,Sangat Bagus
Dwiadji Indratoto,5,2024-03-01 01:01:49,"1. This software is very good, but when using Skype it cannot share screen, 2. if we share the screen, the person we are talking to cannot see 3. This software also cannot retrieve files by OneNote software 4.please fix it if possible"
Ainur Reza,5,2024-02-25 14:38:36,Ok
Ryan Arief Adhyatma,4,2024-02-23 04:40:11,Terus benahi dan berikan yang terbaik
Alula Alkhalifi,5,2024-02-22 15:19:59,"Saya menyimpan foto kenangan saya di dropbox semenjak 2014, dan sekarang Alhamdulillah masih ada, terimakasih banyak karna sudah menjaga kenangan saya👍🙏"
Fikri Ramdani,5,2024-02-22 11:34:09,Like
Budhi Setianto Purwowiyoto,4,2024-02-21 04:00:18,Oke
Kenzo Maheswara,1,2024-02-20 06:22:39,Saya disuruh dapatkan aplikasi yang baru dan mau saya share tidak bisa saya sudah update dan tidak bisa
Agus Eo,1,2024-02-19 17:31:50,Ujung2nya suruh langganan
Ahmad Firdaus,5,2024-02-12 13:42:44,Perbaiki lagi servernya karena sangat lama walaupun jaringan Bagus terutama untuk Dropbox website. Dan perbagus lagi tampilan cover video nya
Sunrise Moondrop,3,2024-02-09 14:08:22,Good application But why is get bug im need upgrade the dropbox but is still not can
Lalu Sukandi,5,2024-02-03 00:55:03,👍👍👍
sofal khan,5,2024-01-25 15:59:09,bagus
febri ansyah,5,2024-01-25 13:39:23,Bagussss banget apknya aku suka sekali ini bisa nyimpen banyak foto
AVR,3,2024-01-23 14:58:18,aku tidak bisa masuk. SoalrusI can not enter. The problem is that you have to download Dropbox Plus. But expensive. How to skip Dropbox Plus. I can't skip it. This is expensive
firman dadan,4,2024-01-19 12:01:17,good
Royal Song13,3,2024-01-19 09:37:40,Baik
Saima Ima,5,2024-01-19 02:23:27,ok
Hasan Ar-rozie,5,2024-01-17 12:38:21,Istimewa Banget
Oppo,5,2024-01-16 04:13:09,"Bagus aplikasinya, untuk memasang asset untuk game saya"
TAGAKUNGUA,1,2024-01-15 17:16:26,Aku baru mau coba jadi aku kasih bintang 1 dulu ya 😊😊
anung sulistyo,5,2024-01-13 11:41:31,bagus
kangcik Hp,1,2024-01-12 23:26:33,aku pengguna dropbok lebih dari 10thn tapi sekarang mau masuk haris verifikasi nomer. sneh sekarang pdhl email sandi bener ttp ga bisa
kartika hardiyanti,4,2024-01-12 11:42:53,"Pliss inii kalo login ulang kenapa pake kode keamanan ya ? Padahal email & password udah bener. Terus kode keamanan inii yg manaa, dan dapetnya gimana ? Email audah saya refresh trs tapi ga ada masuk kode keamanan sama sekali. Padahal data data saya ada di aplikasi ini😭"
Vivi Novita85,5,2024-01-07 11:53:22,Semoga bagus
posi gnm,5,2024-01-07 00:02:16,Nenek ku
Musliadi Ady,3,2024-01-04 21:33:00,няма проблем хаха
Varel Varel,1,2024-01-03 11:47:23,Tidak bisa download file
Muhammad Rizky,4,2023-12-30 00:05:58,Penyimpanan dikit ☠️
Omar Malik,5,2023-12-27 03:28:00,Is aplikasi so cool😎
Resdi D Mandana,5,2023-12-25 21:21:20,Bagus sih aman dan simpel good lah👍
TAUFIQ.K 4209 (Melon),1,2023-12-20 17:24:38,Berbayar. Cuk
teguh Siswanto,4,2023-12-20 06:50:10,top
