userName,score,at,content
Nandar Chikal 82,4,2024-06-09 18:09:46,Bagus
Ngatenang Bae,3,2024-06-09 13:43:26,Susah hapus akun yang gak di pakai lagi
imam Safi'i,1,2024-06-07 19:20:20,Cuma gara gara nomor yang lama hilang saya jadi tidak bisa login Apa tidak ada opsi lainnya biar saya bisa menggunakan akun Facebook saya lagi
Mohsoleh Mangoleh,4,2024-06-05 05:37:09,Terima kasih sahabat ku
ris ya,5,2024-06-02 09:38:41,Bagus
sabrina ramadina,5,2024-06-01 06:47:18,Di facebok ini tu enak banget bisa belanja dan ada video juga
rian anton,5,2024-05-31 17:16:00,Amu suka
waidi yanto,5,2024-05-31 08:42:19,VERY GOOD
Riana Riana sitohang,5,2024-05-31 07:03:03,Bgus
Anri Andri,5,2024-05-31 03:41:19,bagus baget
Mul Yana,5,2024-05-30 17:04:14,GK sufot Facebook profesional agak kecewa sih saya kasih bintang 5
Daud Emmed,5,2024-05-30 16:12:38,Saya suka Facebook
Jeklin Nere,5,2024-05-30 12:59:01,Ini sangat keren
Asep Tea,5,2024-05-30 11:55:40,Apl keren
Acing 70,5,2024-05-30 09:57:11,👍👍
Daffa Nugraha,5,2024-05-30 09:22:44,ok
Ritista Rintotina,5,2024-05-30 08:01:57,Sangat bagus
Syamsuri Syam,5,2024-05-30 07:24:17,Saya sangat menyukai Facebook Lite ini bagus sekali untuk mencari teman
ka toha ka toha,5,2024-05-30 06:11:30,ka toha 123
Pex Mamonto,5,2024-05-30 06:02:58,Mntap apk'nya😚
Riyan Putra,5,2024-05-30 05:39:16,Lelet
Vania Rosita dewi,5,2024-05-30 05:31:10,Aplikasi ny baik
Bagus chanduraq Cahnduraq,5,2024-05-30 05:12:47,sangat bagus
Ester Manismaningrum,5,2024-05-30 04:13:47,Terima kasih dan sangat populer aplikasinya.....bintang 5 sempurna
DiLla 027,5,2024-05-29 20:51:13,the best banget novel ini
Lisa Eka Putri,5,2024-05-29 14:52:49,Mantap
Anwra Chairil,5,2024-05-29 14:05:21,bagus😎👍
Abah Engkos,5,2024-05-29 12:58:27,Mantap
Nur Titen,5,2024-05-29 10:46:46,Tooop
Maksudi Subang,5,2024-05-29 09:30:41,Mintafacebok
Targana Sihombing,5,2024-05-29 09:17:13,Oke
Ikman S,5,2024-05-29 03:52:40,Bagus dan sangat di rekomendasikan
Gina Aulia,5,2024-05-28 13:27:28,Sukaaaa bangettt
kakbams 87,5,2024-05-28 12:56:19,good
Leonradit Radit,5,2024-05-28 12:26:42,Mantap
umar Makruf,5,2024-05-28 02:50:14,Sangat membantu
Sunanto Idm,5,2024-05-27 16:51:07,gass poll
Boys Dontcry,1,2024-05-27 16:41:48,Babi kirim inbox gak masuk2 ke orang..
Rsahal Sahal,5,2024-05-27 16:40:05,bagus
Hasnanda Nanda,5,2024-05-27 16:37:21,sngt baik
Maikel Yakadewa,5,2024-05-27 16:29:36,Senang
Halu Dulu,5,2024-05-27 16:28:52,Ok
Amil Budiman,5,2024-05-27 16:15:08,Sangat lamam
Anita Astuti,1,2024-05-27 16:10:58,"fb paling tidak jelas, bukak akun loading lama, tiap minggu update bukan malah kulitas bagus malah makin buruk kinerja, buat konten original diklaim hak cipta, sedangkan akun akun seliweran bugil, promosi judi tidak ditindak tegas"
Irpan Jaenudin,5,2024-05-27 16:09:05,Baik
Uti Yuti,5,2024-05-27 16:01:19,teerbaiiikk
Rudi Rudi,5,2024-05-27 15:59:03,iye
Pati Selo,5,2024-05-27 15:58:33,Hi Pi
cut aja,1,2024-05-27 15:44:27,Super buruk
Sutekno Sutekno,5,2024-05-27 15:44:18,Dengan adanya fb banyak manfaat darinya Thanks
Dirli Mokoginyta,5,2024-05-27 15:41:48,Terima kasih jadi iPhone
Yudi Pakis,1,2024-05-27 15:37:23,Setelah di perbaharui kok jelek jadi lemot..
Saint Go,5,2024-05-27 15:25:31,Daffa Pitra
iwanz no fals,1,2024-05-27 15:24:47,"Update"" mulu ni aplikasi"
Nikita Rachella,5,2024-05-27 15:20:08,kapan lagi awak kaya gini lagi 🥺😭
Ridwan Herdiansyah,2,2024-05-27 15:17:48,Kenapa di hp sy jika nonton video di fb lite tidak bisa full screen yaa
Sang Pangeran,4,2024-05-27 15:07:39,good
Muhamad Riyan,1,2024-05-27 15:07:05,AKun gua kena hack. Facebook ga membantu
Viki Palenza,5,2024-05-27 14:59:01,bagus sekali
Bambang Edi Purnomo,5,2024-05-27 14:56:01,mantap
Fatikhin Fatt,1,2024-05-27 14:53:13,Abis diupdat malah GK bisa buka pesan
Jhon Wick1,5,2024-05-27 14:52:41,menjadi amal ibadah yng tak Ter duga ... contoh bwt kita smw !!!!
Theo Derus,5,2024-05-27 14:52:04,sangat bagus
Solihin Lihin,4,2024-05-27 14:46:22,Susan tethubung
Ani Rohaeni,1,2024-05-27 14:44:22,Lemooot
Akbar Tea,5,2024-05-27 14:42:33,baik bnget
Asu We Tak,5,2024-05-27 14:40:20,Sangat bagus
Ramli Tambunan,5,2024-05-27 14:40:15,Mohon Bantuannya menginstal Aplikasi Face book .
Any Any,1,2024-05-27 14:39:48,"Dikit ""bermasalah"
Sandi Alfiansyah,5,2024-05-27 14:39:47,Apakah itu benar uang nya klo udh di klik love langsung di TRANSFER?
Dila Setiyowati,5,2024-05-27 14:38:24,mudah mudahan amanah
Asep Sahrul,5,2024-05-27 14:33:21,Mntap
Cucu Wati,5,2024-05-27 14:27:19,Fesnuk
Putra Muara,5,2024-05-27 14:27:00,👍👍
roto,5,2024-05-27 14:23:07,Sangat bagus
Jin Amerika,5,2024-05-27 14:22:32,cukup bagus. kalau bisa saat unduh video bisa tersimpan di memori telepon.
Akbar Faris,5,2024-05-27 14:21:02,Sangat puas
Rohmat Rohim,5,2024-05-27 14:16:38,informasi yg bagus
Yulia Citra,5,2024-05-27 14:14:36,Sangat keren
Boy Horor,5,2024-05-27 14:14:19,Ess
Vita pontius Tinungki,5,2024-05-27 14:08:49,sangat bagus
Aldi Kasep,1,2024-05-27 13:57:46,Kacau akun aku ga bisa dipake padahal sudah verifikasi sandi tetap aja ga bisa
Suroto Yaa,5,2024-05-27 13:57:25,rapi
Yuni Fiki,5,2024-05-27 13:57:20,Sangat baik
Ravael Aditya Pramana,5,2024-05-27 13:53:14,love
Irfan Jambu,5,2024-05-27 13:52:13,lumayan bagus
Ayyip Yeeehhh,1,2024-05-27 13:39:16,ya bagus
Winda Yanti,5,2024-05-27 13:36:09,Terimakasih Facebook lite
Haeril Anwar,5,2024-05-27 13:35:15,Bagus
Hendrik Mairuhu,5,2024-05-27 13:28:46,sangat bagus
Ilham Darussalam,5,2024-05-27 13:24:58,manteppp
Save Gunta,5,2024-05-27 13:24:03,Sangat puas
Lita April,5,2024-05-27 13:23:43,semoga bnyak rezeki
Jaelani Ibnu,3,2024-05-27 13:15:21,mantap.dgn.lgu.pk.hji.roma Iran's.
Daun Garing,5,2024-05-27 13:14:38,"Cukup bagus,,, Semoga bermanfaat"
