userName,score,at,content
Abet Mote,5,2024-04-27 14:34:12,ok
suff,1,2024-04-27 14:33:33,"sering terjadi masalah,baik saat menonton vidio/reels."
Rafki Ronaldi,1,2024-04-27 14:26:16,Akun ku kena hek sama orang sulawisi gara feksbuk
Tati Zega,5,2024-04-27 14:24:23,sangat Bagusss
Lucy Jonthan,5,2024-04-27 14:22:47,semoga tidak di hek orang lgi akun ku ini
Fono Tamara,5,2024-04-27 14:21:59,picture di yangwrt6
Owen Mikael,1,2024-04-27 14:20:48,akun ke sesi lama banget woi kena bug fixin lahh fesbuk ud nunggu 2 minggu lebih gw ke sesi betulin kek bugnya gaje bet
Samsul Bahri,5,2024-04-27 14:20:37,oke
M.hanafi Kk,5,2024-04-27 14:16:41,Apli kasi sangat luar biasa selain kita bisa memperluas pertemanan kita juga bisa minyimpan semua momen kita disini
Firanda,5,2024-04-27 14:16:00,baik
Deni Mardinata,5,2024-04-27 14:15:27,Good
Hokky Irwansyah31,5,2024-04-27 14:14:52,Baik
Yusup Wiwi97,5,2024-04-27 14:12:41,sangat bagus
Muhammad Nauval Akbar,1,2024-04-27 14:10:43,saya android 10 dan kalo masuk restart restart sendiri kala carl care masalahnya ada di app nya sedangkan dipakai untuk app lainya biasa saja terjadi juga di Instagram
Dila Padila,5,2024-04-27 14:10:17,Sangat memuaskan
EKA WATI,5,2024-04-27 14:10:04,Bisa menjalani silahturahmi dari jarak jauh
Ibenk Ganteng,5,2024-04-27 14:08:42,mantap
Deriel 93,1,2024-04-27 14:08:38,Fitur live tdk lengkap dan prangkap tdk bsa di miringkan
Tri Purbo Hapsoro,5,2024-04-27 14:08:35,"Fecebook yg baik, bisa mnmbah bnyk kalangan, dan br agi informasi serta menghasilkan..."
NGUDI ANTO,5,2024-04-27 14:05:30,bagus apknya mantul jadi banyak temen setelah aku pakai apk ini sip pokoknya.
andikaww wahyuwahiddin,5,2024-04-27 14:04:40,good
Sabariah sari Ayu,1,2024-04-27 14:01:09,Sangat jelek
Bedah Zubaedah,5,2024-04-27 14:00:01,suka❤
adie gazebo628,5,2024-04-27 13:59:54,mntap 👍
mita nataliya,3,2024-04-27 13:58:14,Sangat bagus
Ifen Natonis,5,2024-04-27 13:55:08,Setiap langkah kecilku adalah langkah menuju keberhasilan😇
Husin Waly,5,2024-04-27 13:54:14,bagus
Asyifa Nurkhotimah,5,2024-04-27 13:53:34,bagus
Danil Prayoga,5,2024-04-27 13:52:35,Tok nk berak tok
seputar anak rantau,5,2024-04-27 13:52:33,"Ok,👌🙏"
bot Masadepan,5,2024-04-27 13:52:00,Ɛpppp
supriadi Supriadi,2,2024-04-27 13:46:12,Saya kecewa bngett sama update FB kali ini... Masa Iyah saya mau beralih akun ngk bisa.... Muak saya liat FB semakin lama semakin Banyak Bag
Hurul Aini,5,2024-04-27 13:45:28,semakin terdepan
Ganang Galih,1,2024-04-27 13:43:42,"Pas mau liat video, pasti di suruh beli kuota, pdhal kuota msih banyak. Ganggu banget ajg"
aqsa Syalwa,5,2024-04-27 13:42:55,mantup
Kadek Putra,5,2024-04-27 13:42:29,bagus pesan ku di tahun 2056
Sadrak Masaubat,5,2024-04-27 13:42:22,Bagus
Sukses Selalu,5,2024-04-27 13:42:15,Apik
Santoso88 Santoso,5,2024-04-27 13:42:01,semakin banyak seperti ini pemilik perkebunan... semoga slalu berkah....🤲🤲🤲🤲
Yogaao Peding,1,2024-04-27 13:39:55,Facebook ini kayak tiap bulan update
abg tua,5,2024-04-27 13:37:35,klo bisa masih ada video jgn d ganti reall
