userName,score,at,content
Pengguna Google,5,2024-08-03 05:25:24,agar dpt menyimpannya
Pengguna Google,5,2024-08-03 03:55:00,Jempol
Pengguna Google,1,2024-08-03 03:43:48,sangat mengganggu tidak bisa membuka file data tolol
Pengguna Google,5,2024-08-03 02:28:01,Sangat membantu...
Pengguna Google,5,2024-08-03 01:00:20,Mantap
Pengguna Google,5,2024-08-02 22:05:09,Ok
Pengguna Google,5,2024-08-02 21:34:39,Mantap simpel kereeeeen APL ini ❤️❤️❤️❤️❤️👍👍👍👍👍
Pengguna Google,4,2024-08-02 19:23:52,Bagus
Pengguna Google,5,2024-08-02 18:58:49,Sangat membantu 👍👍👍
Pengguna Google,5,2024-08-02 16:45:24,Ok
Pengguna Google,4,2024-08-02 16:13:57,Mantap
Pengguna Google,5,2024-08-02 15:26:17,Aku ingin mencobanya
Pengguna Google,1,2024-08-02 15:25:00,Baik Terimakasih atas informasinya salam semua
Pengguna Google,5,2024-08-02 14:52:51,👍
Pengguna Google,5,2024-08-02 14:32:15,Bagus sekali
Pengguna Google,1,2024-08-02 14:26:47,Fokus
Pengguna Google,5,2024-08-02 13:45:32,Baguss
Pengguna Google,5,2024-08-02 12:40:18,Good
Pengguna Google,5,2024-08-02 12:11:28,Mantapp
Pengguna Google,5,2024-08-02 12:02:06,👍
Pengguna Google,5,2024-08-02 11:35:15,Good
Pengguna Google,4,2024-08-02 10:34:53,Of is the best for fileby google
Pengguna Google,5,2024-08-02 09:47:51,Sepertinya sih sudah oke
Pengguna Google,3,2024-08-02 08:55:39,Kurang saat pembaruan
Pengguna Google,5,2024-08-02 08:50:26,Oke
Pengguna Google,5,2024-08-02 07:20:54,Bagus untuk membantu penyimpanan
Pengguna Google,5,2024-08-02 06:35:57,Lumyan bgus
Pengguna Google,5,2024-08-02 06:02:38,Mantap
Pengguna Google,5,2024-08-02 05:23:39,Bagus
Pengguna Google,1,2024-08-02 05:02:42,Loading nya lama bangettt!!!😡
Pengguna Google,5,2024-08-02 04:55:26,👍
Pengguna Google,2,2024-08-02 04:39:23,ga bisa nge hapus semu file sampah yg bikin full memori 😑
Pengguna Google,5,2024-08-02 04:21:07,Good application
Pengguna Google,5,2024-08-02 02:54:04,bagaimana cara menerima quick share? atau menyambungkan antar perangkat quick share? kurang jelas.
Pengguna Google,5,2024-08-02 01:59:25,Ok
Pengguna Google,5,2024-08-02 00:23:07,Mantap....
Pengguna Google,5,2024-08-01 23:20:00,ia good
Pengguna Google,5,2024-08-01 20:30:56,Sangat bagus
Pengguna Google,5,2024-08-01 20:11:17,Indonesia merdeka.
Pengguna Google,5,2024-08-01 19:14:04,Yup
Pengguna Google,5,2024-08-01 19:11:37,Oky dan oky👍
Pengguna Google,4,2024-08-01 15:39:01,Saya suka dengan fiturnya
Pengguna Google,5,2024-08-01 14:34:52,Bermanfaat
Pengguna Google,5,2024-08-01 14:14:46,Good job bekerja dengan baik
Pengguna Google,1,2024-08-01 11:46:57,Babi
Pengguna Google,4,2024-08-01 08:44:31,"mungkin pengguna bisa mau apa adanya jika sd1 sd2 dir-txtnya juga diberikan/terkirim setelah android file final/finished tampil di semua android dengan attr/atribut longgar sebagai sosial manfaat konsumen memiliki hardware. toh bahasa c not same n a instal eklipsisso working not properly.. aplikasi baik. hanya pernah instal dan muncul lagi, bagian dari perlindungan data, basis/ekosistem"
Pengguna Google,5,2024-08-01 08:20:55,Pugo yeimo
Pengguna Google,5,2024-08-01 08:19:27,Awaszz judi online
Pengguna Google,5,2024-08-01 07:11:33,Helpful!
Pengguna Google,5,2024-08-01 06:52:33,Aku
Pengguna Google,1,2024-08-01 04:15:28,Ok
Pengguna Google,5,2024-08-01 02:48:41,Sangat bagus
Pengguna Google,4,2024-07-31 19:54:06,Aplikasi penyimpan yg bagus
Pengguna Google,5,2024-07-31 19:52:21,Suka
Pengguna Google,5,2024-07-31 18:08:13,Ok
Pengguna Google,5,2024-07-31 14:27:55,Ok
Pengguna Google,5,2024-07-31 10:07:40,Ok
Pengguna Google,5,2024-07-31 06:05:45,ok cukup membantu
Pengguna Google,5,2024-07-31 05:42:34,"Terimakasih,,,♥️♥️♥️"
Pengguna Google,5,2024-07-31 05:33:48,Ok
Pengguna Google,5,2024-07-31 05:20:14,oke
Pengguna Google,5,2024-07-31 03:24:08,Bgue
Pengguna Google,5,2024-07-31 03:02:08,Ok
Pengguna Google,5,2024-07-31 02:00:15,Oke
Pengguna Google,5,2024-07-30 20:26:30,Goot
Pengguna Google,5,2024-07-30 20:10:16,Aplikasi apik👍👍👍
Pengguna Google,5,2024-07-30 18:40:25,Apk nya bagus. Tapi kalok saya masuk itu langsung pindah ke pengaturan. Tolong min gimana sarannya.
Pengguna Google,5,2024-07-30 17:12:54,Semoga aplikasinya bermanpaat
Pengguna Google,5,2024-07-30 16:44:50,Simple
Pengguna Google,4,2024-07-30 15:20:44,Lumayan bagus
Pengguna Google,1,2024-07-30 14:37:41,Aneh setiap mau bersihin data selalu keluar apk sendiri
Pengguna Google,1,2024-07-30 14:34:09,"Semangkin di update semngkin like,file yg mau di hapus pun tak bisa di hapus"
Pengguna Google,5,2024-07-30 14:22:50,wah murah banget
Pengguna Google,5,2024-07-30 14:20:22,Baik
Pengguna Google,5,2024-07-30 12:39:57,Ok banget
Pengguna Google,5,2024-07-30 11:26:21,Ok
Pengguna Google,5,2024-07-30 11:11:50,Terimakasi
Pengguna Google,5,2024-07-30 09:43:57,sriyanto
Pengguna Google,4,2024-07-30 09:29:04,Ok
Pengguna Google,5,2024-07-30 04:07:55,Oke
Pengguna Google,5,2024-07-30 03:52:58,Sangat membantu sekali
Pengguna Google,5,2024-07-30 01:30:52,Semogga lebih baik
Pengguna Google,5,2024-07-30 00:33:44,bagus
Pengguna Google,5,2024-07-29 23:48:11,"Secara keseluruhan udah bagus, tampilan simpel dan proses pindah, salin, ekstrak, dll. lumayan cepet juga ada fitur fitur yang bermanfaat. Saran untuk fitur “Folder Aman” agar lebih ditingkatkan lagi keamanannya, biar kita tenang kalo mau nyimpen dokumen dokumen penting."
Pengguna Google,5,2024-07-29 23:09:37,Well
Pengguna Google,4,2024-07-29 23:01:04,Puas
Pengguna Google,5,2024-07-29 22:28:31,👍
Pengguna Google,5,2024-07-29 20:29:06,Mantap
Pengguna Google,5,2024-07-29 19:38:09,trbaik
Pengguna Google,4,2024-07-29 18:53:22,Coba dulu
Pengguna Google,5,2024-07-29 18:36:08,Baik
Pengguna Google,5,2024-07-29 17:49:49,Membantu
Pengguna Google,5,2024-07-29 17:43:25,👍
Pengguna Google,4,2024-07-29 16:21:56,Lumayan tpi dlu msh ad fitur hapus permanen atau ngganya tpi skrg kok gdk y min?
Pengguna Google,5,2024-07-29 15:04:58,Good 👍
Pengguna Google,4,2024-07-29 14:48:01,Bagus
Pengguna Google,1,2024-07-29 13:53:08,Kenapa setiap memindahkan file selalu erorr
Pengguna Google,5,2024-07-29 13:50:51,Saya tidk punya ulasn
Pengguna Google,5,2024-07-29 13:44:16,Bagus
Pengguna Google,5,2024-07-29 13:36:05,"Aplikasi yg sangat bagus bisa menampilkan semua aplikasi,bahkan yg tidak muncul di layar sekalipun.Saya berhasil menghapus aplikasi yg mengirimkan iklan terus menerus.Thanks to file by google"
Pengguna Google,5,2024-07-29 11:46:38,No saya
Pengguna Google,2,2024-07-29 11:21:45,baru simpan file sedikit masak udah penuh aja
Pengguna Google,5,2024-07-29 09:47:48,Joossss
Pengguna Google,5,2024-07-29 06:12:37,Mantappp
Pengguna Google,4,2024-07-29 05:20:36,.dowerন
Pengguna Google,5,2024-07-29 05:19:29,Bagus mantpp
Pengguna Google,5,2024-07-29 04:53:11,File hanya di 10 TB kalian mengembangkan ram.
Pengguna Google,5,2024-07-29 04:51:36,cdcard.txt.txt
Pengguna Google,1,2024-07-29 04:07:26,"Apk eror ga bisa pindah file, file yang didownload ga bisa dipindah gimana tuh?"
Pengguna Google,5,2024-07-29 03:36:21,Bagus
Pengguna Google,5,2024-07-29 03:33:47,Bagus
Pengguna Google,5,2024-07-29 02:59:14,Sangat menyenangkan
Pengguna Google,2,2024-07-28 23:51:31,untuk aplikasi kenapa tidak bisa di pindahkan ke memory sd card
Pengguna Google,5,2024-07-28 21:51:38,mantap
Pengguna Google,5,2024-07-28 21:41:44,Ok
Pengguna Google,5,2024-07-28 18:20:58,Nice
Pengguna Google,4,2024-07-28 15:57:10,Lumayan sedikit membantu
Pengguna Google,5,2024-07-28 14:54:22,Terimkasih atas kemudahanya dalam menggunakan fungsi aplikasi tsb
Pengguna Google,5,2024-07-28 14:41:27,Aplikasi ini yang sangat saya rekomendasikan untuk mendapatkan hasil yang sangat besar
Pengguna Google,5,2024-07-28 14:26:00,"Lebih disempurnakan lagi aplikasinya,biar lebih bagus lagi..!!!???"
Pengguna Google,5,2024-07-28 12:12:47,Adanya folder aman bisa aman dari segala orang yang mencurigakan. Bagus dan tidak buruk
Pengguna Google,1,2024-07-28 10:29:41,Ga bisa buka file data apk Tolong perbaiki
Pengguna Google,5,2024-07-28 08:57:16,Sangat membantu saya untuk membuang sampah
Pengguna Google,5,2024-07-28 08:25:08,ok
Pengguna Google,5,2024-07-28 05:53:47,Terimakasih atas kerjasama Dengan seluruh ruangan untuk saya
Pengguna Google,5,2024-07-28 05:00:27,ex ini in
Pengguna Google,5,2024-07-28 02:37:44,Ok mantab👍👍👍
Pengguna Google,5,2024-07-28 01:14:39,Mantap
Pengguna Google,5,2024-07-27 23:01:25,Wow aplikasi nya bagus aku kasih bintang ⭐ 6
Pengguna Google,5,2024-07-27 21:29:12,ᴀɴᴀɴᴅᴀʙᴀɪᴍᴀsᴍɪʀᴀɴsᴀʙʀᴀɴғ 🤲🏽 MANYALA Files by Google 🔥 MANTAP🙏
Pengguna Google,5,2024-07-27 21:23:47,Suka banget
Pengguna Google,5,2024-07-27 20:32:52,Ok!!
Pengguna Google,1,2024-07-27 17:12:03,Bgs baru tmbah
Pengguna Google,5,2024-07-27 16:00:16,top markotop
Pengguna Google,5,2024-07-27 15:25:28,Good
Pengguna Google,5,2024-07-27 14:35:28,Sukses lah
Pengguna Google,1,2024-07-27 13:53:01,"Aplikasinya jelek, aku mau ngehapus file"" yg ga guna kok gabisa si? Tolong di perbaiki"
Pengguna Google,5,2024-07-27 13:00:47,🌟🌟🌟🌟🌟🌟
Pengguna Google,5,2024-07-27 12:53:50,Super bgs !!
Pengguna Google,5,2024-07-27 11:52:01,Bagus
Pengguna Google,5,2024-07-27 11:24:28,"Apk nya bagus, kita bisa melihat sisa memori kita"
Pengguna Google,5,2024-07-27 11:09:50,Sagat keren dan sangat bagusy
Pengguna Google,5,2024-07-27 10:46:03,Nggoood 'gan___________👍
Pengguna Google,4,2024-07-27 10:31:13,Jos
Pengguna Google,4,2024-07-27 06:12:59,Luar biasa keren
Pengguna Google,5,2024-07-27 04:17:44,Iya
Pengguna Google,5,2024-07-27 03:48:53,😍
Pengguna Google,4,2024-07-27 03:19:11,Hebat .. Josss
Pengguna Google,5,2024-07-27 02:37:53,Mantap
Pengguna Google,5,2024-07-26 23:57:19,Sangat cocok
Pengguna Google,5,2024-07-26 21:26:58,Ok
Pengguna Google,5,2024-07-26 21:07:55,Mantap
Pengguna Google,4,2024-07-26 19:57:20,4 saja
Pengguna Google,4,2024-07-26 17:11:41,Terbaik
Pengguna Google,5,2024-07-26 16:29:23,Ejj
Pengguna Google,5,2024-07-26 14:58:38,Good ApLikasi
Pengguna Google,5,2024-07-26 14:48:33,Siip
Pengguna Google,2,2024-07-26 14:40:47,Coba dulu
Pengguna Google,5,2024-07-26 13:41:33,Kren mangap
Pengguna Google,5,2024-07-26 13:00:18,Aplikasi sangat membantu dan berguna terima kasih pembuatan aplikasi ini😊
Pengguna Google,5,2024-07-26 11:42:43,Purbalingga Jawa Tengah Indonesia
Pengguna Google,5,2024-07-26 08:02:41,Bagus
Pengguna Google,5,2024-07-26 07:23:39,Bagus
Pengguna Google,4,2024-07-26 07:09:34,⭐ Semakin bagus...
Pengguna Google,5,2024-07-26 06:42:21,God is the best
Pengguna Google,5,2024-07-26 05:03:56,sngatt bagusss
Pengguna Google,5,2024-07-26 04:00:52,Good..! 👍
Pengguna Google,5,2024-07-26 03:52:57,nice apk
Pengguna Google,5,2024-07-26 03:52:05,Apkny bgs
Pengguna Google,5,2024-07-26 02:35:12,Mantap
Pengguna Google,5,2024-07-26 02:25:01,bagus
Pengguna Google,5,2024-07-26 00:52:13,Siip
Pengguna Google,4,2024-07-26 00:06:44,okeyy
Pengguna Google,5,2024-07-25 23:47:09,Saya suka
Pengguna Google,1,2024-07-25 19:31:10,Alhamdulillah
Pengguna Google,5,2024-07-25 18:45:30,Mantap habis sampah dan memori yg terpakai
Pengguna Google,5,2024-07-25 16:24:13,Good
Pengguna Google,5,2024-07-25 16:08:17,sangat membantu
Pengguna Google,3,2024-07-25 14:31:52,Jos
Pengguna Google,5,2024-07-25 13:02:13,Ok google
Pengguna Google,5,2024-07-25 12:46:53,👍
Pengguna Google,1,2024-07-25 12:18:56,tidak ada apapun di folder Android
Pengguna Google,5,2024-07-25 11:57:30,Good... 👌👍 Mantaapp..!!!
Pengguna Google,5,2024-07-25 11:45:35,Good
Pengguna Google,4,2024-07-25 11:32:21,Ok
Pengguna Google,5,2024-07-25 11:31:36,Kerenn pokok nya😎
Pengguna Google,5,2024-07-25 11:25:21,Bagus fikturnya dan cepat
Pengguna Google,5,2024-07-25 09:17:58,Makasih semua nya selalu di permudah
Pengguna Google,5,2024-07-25 09:13:52,Gk bisa bilng
Pengguna Google,5,2024-07-25 08:07:20,Bagus
Pengguna Google,4,2024-07-25 05:19:19,Saya suka aplikasi cepat untuk pindah data nya
Pengguna Google,1,2024-07-25 04:10:02,"Loading terus kalo buka file apapun, ga jelas"
Pengguna Google,5,2024-07-25 03:53:24,Boleh lah
