userName,score,at,content
tomi ardhiani,5,2024-06-29 01:47:04,good
Seto Wibowo,2,2024-06-29 00:48:57,"Untuk browsing lancar, tapi saat download file tidak terlihat progresnya dibagian tab download jadi klo download file² besar bingung ini masih progres atau terhenti karena gak muncul (bagaimana bisa tau) dan kalau di repair download malah terjadi double download hingga akhirnya menguras kuota yg gak perlu"
Alfredo Soares,5,2024-06-28 23:34:42,Auto Liker
Afifa Marwah,1,2024-06-28 15:52:09,"Gbs didownload , pdhl memo juga msh lumayan penuh"
Yan,5,2024-06-28 15:36:03,bagus
Hermawan Minuhu,1,2024-06-28 11:48:11,apl mantappp
Beni Setya,5,2024-06-28 07:21:29,Aplikasi bagus dan cepat tapi jika jaringan tidak ada indahnya tidak bisa di kembali lagi jadi harus ngulang
Emil Ganteng,4,2024-06-28 03:45:24,Good Browser
Adiyasa,1,2024-06-28 03:22:39,Make lite version
Marsum Marsum,5,2024-06-27 10:49:36,bagus 👍👍👍
Rany Nasution,5,2024-06-27 07:41:37,bagus saya sukak
Yasinta Putri,5,2024-06-27 06:19:18,tidak pernah mengecewakan
Sisi Bayu,2,2024-06-26 19:11:27,bermanfaat sekali
Lucky Prastya,5,2024-06-26 14:05:28,mantull
Suanto Pphn,5,2024-06-26 13:08:54,Mantap👍
He Ri,5,2024-06-26 12:18:34,the best browser👍👍
Marthen,5,2024-06-26 12:07:38,Ok
Dyca ShKera,5,2024-06-26 11:12:06,baik
Yantii 2001,3,2024-06-26 05:16:22,Ini bagus sekali DEPSKRIPSI:aplikasi ini bagus karena bisa dicerna -no lag-
Steven T,5,2024-06-25 23:01:51,baik sekali
Asep Hamdani,5,2024-06-25 04:57:03,Bagus
Anesta Nesta,5,2024-06-24 22:20:29,Situsmanual
Laguntur Laguntur,5,2024-06-24 15:46:54,Sangat membantu
Makmur Ovia,5,2024-06-24 12:56:46,oke banget
Ses Nesia,1,2024-06-24 09:29:04,Baru dibuka langsung force close ga bisa sinkronisasi jadi ilang semua.
Alkhalifi Dz,5,2024-06-24 04:21:45,mantap
Syte 2you,5,2024-06-24 01:53:18,Cocok nonton pekob
Asbak Bobok,5,2024-06-23 08:28:18,sangat baik
Boy Sianturi26,5,2024-06-23 07:21:50,Katanya bagus saya coba dulu ya kalau bagus seterusnya saya pake
Annisa Yasmin,5,2024-06-23 06:54:18,good
Hendi Note13,5,2024-06-23 05:25:55,goog
HUJAN KIPAS,5,2024-06-23 04:14:54,😋🥲
Rurung Andriasari,5,2024-06-23 02:20:29,bagus
Januari Brutu,5,2024-06-23 01:53:37,lumayan
Sida Butar,5,2024-06-23 01:10:21,bagus
Anton Sijaro Simin,5,2024-06-23 00:40:08,Luar biasa...
Andy BUNGKY,1,2024-06-22 16:49:45,lelet banget
Sigit Ariyanto,5,2024-06-22 16:27:04,Top
RahmatBTonda Matt,1,2024-06-22 16:20:39,terpaksa kasih 1 bintang
Mas Boy,4,2024-06-22 15:24:22,mantul
mochamad Riduwan,1,2024-06-22 05:52:08,lumayan
ADE Seting,5,2024-06-22 03:13:45,cepat dan mudah
AHS,4,2024-06-21 21:34:54,*trying*
Umbu Mato,5,2024-06-21 16:09:19,maantaaap
Cruncy Neal,1,2024-06-20 19:20:55,Payah update bikin jaringan lemot semua
Aris Ta,5,2024-06-20 15:01:12,terbaik
Jon Duka,5,2024-06-20 13:26:06,Tes ya 👍💖☺
Zaenal Mutaqin,5,2024-06-20 03:38:39,baik
manjul Pinoh,5,2024-06-19 20:19:15,Ok
Galuh Raja,5,2024-06-19 16:05:24,baik
Ismail Mail,5,2024-06-19 15:58:13,baik dan bagus
Abang Merah,5,2024-06-19 14:09:18,Good
Nurjani tuna peak,5,2024-06-19 14:08:51,baru coba
Reddat Unix,4,2024-06-19 03:27:15,good joob
Muhammad wildan Viery arisandi,1,2024-06-18 19:54:44,"Kenapa firefox saya tidak bisa di buka, setiap di buka langsung force close dan ada report ""maaf, firefox mengalami masalah dan mogok""?"
Abdullah,5,2024-06-18 15:12:22,Setidaknya firefox tidak menggunakan chromium
Anang Santi,5,2024-06-18 14:39:35,Ok
Zurni Hudri Zurni,5,2024-06-18 10:29:07,mantap
Agung Wicaksono,5,2024-06-18 08:28:26,mntab skli ini apk
aswan syarief,5,2024-06-18 07:16:01,good job
Bela Salsabila,5,2024-06-17 21:07:20,full bintang
Eko Suroto,5,2024-06-17 16:05:32,jos
