userName,score,at,content
May Panjaitan,5,2024-05-30 11:01:06,gercep.. terimakasih
anisa sofiya,5,2024-05-30 00:58:25,kopinya enakk tempatnya buat wfc juga Rec bgttt. buat sekedar nongkrong juga bisaa
Cita Purnamasari,5,2024-05-29 09:58:36,good
Azis Muslim,4,2024-05-28 22:07:28,Tampilan tidak ada menunya???
Rikhanatul Jannah,2,2024-05-28 09:38:07,Setelah di update aplikasi selalu keluar sendiri
Bethaa Rahayu,3,2024-05-28 05:29:26,katanya bakal dpt voucher birthday tpi punyaku kok gak muncul yaa
Dhani Pas,1,2024-05-28 03:53:27,Ini kenapa setalah di update tidak bisa buka apk fore nya ya?
Muhammad Ferdi Kurniawan,2,2024-05-28 03:21:55,"Baru tadi jam 8 di buka lancar, pas toko buka malah erorr aplikasinya. Kerja programmer nya ngapain aj si dari dulu gini mulu problemnya. Ganti programmer makanya yg lulusan kampus top 3 kalo bisa biar cepet nyelesaiin ni problem. Susah amat buat order via apk"
Pitri Windas,5,2024-05-27 23:43:21,"The best coffee in Indonesia. Aplikasi mudah ga ribet ada sistem poin yang bisa kita tukar dengan free kopi, dll"
princes marizsa,5,2024-05-27 13:00:34,"keren, jdi lebih mudah pesen kopi.. banyak vouchernya"
Muhammad Rafli,5,2024-05-27 09:56:13,No error for now👌🏻
Andika Dwi,1,2024-05-27 06:10:30,"Mau aktivasi pembayaran lewat gopay, tapi kode OTP ga masuk2, udah nyoba berkali-kali dan masih sama, kode ga masuk"
Syl J,3,2024-05-26 11:40:47,Pegawai ny ga ramah
BUDI ARTOYO,5,2024-05-25 14:33:24,Kopi dan variasi rasanya muantap
BERCO,5,2024-05-25 09:21:54,kopi enak
Nova Septiyadi,5,2024-05-25 09:08:35,terbaik ❤️
Adrian Siswanto,1,2024-05-25 08:12:53,kendala trlalu lama
Fmm23 Mantap,1,2024-05-25 08:06:45,Too much problem that last long
Angga Ginanjar,1,2024-05-25 08:02:12,"Aplikasi ga jelas , ga bisa di buka , cuma promosi aja . Nyesel banget download ."
novriza annisa,5,2024-05-25 07:57:32,kenapa eror sih?? mau beli lewat apk jadi gk bisa
Aldy Perdana,1,2024-05-25 07:54:49,"Gimana nih kak bagian by one get one malah gak bisa pesen, segera di perbaikin ya min"
tri andini,3,2024-05-25 07:29:22,"Aplikasi nya ga bisa di buka, ""sedang ada kendala teknis"" gtu terus tolong di perbaiki ya"
Atri Deliya,4,2024-05-25 07:28:58,Apkikasi fore terlalu sering eror..sudah beberpa kali akses dan selalu menemukan aplikasi eror..
Apriliani Setiyaningrum,1,2024-05-25 06:22:28,App error terus gabisa dipake order
Rifat Fadilah,1,2024-05-25 06:19:20,"Kenapa aplikasi nya selalu error ,saya jadi kena marah istri saya"
Yunita Pratiwi,5,2024-05-25 06:18:07,Jaringan terkendala
Nona Bell,5,2024-05-25 05:53:40,Berguna
Riya D,3,2024-05-25 05:33:26,"Setiap ada promo ""hanya di hari ini"" aplikasi lgsg down. Duh capek bgt klo antri.."
ir mawan,1,2024-05-25 05:31:59,Aplikasi sampah
leni sernanda,1,2024-05-25 05:06:06,Nge bug terus aplikasinya pas mau pesen ga bisa payah !! Tingkatin biar ga nge bug terus ya fore
Mohammad rezza,1,2024-05-25 04:58:59,Aplikasi sering eror tidak bisa di gunakan
Monica Santosa,1,2024-05-25 04:50:52,Aplikasinya jelek bangett sering eror lemot
Yeshua's Princess,2,2024-05-24 11:14:37,"Hmm... kirain seperti aplikasi resto/cafe pada umumnya, yang bisa melakukan pembelanjaan offline tapi struk belanja bisa di-scan barcode untuk ngumpulin poin. Kalau di Fore, cuma bisa dapat poin dari belanja online lewat aplikasi aja (offline ga bisa). Masih kurang sih."
Septian Pratama,5,2024-05-24 04:32:01,Mantap
I Gede Ardiyana,1,2024-05-23 05:48:56,"kendala nya dipercepat lah, mau pake aplikasinya skrg malah gabisa!!!!"
12 Fina Ummah,1,2024-05-21 12:21:19,"Track locatio nya jelek banget, udah salah tempat tapi engga bisa di batalin padahal baru saja order dan nominalnya juga lumayan besar. saran aja buat diperbaiki lagi aplikasinyaa"
agus arka,5,2024-05-19 11:58:13,good job mantap
samuel panjaitan,5,2024-05-19 11:29:27,mantap
Irvie Andhara,5,2024-05-19 06:48:59,ok
Nath Rich,1,2024-05-18 10:57:31,"Awalnya oke, jaringan internet oke, lama2, jaringan lemot dan sekarang malah internet dimatikan. @Fore jadi @Hore..lokasi Fore Multatuli Medan..kayaknya akan merambat ke cabang lain....dan setelah komplainan ini masuk Google play, tiba-tiba bisa online..aneh...tapi btw thanks gercep Fore pusat. Bintang ***** lima untuk Anda"
Arif Bondan Rudianto,5,2024-05-18 09:14:11,"Guys gunakan code ini 10DB5E , untuk kalian pengguna baru pasti nanti dapet voucer gratis juga, .. jangan ragu untuk berbelanja di fore rasanya sangat amat enak"
dnsea detlaf,5,2024-05-17 12:24:43,give alok bang
ariati elly,5,2024-05-17 10:57:29,Kopinya mantap
Basaria br Ambarita,5,2024-05-17 10:16:25,lov u forever fore tp bisa lebih murah ga?
aisyah nur,5,2024-05-15 10:05:42,"Pembelian lewat aplikasi fore ini Sangat membantu , Saran ke depan nya bisa di tambahkan Catatan ke dalam menu nya 👋"
Ravie Al Kautsar,5,2024-05-15 06:35:57,"Aplikasi simpel, jelas, padat mantap"
Meilofani Helen,4,2024-05-15 01:31:35,Setiap buka aplikasi selalu update
Wawan Dharmawan,5,2024-05-14 18:11:31,Kenapa aplikasi dana sudah tidak bisa tersambung ke pembayaran? Bisa tidak tambah fitur catatan untuk pesanan biar bisa sesuai selera masing-masing
Daffa Bagaskara,5,2024-05-14 06:56:04,Good
Afdol Fahmul Rozi,5,2024-05-13 16:40:12,Mantap
Muhammad Idul Fitri,5,2024-05-13 13:18:48,woke
