userName,score,at,content
Andi miftahul Qisthi,1,2024-05-21 00:56:14,Kemarin sebelum di update aplikasi nya bagus knp skrng harus colab ama KFC ngk nyangka banget garena gini 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️ andaikan bisa tanpa bintang aku kasih gk pakai bintang ulasan aja
hanhan ahmada hub,4,2024-05-21 00:53:07,Bagus
M. oktav syarifudin,4,2024-05-21 00:48:34,Garena gimana sih aku kode redeem nya warna item sih
Alfaqi Samsung,5,2024-05-21 00:48:32,Bagus🎖
Indri_ Sarwasih,5,2024-05-21 00:48:31,kumaha damang?
Ridho Ardiansyah,5,2024-05-21 00:48:01,Whooo!pahlawan sudah tiba!
Mahen Reload,5,2024-05-21 00:46:10,Garena perjuang kan ff ini jag gan di haous kalo di hapus smua anak ff akan sdih aku mah minta embe nya di turun ni jadi 321 mohon
KADER IBERAHIM KADER IBERAHIM,5,2024-05-21 00:45:16,i love you
Hamdi Said Arsy,5,2024-05-21 00:45:15,wow nice
Muhammad Albastian,5,2024-05-21 00:44:25,Game ini sangat sangat bagus cuma tolong lah Garena bagi aku skin SG dan baju old
Ishak Gudang,5,2024-05-21 00:44:10,Bagus sekali
Rif Ulum,1,2024-05-21 00:42:57,Apa apaan ini ff malah kolaborasi sama KFC.jadi males mainya
Dwi Meyysa,5,2024-05-21 00:41:58,seru
Fahrul Mufallah,5,2024-05-21 00:41:56,Ahhhhhhakubush Dvhx
Sahrul Rul,5,2024-05-21 00:36:32,Garena udah bacakan kalo emang ff geme satu²nya yg seru kembalikan peak old semua orang rindu dengan peak dulu kalo sekarang kebanyakan suka maps alpine kalah hri nexterra
Saifulloh Maulana,1,2024-05-21 00:36:23,layar gelap/black scren 8 bet
Erika Agnesia,5,2024-05-21 00:34:20,Bagus
Mala Retina,1,2024-05-21 00:32:14,Ff kayak babi
Ndimin66 Gt,1,2024-05-21 00:32:01,karena saat aku lari tiba tiba jongkok ini bug terus biasa nya fps ku 1 kalau gak 30 tapi kok jadi 200 .309 .500.999+ tolong di per baiki
A Qil,5,2024-05-21 00:31:15,game top 1
Rihana vadila Yudita,5,2024-05-21 00:24:57,bagus geravik ya
Rendy Putra,5,2024-05-21 00:24:40,game ini sangat bagus aku suka memainkannya
Alfatih Fatih,5,2024-05-21 00:22:33,Gamebagus
Adly Martin,5,2024-05-21 00:18:24,Sudah bagus tapi saya tidak suka pemain di bawah umur. seharusnya ada aturan tegas melarang anak di bawah umur 13 bermain ff. Agar mereka bisa belajar dan menggapai cita-cita
Bagja Nurbagja,5,2024-05-21 00:17:27,mantaaaap
Sholihun Wahar,5,2024-05-21 00:16:54,Soleh
Kardoyo,5,2024-05-21 00:15:05,Heheh
Ridwan Apriliana,5,2024-05-21 00:14:52,ah
Andrias Sukariyadi,3,2024-05-21 00:13:36,Fiturnya sangat bagus
Asep Tyz,5,2024-05-21 00:12:34,gem ini sangat bagus
C Nizar,1,2024-05-21 00:09:49,"Bug mulu event Kairos, bug kntl"
Fau Fauzaa,5,2024-05-21 00:09:22,seru
Jejak Kaki,5,2024-05-21 00:04:57,Bagus bgt tapi aku masih lvl 8 tapi seru bgt
Azzami,5,2024-05-21 00:04:47,Gamenya. Cocok banget ya
Bunda Rahel,5,2024-05-21 00:03:17,keren banget
Windayanti,1,2024-05-21 00:01:59,titiw
Dini Alifatul,4,2024-05-20 23:59:27,enakeun💃🏿
Fitri Lestari,1,2024-05-20 23:56:28,Koleb elite hilangin bag demeg sulit Cuaksssss
Kusnoto Kusnoto,3,2024-05-20 23:54:34,Raihan Alwan
Gntur Tur,5,2024-05-20 23:52:44,Baguss bisa buat Mabar bisa buat main tapi kenapa kok masih banyak bug sih ☹️ masih ada pemain yang kecewa dan tolong harus di perbaiki bug nya🙂
Seven Six,3,2024-05-20 23:51:59,Game nya sih keren tapi tolong jika masuk dengan akun guest ff nya kalau di hapus didownload lagi nanti gak bisa tolong diperbaiki
Febrian Putraprtma,5,2024-05-20 23:47:23,bagus
Leni Kasmiri,5,2024-05-20 23:45:55,Bagus
Abah Apud,5,2024-05-20 23:45:24,Permainan ini lebih seru kalau keluarin lagi sg dua opm nya kagi seru lagi
Saut Silaban,5,2024-05-20 23:41:16,Bgus
Ozi Harianto,5,2024-05-20 23:37:21,"Bang, sekedar saran tolong adakan kendaraan udara, apa helikopter apa pesawat tempur gitu🙏🙏"
restu amaliyanti,5,2024-05-20 23:36:05,Bagus
Aman Aman,2,2024-05-20 23:34:31,Ok
15_Ikbar Syafiq,1,2024-05-20 23:33:07,Enggak bisa top up padahal seharusnya rupiah tapi kok bisa dolar
Aftan Atma Purnama,5,2024-05-20 23:28:48,rorr
Ratna sari Sari,5,2024-05-20 23:27:16,"Game nya seru,,,bagusss aku suka banget tapi banyak versi nya tp gpp pokoknya game ini terbaikkk😁👍"
Paqih Kalam,1,2024-05-20 23:27:08,Game burik ke anjg musuh ny susah bet mmemek
Aceng Andi,5,2024-05-20 23:25:52,GORENG
Mahsun Semarang,3,2024-05-20 23:25:06,Aku suka sekaliiii bermain ff karena bisa mabar dan menemukan teman baru yey
Ucrit Kancil,5,2024-05-20 23:24:59,FF selalu dihati seruuuuuuuuu banget
yudhis tira,1,2024-05-20 23:24:57,Banyak bug musik gak mati mati burik bet
Anggun Sintia Bella,5,2024-05-20 23:20:40,bagus bgt
Tetep Sutisna,5,2024-05-20 23:20:14,sangat seru tapi tolong perbaiki tim ku karna tidak sesuai dengan tim musuh
Asyraf Arkhan,5,2024-05-20 23:18:43,Bagus game nya
Melinda Melinda,5,2024-05-20 23:17:47,Sangat baik
sorestha nantha,5,2024-05-20 23:14:37,gamenya bagus tapi pas saya mau nyepin cristal royale kelly nya stack ditengah tengah tolong garena perbaiki
Yuli Yuli,5,2024-05-20 23:12:46,bagus banget gamenya
Devita PacarV,5,2024-05-20 23:11:22,"keren,luar biasa event nya keren²gk buat bosen"
