userName,score,at,content
Fadli Saguna,1,2024-05-05 02:17:10,"Udah langganan tapi gamenya harus beli lagi, jelek lah apaan ini. Mending xbox gamepass"
Partiyem “JSoull”,1,2024-05-04 08:16:07,Kecewa Berat. Tidak Gratis
Septyan,1,2024-05-03 15:59:00,"Mau antri disuru liat iklan dulu, tapi sayangnya iklan ngebug gak jalan, otomatis antrian juga stuck jadi gak bisa login. Masak udah disuruh liat iklan main tetep 30 menit juga"
Raa,5,2024-05-03 04:09:57,"Keren bisa main genshin di grafik hd, tapi saranku sih kasih server asia soalnya yg lain udah oke🙏"
Kelvin,1,2024-05-03 03:34:08,"Kenapa update nya jadi ada iklan begini, yang biasanya nunggu antrian lama, sekarang malah makin lama gara2 iklan, yang antri cuma 20 orang tapi nunggu nya sampe 30 menitan, pas udah giliran mau masuk malah di blg error, apa coba ini"
Neng Atikah,1,2024-05-02 23:32:05,Ads
Citra Dwi Andhara,3,2024-05-02 21:53:03,Semua server udh pake iklan mls gw
Reza Akbar Hidayat,1,2024-05-01 15:05:14,Disuruh daftar GameHub+ habis daftar disuruh Regis aku Nvidia lagi emang perusahan US sampah semua isinya
Dasar Monyet,5,2024-05-01 13:01:56,The application is very good
Athayaa,1,2024-04-30 23:55:06,"Gausah ngide ngide maen game harus make gamepad lah, udah bagus ada mobile touch, ini ngapa harus make gamepad"
Zul Fikar,1,2024-04-30 23:15:58,maaf kenapa sekarang saat aku ingin bermain genshin impact harus menggunakan game gamepad sebelum nya tidak... maaf dengan ini aku kasih rating bintang 1
Mas Parkuera,1,2024-04-29 17:13:56,Payah! Harus login. I just want to be anonymous.
ROYYAN ALFARIZQI,5,2024-04-29 15:46:15,Benanga Dkjddj
Abdhe Radityo,4,2024-04-27 14:33:05,"This app is good but,when I queued the ad was stuck"
Rasya Herlambang,2,2024-04-26 11:58:59,dev please fix error code 80083007 because I can't play the game
Otter Lover,5,2024-04-26 08:19:41,Keren! Tambahin Honkai Star Rail dong biar makin cakep❤️
TAN阿爸,1,2024-04-26 02:37:56,Bikin iklan kurang berguna dan berfaedah cuman buang buang waktu antri
GW TAMVAN 999 ABAD LALU,1,2024-04-25 14:14:25,"""There was a problem with your connection"" gw ga ngapa ngapain anjj. tiap mau ngantri pasti selalu kek gitu, internet lancar eh ada ""troubleshooting with your internet"" burikk"
Aulia Salsabila010,4,2024-04-25 11:47:44,"Sudah lama lama antri, eh malah ga bisa masuk game nya, YANG BENER AJA? RUGI DONG!"
Aprilia,2,2024-04-24 19:24:11,Tidak jadi kasih bintang 5 karena sekarang ada iklannya. Semenjak ada iklan antriannya lambat mengurangnya karena memakan banyak data.
Samiaji Permana,1,2024-04-24 13:19:06,Apk tolol buang buang waktu doang
kike Karisma dayanti,3,2024-04-24 11:50:25,"Halo gfn, maafin aku,aku turunin bintangnya:) aslinya apk nya bagus pake banget,hanya saja setiap ada update selalu saja menyusahkan,aku adalah seorang player gratisan aku selalu nunggu antrian,aku biasanya pake server jepang(SoftBank) yang awal nya merasa puas terhadap waktu main nya 1jam dan turun 30 menit itupun aku tetap bersyukur sama bertahan.. sekarang aku agak sedih kesel liat update skrng Kenapa kamu gabung SoftBank sama Nvidia buat server amerik,kesel krna harus nunggu lebih lamanya:)."
Spookydear,1,2024-04-23 06:59:31,👎
RezaNZ,1,2024-04-21 19:17:57,Cloud game paling bodoh dari semua cloud game
Muhammad rafi Kurniawan,1,2024-04-21 07:30:31,Bayar anying
SIMBI 28,5,2024-04-20 09:12:36,Add more F2P games
Raffi,2,2024-04-17 13:49:07,"kenapa nya iklannya gk mau jalan,padahal nyoba youtube ama tiktok lancar lancar aja"
abr Sinio,1,2024-04-17 09:43:52,"Tolong ini tentang masalah sinyal di perbaiki,susah masuk ke game dan live stream suka jelek burik, Tingkat lagi, kemarin sebelum update masih bagus masuk game cepat, antrian stabil sekarang susah masuk walau antrian sedikit..."
Svetlana Moon,5,2024-04-17 09:38:17,"SKSKSKSK inimah ak hrs sungkem sm yang nyiptain apk gforce Main genshin dri ar 0 ampe 45, pindah ke cloud lain ga nyaman banegt pls ujung²nya balik lg ke gforce, makasi ya wak Buat klian yg msh ngeluh soal antrian mknya beli yg premium yah, lbh dikit kok !"
Reyzi Putra,5,2024-04-17 07:21:02,ggoo
Wenning Widyani,5,2024-04-16 11:26:05,Saya sudah mencoba Minecraft pe saya jadi kaya dunia nyata
susilawati 18,1,2024-04-16 08:19:18,Sulit login
Nazam,5,2024-04-16 06:34:08,Bagus
Al Kholid,1,2024-04-16 01:18:10,"Saya sangat kecewa dengan update kali ini karena antrian yang sangat lama, saya sudah menunggu 3 jam hanya untuk bermain selama 30 menit, menurut saya itu kurang sekali dengan durasi mengantri yang cukup lama, saya lebih baik menonton 10 iklan sebelum masuk pada aplikasi dari pada harus menunggu selama 3 jam dan kenapa di update sekarang iklannya muncul selama proses antrian, saya harap tim GeForce NOW dapat memperbaiki masalah antrian yang begitu lama, sekian dari saya ......"
Azzam,1,2024-04-15 08:52:32,"Gamenya pas login lama banget,game buruk"
Ricay Saputra,1,2024-04-14 02:59:42,Ga bisa login gj
Abi Alfian,2,2024-04-13 13:32:49,Cuma kendala sulit buat account
Fajar Rosid,1,2024-04-12 13:59:01,Jangan didownload karna pas kalian login akun game kalian bKL ga bsa apk nipu bnyk add cma nguras data 😡😡😡
Heri riyanto,5,2024-04-12 10:18:19,Besto
Angga Pratama,5,2024-04-11 23:33:21,Situ yang ngasi bintang 1 masi waras kah?
Sjsjjs Jsjs,4,2024-04-11 14:55:32,Overall bagus memuaskan tapi tolong tambahkan game honkai star rail
ᑭᗴᗰᑌᗪᗩ ᒪᑌᑕᑌ,5,2024-04-11 11:17:30,"Terimakasih sudah membuat aplikasi GeForce now karena bisa nyobain game dari PC secara instan, meskipun lah dikit dan support all hp kentang 😋👌 (termasuk gw si 🗿)."
Ihsan nuddin,1,2024-04-11 05:49:33,Sangat buruk aku pas mau masuk game nya malah error
Marif Affandi,1,2024-04-10 02:14:40,jangan ada iklannya woi itu sangat mengganggu dan membuat kouta saya cepat habis
faiz surya,4,2024-04-09 21:24:36,Ketika aku main game nya tidak ngejaga tapi pas antri itu kadang ramai dan kadang sepi🙂
ROHMA GANZ TV,1,2024-04-09 08:27:36,"Sistem login susah,minimal habis login langsung masuk ke cloudnya bukan harus bayar dulu"
Rifaldi Prapigo,1,2024-04-09 03:09:54,Makin kesana makin kesini jelek Ge force bukan memperbaiki lebih baik malah makin jelek dan makin buruk
Leopold,5,2024-04-08 22:15:44,"Terimakasih Nvidia, semoga tambah lancar jualan GPU nya🙏🙏🙏"
Ramz Gaming,1,2024-04-07 02:13:17,kembalikan game genshin impact
しーKu,1,2024-04-07 01:51:25,bad server
