userName,score,at,content
Deny Ardiansyah,5,2024-05-13 02:40:24,Penuh petualang
Fitri Rimasari,4,2024-05-13 02:31:11,"alur cerita nya menarik event juga sangat menarik, hanya sedikit kecewa untuk reward yg di dapat"
Nevin 999,5,2024-05-13 02:20:48,Mantap
Muhammad Fikri Deska Masnar,4,2024-05-13 02:08:45,Gamenya menarik dan keren
Muhammad Nur adnan,5,2024-05-13 00:57:36,"Aduh ini event musiknya saat adanya sudah ke adegan terakhir dimana semua musik dan dekorasi diselesaikan kok saat malam hari di mana itto dan paimon bernyanyi tiba tiba keluar. Tolong dong perbaiki alur ceritanya agar lebih lancar, seru seru begini malah keluar saat ingin ending"
Masa Jaya,5,2024-05-13 00:27:18,Mantaaaap
anandap nabilla,5,2024-05-12 23:55:19,"(For Game Developers English) The gameplay is fun, but there are some quests which players have t look for and without a clue so players like me might not find the quest. at least please give a clue and give a player know about quests that have not been found! thanks (Untuk Game Developer Indonesian) untuk quest yang harus dicari terlebih dahulu baru dapet, tolong dong kasih petunjuk agar para player sepertiku tau jika kami belum atau sudah menemukan quest yang harus di temukan dulu baru muncul"
Rashya Zulfian,1,2024-05-12 23:50:13,Ngelek padahal aku dah pake rog
Deby Lestari,5,2024-05-12 23:27:23,keren
Rafi Zuu,5,2024-05-12 23:08:06,Game kikir
Riswan Riswan,5,2024-05-12 19:50:34,Rate off nya GG parah bisa sampai fity 180
Fanny Hermawan,5,2024-05-12 18:52:02,Manatap
Ridho 2451,5,2024-05-12 18:24:16,"Game yang sangat indah ,visual nya bagus sekali"
Acep Nurdiansyah,1,2024-05-12 17:18:36,game kikir !
Ayam Terbang,5,2024-05-12 17:00:19,"Game open world yang aduhai banget konten explorasi nya mines nya kikir ""dikit"" aja"
ISAL SR,5,2024-05-12 16:52:41,Game kikir!!!
helenie august,3,2024-05-12 16:41:56,GAME KIKIRR 😭😭😭 BERILAH AKU KEBERUNTUNGAN HOYOO PLISSS HOYOOO 😭😭😭 JAHAT BANGET HOYO KAU😭😭
Putra Rizky,1,2024-05-12 16:28:45,game kikir maen berjam2 hadiah cuma dikit banget ngak kayak game sebelah
kutu movie,3,2024-05-12 16:21:38,"Ukuran game nya kegedean,"
Aditya Fernanda,5,2024-05-12 15:34:19,"Sangat seru bagi saya memainkan game ini karena penyajian story ,gameplay ,puzzle yang begitu epic ,walaupun untuk mendapatkan karakter agak susah juga y tp justru itu yang membuatnny seru"
[Choco•Pie],5,2024-05-12 15:17:06,Bagi yang wibu paling sangat suka tapi saya bukan wibu saya🙋‍♂️ hanya suka pertualangan dan cerita yang sangat panjang penuh perjuangan baget ya kalau mau tamat]
Syaiful Amri,4,2024-05-12 15:12:13,"Bagus buat santai. Agak kesel bansosnya kurang, beda sama game sebelah"
Arya bagus abhi seka,5,2024-05-12 15:02:16,Sangat bagus sekali game nya
Habibie Syahbani Fadilla,5,2024-05-12 14:39:03,GG game
Ny2lL,5,2024-05-12 14:16:50,Ok
NW WeLoze,5,2024-05-12 14:01:19,Kok ada gambar mahjong ways2 untuk judi wkwkwkwk
Imam sultoni Imam,1,2024-05-12 13:53:24,Karena Ter lalu banyak apdet saya kasih bintang 1 saja dulu dan ter lalu banyak dowlod data dan ter lalu berat gb
Faiz ghalib n,1,2024-05-12 13:35:55,Gem kikir gada otak
MuBal Gaming,1,2024-05-12 13:33:51,Terlalu banyak data yg harus di download
