userName,score,at,content
Meow lisa,1,2024-06-27 11:54:10,"Sakarag jadi jelek gak kek dulu, untuk loading halaman Lamaaanya minta ampun, udah dicoba settingan pengaturannya gak ngaruh padahal internet lancar."
poro ro,3,2024-06-27 11:38:47,"3 stars, karena cukup berguna, 1.untuk mencari informasi 2.mencari download file berguna 3.bisa cari bokep,"
Ronit Aziz,1,2024-06-27 11:05:59,Di ya masuk terus sedag main dan malam di ya masuk terus jadi aku kasi bitak satu
Edi Hutasoit,1,2024-06-27 10:53:55,"Ini chrome kok erorya ya makin diupdate kok g bisa dibuka , selalu kembali. Knapa sih ini"
A Asep,4,2024-06-27 10:03:25,"brainly,facebook,lnstagram,olx,twitter Lite,youtube,cookpad,blog,dan ebay,Google sudah tidak ada semua"
Ayu Salamah,5,2024-06-27 09:38:39,"Cepat, gak lemot"
Marcell Marshall,5,2024-06-27 08:11:15,Bermanfaat dan bagus digunakan untuk menemukan aplikasi yang terkait dgn keperluan pengguna
Hendrik Markus,5,2024-06-27 08:10:35,Layanan nya masih tetap bagus terimakasih
WELDI SUSANTO,1,2024-06-27 07:28:40,"Bikin rugi mulu ,loading lelet,nguras paket lagi"
saras sufiyani,5,2024-06-27 07:17:52,Bagus tp penelusuran gambar kenapa tidak bisa
A Rizki,1,2024-06-27 07:10:28,"APLIKASI PALING NGE BUG, LEMOT, SUSAH DI BUKA, PADAHAL APLIKASI LAIN LANCAR"
Handika11,1,2024-06-27 07:06:52,Tolong buat agar lokasi default download chrome bisa diubah
Rahmawati dewi,5,2024-06-27 06:54:40,Assalamualaikum perkenalkan nama saya Rahmawati dewi aplikasi ini bagus banget
Nïkö & Rïkö_ft. KetutLiang est.2023,1,2024-06-27 06:22:20,"Mendownload di chrome sangat lama,bahkan download file yg hanya 8mb saja bisa 18+menit"
XI.1 muhammad firman zaneti,1,2024-06-27 05:11:49,"notif ga jelas sering muncul, masukin berita yang penting dan fakta bukannya hoax tolol"
Opick Rubai,5,2024-06-27 05:01:10,Dengan aplikasi ini hp aku stabil dan tidak ada kendala
Rafka Anggara,3,2024-06-27 04:36:12,Saya kasih bintang 3 karena setiap lagi main game dia selalu ada pesan dari croam
Martha Septeria,5,2024-06-27 03:51:43,"Sangat membantu sekali apalagi ketika mendownload video, terus tingkatkan 👍👌"
Fahmi Abdillah,1,2024-06-27 02:56:25,Aplikasinya sayangnya tidak bisa digunakan saat di blokir maupun hp saya mati karena aplikasi kontrol orang tua
Mikhael Ferdinand,4,2024-06-27 00:40:56,"hallo developer terimakasih telah memperbaiki bug-bug yang telah saya sampaikan,namun saya menerima satu masalah lagi,yaitu pada saat saya ingin mendownload disitus mediafire,saat saya menekan unduhan tersebut untuk mendownload,tidak terjadiapa-apa,yang terjadi hanya ada tulisan DOWNLOAD STARTED,REPAIR YOUR DOWNLOAD,dan begitu terus hingga berjam-jam saya menunggu, padahal koneksi internet saya sangat baik,jika sudah diperbaiki dan memberikan saya saran,saya akan memberikan bintang 5,terimakasih"
Ganzz Zril,1,2024-06-27 00:03:58,Apalah aplikasi ini lagi download pake wifi di ganti pake data jadi ke reset ulang dari awal downloadtan nya
putra Prima,4,2024-06-26 23:43:36,mantap bagus bisa menelusuri dengan mudah dan mudah di pahami dan cepat untuk download
Farida Sukarti,1,2024-06-26 23:41:07,Gimana sih saya bikin akun Xbox sama epic games di apk ini tapi setelah beberapa Minggu tiba tiba ke log out sendiri akun nya jadinya harus login lagi capek saya
Endang Mardianah,5,2024-06-26 22:27:12,Sangat bermanfaat bagi keluarga
