userName,score,at,content
Sjachrian Affandi,5,2024-07-15 01:14:03,Menyenangkan
Nurdin Nurdiansyah (Nurdin),5,2024-07-14 13:59:29,"Suka banget sama aplikasinya,sampai detai banget soal gerak langkah kaki.. permenitnya di hitung.. kalau kita naik kendaraan dia gak di hitung kecuali jalan kaki baru di hitung kembali.. keren sih,gak harus pakai smart watch,cukup install aplikasi ini aja . Keren"
hasyim asyari,5,2024-07-14 02:56:32,Keren aplikasinya
Nofi Bengkulu,5,2024-07-14 02:22:13,Mantap
syah rial,5,2024-07-14 00:15:47,Bagus
Dubbing Lombok,4,2024-07-13 23:00:52,Knp sekarang gak akurat ya ?
Wildan Irfan,5,2024-07-12 02:02:31,"Tampilan aplikasi bagus, mudah digunakan, sangat membantu untuk melacak aktivitas seperti olahraga, bisa dihubungkan dengan berbagai aplikasi kebugaran."
filka rahmawati,3,2024-07-07 06:03:57,"Perhitungan berubah-ubah, udah jalan sesuai targetnya 5.000an langkah lebih begitu siang dicek lagi berubah lagi jadi 1.700an tapi anehnya poinnya tetap terhitung. Sumpah aneh banget aplikasinya. Dan tidak cuma saya, teman saya sama udah jalan 4.000an langkah berkurang setengahnya juga. Rugi waktu rugi tenaga."
Samsung J4,5,2024-07-06 20:39:35,Nice apps
Putra Putra,5,2024-07-03 21:18:40,Ok
Hendrya gandi,1,2024-07-03 11:51:35,"Kecewa banget datanya bisa ke riset sendiri, padahal udah pake 1 tahun. Klo datanya bisa balik kasi bintang 5 deh"
Sahlani Mr,5,2024-07-02 09:53:46,Sangat membantu sekali untuk melaksanakan pola hidup sehat
Bgets Fanturi,5,2024-07-01 06:13:53,bagus dan menarik
ayah,5,2024-07-01 01:38:11,Great if google add fly over the map track feature like strava
Ahmad Panji,3,2024-06-30 12:07:39,ok
Akun aku Ilang,5,2024-06-29 11:32:00,(っ'-')╮=͟͟͞͞💌
Dyan Soetjipto,4,2024-06-26 14:40:36,"poin kardio yg diraih tiap aktivitas sepertinya kurang akurat, sudah aktivitas intens tapi tidak bertambah poin kardionya"
Siska Dewi Naibaho,4,2024-06-24 05:57:39,Sepertinya tidak efektif menghitung langkah saat jalan cepat. Kalau berjalan cepat langkah tidak terhitung tetapi kardio bertambah. Efektif menghitung langkah saat berjalan biasa.
Ebdiar Faizal,5,2024-06-23 22:41:03,Nice
Mahfud Nurdiono,5,2024-06-23 03:25:41,Ok
iw sa,2,2024-06-22 16:03:57,Jarak tidak sesuai Jalan bertempo hasil GPS tidak sesuai Jalan bertempo saat berhenti dia masih terus terhitung langkah nya jadi pengguna harus selalu pantau di pause dan play
Aulia Setiawan,5,2024-06-21 23:38:29,ok
Gust_ Agah,5,2024-06-21 10:38:08,Okkkk
dodik ari,5,2024-06-21 01:05:13,Mantap sangat membantu
Ryan Dinar,3,2024-06-20 07:58:37,Lebih baaik lagi
Panji Setia Rachman,5,2024-06-19 06:52:33,Keren.
Untung Sugiono,1,2024-06-16 01:38:29,"Gak akurat Jalan 5km dihitung 489 step, jalan 3,5km ,cuma di hitung 369 step...parah"
Rudi Ch,5,2024-06-15 23:08:44,Ok
Raviyanto Ahmad,5,2024-06-15 03:54:37,Bagus
Novra Yulius,5,2024-06-13 15:23:04,Good
Alamsyah NuSah,2,2024-06-12 13:27:28,Sering error.. tiba2 berhenti sendiri
Akmal Zainuddin,5,2024-06-12 02:35:58,Sangat membantu memantau tubuh dan kemampuan saat olahraga dan beraktivitas
Agustinus Sulle,5,2024-06-12 00:09:44,Mantap
Acong Ipong,5,2024-06-09 13:32:03,Ok
Syarif Potutu,4,2024-06-08 21:11:18,Baguslah
Daukhan Permana,4,2024-06-08 07:35:21,"Perangkat HUAWEI tidak bisa sinkronisasi dengan Google Fit dan semua ekosistem dari Google.. ""Yo wes Lah.."" ganti dengan Xiaomi.. (padahal sama-sama buatan China ya..) 🤭"
Mukarramah Hamid,5,2024-06-02 01:35:47,Baik dan senang
Baron Mansur,4,2024-06-02 01:26:51,ok lah untuk semangat or
Jaka Tunggara,3,2024-06-01 14:50:59,Langkahnya macet
