userName,score,at,content
Arman Hasibuan,5,2024-06-07 06:47:09,Kasih tombol kirim
IWAN eFENDI,1,2024-06-07 06:37:17,apa ini apa apa
Ipul Putrapratama,1,2024-06-07 06:31:55,😭😭😭😭
Manik Lee,1,2024-06-07 06:20:44,Bnyk korban scatter skrg :v
SeJe Gaming,1,2024-06-07 06:19:21,Semakin memburuk.
andy pratama,1,2024-06-07 06:19:14,"100% GAME TAIIII, JUDI ONLINE BERKEDOK CHIIIP, BANYAK NIPUNYA, GAME KELUARGA KELUARGA PENIPU ADMIN ANJIING, GAME NYA DUNGUUUU, MELEBIHI DUNGU MALAH, SELALU MENAMPILKAN KE DUNGUAN NY, PERMAINAN DIMANIPULASI OLEH ADMIIN ANJIIINNGGGGG, DLM ROOM ADMIIIN YG SELALU WIN..........................................."
yRz id,1,2024-06-07 06:17:36,Setingan parah
Muh Aslam,5,2024-06-07 06:13:33,Mantap
Irland Gerhana,5,2024-06-07 06:09:23,Sangat menarik
Idul Yusran,5,2024-06-07 06:04:33,Lumayan bagus
Ferdy Perdana Putra,2,2024-06-07 06:02:55,JACKPOT nya dong......🙏🙏
Berkat Fatemaluo07,5,2024-06-07 05:52:45,Keren
Faizal Nursyai,1,2024-06-07 05:52:07,COKKKKK LUDES
April Ersal,1,2024-06-07 05:47:28,Tolong tombol kirim di kasih muncul kembail
cahaya magfira_15,5,2024-06-07 05:47:03,Okokok
Fatima Ratu,5,2024-06-07 05:39:23,Enak sekali buat hiburan sayang sekali scaternya sulit
Romi Yuli,5,2024-06-07 05:26:21,Ini ayahku yang men-download dia katakan sangat senang
pram mono,1,2024-06-07 05:24:37,"gara""gem Iki omh ku kedol pedaku kedol sawaku kedol Pisa seiki malah GK onk tombol kirim e sakno koncoku jeneng e Yudi Sampek peda e 2 kedol hoalah asu"
Aris Dwi santoso,1,2024-06-07 05:23:40,Game tak berguna lagi
Andrianto Andrianto,1,2024-06-07 05:23:07,Gem macqm apa ini tidak berguna sama sekali anjj Mana gem haram lagi 🤣🤣🤣🤣
Mulyadi adi,1,2024-06-07 05:19:23,game yg sangat tdk berguna lagi. 1000% hanya dikasi kekalahan.
Denny Gayunk,5,2024-06-07 05:18:20,Kasih kmenangan donk bosku
Ilham jaya saputra Ilham,5,2024-06-07 05:17:45,Sangat bagus
Suwito Suwito,3,2024-06-07 05:10:37,Ok
Rina Nurhasanah,5,2024-06-07 05:08:18,Bagus
Irohh Resdiana,3,2024-06-07 05:05:12,Kok sekarang ga ada hadiah pulsa sih padahal lumayan loh. Hm
Ciknang Ciknang,2,2024-06-07 05:05:06,Tolong di kasih kesempatan untuk semua pemain jangan sampai kecewa dengan developer game ini trmksh
trichy 2424,1,2024-06-07 04:56:38,ga bisa maen mahyong
Icha Maulia,1,2024-06-07 04:49:55,"KALAU KALIAN TIDAK MINTA UANG PADA PARA PEMAIN TERUS MINTA APA?,,,,,, KALAU BEGITU YA BETULKAN DONG SIATEM GAME KALIAN,,, HILANG KAN SISTEM NGEBAG NYA,,ITU BARU BETUL,,,PADA DASARNYA GAK USA JADI GAME YG MUNAFIK,,BERILAH HIBURAN YG MENYENANGKAN,AKU YAKIN PARA PEMAIN AKAN KEMBALI LAGI,,,OK TRIMAKASI ATAS PERHATIAN NYA"
MRYNALAKBAR,1,2024-06-07 04:47:01,Udh ga ada tombol kirim pelit lagi
adminHDI HOBYmelonte,1,2024-06-07 04:36:44,Semangkin memuakan main game kont0l satu ini ntah kenapa gk di hapus aja sama kominfo
malehoy ya,1,2024-06-07 04:36:16,Kecewa karena terlalu banyak akun yang bug
T H U N D E R X,1,2024-06-07 04:35:58,"Bintang 1 dulu, Halo higgsgames, Saya mau perbaiki akun Saya, Saya sudah mengirim email ke email higgsgames, tapi gak pernah di respon, Mohon di respon, baru saya kasih bintang 5🙏 terima kasih"
Andri Widianto,1,2024-06-07 04:33:21,Hari raya tidak ada istimewa
Aaa Jejee,4,2024-06-07 04:30:29,bagus
Budi Arwana,1,2024-06-07 04:30:16,Ini game apaan???? Tidak menghibur lagi Tidak mengasyikan lagi.menghabiskan kuota..
Gugun Setiawan,5,2024-06-07 04:18:02,Lucu
Sam2 Prime,5,2024-06-07 04:17:45,"Walau tak seperti dulu kembali bisa dimaklum, toh kedepannya memungkinkan bisa lbh baik kembali seiring berjalannya waktu"
Ali Mansuron,1,2024-06-07 04:02:17,"Evenmu itu gak mutu,putaranmu sekarang sudah gk asyik"
Yudi Istomo,1,2024-06-07 03:55:56,"Akhirnya dengan game ini seluruh pengangguran tetap mengganggur,"
jakfar sodiq,5,2024-06-07 03:55:36,Loss josss
Surya Simanjuntak,5,2024-06-07 03:51:23,Mohon tombol kirimnya dikembalikan kembali
Rahmad Hidayat,1,2024-06-07 03:46:37,Aplikasi nya benaran bisa jaipot GK ya mau b Coba dulu kasi bintang 1🙏🙏🙏🙏
Har Sablenk,5,2024-06-07 03:45:17,gak bisa dibuka
Ridho Amanda,1,2024-06-07 03:44:27,"GAME GAK JELAS. SELALU TEWAS NGISI BERAPA PUN. GAK PERNAH NAMBAH CHIPNYA SETIAP KALI D ISI DAN DI MAINKAN. FAKTA YANG DI RASAKAN AKUN SAYA SEPERTI ITU. APALAGI DI FAFAFA SETIAP KALI MAU JP SELALU DI KASIH SCATER 2 BIJI ATAU 1 BIJI. JAWABAN LU KEK GITU MULU. GAK JELAS LU DAN SEMUA ISI GAME LU. LU TAU APA SOAL GUA YANG NGERASAIN KETIKA MAIN GAK PERNAH LU UP CHIP GUA, SEENAK ISI KEPALA KAU BILANG KOMEN GUA GAK BENER . OTAK ITU DI PAKAI."
Mas Yanto,5,2024-06-07 03:34:39,Tak ada tombol kirim payah
Rama Desta,5,2024-06-07 03:33:26,Ok keren juga
Dafandrian Abyan,5,2024-06-07 03:30:34,"Game terbagus, daripada game 8 bit 👍"
Lopezet band,1,2024-06-07 03:24:56,Tombol kirim tidak ada bye bye
Dwi Ahmad,1,2024-06-07 03:22:03,tombol kirimnya bos.juga jangan tentukan mulu dikasih sama pemain.
Dina Nabela,1,2024-06-07 03:14:32,GAME BUSUK. JANGAN DI INSTAL!!!!!
hery sepdiansyah,1,2024-06-07 03:07:24,"masih laku chip di tempat anda?kalau di tempat saya 20 ribu 1 b nya,itupun tak ada yg mau beli lagi sdangkan developernya masih mempertahankan harga jual 1 b nya 90 ribu...sedih betul game ini,semua orang tlah beralih dri game ini,klau saya mau smpai kiamat pun tak akan mau top up lgi game ini cuma main seru2an aja 2 m tiap hari..."
Ardi Ardi,2,2024-06-07 02:59:39,Putaran nya bug trs ada game yang ga bisa dimasukin lagi
Ziduet Caem,1,2024-06-07 02:49:56,Game kontoooooolllllllll
A Rif,5,2024-06-07 02:46:51,Oooòo
Jka byu_26,5,2024-06-07 02:46:37,Game keren banget.!!!!!!!!!!!!!!!!!!!!!! Pokoknya kalian harus download 👍👍👍👍👍👍👍👍👍👍👍👍👍
Zacki Chan,1,2024-06-07 02:44:25,"Ini game untuk apa diciptakan jika untuk berjudi judi,gara gara game ini banyak orang yang masuk penjara,tolong hapus play store"
Sudharma Felix,1,2024-06-07 02:43:59,"Kami di daerah toraja sul-sel, dulu perkiraan 200-300an org pemain skr bisa di hitung jari tggl 20an org gara2 hilangnya tombol kirim. Klupun ada APK HDI Global yg memakai tombol SEND, tp itu tdk berpengaruh. Intix skr pemain pada kurang, kasarnya Game ini habiskan waktu sj, mending pergi kesawah ataupun kerja yg lain dari pada habiskan waktu bermain game ini. Maaf ya, caramu terlalu banyak kong kalikong, drama dan sebagainya"
SELSA DESERIYANI,1,2024-06-07 02:35:07,Lah menang gk kalah terus...bagus maen gem lain yg terus kasi kemenangan..besar
TamTam Tamtam,5,2024-06-07 02:29:22,Aku mau domino kayak tahun tahun yang lalu enak di main kan
Mavi Mail & vina,1,2024-06-07 02:27:30,Ayo balikin tombol kirim
Mitri Prily,1,2024-06-07 02:27:08,Game pepekk?? Yg buat kyk kontoll???? Jgn mainkn game pepekk inii
Maleakhi Sababalat,1,2024-06-07 02:20:22,"Ini nama nya permainan yg manghasil kan Luar biasa, muda²han yg punya aplikasi ini semoga masuk surga..."
Addict ict,1,2024-06-07 02:16:00,game idiiootttss
ASL PIDIO,1,2024-06-07 02:14:57,"Jangan Download versi apa pun , atau anda akan menyesal."
Jonni Padang,5,2024-06-07 02:12:55,Ok
Sony Triyanto,4,2024-06-07 02:11:59,Cara tukar kartu nya gimana
Leni Marlina,1,2024-06-07 02:04:30,Game sampah
Fernando Revan,1,2024-06-07 02:03:32,Game jembud sedekah aja susah naek apa lagi beli
Al Toru,5,2024-06-07 01:59:15,Mantapp
Yogik Rio Saputra,1,2024-06-07 01:52:36,"Akun Saya kena Bug , Akun Saya Bug Gak bisa main Di Bandar QiuQiu , Tolong di jawab !! Akun Bug gak bisa masuk di Bandar QiuQiu !! Tolong di perbaiki akun Bug"
Kureta Satua,1,2024-06-07 01:48:31,"Setelah sekian bulan saya tinggalkan, saya coba2 main lagi, setelah kembali diplaystore,Game hdi untuk saat ini, terkesan memperkosa ,🤣🤣, saya berkali kali coba2 main slot duo fucai dibet 180k. Bayangkan teman2..700 spin big win pun ga ada sama sekali. Sketer ga pernah nongol.. jadi buat teman2..tolong y.. pikir2 lebih jauh.. beli cip atau duitnya buat jln2 atau apalah.. mana lebih bagus"
Rin Lyn,1,2024-06-07 01:48:14,Yaa game semakin turun peminat rasain luh game tolol
Ang'Q,1,2024-06-07 01:40:48,Game anjinnnnnn
Slamet Slt,5,2024-06-07 01:40:05,Sangat menghibur untuk waktu kosong dan nyantai.
Herman Pelangi,1,2024-06-07 01:37:19,"Kalau kayak gini putaran nya Lo suruh main ma bapak Lo game babi,dr room nya ja udah nampak,apalagi putaran nya babi babi...bintang satu"
Adi Setyo,1,2024-06-07 01:32:13,Semua akun jadi tidak dapat bonus
ANANDA DWI WARDHANA,1,2024-06-07 01:31:32,Judi!!! Udah bagus hilang malah muncul lagi
Habib Jawa,4,2024-06-07 01:30:48,Bsa buat hiburan&menghasilkan intinya hiburan
Wardi Bagazt,1,2024-06-07 01:17:51,top up mahal naik sulit
Revadel.m Reval,5,2024-06-07 01:17:39,Game nya bagus
Abdul Soleh,1,2024-06-07 01:13:00,"B1,main di mahjong gratis spin cuma dapat 200k gak ngotak Rakus chip/koin Males top up Game terpayah"
Putranya Azka,5,2024-06-07 01:11:01,Game yang seru
anto dahri,1,2024-06-07 01:04:00,"apk asuuu binatang cukimaa, cmn bikin rugi doangk... percuma kamu kembali lagi sedangkan SDH tdk ada juga tombol kirimnya, hiburan apaan katanya hiburan kok sistem putarannya kayak babi putar.😡😡😡😡😡😡😡😡😡"
Sabir Bhir,5,2024-06-07 01:02:06,Hahma
Muhammad Kiandra,5,2024-06-07 00:56:53,Sangat
bang ril,2,2024-06-07 00:51:24,"Saran saya sih tombol kirim nya harus di adakan jika ingin peminat game ini bertambah, dan untuk fitur dan game nya sudah oke tapi percuma gak ada tombol kirimnya seakan ga ada sensasi yg di dapat para pemain saat mendapatkan JP. Selamat tinggal HDI👋"
Siti Kholilah,1,2024-06-07 00:48:27,game kok putarannya ngebug? malah di suruh topup topup kayak ngemis ngemis ke playernya. game nyedot dompet player yang cocok buat game ini mah
Nafillah preman,5,2024-06-07 00:48:20,Sangat menarik
Ayyub Buya,1,2024-06-07 00:43:50,😡😡
Moh Baharrudin,1,2024-06-07 00:38:20,"Kapan di kasik JP nya, main sudah lama belum dapat JP."
Zargos Moe,5,2024-06-07 00:35:37,👍
zalnst93,1,2024-06-07 00:31:07,Game babi game gak guna bikin orang tambah susah melarat
Mamat Rikso,5,2024-06-07 00:20:58,Lelet
Davinda Flantika,5,2024-06-07 00:20:14,Bagus
Didin Komarudin,5,2024-06-07 00:16:18,No comen
linda leona,1,2024-06-07 00:01:50,Ok untuk iseng2 saat santai
Pandawa Pitu,1,2024-06-06 23:59:05,"Sudah gk asik lagi, gk ada tukar pulsanya"
Sunarto narto,1,2024-06-06 23:48:02,"bawa 5b keok, bawa 10b ludes... game sampah.. tak pernah win...barusan bawa lg 13b, habis d 1 room Olympus.. memang, sudah tak betul lg hdi... mending kita maen situs.. sikit sikit diarahkan ke top up.... rakus x lah HDI..."
Aris Saja,5,2024-06-06 23:26:19,Bagus
