userName,score,at,content
Farhan Hadi,5,2024-05-14 00:00:52,"I have a suggestion for Honkai Star Rail, when the cutscene appears the graphics please adjust it to the graphics in the game, don't force it to be high, it makes people with budget phones go crazy because of the cutscenes"
Nightcore May_Can,5,2024-05-13 23:07:46,"Permisi saya ada permasalahan setiap login ada tulisan "" terlalu banyak permintaan coba beberapa saat lagi "" tolong balasan secepatnya"
Denni Putra Chaniago,5,2024-05-13 22:13:47,Mantap
siesta kawai,1,2024-05-13 20:49:35,kok aku merasa aku kayak dipermainkan katanya game gacha tapi bau mulu sedang kan kebanyakan player lain pada wangy masa iya aku main dari tahun lalu sampe sekarang gitu aja terus sistem nya?ini sesuai Hokky atau emang udah disetting?males asli sampe kesini orang lain pada pity 10 20 lah aku only 70+maksud?capek lama-lama asli main diginiin terus
Megumi Sayaka,5,2024-05-13 19:02:30,Bagus
AFR 02,5,2024-05-13 18:50:51,Gameplay bagus
Christopher Robin,1,2024-05-13 16:55:55,boss nya GK logis demek nya
Fahri Muhammad,5,2024-05-13 16:19:47,good game
lost gamer,4,2024-05-13 16:16:02,"Sering lost koneksi Internet nya padahal Wi-Fi masih stabil, dan harus ngulang gamenya lagi dari awal, walaupun tidak sering terjadi namun ini sangat menggangu waktu bermain, tolong segera di fiks TERIMAKASIH!"
Abi Aditya,1,2024-05-13 14:20:56,Terlalu sulit utk f2p dan relic terlalu ampas
Jus Tin,1,2024-05-13 14:12:31,Tolong ya mihoyo game ini tidak mendukung anak-anak showcase karena memiliki max damage 👎
EucliwoodHellscythe TheNecromancer,5,2024-05-13 14:01:02,Sudah cukup baik hanya saja aku belum dapat Robin 🥲
Sunar Jaya,1,2024-05-13 13:55:04,loadingnya lama kenapa harus pake top up waktu sihhhh
Alpian Azima,5,2024-05-13 13:29:00,Game honkai: star rail keren dan mantap 👍👍👍
nika nika,2,2024-05-13 13:11:28,"Menurutku sih sistem battlenya bagus,tapi yang aneh itu di moc yg musuhnya sakit banget .Lha kita aja digebug gak bisa lari gak bisa ngedodge tapo damage musuhnya gak ngotak,trus disuruh liat char kita mati gitu?harusnya ngasih difficulty di bagian mekanik battle,bukan dibagian ngegedhein damage musuh ke kita.iya kalo kita bisa lari/menghindar gakpapa lha ini aja gak bisa.game aneh"
Sovian Saputra,5,2024-05-13 13:08:29,KUMOHON KASIH SAYA KEHOKIAN RELIC😊😭
Fatin Kaysan,5,2024-05-13 11:41:34,Kuntul
jk14,1,2024-05-13 11:03:56,Tyler swift level trash
Sapik HD,5,2024-05-13 10:47:51,Gara dapat biduan
フレディ,5,2024-05-13 09:47:21,Bagus banget lah untuk performa itu udah pas dan reward yang di berikan developer itu sangatlah pas( tolong hidupkan lagi tingyun ku mohon hoyoverse)
Wisnu Afifuddin,5,2024-05-13 09:44:34,"Game baik, dikasih supply pass gratis. Panjang panjang game panjang"
Kanggo Game,3,2024-05-13 09:35:53,"Udah Bagus Tapi Di Bagian Cutscenenya Tolong Di perbaiki lagi karena lag parah, Saya Saranin Ada peraturan buat nurunin resolusi atau sejenisnya di cutscene karena tidak semua hp kuat, tolong Dijawab min"
Deri Arata,5,2024-05-13 09:34:28,"Makasih Honkai: Star Rail, Sejak Aku Bertemu JL Istriku Tercinta😘🥰😍, Aku Lebih Sering Bermain Honkai: Star Rail Dan Sangat Menyukainya😘🥰😍"
muhammad habibullah,5,2024-05-13 09:20:56,Love this game 🥰🥰🥰🥰
Evelynn,5,2024-05-13 08:18:10,"This game is pretty good, I like it ^ ^"
MUHAMAD RIDO RAHADIAN,5,2024-05-13 07:38:39,"Intinya Mantap,waifu banyak,dan yang paling penting banyak bansos😋"
Rachel El Dira,5,2024-05-13 05:40:20,"Bagus banget game nya, kurang nya cuma gb nya terlalu tinggi buat hp kentang kaya sy, moga sy dpt gadget yg lbh bagus lagi ya🙂💔"
michael prolostsaga,5,2024-05-13 04:52:37,"Hoyoverse baik sekali sampai aku setiap gacha di kasih hard pity mulu dan kalah rate off, trus juga sering kali malah dapet yang lain di banner limited gak pernah aku di kasih keberuntungan"
Andhikun,5,2024-05-13 04:50:35,"Wangy"""
Muhammad Choirudin or محمّد خير الدّين,1,2024-05-13 03:52:11,Hate you too. Edit: stop anoying puzzles!
dyan ramadhany,3,2024-05-13 03:41:07,Banyak ciwi ciwi
Meiko Prima Falah,5,2024-05-13 02:57:30,Panjang umur game baik 🥰♥️
Ari yanto,5,2024-05-13 01:24:52,Baru main klo seru diterusin
Yurha,5,2024-05-13 01:19:01,I love the character design
Bafaw Hutao,1,2024-05-12 18:21:30,Game gajelas gabisa login
Light To Dark,5,2024-05-12 17:46:55,The Story so much fun !!!
みよしたら,5,2024-05-12 17:38:42,Please Skip Fitur
