userName,score,at,content
Pengguna Google,5,2024-07-20 03:14:30,Aplikasi ini sangat membantu dah luar biasa terimakasih
Pengguna Google,5,2024-07-20 03:12:13,terima kasih
Pengguna Google,5,2024-07-20 03:12:00,"langsung diacc.. mungkin pinjol di aplikasi lainnya lancar, jadi penilaian plus.. makasih kredivo.. moga jd rawatan lancar aku selanjutnya"
Pengguna Google,5,2024-07-20 03:11:53,semakin maju dan sukses
Pengguna Google,5,2024-07-20 03:09:39,sangat puas dgan lyanananya
Pengguna Google,5,2024-07-20 03:09:30,Ok
Pengguna Google,5,2024-07-20 03:08:39,"Mantaps, Kredivo"
Pengguna Google,4,2024-07-20 03:07:40,Wah aplikasi yang paling bagus dan membantu nyaman dan bungga yang rendah . trimksih kredivo
Pengguna Google,5,2024-07-20 03:04:51,mantap
Pengguna Google,5,2024-07-20 03:04:13,Gimana nich kredivo 2 bulan saya lunasin niat mau top up malah timbul bacaan kamu blm memenuhi syarat kirain bakal nambah dari 5jt ke berapa gitu malah gak bisa minjam..pusinglah..limit dah balik tapi pengajuan ditolak percuma atuh..
Pengguna Google,1,2024-07-20 03:01:54,Sy sdh brp x kirim data ke kredivo tlonh Data sy jng dislah gunakn klau ada apa apa sy tdk bertanggung jawab mksh
Pengguna Google,1,2024-07-20 03:01:49,"aplikasi mencekik telat 1 hari saja naik bunganya tidak wajar, sungguh tidak wajar, bagi yang ingin masalah uang butuh uang kepepet, tidak disarankan download aplikasi pinjaman online ini, sangat mencekik jika telat sehari, jangan download jika yang membutuhkan uang dadakan, sangat tidak direkomendasikan"
Pengguna Google,5,2024-07-20 03:01:32,Mudah penggunaannya
Pengguna Google,1,2024-07-20 03:00:32,"Pinjaman pertama lancar lunas. Ke dua ngak di acc. Buang"" waktu saja. Sudah bunga tinggi. Banyak maunya lagi. Ngak recom"
Pengguna Google,5,2024-07-20 02:59:50,sangat membantu satu aplikasi untuk semua pembayaran yang 👍👍👍
Pengguna Google,5,2024-07-20 02:57:42,sangat membantu
Pengguna Google,5,2024-07-20 02:54:22,kasih bintang5 tapi belom nyoba
Pengguna Google,5,2024-07-20 02:53:08,"bagus tapi susah di prediksi udah bayar skor malah turun .. padahal sangat membantu kebutuhan mendesak ,,,"
Pengguna Google,5,2024-07-20 02:50:15,Cepat&transparan
Pengguna Google,5,2024-07-20 02:49:00,bagus
Pengguna Google,5,2024-07-20 02:47:04,Sangat membantu 🥰
Pengguna Google,1,2024-07-20 02:45:36,"EDIT ULASAN 20 juli 2024 . KECEWA makin kesini fiturnya makin sedikit, qris gk ada, krediklap biasanya beli shopee ada diskon, sekarang udah gk diskon tapi adanya cashback dan PARAHNYA pembayaran enggak ada yg 0% 3 bulan !!!!! sekarang jadi seringnya pakai YUP klo transaksi ada qrisnya"
Pengguna Google,5,2024-07-20 02:44:25,Top
Pengguna Google,5,2024-07-20 02:43:43,Bintang yg bicara
Pengguna Google,5,2024-07-20 02:42:35,Cukup mudah prosesnya dan cukup membantu untk semua transaksi.sukses terus kredivo.
Pengguna Google,5,2024-07-20 02:41:31,Semoga pinjaman pertama ini di acc... Lagi bth modal usaha
Pengguna Google,5,2024-07-20 02:41:25,cepat
Pengguna Google,5,2024-07-20 02:37:54,Sangat membantu
Pengguna Google,1,2024-07-20 02:36:16,"Saya sudah bayar tagihan dan berhasil kok belum ada notifikasi di kredivo, saya gamau bayar lagi karna saya sudah bayar"
Pengguna Google,5,2024-07-20 02:35:45,Sangat sangat sangat membantu
Pengguna Google,5,2024-07-20 02:33:55,bagus smua transaksi bisa d pakai melalui kredivo
Pengguna Google,5,2024-07-20 02:32:19,Mantap pertama kali pinjam lngsung di proses trs bisa tarik juga
Pengguna Google,5,2024-07-20 02:31:18,"Diantara aplikasi pinjaman, paylater di Indonesia Kredivo paling The Best⭐⭐⭐⭐⭐"
Pengguna Google,5,2024-07-20 02:28:36,Mantap
Pengguna Google,5,2024-07-20 02:28:06,"Sejauh ini, ini yg paling jauh"
Pengguna Google,5,2024-07-20 02:26:25,"proses cepat, sangat membantu"
Pengguna Google,5,2024-07-20 02:24:26,Cepat dan ringan bunga nya..
Pengguna Google,5,2024-07-20 02:22:15,bagus sangat mebantu
Pengguna Google,5,2024-07-20 02:22:08,mantap
Pengguna Google,5,2024-07-20 02:21:27,nice
Pengguna Google,5,2024-07-20 02:19:13,"Mantap, prosesnya sangat cepat 👍👍👍👍👍"
Pengguna Google,5,2024-07-20 02:15:37,"mudah dan cepat tanpa ribet,,mantap"
Pengguna Google,5,2024-07-20 02:13:22,mudah. cepat.
Pengguna Google,3,2024-07-20 02:12:51,Gimana ini tidak bisa di gunakan aplikasinya ? Bagaimana saya mau membayarnya ?
Pengguna Google,5,2024-07-20 02:10:48,Platform terbaik..😊👍
Pengguna Google,5,2024-07-20 02:08:39,Sangat membantu dikala gaji belum turun mohon di tingkat kan lagi agar aplikasi ini lebih mantap dan jgn lpa banyakin promo supaya menarik teims
Pengguna Google,5,2024-07-20 02:07:55,oke good👍
Pengguna Google,5,2024-07-20 02:07:44,sangat mebantu
Pengguna Google,5,2024-07-20 02:04:49,semoga dapat di acc
