userName,score,at,content
X- Man,1,2024-05-02 23:33:17,Setiap main pasti sinyal menghubungkan padahal udh pakai wifi wifi pun kecepatan nya tinggi masa bisa sinyal menghubungkan tolong diperbaiki lagi game nya
Nori Yanto,1,2024-05-02 22:16:25,MAKIN HARI MAKIN GAK JELAS
Arif,1,2024-05-02 21:50:25,Tolong fix lag in game
FiQi Koclok,2,2024-05-02 21:50:10,sebenernya bagus gamenya tapi yaaah tau sendirilah
10.ADITYA YOGA HUTAMA,1,2024-05-02 19:54:54,game kikir game rusak
Dicky Wahyudi Ediningrat,5,2024-05-02 18:55:14,Udah bagus tapi Tolong magic land di balikin kayak dulu lagi ... Pas pindahin musuh ganjil genapnya di perbaiki... Masa kita pilih ganjil malah jadi genap ...begitu pula sebaliknya ... Saran saya kembaliin pindah paksa map magic land agar mainnya seru kembali terima kasih
WAHID ABDULLAH,1,2024-05-02 16:24:51,"Bug sinyal jingg,server benerin napa jangan diread doang benerin lah jing!!"
Yuzuf Jogja,5,2024-05-02 15:51:32,Game kapitalis
muhammad rafif zuhdi,1,2024-05-02 15:22:46,"Game sampah, hbs update buka apa apa lgsg lag anj,"
Abik,1,2024-05-02 14:06:08,"Server lag terus, gacha busuk. Game kikir game kikir"
cucu tresnawati,5,2024-05-02 13:41:06,Have fun trusss
Khafit ad,1,2024-05-02 13:23:33,Kapitalis asu
Arfansyah,1,2024-05-02 13:10:15,GAME TLOLLL
alfred marcelino,5,2024-05-02 12:53:15,Seru!!!!
HANAFI GAMING 57,5,2024-05-02 11:24:51,Harusnya level 57 lawan level 57 biar adil gak lawan 100 level
RizqiSp,1,2024-05-02 11:01:30,Game guobloggg kaga balance
Farras Aditya,1,2024-05-02 11:01:04,"Akun ilang gara gara code invite 👍, saya pamit. Semoga gm bisa menemukan spender lain"
Mirza Rahmat,4,2024-05-02 09:16:50,Bintang 5 kalo done card sama pendant murah
Gunawan Somantri,3,2024-05-02 08:24:09,"Perbaiki Bug Block efek Nike,sangat merugikan yg punya card nya"
21-012 Arif Hidayatullah,1,2024-05-02 08:22:05,"Benerin game nya babi, maen sama temen keluar mulu ke lobby pas mencari lawan, babi bner gk niat bikin game"
Yayang prayoga susilo,1,2024-05-02 07:53:39,Game scam item Sama kartu yang di miliki hilang setelah lama tidak dimainkan aneh
FIRZY FERNANDO,1,2024-05-02 06:59:49,Game tidak imbang sama sekali
Michael Ivandianto,5,2024-05-02 06:50:53,Good
Ana,5,2024-05-02 02:31:41,"Please rollback to older version. While you fix this version , i even can't enter game with 'unexpected error' message after upgrade to new version"
Akhmad Ariadi,1,2024-05-02 02:06:55,Game broken! server down sinyal wifi bagus tapi sering disconec ppk
Dani Kotrokzz,1,2024-05-01 22:56:29,TErlalu g imbang hapus aja
Muhidin Muhidin,5,2024-05-01 22:40:13,Muhidin IDIN
Atum Putra,1,2024-05-01 19:53:43,permainan yg seru tetapi haruss di perhatikan lagi cara mengunakan item2 nya masa belum jalan aja udah kalah terlalu lawak bagi saya
Achmad Habibie,4,2024-05-01 17:49:34,Aga susah sekarang ngumpulin diamondnya
Nur Afni Octavia,1,2024-05-01 17:28:19,"Main dari tahun 2014 . Skrg mau coba lagi, line nya knpa ga bisa masuk pke FB ? Gila si dipersulit bgt ."
muhammad rizky firdaus,2,2024-05-01 17:06:40,Semakin ga masuk akal.
Fakhri Avicenna,1,2024-05-01 16:22:41,game taek
Agung Ardiansyah,1,2024-05-01 15:02:50,dagang elite benerin bug sulit
Fibran Frizzy,1,2024-05-01 12:45:32,"Masa 23k DM Gacha Buat Pendant Kaga Dapet ,Dapet In DM pun susah🙃🙏🏻"
andika megah awan,5,2024-05-01 10:32:38,Ok pendan ngeselin yeahhh
Dastin Chris,4,2024-05-01 09:44:10,"Please lah jangan terlalu p2w dong, kasih kesempatan juga buat f2p"
ahid paenk,5,2024-05-01 08:21:29,Ok
Sammy Aja,1,2024-05-01 07:30:45,game grafik bagus cuma developer nya kaya anjiiing.... banyak bug sinyal buruk ngatur lawan ngga sesuai...anjiiing.. gw disini juga beli bangsaaaat.... gw sumpahin mampus lu developer bangsaat....game yang developer baangsaat cuma lu doang babi anjiing
Komang Partawan,1,2024-05-01 05:18:58,Gangguan sinyal terus😑 update udh lewat lama tapi tetep sinyal bermasalah Pake wifi padahal
dode krishna,1,2024-05-01 00:38:46,lawan lawan tidak sepadan
Gunawan,1,2024-04-30 22:50:24,Tidak baik bagi orang yang gratisan
Ahmad Yasir,1,2024-04-30 22:33:27,Game baperan
Putrie Kirana,5,2024-04-30 22:14:18,Tolong di perbaiki lagi.. Setiap main team sama teman kadang pas matching selalu terpental. Terimakasih
Indrapp Permana,1,2024-04-30 19:30:27,Tolong perbaiki bug matchmaking
Pengguna Google,2,2024-04-30 17:08:01,gak top up = gak menang
Wisnu syubidu,1,2024-04-30 17:01:01,lebih perhatiin item rate drop!!!! 12k diamond belom dapat 1 pendant event? game BERAK GE-EM IDIOTTT
Khairunnissa,1,2024-04-30 15:59:58,"Game apaan, ngasih rate buruk banget. Ngabisin dm banyak untuk pendant event aja, yanh bener dong"
Yogi Sunanda,1,2024-04-30 14:48:44,GAmes sampah masa iya dapetin ivent pendant aja habis 7000 diamond blas gak dapet 🤣🤣 apa lgi dapetin card nya 10000 diamond gak dapet hadeh game sampah ni lama lama otw uinstal
Aditya Cahya Saputra,1,2024-04-30 14:08:33,Game sangat amat tidak jelass menang di karenakan character musuh lebih kuat di Banding punya kita game tidak cocok buat free play seperti saya saya harap get rich kembali seperti dahulu
Muhammad Azam,1,2024-04-30 13:07:18,"Game gak jelas,banyak ketidak seimbangan harusnya ada tingkatan agar bisa main dengan yang selevel... level 30 lawannya Level Up 100 dari segi Kartu sudah beda. Pembangunan landmark harusnya di batasi max 2 per Turn,ini belum main juga lawannya sudah bisa bikin line, tiap main cuma turn satu kali aja langsung kalah. Gak ada strategi sama sekali, belum main aja langsung kalah...harusnya efek pendan dibatasi penggunaannya kalau setiap troll bisa aktif otomatis permainan bukan strategi tp sistem."
Yudhis,1,2024-04-30 12:54:37,Jangan didownload aku ngejer even pendat crow habiz 10k a+cuman dapat 3 biji Jahat kali ini gm nya parah sih nyari DM itu susah kok tega sekali
Fuzui JamRD (Mbah Soekartono),1,2024-04-30 12:54:09,GM PELIT
Fania Ramadhani,4,2024-04-30 12:41:38,Hyuu
K I W,1,2024-04-30 12:24:16,Dapet lawan yang ga imbang mana bisa menang saya main gapernah di kasih menang
Akun Kamihito,1,2024-04-30 09:50:58,Gila evo deaht gak ada seninya cuman jalan lewatin musuh aja bisa bangkrutin orang
kevin christianto,1,2024-04-30 09:36:01,"Getrich sudah tidak seru seperti yang awal, banyak karakter dan pendantnya yang aneh bagaikan setan, tidak ada hujan tidak ada angin, pemain lawan tiba2 menang, kocak !"
Akun Tuyul,1,2024-04-30 08:23:50,Kek anzay jaringan main getrich
Gilang Permana,1,2024-04-30 06:14:27,Saya top up di get rich nya kok ngga masuk ini gimana padahal sudah saya bayar lewat indomart tolong penjelasannya
