userName,score,at,content
Rock Liar,5,2024-03-29 11:24:18,Bagus
Sulemang Lemang,3,2024-03-29 10:08:44,Che. Yg org Ggg 4oggcvv jgg3ggvp Gg p Ggvogg g 0t v5 5g g 5 V Vyang Vivo.vj Vm Ogvvo vv Goggvg ga ggo
Muhammad Fahmi Bahtiar,1,2024-03-29 04:12:34,ini kenapa si jadi gada gambar nya sama sekali
Citra Muhasti H,2,2024-03-29 03:54:22,"stress berat gabisa daftar, udah coba berbagai cara"
Dev Khanna,1,2024-03-28 22:30:22,Tidak bisa log in
Malah “Fatur” Turu,1,2024-03-28 17:45:01,Akun ku di hack .dan tidak bisa saya masuk ke akun saya lagi. Verifikasi rumit tidak bisa di selesaiakan sangat buruk
Aliffia Salsa W.,1,2024-03-28 15:44:10,"Mau login disuruh verifikasi pake gambar, udah berkali2 nyoba gambar terakhir pasti salah. Bikin yg betulah, menghadap ke atas yg kayak apa, yg kepalanya aja ke atas apa sebadan nya😑"
Holili Yugoo,5,2024-03-28 15:00:23,NAMAKU HOLILI YUGO ADI PUTRO. PERTEMUAN BAPAK KANDUNG MEMPUNYAI ANAK PERTAMA AKU HOLILI YUGO ADI PUTRO HARUS ADA DI GEDUNG BTN .
Sulfan_ Tulent167,2,2024-03-28 10:53:35,"Ku kira aplikasi ini penting tapi ternyata merepotkan dari awal,susah banget untuk login,mohon di perbaiki"
Sunardi,1,2024-03-28 07:32:52,"login aja ribet verifikasi dimna mna, udah jelas"" sesuai data"
Wiwis Aswandi,5,2024-03-27 20:46:43,Good
Ryo Karniawan,5,2024-03-27 17:25:36,good
Muhammad 'Izzul. A,1,2024-03-27 16:02:48,Login harus pake teka teki..udah dijawab bener selalu disalahin
Samsul Arifin,1,2024-03-27 12:44:05,mau peonsiun
Rafif Surendra,1,2024-03-27 09:55:45,Aplikasi babi gak sesuai dengan apa yang diharapkan
Reine Tewuh,1,2024-03-27 03:11:14,"C"":v v21v Uovv.mompm. e sd, vv edbv"
shintaropanterKOI,5,2024-03-26 19:43:18,Good thanks for this apps
Angky Al-djafar,4,2024-03-26 16:32:20,7rfr7 5 5 l 7 57 ur 58 7 57 5f57 7 r78 b 7l fr 65
Habsi,1,2024-03-26 13:19:40,as bad as it can get
indra ramli,5,2024-03-26 10:46:29,Mantul
toha Abrar,5,2024-03-26 06:41:36,Bagus sekali
Arie Dwi,5,2024-03-26 06:22:55,Good
Tony Rau,5,2024-03-26 04:44:38,Ol
Muhammad kadir,5,2024-03-26 01:14:51,Sangatmembantu
Yudi Sakti919,5,2024-03-26 00:37:33,Ok google
Ilpan Padillah13,5,2024-03-25 22:54:24,Best
Yacin,2,2024-03-25 17:51:16,Ok
Sungai Guntung,5,2024-03-25 15:44:41,Welder smaw GTAW mig
Rosna Wati,1,2024-03-25 15:16:54,"Aplikasi bodong biaya mahal saldo didana gw raib,Kalian jgn download aplikasi dana kalian raib,kaya penipuan"
Rhostea VD,5,2024-03-25 13:49:42,Trima kasih.... saya bergabung sudah lebih dari 5 tahun
Sudin82,5,2024-03-25 13:16:24,Operator buldoser
Astri Eliza,5,2024-03-25 09:38:10,Astri eilza
Nelly Kings,5,2024-03-25 06:24:08,Ok
Nhaniff 18,1,2024-03-24 21:02:45,Apk gak jelas mau login aja dicek scurity apa lah ribetin
Marlina susanti,1,2024-03-24 15:00:56,I cant login
Faix sungkar,5,2024-03-24 09:51:48,Aplikasi sangat baik untuk para pencari kerja dan para pebisnis.
Ricky Arief,1,2024-03-23 21:32:33,Mau login aja ribet cahpta tidak valid padahal udah bener
Abdur Rofi,1,2024-03-23 20:42:22,"Aplikasinya makin sampah untuk login aja verifikasi nya sulit bngt tidak valid mulu, tolong untuk diperbaiki"
2IA10_Muhammad Fiqri,5,2024-03-23 17:41:40,I like jobs.
Naufal Mardiyanto,1,2024-03-23 14:30:31,"Aplikasi sampah, padahal penting banget loh. Ini coba login akun lagi, tapi terkendala proses verif security check nya (yanh gambar kuda gak jelas). Dicoba selalu gagal, padahal udah sesuai arahan dan benar. Blokkk"
Wahid Purnomo,5,2024-03-23 03:45:58,Mantap
Agung Sudrajat,5,2024-03-23 01:55:55,I have manay new friends here.
ezar,1,2024-03-23 01:12:55,Aneh Gak bisa login Sama mau daftar gk Kirim kirim kode nya
Arfa Prama,4,2024-03-22 17:40:48,Ok
Helmy Abyan Razaq,1,2024-03-22 14:01:44,Jelek kenapa harus verifikasi id takut d salah gunain
Sopian Saury,1,2024-03-22 12:27:59,Verification gk jelas
game note,1,2024-03-22 07:24:37,"gak di buka2 dan gak yg aneh2...sekali di buka tau tau akun di batasi lalu minta KTP , udah kayak buka aplikasi pinjol."
Uy Hh,5,2024-03-22 06:34:32,Bagus
Wahyu Adinata Paundanan,5,2024-03-22 06:00:33,Luar biasa
Z Fahmi putra,5,2024-03-22 04:21:31,Bagus sekali
Didi Supriyanto,5,2024-03-22 04:12:01,Smoga cepat membantu dalam mencari pekerjaan saya
