userName,score,at,content
Gemer Dracz,5,2024-05-02 07:44:48,Keren aplikasi ini bisa membantu nyri pcr
Akun ke 2,5,2024-05-02 07:22:27,Sangat bagus
Aldyansyah Ramadani,5,2024-05-02 06:07:49,"bagus sekali,saya bisa kenal banyak teman di apk ini😁"
Ban'k Ri,1,2024-05-02 06:01:39,maksa bnget buat d download udah d skip ttp aja nongol bikin risih ni apk
Firman Ganteng,5,2024-05-02 05:45:55,Riyan 007
Ahmad Tehyung,5,2024-05-02 05:14:05,Semoga aplikasinya bagus
Adilla Fitrianti,2,2024-05-02 05:09:32,Kenapa gk bisa posting foto
Ridwan Nay,3,2024-05-02 05:07:43,Mantap bagus
Ajay Tot,3,2024-05-02 05:06:28,Kch 3 dulu kalo bagus 5 bntng yh
Wilda Aulia,5,2024-05-02 05:05:17,Aplikasihnya bagus tapi syngnya kdang gabisa di dwonload padahal udh hapus aplikasih tetap gabisa
Agus Wibowo,1,2024-05-02 04:50:31,Bagus banget
Kifli Potabuga,5,2024-05-02 04:33:39,Sangat sangat bagus aplikasi ini
Nawan Mnawan8,5,2024-05-02 04:30:45,selebeww
Putri Zia,5,2024-05-02 04:23:06,Bisagantiinwa
Dedi Mahardika,1,2024-05-02 03:44:06,Terlalu cepat memblokir
Rian Atmadja,2,2024-05-02 03:40:03,Bagaimana lah jaringanmu nih 🤬🤬
Sulton Al imran,1,2024-05-02 03:10:40,Mantap
bonbon Moymoy,1,2024-05-02 02:40:20,Buat anak dewasa...
dheasakirasakira Shakira,5,2024-05-02 02:22:05,Bnyk temen baru
Risma Rahmawati,1,2024-05-02 02:02:19,Aplikasi ini ga bener
Alifah Nuraini,5,2024-05-02 01:57:29,tapi litmach baperan kali apa apa banned padahal aku gada ngelakuin hal yg negatif tapi malah di banned aku cuma denger lagu di room malah ke keluar dan ga bisa masuk lagi tolong dongg litmach gimana iniiii padahal litmach itu seruu tapi kenapa kek giniii balikin akun kuuuu ga bisa masuk lagi inii tolonglahhhhhh
Iphaan,4,2024-05-02 01:25:09,Aplikasi yangbagus dan saya sangat menyarankan agar aplikasi ini menggunakan lokasi jarak terdekat agar kenyamanan pengguna bisa dimudahkan untuk interaksi dengan orang orang terdekat terima kasih
Aku Dewe,5,2024-05-02 00:18:19,Saya ingin coba
Farel Dian,1,2024-05-01 22:47:59,apk haram g usah di download woiii!!
Liza Bhp,1,2024-05-01 19:13:48,Tolong lah saya kenp bisa login udh nyoba beberapa akun tetap aja g bisa alsanya ya ke blokirlah. Tolong lah min buka blokir nya
Siti Robiah,3,2024-05-01 17:24:50,Bagus
Optimum Pride,1,2024-05-01 17:08:56,"aplikasi tolol, hp gw jadi kena ban device padahal gw cuma main-main doang"
Sudirman,1,2024-05-01 17:06:02,Banyak cowo yang menyamar jadi cewe jadi nggak asik ini aplikasi
Juanda Siagian,5,2024-05-01 16:57:46,Bagus
Intan Putri sahara,1,2024-05-01 16:49:57,kenapa pas mau daftar ga bisa dan selalu error yahh
Aris Munandar,5,2024-05-01 16:38:07,Asli gue dapat pacar disini cok
Muhammad Hamam,5,2024-05-01 16:37:41,Ada bug di masalah jaringan
Kel pin,1,2024-05-01 16:04:22,Tolong bales email saya ya udah kirim dari 4 th yang lalu belum di balas aku saya Masi terkena bean
Nur Kalim,5,2024-05-01 15:12:30,Aplikasi ini memang enak dan terjangkau dan bisa bikin orang seng
