userName,score,at,content
Pengguna Google,3,2024-08-14 12:45:13,ok
Pengguna Google,5,2024-08-14 12:07:55,"sangat bagus,,"
Pengguna Google,5,2024-08-14 11:18:03,olee
Pengguna Google,5,2024-08-14 11:16:12,sangat berguna bagi guru dalam mencari ilmu.
Pengguna Google,5,2024-08-14 07:35:56,aplikasi yg sangat membantu
Pengguna Google,1,2024-08-14 07:18:21,menurut saya aplikasi ini sangat menyusahkan dan bagi para guru yang gaptek. dengan adanya apk ini seakan memperkecil kemungkinan guru yang telah mengabdi secara ikhlas untuk mendapatkan bantuan ataupun lirikan dari pemerintah. mengapa para guru harus paham akan semua materi yang ada di apk tersebut? mengapa post test itu terasa sangat membuat stress para guru? bagaimana cara guru yang gaptek mengoperasikan apk ini?
Pengguna Google,5,2024-08-14 05:10:15,Terima kasih..
Pengguna Google,5,2024-08-14 02:47:06,panduan guru memahami KM
Pengguna Google,1,2024-08-14 02:32:21,sangat membantu guru dalam mencari referensi
Pengguna Google,5,2024-08-14 02:01:01,sudah sangat bagus untuk membantu pembelajaran
Pengguna Google,5,2024-08-13 16:50:58,sangat memuaskan dan membantu dalam pembuatan modul P5 terutama tema gaya hidup berkelanjutan
Pengguna Google,5,2024-08-13 13:47:42,good
Pengguna Google,5,2024-08-13 12:36:53,bagus
Pengguna Google,5,2024-08-13 09:14:56,terbantu sekali
Pengguna Google,5,2024-08-13 07:39:21,Sangat membantu dan keren
Pengguna Google,5,2024-08-13 07:04:15,Alhamdulillah bs utk referensi di sekolah kamo
Pengguna Google,5,2024-08-13 06:37:12,sangat terinspirasi
Pengguna Google,5,2024-08-13 04:41:32,mantaff
Pengguna Google,4,2024-08-13 04:35:10,bagus banged
Pengguna Google,5,2024-08-13 03:57:03,terimakasih
Pengguna Google,5,2024-08-13 03:51:51,bagus
Pengguna Google,5,2024-08-13 03:07:00,sangat membantu dan menambah pengetahuan
Pengguna Google,5,2024-08-13 02:39:46,sangat bagus dan membantu para guru2
Pengguna Google,5,2024-08-13 01:56:44,sangat membantu 🙏
Pengguna Google,5,2024-08-13 01:50:09,aplikasi yang menginspirasi
Pengguna Google,5,2024-08-13 01:25:39,"baik,dapat refrensi"
