userName,score,at,content
Ahmad Deri,1,2024-05-06 07:18:23,Tiap detik iklan
Luviatun Muna,5,2024-05-06 06:44:41,TOP B G T
Aqilla Sukmawati,5,2024-05-06 06:43:30,Mantap
Rendi Andika,5,2024-05-06 06:42:45,Baik
Jepri Pramana,5,2024-05-06 06:37:03,Memuaskan
Kluthok Kropyak,5,2024-05-06 06:33:24,Terbantu menyalurkan hasrat 🤣🤣🤣
andalan martin,5,2024-05-06 06:24:54,"cukup nyaman menggunakan aplikasi ini,konten chat bisa di pilih, berbayar biasa kalau minta yang premium Terima kasih wichat"
Rahman Laut kidul,5,2024-05-06 06:14:52,Ok job
Sudir gayo,5,2024-05-06 06:10:29,Sagaat bermanfaat
Tzy Trias Trias,1,2024-05-06 06:06:34,Banyak penipu jdi perempun tolong pakai wajah kalau login jdi tau
Junaidi Sputra123,5,2024-05-06 05:15:16,Keren sekali
Boby Marljndo,5,2024-05-06 04:23:55,Good
Linda Wati,2,2024-05-06 03:59:18,Kok GK bisa masuk ya
Azkannuha Annazhivy,1,2024-05-06 03:48:32,Tambah jelek sekalian aja ganti apk judi online
Kristianus Payong Kuma,5,2024-05-06 03:38:42,"Paling Gacor aplikasi ini , mantap dan berkelas"
Nindita Azkia,5,2024-05-06 03:25:40,Ok mantaap
Delly Rahman,3,2024-05-06 03:19:58,Ⴆιʂα ʂҽɳαɳɠɠ ʂҽɳαɳɠ
Wading SPBU,1,2024-05-06 03:07:52,Iklanya sering
Raka Alwayss,5,2024-05-06 03:06:38,Kurang hotelnya doang
Mang Jono,5,2024-05-06 02:51:37,Ok
Ahmad Zanki,1,2024-05-06 02:33:37,Akun haram jaddah
Indra Maulana,5,2024-05-06 02:32:40,Bagus
Sani Septiana,5,2024-05-06 01:59:46,Ini aplikasi buat apa sih?😁
Hein Nn,1,2024-05-06 01:59:12,"bnyk iklan tutup j apkny, bnyk penipu juga"
Heri Irawan,1,2024-05-06 01:19:03,Parah parahhh banyak iklan
Sandi Arisandi,5,2024-05-06 01:11:03,"Mantap aplikasi setan, mempermudah sekali jadi ahli neraka."
Lay Fc,5,2024-05-06 01:05:51,Ok
Andhi Prabowo,5,2024-05-06 00:31:32,Menjalin persaudaran
Duddy Novrianto,5,2024-05-05 23:58:39,Good job👍🏼
karsten septianus,1,2024-05-05 23:55:33,makin kesini michat sama tolol nya kek developer nya.
Lil Davis,5,2024-05-05 23:51:57,klo bisa jangan di sensor
Irwan Rochim,1,2024-05-05 23:44:24,"Dikit2 iklan,,dikit2 iklan sebenarnya apk apaan ini......"
Yoww Gilang,5,2024-05-05 23:23:26,Bagus
M. ISMED,1,2024-05-05 22:58:34,"Cewek di dalamnya berbatang bjir.. Jijik kali gua main apk ini, auto uninstall"
Allix D'val,1,2024-05-05 22:54:22,Aplikasi ini sering keluar sendiri mungkin yang bikin sekumpulan manusia bodoh
Sahrul Urwara,5,2024-05-05 22:38:34,Oke
Dani,5,2024-05-05 22:25:24,good
Fachri Iman,5,2024-05-05 22:12:21,Kebanyakan Iklan
Antok Ornot,1,2024-05-05 22:06:23,Banyak iklan judi semua
Jainal Dirga,5,2024-05-05 21:34:47,Banyak iklaan
Ryan Ryann,5,2024-05-05 21:23:03,Apk nya terlalu banyak seponsor. Cewek nya kemahalan mhicet
Rima Tigabelas,5,2024-05-05 21:18:16,Semoga ketemu jodohnya
Aii Hadiyanti,5,2024-05-05 21:03:53,Ok
Aldo Muhammad,1,2024-05-05 21:03:35,Kenapa akun saya Suka Keluar sendiru
Empek Enak,5,2024-05-05 20:29:38,Sangat membantu
Heru Widodo,5,2024-05-05 20:25:35,Ok
Wido Pamungkas,5,2024-05-05 20:03:39,Bagus
anak Metal,5,2024-05-05 19:59:51,Good
Reza Khairul riyadi,2,2024-05-05 19:48:42,Kebanyakan iklan ..wkwkw Ga cocok untuk bisnis min
Irwan Efendi,5,2024-05-05 19:45:08,Mantap
Wahyu Trianto,5,2024-05-05 19:24:32,OK
Eman Sulaeman,5,2024-05-05 19:06:02,oke
Owie 1982,5,2024-05-05 18:37:03,Aplikasi bijak
Alwi Seem,5,2024-05-05 18:08:52,Ok
Putra Rizky putra pratama,5,2024-05-05 18:08:40,Desta
