userName,score,at,content
Raul Mansyah,5,2024-07-30 11:17:36,Luarbiasa
Riolasanjata,5,2024-07-30 06:27:36,aplikasinya sangat bagus. pokoknya kalian harus coba download yah😁😁😁
tsabit ida,5,2024-07-29 12:55:39,"aplikasi ai terbaik menurut saya, kenapa kok terbaik? karena tanpa limit pembuatan sejauh ini, tidak seperti apk yang lain yang hanya ada yg hanya 10x limit pembuatan per hari .."
AZMI HASYIM,5,2024-07-29 09:05:00,sangat bagus dan aku ngomong terimakasih aja di jawab terimakasih kembali☺️☺️☺️ gitu lo pokoknya bagus
Muhamad Syafruddin,5,2024-07-29 01:29:35,ok
Achiel Aljufry (Achiel),2,2024-07-29 00:25:33,Mencewakan...sebelum masuk akun bing suruh masuk akun Microsoft...tahu2 dibatasin
F. Mohamad,5,2024-07-27 23:17:13,good
Suanggi Tanah 2,5,2024-07-27 23:17:12,Keren
Pramudya Gangga_1212,5,2024-07-27 10:58:41,keren
Abdul Hakim,5,2024-07-26 08:36:10,sangat membantu
fandy ades,3,2024-07-25 23:32:28,tingkatkan lagi agar sesuai dengan permintaan konsumen
Fu'ad Husnan,5,2024-07-25 10:39:15,Bekerja sesuai harapan
R Af,5,2024-07-24 12:59:05,Bagus dan sangat membantu!!
Sugeng Supoyo Sidomoro,5,2024-07-24 05:13:02,bagus
Herwin,5,2024-07-23 15:26:40,Sederhanakan tampilannya....
Dadang Sunandar,5,2024-07-23 05:01:44,menyenangkan
Saskara Saskara,5,2024-07-23 00:26:11,nice apk
SAnti ys,4,2024-07-22 07:51:59,bagus lah
Rully Tuiyo,5,2024-07-22 06:45:41,sangat membantu pekerjaan
Muhammad hasrun alfarandy sucipto,2,2024-07-22 05:34:07,"Bagus sih tetapi, untuk bagian Image creator nya itu, kebijakan kontennya jangan terlalu ketat donk, soalnya saya ingin membuat gambar-gambar model wanita seksi, tetapi dilarang dan diblokir. Tolong lah jangan terlalu ketat, nanti saya tidak bisa bebas membuat gambar di Bing AI. Dan tambahkan proporsi atau ukuran gambarnya itu, biar gambarnya bisa dibikin menjadi video YouTube maupun short."
DèYè TV,5,2024-07-21 02:11:59,good...and powerfull
Difa Mustari Difa,5,2024-07-19 02:56:02,great :)
Rksmpd Rksmpd,5,2024-07-19 01:25:49,Bagus banget bjirrrr kek udh ngobrol sama manusia
Pri Yono,5,2024-07-18 08:30:13,Trimakasih
nasri salam,5,2024-07-18 08:11:50,layak mendapat bintang 5
Fahni Fanih,5,2024-07-18 07:26:52,Aku kasih bintang 6 soal nya bagus🗿
Budi Santosa,5,2024-07-17 19:19:02,sangat membantu dan menyenafkan
Lioara Telaumbanua,2,2024-07-17 08:00:41,"lumayan,tapi aplikasinya sering keluar sendiri"
Rhafael Batubara,5,2024-07-17 03:15:14,bagus
Richo Abri,5,2024-07-16 05:15:18,good
Yohanes Hendrik,5,2024-07-16 00:46:28,very helpful
Firman Aja,5,2024-07-15 22:42:25,ok banyak
Prtma Fan,4,2024-07-15 16:59:07,amazing
Purwanti,1,2024-07-15 09:08:06,"Entah kenapa menurut saya copilot semakin buruk kualitasnya, padahal sebelum-sebelumnya copilot adalah alat AI terbaik menurut referensi saya, tapi semakin kesini justru responnya semakin ngawur, memberi jawaban pun tidak tepat dan tidak sesuai fakta"
Dina Larasakti,1,2024-07-15 06:11:55,abis di update mau upload foto malah restart mulu
how low hello,5,2024-07-14 23:48:51,mantap sih
jel channel,5,2024-07-14 23:35:51,Mempermudah dalam mengerjakan pekerjaan
Ady Nugroho,3,2024-07-14 16:51:27,kadang gambar yang dihasilkan kurang akurat
Ayubi Fahmi,1,2024-07-14 16:21:54,Susah bikin akun pepek
berani usaha,5,2024-07-13 00:04:07,good
Sthefani Olive,5,2024-07-12 20:49:53,bagus
wahana wahana,5,2024-07-12 11:02:51,sangat bagus
ro hadi,5,2024-07-12 04:09:57,"Bagus , Praktis dan mudah"
mariones natalia Dirsau,5,2024-07-11 22:40:29,Sangat memuaskan
Ozzo Ozzo,5,2024-07-11 17:53:44,T.o.p
mr fauzii,5,2024-07-11 17:37:03,aplikasi ini sangat bagus
SLAMET MUJIONO,3,2024-07-11 13:50:14,lumayan.....baik...
Arya,3,2024-07-11 13:31:55,Tolong kembalikan fitur gaya percakapan! dengan menghilangkan fitur itu malah AI nya sekarang tidak seakurat yg dulu
L Hakim I,1,2024-07-11 07:36:04,"Pertanyaan yang ditanyakan apa, jawabannya malah berbeda dan gak nyambung dari apa yang ditanyakan. Padahal pertanyaannya cuma pertanyaan mudah yang jawabannya ada di internet... Tolong cara menjawab copilot nya diperbaiki lagi!"
Boby Pusakaning,5,2024-07-11 07:26:02,terimakasih sudah memudahkan
basir keling,5,2024-07-09 20:11:41,wow
Eni Kusrini,3,2024-07-09 17:00:53,Ribet
A5 Lalu Denis Arynata,5,2024-07-09 00:48:27,sangat membantu sekali
Denny,5,2024-07-08 19:58:08,👍
Raja Gaming,5,2024-07-08 12:50:44,saya merasa senang menemukan aplikasi ini
Wahyu Triwibowo,1,2024-07-08 04:34:34,"Applications cannot open, always asking for a stronger internet connection even though the wifi and internet signal is very good. Please fix it."
Jorgi Pasaribu,5,2024-07-08 01:53:01,keren
D4rkSoul123,3,2024-07-07 11:11:49,Gabisa pake gpt4
Pan Gembok,5,2024-07-07 09:32:59,alhamdulillah sangat membantu
Ahmad Oppo,5,2024-07-06 17:40:18,Bagus
Nur Farda,5,2024-07-06 11:54:34,good
Hidayatullah Ag,5,2024-07-05 14:34:31,nice
Ahmad Pinem,5,2024-07-05 10:49:05,"Mantap...,sangat membantu"
BOCAH EDAN,1,2024-07-04 20:39:12,Suka ngambek. Tiba-tiba langsung akhirkan
Dian Ermawan,5,2024-07-04 14:34:56,Luar biasa... Sangat berguna dalam berkreasi
noermand albataviand,5,2024-07-04 13:36:22,luar biasa bermanfaat
Azlie Hands,5,2024-07-04 11:53:09,baguss bgt
novri momo,2,2024-07-04 11:42:18,"Semenjak tidak ada pilihan gaya percakapan, saya rasa copilot sekarang tidak seakurat sebelumnya. Jawaban sering tidak sesuai perintah. Ayolah kembalikan fitur gaya percakapan seperti sebelumnya."
Chanel Dotcom,5,2024-07-03 16:59:15,good
Najwa Safitri,2,2024-07-03 05:44:57,so many bugs! I don't like it. fix it immediately!
Dino Nurudin,5,2024-07-03 03:46:51,"Mantab, Good Luck"
Widya N,5,2024-07-03 00:31:03,Very Helpful
Rico Crasela Official,5,2024-07-02 17:46:14,top👍👍👍
Donna Rhamdan,1,2024-07-01 05:23:00,Kurang
Zul Yasrul,5,2024-07-01 03:46:07,bagus sekali
Ahmad Panji,4,2024-06-30 12:06:58,keren
Aksa Kubra 4,1,2024-06-30 11:08:14,"Apaan banget terlalu banyak bug !!! Awal pemakaian saya apk ini sangat bagus dan perfect, tapi makin kesini makin banyak bug, untuk copilot design pun harus dibatasi hanya 15 kali pemakaian, Padahal dulunya sudah sangat bagus, unlimited. SAYA SANGAT KECEWA !!"
Rahmat Fider,5,2024-06-29 01:55:37,luar biasa
Chuz,5,2024-06-28 23:02:00,mantap
Dippo Alam (Akun kedua),5,2024-06-28 03:28:49,"Tolong logikanya diperbaiki untuk Designer. Saya minta gambar kakek tua, yang digambar malah anak muda. Tolong perhatikan!"
Muhammad Tri Cahyo,4,2024-06-28 01:28:43,👍
