userName,score,at,content
Achmad Musaddad Alwi,1,2024-06-26 07:04:02,"ada bug, detail download tidak muncul, mohon diperbaiki"
Pundi utoyo,5,2024-06-25 22:21:45,Sangat bagus
wawan listanto,1,2024-06-25 17:14:28,Ukuran semakin besar menghabiskan memori
Minha Maula,2,2024-06-24 16:31:53,Audio sering error
Andy Marsa,5,2024-06-24 06:21:00,Aku sangat suka web edge lebih mudah dan cepat
Steo Efendi Sasak Tribe,5,2024-06-24 01:19:28,Ferfect like this
Gassansahryalfi Purnama,5,2024-06-23 13:10:32,Good app
Usep Solihin,5,2024-06-22 16:37:55,Saé
dera_ 643,5,2024-06-22 10:19:50,bintang 1 boleh
Agus Susanto,3,2024-06-22 01:39:07,Crash dibeberapa website
alam semesta,1,2024-06-21 13:53:31,STOP MELAKUKAN UPDATE TANPA MELIHAT RATING ULASAN MU MICROSOFT 😔😤😠😠😠
Black_Jowo,3,2024-06-21 13:13:07,"Bagus , cuma saat download tidak ada detail download nya. Mohon diperbaiki lagi."
Bagas Wahyu,5,2024-06-20 03:54:18,Aplikasi tak berguna
Dennis Oke,1,2024-06-19 08:53:21,Bantu kami keluar dari semua masalah ini dan masalah yang lain laib nya
Onny Jikwa,5,2024-06-18 03:07:20,Aman
Neybix,1,2024-06-16 15:28:55,cant show detail Download
Narendra N,5,2024-06-16 05:39:24,Kenapa tampilan unduhan tidak ada??
Owner's Sanggar Bjbk (Bara Nada Entertainment),5,2024-06-15 22:17:08,Mantap
Refly Franky,5,2024-06-15 15:43:17,15/06 updated
Elite Sodum,5,2024-06-14 22:54:50,B supremr
Eskobar,4,2024-06-14 22:49:48,Please add the Fetch extension in the next Edge update🙏🏻❤️
salmi ringgo,5,2024-06-14 08:06:52,Munculkan tombol home pada home screen
Dasmanta Putra,4,2024-06-14 03:15:51,Good..
Arum Septiani,5,2024-06-13 00:59:34,Ok
Alfin Sulton,5,2024-06-11 11:18:19,Tolong tambahkan fitur VPN gratis🥺
Multi Purnama Sari,5,2024-06-11 09:28:37,Bagus dan stabil
Mysterious Man,2,2024-06-10 03:52:57,Padahal sudah login tapi akun gak masuk
Halim Perdana,1,2024-06-09 14:29:33,"Baru nyobain dan langsung kaget pas buka youtube,,penuh iklan,sama saja dengan yg lain. Bye bye"
