userName,score,at,content
Pengguna Google,1,2024-07-23 02:41:30,Aplikasi eror
Pengguna Google,1,2024-07-23 02:41:16,"Mau daftar susah sekali, nunggu SMS otp dari kemarin sampai sekarang tidak ada. Tolong dipermudah"
Pengguna Google,5,2024-07-23 02:39:41,Pelayanan memuaskan
Pengguna Google,5,2024-07-23 02:35:02,"Sangat membantu, terimakasih mobile JKN"
Pengguna Google,2,2024-07-23 02:32:12,ini kenapaa ga bisa terus dapet kode Verifikasi padahal ada pulsa
Pengguna Google,1,2024-07-23 02:28:00,"Susah verifikasi nomor hp, giliran sudah bisa malah nomor hp tidak sesuai, malah disuruh ubah data nomor hp? Apalah coba, nomor sudah sesuai kok sudah dapat sms verifikasi."
Pengguna Google,3,2024-07-23 02:27:27,Ko gak ada verifikasi saat lupa sandi
Pengguna Google,5,2024-07-23 02:25:04,oke mantap
Pengguna Google,5,2024-07-23 02:22:05,aplikasi ya sangat bagus namun pada saat berubah data alamat kurang puas karena d saat ud di ubah alamat ya namun menunggu bbrp Minggu alamat yg d kartu BPJS y tdk berubah
Pengguna Google,1,2024-07-23 02:16:16,"Tidak bisa mengurus pembayaran auto debit karena mau mengaktifkan kembali BPJS mandiri, selalu saja error."
Pengguna Google,1,2024-07-23 02:14:02,Otp sms ga masuk-masuk
Pengguna Google,5,2024-07-23 02:11:23,Sangat berguna sekali
Pengguna Google,1,2024-07-23 02:10:36,Saya mau login sudah masuk kan nik dan nomor hp tapi tidak ada sms yg masuk
Pengguna Google,5,2024-07-23 02:08:34,Aplikasinya bagus
Pengguna Google,5,2024-07-23 02:04:13,Aplikasi bagus cepat respon...
Pengguna Google,5,2024-07-23 02:04:03,APL lengkap
Pengguna Google,5,2024-07-23 01:53:26,Memudahkan kamii
Pengguna Google,5,2024-07-23 01:53:06,👍
Pengguna Google,5,2024-07-23 01:45:41,Terbaik untuk saat ini.
Pengguna Google,1,2024-07-23 01:43:30,kenapa mobile jkn skrg ga bsa di hp sy... katanya ga sesuai root.. apa mksdnya...bukannya hrus mmpermudah tp kok sulit makenya
Pengguna Google,1,2024-07-23 01:38:18,kode verifikasi tidak diterima terima payah
Pengguna Google,5,2024-07-23 01:34:05,"Puas dengan aplikasinya, mudah juga digunakan"
Pengguna Google,1,2024-07-23 01:34:01,"Kok apk pemerintah gini yah. Harusnya mempermudah, nyatanya engga. Apk mau dipake malah error, masukin no hp ga dikirim kirim OTP. Bobrok!"
Pengguna Google,5,2024-07-23 01:31:03,"Membantu,. Semoga bisa lebih baik lagi 👍"
Pengguna Google,5,2024-07-23 01:29:50,Good
Pengguna Google,5,2024-07-23 01:13:43,Oke
Pengguna Google,1,2024-07-23 01:13:00,Aplikasi buruk
Pengguna Google,5,2024-07-23 01:09:21,Mantap makin jooos JKN
Pengguna Google,5,2024-07-23 01:08:35,Nihil
Pengguna Google,5,2024-07-23 01:05:47,Mantap
Pengguna Google,2,2024-07-23 01:05:32,Kenapa aplikasinya sering kendala ya saat pendaftaran online. Mau input veirkasi no HP ga bisa. Coba hapus aplikasi terus download ulang malah aplikasi ga bisa di gunakan lagi
Pengguna Google,1,2024-07-23 01:01:03,"Aplikasi puki, nomor hp tidak sesuai gundulmu"
Pengguna Google,5,2024-07-23 00:58:33,Sangat membantu.
Pengguna Google,5,2024-07-23 00:47:31,👍
Pengguna Google,5,2024-07-23 00:44:33,Sangat membantu
Pengguna Google,1,2024-07-23 00:37:14,"Sering trrjadi problem setiap mau pakai, kaya gk dapet jadwal, susah login, suka masa berlaku habis, dan lainnya bnyak"
Pengguna Google,5,2024-07-23 00:35:08,Bagus
Pengguna Google,5,2024-07-23 00:26:37,"Bagus aplikasi nya, mudah untuk di gunakan"
Pengguna Google,5,2024-07-23 00:22:53,Bagus
Pengguna Google,5,2024-07-23 00:22:18,Mantapp pokonya
Pengguna Google,5,2024-07-23 00:15:24,Mantap
Pengguna Google,1,2024-07-23 00:04:00,"Error g bisa daftar online, keterangan g jelas"
Pengguna Google,1,2024-07-22 23:57:40,Kenapa engk bisa di buka
Pengguna Google,5,2024-07-22 23:55:19,"Selamat pagi bpjs sy subarsono sudah terdaftar dngn manual ,tuk donlod atau pakai aplikasi passwor nya lupa karena sudah lama tdk pakai hrp maklum krm faktor Umur"
Pengguna Google,1,2024-07-22 23:45:20,mau daftar disuruh isi no telp tapi kode verifikasi nya ga dapet dapet mana lama nunggu nya sia sia kocak mau daftar aja di persulit
Pengguna Google,5,2024-07-22 23:37:22,Sangat baik dg adanya BPJS kesehatan
Pengguna Google,5,2024-07-22 23:35:20,Sangat membantu
Pengguna Google,1,2024-07-22 23:34:46,Susah mau daftar juga
Pengguna Google,5,2024-07-22 23:28:54,Ngak bisa di buka
Pengguna Google,1,2024-07-22 23:17:07,"Apk gak guna, pas daftar gk dpt kode..."
Pengguna Google,1,2024-07-22 23:09:44,Tidak bisa verifikasi sms
Pengguna Google,5,2024-07-22 23:07:58,Sangat membantu
Pengguna Google,4,2024-07-22 23:04:25,saya menggunakan aplikasi ini sebatas mengisi data diri saya
Pengguna Google,5,2024-07-22 22:33:22,Sangat membantu. Mudah & cepat...
Pengguna Google,5,2024-07-22 22:22:40,Good
Pengguna Google,5,2024-07-22 22:12:14,Bagus
Pengguna Google,4,2024-07-22 21:45:23,Ok
Pengguna Google,4,2024-07-22 19:40:56,baru mau nyoba daftar
Pengguna Google,1,2024-07-22 18:39:45,Gak bisa menerima kode verifikasi nomor hp padahal sudah betul
Pengguna Google,1,2024-07-22 18:10:39,"Mau daftar antrian malah ada tulisan masa berlaku anda habis, silahkan hubungi developer-f1 artinya apa??"
Pengguna Google,5,2024-07-22 17:44:42,Mantap
Pengguna Google,1,2024-07-22 16:29:07,Aplikasi buatan pemerintah gak ada yang bermutu mmg. Ngabisin anggaran Negara saja. Mw daftr aja kode OTP gak trkirim2 di SMS.
Pengguna Google,5,2024-07-22 16:03:32,Keren
Pengguna Google,5,2024-07-22 15:53:32,"Sangat membantu sekali,,sukses trs jkn."
Pengguna Google,1,2024-07-22 15:47:32,Aplikasi hau hau. Register ulang malah dibilang password salah. Minta kode verifikasi lewat SMS malah gak dikirim². Aplikasi bobrok..
Pengguna Google,5,2024-07-22 15:45:33,Good
Pengguna Google,5,2024-07-22 15:42:45,Bagus
Pengguna Google,1,2024-07-22 14:59:59,knp tiap d instal error emulator trs.
Pengguna Google,1,2024-07-22 14:46:52,NYUSAHIN!!!! RIBETTT BGT MAU GANTI NOMER UTK VERIFIKASI WKWKW
Pengguna Google,5,2024-07-22 14:44:26,👍👍👍👍 Sangat terbantu dgn aplikasi ini
Pengguna Google,5,2024-07-22 14:42:39,"sejauh ini Alhamdulillah sangat membantu , belum menemukan kesusahan dalam menggunakan nya , semoga lebih baik dan selalu baik , terimakasih"
Pengguna Google,1,2024-07-22 14:42:22,"Tolong yaaa secepatnya diperbaiki, sy mau mendaftar tapi kode Verifikasi no telpon nggak dikirim-kirim!! Ini gimana sih sebenernya, saya itu mau ke dokter! Udh di ulang berapa kali dengan nomor yang berbeda tetap tidak bisa, padahal pakai wifi dns ktanya dlm keadaan offline, gimana sih"
Pengguna Google,5,2024-07-22 14:31:43,Pelayanannya sangat baik 🥰
Pengguna Google,5,2024-07-22 14:30:29,melakukan perubahan faskes mudah mantap
Pengguna Google,1,2024-07-22 14:26:48,"Minta kirim kode malah ga dikirim kirim!!! ,ku tungguin 5 masih sama ga dikirim ,tolong banget ini developer perbaiki lagi sistem pengiriman kode!!!"
Pengguna Google,5,2024-07-22 14:24:10,Baik dan cepat
Pengguna Google,1,2024-07-22 14:23:55,Daftar nomer ngak muncul pdhl no hp aktif...daftar dr jam 7 sampe skrng blm jadi.sampe asam lambung naik
Pengguna Google,4,2024-07-22 14:18:48,Yaa cukup bagus laahh
Pengguna Google,5,2024-07-22 14:10:05,"Aplikasinya sangat membantu untuk mencari informasi terkait BPJS secara paripurna. Terbantu sekali dalam mengecek peserta, riwayat pembayaran dan bisa melakukan perubahan faskes I tanpa harus datang ke kantor BPJS"
Pengguna Google,5,2024-07-22 14:03:27,Sip mantap
Pengguna Google,1,2024-07-22 14:02:38,"Aplikasinya sgt gak membantu. Kayaknya dibuat dgn tujuan ""supaya ada"" aja, padahal dari segala lini masih kurang. Mau daftar online aja ujung-ujungnya harus dateng Kantor Cabang lah, BPJS Keliling lah, HALAH! Komplain ke admin X/Twitter pun jawabannya sama, template. Juntrungannya tetap ""dipaksa"" daftar BPJS secara offline. Emang gak ada yang bisa diharapkan dari aplikasi yang dibuat pemerintah!"
Pengguna Google,3,2024-07-22 14:01:19,Sudah punya pulsa tapi kenapa tetap tidak mencukupi ya tulisannya
Pengguna Google,5,2024-07-22 13:50:10,Sangat berguna
Pengguna Google,5,2024-07-22 13:43:47,Saya cewa mau pindah pindah kota susa ya BPJSx
Pengguna Google,5,2024-07-22 13:36:02,Sangat membantu
Pengguna Google,1,2024-07-22 13:31:15,"Ini bagaimana aplikasinya, saya sudah terdaftar, aplikasi ke delete diinstal ulang mau login GX bisa, masukkan NIK tetap GX bisa #payah"
Pengguna Google,5,2024-07-22 13:15:56,Mantap
Pengguna Google,5,2024-07-22 13:11:05,Sangat membantu semua orang
Pengguna Google,1,2024-07-22 13:11:05,"Ga bisa verif no hp, oto ga kekirim² smok 3 hari.. bad bgt si"
Pengguna Google,5,2024-07-22 13:08:28,OK. THANKS
Pengguna Google,5,2024-07-22 13:04:48,Jossss
Pengguna Google,1,2024-07-22 13:02:17,Susah untuk mendaftar Aplikasi JKN
Pengguna Google,5,2024-07-22 13:00:39,Mantul
Pengguna Google,5,2024-07-22 12:42:37,Good
Pengguna Google,3,2024-07-22 12:37:39,"banyak masalah pendaftaran online sampai tahap terakhir tinggal regristasi data, disuruh daftar offline no hp tidak sesuai padahal sudah dapet kode dan tujuan mendaftar bukan merubah data.terimakasih"
Pengguna Google,1,2024-07-22 12:28:41,"susah daftar nya , berbelit belit"
Pengguna Google,5,2024-07-22 12:18:59,Siiip. Tapi bisa digunakan android 13
Pengguna Google,2,2024-07-22 12:08:43,Kenapa saya tidak. Bisa login? Selalu. Di jkn mobile. Nik . Anda salah..?? 🤔🤔
Pengguna Google,5,2024-07-22 12:07:57,Sangat membantu
Pengguna Google,5,2024-07-22 12:07:14,Aplikasi bagus peningkatan terus
Pengguna Google,2,2024-07-22 12:05:52,Sering kelur sendiri ...
Pengguna Google,5,2024-07-22 11:59:57,Bgus
Pengguna Google,3,2024-07-22 11:56:42,"kalau bisa untuk kode verifikasi melalui whatsapp juga harus di sediakan jangan hanya melalui SMS saja, oke sekian."
Pengguna Google,5,2024-07-22 11:44:55,Keren gampang gunainnya
Pengguna Google,1,2024-07-22 11:44:45,Awal daftar aja pas masukin no hp kode otp nya ga di kirim-kirim. Udah coba 4x lebih tetep ga masuk otp nya. Mana setiap kirim otp nunggu nya 250dtk buat kirim yg baru. gimana ni apk nya. Mana besoka mau kontrol posisi rs nya jauh dari rumah. Kalo daftar di tempat kan lama nunggu nya.. tolong di perbaiki ya apk nya. Makasi
Pengguna Google,5,2024-07-22 11:43:31,Mantap
Pengguna Google,4,2024-07-22 11:35:41,sangat membantu
Pengguna Google,1,2024-07-22 11:33:00,"Nuduh jaringan padahal jaringan bagus,apa ini"
Pengguna Google,5,2024-07-22 11:29:22,Saya suka
Pengguna Google,1,2024-07-22 11:20:36,"aplikasi buruk udah beberapa kali nunggu sms engga ada trus, tidak bisa membantu banget susah aplikasi buruk"
Pengguna Google,5,2024-07-22 11:14:59,Tks kerjasamamya
Pengguna Google,5,2024-07-22 11:08:51,semoga bisa membatu mengakses dalam mengurus bpjs
Pengguna Google,5,2024-07-22 11:05:23,Good
Pengguna Google,5,2024-07-22 11:02:05,Aplikasi sangat mudah d gunakan
Pengguna Google,5,2024-07-22 10:56:22,Oke
Pengguna Google,5,2024-07-22 10:54:17,Mantap
Pengguna Google,1,2024-07-22 10:53:09,Gangguan Mulu kalo mau daftar antrian online.
Pengguna Google,1,2024-07-22 10:41:54,"aplikasi gaguna,nunggu otp masuk sampe berjam jam,saran buat developernya biar lebih aware lagi sama servicenya"
Pengguna Google,3,2024-07-22 10:39:56,"Buat yang gabisa verifikasi nomer hp , harus ada pusa nya dlu ternyata kawan"
Pengguna Google,5,2024-07-22 10:31:48,Sangat membantu untuk mengubah data diri
Pengguna Google,5,2024-07-22 10:22:21,Ok
Pengguna Google,1,2024-07-22 10:21:01,Lg urgent mau login ajah susah bener...capctha.nya muter² mulu kek orang keder
Pengguna Google,2,2024-07-22 10:13:51,"Mau daftar/ kenapa susah sekali ya , sudah ada 3 hari kok belum menerima SMS otp"
Pengguna Google,1,2024-07-22 10:01:50,Apaan ini ratusan kali daftarkan no hp gak terkirim juga kode ke SMS. Parah bgt. Tapi saya maklum SBG org Indonesia saya tau bgt apk pemerintah buatan anak indo gak ada 1 pun yg bener.
Pengguna Google,1,2024-07-22 09:51:19,"saya tidak bisa registrasi, notifikasi nya nomor HP sudah digunakan oleh pengguna lain sementara nomor HP saya masih baru mohon solusi yang mulai"
Pengguna Google,1,2024-07-22 09:49:12,"Orang lagi sakit malah disuruh ke kantor cabang terdekat untuk mengurus pendaftaran auto debit, buat aplikasi gak niat kali kalian, padahal disitu bisa dari bank dan non bank, ya apa gunanya aplikasi itu kalo sama juga harus tetap ke kantor kalian!"
Pengguna Google,5,2024-07-22 09:44:09,OK
Pengguna Google,5,2024-07-22 09:42:34,"Terbaik,,sangat memudahkan terutama dalam perubahan data ga repot harus kekantor"
Pengguna Google,2,2024-07-22 09:34:52,bagus
