userName,score,at,content
M. Gopurr18,1,2024-08-12 13:34:10,bagus bgt saya kasi bintang 5 ya
Farida Dafin,5,2024-08-12 13:03:29,Sangat tidak seru????
Kartika Putri Delanne,5,2024-08-12 12:57:37,baguss
Shila Benu,5,2024-08-12 12:57:31,sangat menyenangkan
NaylaAinunNisya Nisya,4,2024-08-12 12:39:16,"misal ada yang kirim terus ga muncul², munculnya pas link yang di post di hps"
Nur Falla,5,2024-08-12 12:29:38,bagus
Mierna Rahmania,2,2024-08-12 12:10:50,Gp pun
Eltin Ningsih,1,2024-08-12 11:45:52,"Ni aplikasi gimana si,kadang ga masuk masuk 😡"
Rini Tomasoa,5,2024-08-12 11:16:46,Aplikasinya bagus
Umu Sape,3,2024-08-12 10:53:21,Gimana caranya njirrr nggak bisah aku loh
Muji Yanto,5,2024-08-12 10:47:49,Baguss banget
Saiful Sobirin,5,2024-08-12 10:15:50,Eummm lumayan lah ya tp emg harus ngejudge sih ini
Erliana Indri,5,2024-08-12 07:48:42,no comment sih
Nesa Nadira,5,2024-08-12 07:09:27,seruuuu
Na Diya,5,2024-08-12 07:01:22,Aku suka bgt sama ngl karena pacarku pun memainkan ngl ini
Agus Dayathidayat,5,2024-08-12 04:39:37,seri
ubed adventure,5,2024-08-12 01:01:59,lumyan buat seruseruan
Intan Nur,5,2024-08-11 22:29:49,seru banget apa lagi kalo di rumah sendiri an terus banyak pertanyaan dari ngl ini
Aidhil Ilham Syahputra,1,2024-08-11 22:22:04,Jelek org apk udh di hapus tiba² uang di dana ke pake untuk upgraed ke pro. Apk gk bermutu
Miqaila Azahra,5,2024-08-11 19:11:10,𝑆𝑎𝑛𝑔𝑎𝑡 𝑏𝑎𝑔𝑢𝑠
Anggun Pratiwi,5,2024-08-11 16:21:28,Bagus dan gk bikin pening
Siti hadijah Jah,5,2024-08-11 15:28:51,seru banget
zx4rzzy 01,2,2024-08-11 15:07:24,"Walaupun sudah berlangganan tetap ga ketauan, dan info yang di terima tidak akurat"
Malisa Ica,5,2024-08-11 15:05:42,bersifat pribadi
thalitaa Fidellazzz,5,2024-08-11 14:16:17,baguss bangett apk inii
Vanesa Indriani,3,2024-08-11 14:16:12,Asikk bet
Samsungg Phone,5,2024-08-11 13:38:28,baguss asik
Seva Luna,5,2024-08-11 13:16:51,seruu
Evelyn sri andin Evelyn sri andini,5,2024-08-11 13:13:48,bagus
Togog Prindafan,4,2024-08-11 13:00:55,dapat menghapus gabutz
Sakila,5,2024-08-11 12:48:35,asik
Alza Dewi,1,2024-08-11 12:46:35,aplikasi nya sangat burukkk!!!
taliya Imani,5,2024-08-11 12:32:25,bagus banget aku suka😍
HJ Minah,5,2024-08-11 12:12:50,seruuu woee
Berlian Putri,5,2024-08-11 11:48:47,"Suka banget sama aplikasi ini, bisa lihat orang yang suka ma guwehh dan bisa lihat orang orang yang munafik🙏🏻"
Sonia Ulya,5,2024-08-11 11:23:39,kerenn
Fika K,1,2024-08-11 11:10:35,"yg isi bot wkwkw, saya cuma copy link tanpa di up kemana"" tapi ada yg kirim. jadi engga nyaman banget kalo ada bot nya!"
ayaa Kii,5,2024-08-11 10:41:42,BAGUSSS 💋💋
Ica Ica,3,2024-08-11 08:32:15,Seruu
assyfa ganiatama,5,2024-08-11 08:23:32,sangat bagus
Intan Mda,5,2024-08-11 08:23:13,huh cape'
Budi Budianto,5,2024-08-11 06:30:56,apik
Fatima Nur aini,4,2024-08-11 05:45:39,Bagus sih💥💗
adinda,5,2024-08-11 04:21:26,Waw baguss Aduh bagus gak tuchh🤧
Aisyah As Syifa,5,2024-08-11 04:12:00,asikkk udh lama main tapi baru inget punyaaa♡♡♡
Tsut4ya_!,5,2024-08-11 03:31:47,gatau
chelsyyye cakep,5,2024-08-11 03:29:57,sangat bagus
Hasyratul Dhia,1,2024-08-11 02:58:51,GA BISA DIBUKA ANJENG
Nur Syakila2012,5,2024-08-10 23:38:34,Sangat bagus
khalisa an saragih,5,2024-08-10 22:47:19,baguss
Marwahh 02,5,2024-08-10 17:29:45,Sangattt bagussss
Gultom Tenaros,5,2024-08-10 16:52:39,asik
Anshari Rahman13,5,2024-08-10 16:39:26,mantap
Mesuji Lampung,4,2024-08-10 14:39:59,Agak susah sih
Arin,3,2024-08-10 14:01:52,Keren aj si...
Muhammad Zacky,5,2024-08-10 13:59:02,keren
Gea Dita,4,2024-08-10 13:22:17,Sangatttttt menarikkkk
Devia Artha,4,2024-08-10 13:18:13,bagus bngetttt pokoknya
Sg2 Kayu,5,2024-08-10 12:40:11,Baguss
Stevani Bunga,1,2024-08-10 12:38:31,bgus
Tiara Putri ayudiah,5,2024-08-10 12:20:50,"bagus,tapi gak bisa diliat siapa yg ngirim nya"
Riri Ceez,5,2024-08-10 12:11:45,ngl sngt brgna bagi syaaaa🤗
Keyra,5,2024-08-10 12:04:45,bagus
Zahra Ayu Fadilla,5,2024-08-10 12:01:12,gabisa liat sp yg kirim😭😭😭 ini udh bgs sii
Haryani Ade,5,2024-08-10 11:49:36,bagus 👍🏻
Johan Prasetio,5,2024-08-10 11:36:50,Saya mencoba NGL dan banyak sekali yang jujur kepada saya
Nanda Keysar,5,2024-08-10 11:05:06,lumayan bagus
Irwansyah17,1,2024-08-10 11:04:17,Gk ngerti
Lisa Syahia,3,2024-08-10 10:49:30,ga tau cara nyalin ke sw
ARI Dwi,5,2024-08-10 10:24:02,bagus
Sybil Aqila,5,2024-08-10 09:48:32,Nggak ada alasan
Alma Ramadani09,5,2024-08-10 09:30:01,bagus
ALFIKA Fika,1,2024-08-10 09:07:22,rame
Tuty Tyty,5,2024-08-10 07:46:00,bagus bgt
dede lisnawati,5,2024-08-10 05:33:08,Aplikasi nya seru banget aku suka soalnya sering dikirimin pesan sama team ngl nya apalagi pesan nya random bgtt kadang romantis kadang juga candaan pokoknya seru deh jadi ngerasa punya tmn virtual
Biya ais,5,2024-08-10 04:58:44,👍👍👍
Reres Palace,4,2024-08-10 04:34:55,seru
Dita Quina,4,2024-08-10 04:13:33,fbeis
Tri Yunita,5,2024-08-10 03:19:42,Sangat bagus
laan ajaaa,5,2024-08-10 01:56:10,keren
Rameyza Windy,1,2024-08-10 01:29:38,sangat baguss
Dwi Firdatunnisa,5,2024-08-10 01:27:40,Owh nggh makasih infonya gan w owo wanita cantik Wulandari yang minta ss owoo
Sofie putri Maharani,4,2024-08-10 01:00:45,bagus tpi g ngerti cara nya
Bias Senja,3,2024-08-10 00:05:00,menarik
Romee sa05,4,2024-08-09 17:35:21,Bgs tpi ak msh kurang phm cara makeknya
Sahara Karyana,5,2024-08-09 16:03:45,Kenapa ya ko ga bisa ada yang ngirim ngl
Aprilia April,5,2024-08-09 15:03:50,🤷🏻‍♀️
Gina Hania,5,2024-08-09 14:37:03,Bagusssss
Mansyur Mansyur,1,2024-08-09 14:26:25,saya sangat tertarik
Caca nanda Resta,4,2024-08-09 14:23:32,sumpah ngebug banget
AZZAM SADEWA,5,2024-08-09 14:06:43,cakepppp
nisa Fransiska natalia,5,2024-08-09 13:58:59,Bagus banget deh
Abela Rambu Chalista,5,2024-08-09 13:34:55,Menurut aku apknya bgus sih krna seru gitu jawab pertanyaan pertanyaan.. Nahh bagi yg blng blum share link udh ada prtnyaan yg msuk itu krna linknya kesambung sma instagram kalian ajah mknya pertnyaannya msuk gituuu.
Najwa Khaira Wilda,5,2024-08-09 13:16:20,bagussss
Madu Uswahp,5,2024-08-09 12:27:42,Seru dan menarik klian wajib donwload sihhhh
Khaikal,5,2024-08-09 12:10:40,mantap
Anisasasa Saasasa,4,2024-08-09 12:05:42,Bagus aplikasinya
Joshua Minas,1,2024-08-09 11:57:41,Ribet amat sumpah ni app
Pio Can,5,2024-08-09 11:55:07,Aku mau dapat pesan banyak
Olive Seluma,4,2024-08-09 11:51:41,Alap pokok o
Fakhri Darul Ikhsan,5,2024-08-09 11:20:06,Bagus bet
Nadia Azzahra,4,2024-08-09 11:05:05,untuk aplikasi nya udah bagus cuman ada yang harus diperbaiki lagi emang klo mau bales harus banget dari Ig ya
Siti Khairunnisa,5,2024-08-09 11:01:14,lucu aja bikin random 😁😁
Farah Nur faizah,5,2024-08-09 09:58:03,hiburan
Feli Agustian,5,2024-08-09 09:46:29,seruuuu
Nafisah Putri,5,2024-08-09 08:48:32,suka bangettt!! jadi kalo aku gabut aku bisa cek ngl ini🍂🍂🍂🍂
Marsya Fitri,5,2024-08-09 08:46:36,ngl bagus banget kalian wajib download
Septi Laila,4,2024-08-09 08:38:43,Yaaa bagusss
Gani Gan,5,2024-08-09 08:35:24,Mantdtull
Melati Eka nurwanti,5,2024-08-09 08:34:39,seruuu
aliska zalfa,5,2024-08-09 08:08:06,aplikasii pling debessss
Zainal 514,3,2024-08-09 07:44:41,lumayan
alya safarina,5,2024-08-09 07:33:16,"bagus, wkwkwkwkwk"
Gracelinda Baan,5,2024-08-09 07:18:55,Pokoknya bgussssssssssss
Oktavia Anggi,5,2024-08-09 06:45:34,keren
akungame dewi,5,2024-08-09 06:17:47,"akuu suka bangett, fixx kalian harus punyaa woyy"
Ramadhan Lubis,5,2024-08-09 04:34:12,So good
Caerry Farelo,5,2024-08-09 03:11:09,bagus bangat
ZAHRATUL AINI,5,2024-08-08 14:59:05,bgusss
Rifki Abdillah,5,2024-08-08 14:49:58,Blm nyobain
Ulin Saulin,5,2024-08-08 14:22:43,Enka banget aplikasinya
Sasy Sasy,5,2024-08-08 13:59:21,Bagus but aku yang gabut asik juga
jerico tonis,5,2024-08-08 13:54:47,bagus
Putri Oktaviani,5,2024-08-08 13:44:06,bagus
Devita,5,2024-08-08 13:29:48,aku kasih bintang lima karenaa menarik dan seru aku sukaa banget love love lah pokoknya
Abelia Pebryan,5,2024-08-08 13:21:52,"NGL tolong ya ini gua pake buat crush gua dan yang liat sw gua cuma dia, jadi jangan ada pesan buatan dari apknya please dehh, gua jadi bingung bgttt😔😔"
Alberose Genshin,3,2024-08-08 12:27:33,Stop give me a bot to send an anonymous:')
