userName,score,at,content
Berlin Mas,5,2024-05-05 18:18:13,💪
Katiman Mandek,5,2024-05-05 18:00:57,sangat baik
What Thehel,1,2024-05-05 17:49:15,"perasaan gua ga ngapa""in tapi ko gua di blg penyalah gunaan yaa tolong di perbaiki lagi"
Asih purnami,5,2024-05-05 17:42:13,Kok banned
Delfin Alfahrizi,1,2024-05-05 16:44:50,Banyak peraturannya
Mabar ML,1,2024-05-05 16:22:41,Berguna bagi yang jomblo dan butuh teman ngobrol
maria ros,5,2024-05-05 16:14:21,ok
adzana zakirah,1,2024-05-05 15:08:25,"Kok gk bisa buat akub baru?login facebook gk bsa,login pakai nomor hp gk bsa jga. Trus gmna mw msukx klu gk bsa login."
Hendri R,5,2024-05-05 14:40:36,Bangus jadi nambah banyak temen dan bisa bersapa orang yg ga di kenal
Su Nar,1,2024-05-05 14:22:37,Aplikasinya bagus banget
Vicky,1,2024-05-05 13:10:36,Knp ya guwe cuma makek kamera belakang ke arah bantal kena pelangaran 324jam woyy dan kalu mau di bukak harus bayar
Reymond 2009,4,2024-05-05 12:11:21,Tolong tambahkan fitur filter di ometv
arif siswanto arif siswanto,3,2024-05-05 11:36:31,gimana ya nggak bisa akun nya entah nglek ngelek nggak jelas ini harus di baiki lagi yeeee
ANNISA Nisa,2,2024-05-05 10:54:50,byk cwo yg kegitu
Arta Rizkan,1,2024-05-05 08:22:21,Apk tempek
muif muif,5,2024-05-05 06:56:02,Aplikasi ini sangat bagus orang yang jomblo bisa ketemu pacar
Alvaronizam,1,2024-05-05 06:34:18,Min tolong blokir yg video t*t*t nya saya sangat kecewa gara gara video anu nya
JHE JHEVOR,2,2024-05-05 03:40:04,"Masa kki klhatan ko pelanggaran,,,"
Catra Randy,1,2024-05-04 23:51:08,"Udah bagus menggukannya masih di ban apk tak jelas, jgn di download"
E K,1,2024-05-04 18:01:20,Ga bisa untuk gmail malas dah. Msk fb sm vk doank yg bisa
Dhany,1,2024-05-04 17:48:56,dikit dikit pelanggaran apa kali gsh mke mke pelanggaran lah
Dion Dion muda,1,2024-05-04 16:21:21,"tolong lah masa aku baru main tiba"" kena pelangaran padahal ngga ada salah"
pejuang receh,1,2024-05-04 15:55:27,Dasar apk gk bermutu tinggal main blok aja
Anita Anita,1,2024-05-04 15:47:42,"Gak nakal,knpa di block?"
CaptainJRT,1,2024-05-04 14:49:45,Ome tv Web Erorr
Rafael Rafa,4,2024-05-04 14:03:31,Saya kasih bintang 4 karena waktu saya buat akun gak langsung bisa
Prabu Revolusi,1,2024-05-04 13:52:59,Kuota game panyekkkkkk
Kadek Satya,3,2024-05-04 13:05:21,"Bagus sih,tapi kenapa saya di cegah? Padahal saya hanya memainkan alat musik khas Bali tanpa berkata kasar,cabul"
jefry,1,2024-05-04 12:29:47,"Tolong login langsung di hubungkan saja dengan akun google, belum tentu semua orang punya akun facebook, kya saya bukan pengguna facebook"
enco karsa,5,2024-05-04 11:55:02,bagus ablikasinya bisa cri tmn ngobroll pokonya seruhh bggttttt🤗🤗🤗🤗
Albertyn Timotius,5,2024-05-04 11:45:11,"Aplikasi nya bagus untuk di gunakan, di sana kita dapat bertemu orang secara acak dengan sapaan yang sopan."
Febriyansah Febriyansah,1,2024-05-04 10:48:19,Asu
Muhammad Saidi,1,2024-05-04 10:16:32,g bisa login login
Risko Rahmat,1,2024-05-04 09:54:24,Padahal ga ngeliatin yang berbau pornografi tapi di banned aneh banget aplikasi jelek
Alif Pratama,4,2024-05-04 09:28:41,Bisa ketemu orang banyak 👍🥇
PLAYER GEMING GEMING,1,2024-05-04 09:22:38,Baperan
Bambang Purnomo,1,2024-05-04 08:39:39,bikin org pada selingkuh
Arya Wijaya,1,2024-05-04 08:29:12,Tah hp kentang
Ali Akbar,5,2024-05-04 08:20:57,Aplikasi ini bagus membantu saya menemukan hal hal baru dan menambah pertemanan saya
Pusat Ban second,1,2024-05-04 07:24:01,Sangat kecewa dgn Aplikasi ini. Karna banyak penggunanya yg tidak bertanggung jawab asal melakukan pemblokiran. Padahal itu media komunikasi yg seharusnya utk kebaikan berkomunikasi. Jikalau tdk suka ya di skip aja...bukan main blokir dan merugikan sepihak. Dan diminta utk pembukaan pemblokiran dgn harus melakukan transaksi pembayaran yg tdk sedikit.
Kyla Putri,1,2024-05-04 07:08:37,Seru tp bintang 1 aj
Pati Lewar,4,2024-05-04 06:56:57,Selamat datang
Bapak Taufik,5,2024-05-04 04:34:05,Bagus.
Fransiska Alista,1,2024-05-04 03:52:49,Susah loginnya
Habiburr Rahman,2,2024-05-04 02:33:32,banyak cwo aneh
Rahesa Ardiansyah,1,2024-05-04 01:51:49,Gelut ajg
Moudy Najoan,1,2024-05-03 23:52:27,Saya kena banned jadi bintang 1 aja
Fadlan Temi aprilio,5,2024-05-03 19:35:32,Karna pada ceker babat semua
Puspa Sari,1,2024-05-03 18:34:27,"gajelas apk, ngeliatin muka ga ngomong juga kena ban Anak tolol development ni apk, kebijakan ngeraih cuan mana ada yg mau apk begini bayar bayar biar ke unlock lagi bego"
Baharsyah Rizky,3,2024-05-03 17:43:42,"Sekarang jadi ribet kalo mau daftar akun baru, selalu gagal login di vk, notifikasinya muncul harus menggunakan format internasional, udah ikutin perintahnya tapi tetep aja gamau, kalo daftar vk lewat apk omi nya langsung juga gabisa nerima kode verifikasi lewat telfon ataupun sms. Tolong diperbaiki lagi lah kemudahan untuk daftar akun barunya, banyak yg gagal terus"
Imron Rosadi,1,2024-05-03 15:12:47,aplikasi tidak bermanfaat
PINDAH INGGRIS RAYA,1,2024-05-03 14:34:11,aneh ada adek gw g pake baju ga sengaja masuk langsung kena bened bisa ga sih hapus aja sistem bened nya
Amar Mulyawan,5,2024-05-03 14:32:37,Ok.
Dhaffa Alfarizky,1,2024-05-03 14:15:27,apk celeng
Shinki,2,2024-05-03 12:39:03,Suaara nya knp beringsilk
Komala Devi,1,2024-05-03 12:19:52,Gabisa masuk
Raisa Tri amanda,3,2024-05-03 11:52:00,KENAPAAA KALAU DI LABTOP GABISAAA YAAA LOADING TERUSSS!
Aldi Rizal,5,2024-05-03 11:32:31,Suka banget sama apk ini
Tia official,1,2024-05-03 11:28:44,"Apknya gjls masa bru dowload udah di banned aja, pdhl kita gada berprilaku buruk atau ngga sopan, malah dsrh bayar gmn si ini jelek"
Kyyy77 7,4,2024-05-03 11:14:07,pdhal ga ngapa2in tp mlah di cegah mn waktunya lama bgt
ryan jeremy,1,2024-05-03 07:00:52,"enggak bisa buat akun kode otp enggak masuk"""
Dede Udin,5,2024-05-03 05:11:04,Bagus
warung salapan,1,2024-05-03 04:45:38,bagus Si cu man seeing di babd
May Maryati,5,2024-05-03 04:22:22,Aplikasi haramjadah ribet anjg
Albi Fahri,1,2024-05-03 04:14:27,Bagong
Akhmad Bakri,1,2024-05-03 04:03:32,Sekrang ome tv ngaco masa kita engga aneh² malah dilaporkan apaan klo gitu gw laporin aja semua orang yg lewat doang
MUAFA,1,2024-05-03 00:46:47,"server ga jelas, sistem ga jelas, APK GAJELASS!"
Andreanranu Saputra,1,2024-05-02 23:31:57,Aplikasi gk jelas
fajar wang,5,2024-05-02 20:40:02,Ok
Alqiz Fhrezaa,1,2024-05-02 17:12:06,Basmi orang² biadap 0 attitude itu🤯
Gilbert Pantek,1,2024-05-02 16:25:28,Ya Allah ya Tuhanku aku akan selalu
Marsella Official chenel Jeane,1,2024-05-02 15:27:01,"tidak bisa mendownload dan harus kirim saran, ini yang harus di perbaik. Terima kasih atas perhatian nya bapak dan ibu saya ucapkan terima kasih"
Hamba Sahaya,1,2024-05-02 14:55:31,"APLIKASI KAGA JELAS ! KEBANYAKAN PERATURAN, DURASI LAMA BGT ...APLIKASI NAJIS..."
DarkNoVA,1,2024-05-02 14:11:06,Aplikasi nya sangat bagus
Yoga Irwansyah,5,2024-05-02 12:18:07,Sangat baguss
vly Tambhayoung,1,2024-05-02 11:54:48,Banyak org cabul masa tim it gatau apa video gtuan
Basith Arifin,5,2024-05-02 09:45:30,Mantep
Abed Nego,5,2024-05-02 09:42:28,Bagus
agustian firmansyah,1,2024-05-02 09:35:38,apknya gabisa dibuka
Humairah Ira,1,2024-05-02 08:09:24,Soalnya susah di daftar
Muhamaddarwi Darwi,5,2024-05-02 05:34:38,luar biasa
Syafira Fira,5,2024-05-02 05:02:30,Bagus
Angellina Nazarachma,3,2024-05-02 02:55:11,Daftarnya susah anjeng
Rini 123,5,2024-05-02 01:24:37,Bagus
ben wass,1,2024-05-02 01:21:16,Tidak fungsi
Sofyan Ishak,5,2024-05-02 00:52:20,"Aku Mau Abis Ini add, saat Ktaa Bicara add Terjemahan Nya Pasti Sangat Membantu 🙏"
Dimas Sebastian,3,2024-05-01 23:10:26,Lumayan
Elsgb8 elgb,1,2024-05-01 21:28:55,"sensitif terhadap laporan, sering di laporkan di banned dengan alesan tidak jelas , padahal saya tidak menampak an hal yang sensitif tapi kenapa bisa di laporkan, aku arahin ke muka biasa aja bisa di laporkan ke banned, apk aneh ini sangatlah tidak puas dengan laporan yang tidak kondusif,"
Yurid Anha,1,2024-05-01 19:05:29,"Di laptop tampilannya loading mulu dan gak pernah ada announcement resmi buat ngatasin atau apalah,, semoga cepat di fix"
