userName,score,at,content
Pengguna Google,5,2024-06-14 13:49:34,"sangat bermanfaat, cepat ditanggapi, lengkap"
Pengguna Google,5,2024-06-14 13:43:44,"Pelayanan maksimal,Respon cepat dan aplikasi sangat akurat dan membantu dikala ada kendala pada kelistrikan."
Pengguna Google,5,2024-06-14 13:43:11,Sangat cepat dang tanggap
Pengguna Google,5,2024-06-14 13:41:26,"Cepat responnya,makasih PLN"
Pengguna Google,5,2024-06-14 13:41:20,PLN mantap sekali
Pengguna Google,5,2024-06-14 13:41:05,"Thank you, this service can be said to be very optimal. Hopefully all problems that occur can be resolved immediately via PLN Mobile.."
Pengguna Google,5,2024-06-14 13:40:17,Sangat memuaskan makasih
Pengguna Google,5,2024-06-14 13:37:40,Apps ini sangat membantu sekali Sangat bagus 👍👍👍
Pengguna Google,5,2024-06-14 13:36:04,pln mobile sangat membantu
Pengguna Google,5,2024-06-14 13:33:53,"Cek daya listrik anda, PLN mobile lebih mudah"
Pengguna Google,5,2024-06-14 13:32:20,"Cepat tanggap, ramah, baik, sopan."
Pengguna Google,5,2024-06-14 13:30:57,"Aplikasi yg sangat mendukung, terbaik."
Pengguna Google,5,2024-06-14 13:29:34,Sangat bermanfaat
Pengguna Google,5,2024-06-14 13:28:03,Terimakasih PLN Depok sawangan
Pengguna Google,5,2024-06-14 13:27:22,Sangat mebantu saya sangat puas menggunakan aplikasi ini
Pengguna Google,5,2024-06-14 13:24:53,Aplikasi ini sangat membatu
Pengguna Google,5,2024-06-14 13:21:49,"ada kendala listrik habis isya demgan keterangan 'gagal' setelah mengajukan pengaduan skitr 15 menit langsung di respon, terimakasih."
Pengguna Google,5,2024-06-14 13:20:30,mantap pokok.a puas bngt dengan pelayanan.a
Pengguna Google,5,2024-06-14 13:20:02,Sangat bermanfaat..... Membantu di waktu yang tepat
Pengguna Google,5,2024-06-14 13:18:04,Semakin mudah pelayanan pln menggunakan aplikasi ini
Pengguna Google,5,2024-06-14 13:17:12,pelayanan jadi lebih mudah dan cepat
Pengguna Google,5,2024-06-14 13:16:32,Alhamdulillah pelayanan yang diberikan sangat membantu kami dari kalangan menengah kebawah.... setiap keluhan dan pengaduan langsung besok nya didatangi petugas... sangat rekomended untuk Aplikasi dan kesigapan pegawai dan petugasnya...semoga semakin sukses selalu PLN kita untuk kejayaan NKRI
Pengguna Google,5,2024-06-14 13:15:51,"Pelayanan ya sangat ramah dan kerja sesuai dengan yang diharapkan konsumen, sukes untuk pln kedepanya"
Pengguna Google,5,2024-06-14 13:14:42,"Fast respon, laporan 10 menit di aplikasi langsung ditanggapi tim di lapangan tdk sampai 20 menit sudah di lokasi. Langsung eksekusi, profesional dan tdk ada biaya sama sekali (gratis). Terimakasih PLN sdh memberikan fasilitas pengaduan yg sangat bagus...🙏🏻"
Pengguna Google,5,2024-06-14 13:13:48,cara mengisi saldonya gmna
Pengguna Google,5,2024-06-14 13:12:54,Mantap apk membantu sekali
Pengguna Google,5,2024-06-14 13:11:14,layanan secepat kilat....nggak kuasa cepatnya
Pengguna Google,5,2024-06-14 13:11:05,Terima kasih banyak sangat membantu sekali 👍
Pengguna Google,5,2024-06-14 13:08:08,"Aplikasi,,, yang sangat membantu dan memudahkan pelanggan... Terimakasih PLN Mobile MANTAAAAAAAP.👍👍"
Pengguna Google,5,2024-06-14 13:05:47,PLN depok terbaik
Pengguna Google,5,2024-06-14 13:04:59,Respon cepat dan mudah
Pengguna Google,5,2024-06-14 13:04:58,Pln mobile mantap
Pengguna Google,5,2024-06-14 13:04:57,Pln semakin handal PLN terbaik
Pengguna Google,5,2024-06-14 13:04:23,sangat membantu masyarakat. petugas cepat menindak lanjuti aduan dari masyarakat.
Pengguna Google,5,2024-06-14 13:03:53,Aplikasi sangat membantu dalam permohonan pasang baru
Pengguna Google,5,2024-06-14 13:03:05,Mantap bos
Pengguna Google,5,2024-06-14 13:01:37,Aplikasi sangat membantu dalam pelayan pelaporan gangguan
Pengguna Google,5,2024-06-14 13:00:31,ok
Pengguna Google,5,2024-06-14 12:58:42,Pelayanan bagus terimakasih
Pengguna Google,5,2024-06-14 12:58:07,PLN TERBAIK...
Pengguna Google,5,2024-06-14 12:56:02,respon cepet 👍
Pengguna Google,5,2024-06-14 12:55:11,Rahmat Rian Sulianto
Pengguna Google,5,2024-06-14 12:53:16,Aplikasinya sangat bagus dan membantu
Pengguna Google,5,2024-06-14 12:52:28,Pelayanan yang sangat memuaskan
Pengguna Google,5,2024-06-14 12:45:13,Trimakasi PLN mobile sangat membantu
Pengguna Google,5,2024-06-14 12:44:36,"Dengan Aplikasi PLN MOBILE sangat membantu dlm melapor gangguan,pasang baru,perubahan daya dan promo2 d PLN... TERIMAKASIH PLN ULP ROTE TERBAIK👍👍👍"
Pengguna Google,5,2024-06-14 12:44:20,Aplikasi pln mobile sangat membantu kami
Pengguna Google,5,2024-06-14 12:37:05,Makasih
Pengguna Google,5,2024-06-14 12:37:05,"Terimakasih dengan aplikasi PLN MOBILE ini kami mendapat banyak kemudahan dalam pelayanan ganguan listrik, Pasan Baru, Tambah daya, dan pembelian token lewat aplikasi PLN MOBILE ini juga sangat murah biaya admin nya , semangat PLN ROTE NDAO"
Pengguna Google,5,2024-06-14 12:35:30,Pelayanan baik
Pengguna Google,5,2024-06-14 12:32:42,"Aplikasi yg sangat user_friendly, informatif dan fleksibel. Recommended sekali biar ngurusin masalah kelestrikan tidak pake ribet. Kalau ada kendala pengaduan lewat aplikasih juga sangat fast response. Service pelangganya maksimal pokoknya..Terimakasih PLN MOBILE...mantap PLN Rote Ndao.."
Pengguna Google,5,2024-06-14 12:30:18,"aplikasi PLN mobile sangat mempermudah pelanggan,tambah daya,pasang baru pelayanan gangguan sangat cepat dan mudah PLN mobile oke👍👍"
Pengguna Google,5,2024-06-14 12:30:13,Terimakasih untuk pelayanan cepat sekali
Pengguna Google,5,2024-06-14 12:29:47,Aplikasinya bagus buat pembelian pulsa
Pengguna Google,4,2024-06-14 12:21:42,Mantap
Pengguna Google,5,2024-06-14 12:21:17,"aplikasi sangat membantu, pelayanan cepat"
Pengguna Google,5,2024-06-14 12:19:28,Makasih
Pengguna Google,5,2024-06-14 12:16:00,"Aplikasi yang sangat berguna dan membantu. Terimakasih PLN, sukses selalu 🙏👍"
Pengguna Google,5,2024-06-14 12:14:51,Aplikasi ini sangat membantu👍
Pengguna Google,5,2024-06-14 12:05:10,aplikasinya sangat membantu
Pengguna Google,5,2024-06-14 12:03:41,"Aplikasi PLN mobile ini sngt bgs & ckp mmbntu pelanggan untk melakukan laporan lwt Aplikasi PLN mobile, PLN Mobile Terbaik👍👍"
Pengguna Google,5,2024-06-14 12:02:36,Aplikasi Jossss...
Pengguna Google,5,2024-06-14 12:01:07,Sangat membantu
Pengguna Google,5,2024-06-14 11:58:21,"Terima kasih PLN, Inovasinya sangat membantu kami pelanggan. PLN Mobilenya sangat mempermudah kami dalam hal pelaporan gangguan. PLN MALOLE"
Pengguna Google,5,2024-06-14 11:58:12,PLN semakin maju
Pengguna Google,5,2024-06-14 11:56:33,Apk nya sangat membantu
Pengguna Google,5,2024-06-14 11:47:44,"mantap deh, PLN selalu jaya cepat,tepat, tanpa padam"
Pengguna Google,5,2024-06-14 11:46:08,suka banget deh aplikasi paling debest!!!
Pengguna Google,5,2024-06-14 11:46:08,Sangat memuaskan
Pengguna Google,5,2024-06-14 11:42:26,"keren sangat membatu , sangat sangat bermangfaat"
Pengguna Google,5,2024-06-14 11:39:39,sangat baik
Pengguna Google,1,2024-06-14 11:37:52,"Biasanya mudah, tiba tiba tidak bisa masuk."
Pengguna Google,5,2024-06-14 11:33:12,terimakasih responnya cepat sekali
Pengguna Google,5,2024-06-14 11:25:41,JRORC1 👍
Pengguna Google,5,2024-06-14 11:23:58,mantap
Pengguna Google,5,2024-06-14 11:22:20,Nice
Pengguna Google,5,2024-06-14 11:21:01,mantap
Pengguna Google,5,2024-06-14 11:18:15,Terima kasih
Pengguna Google,5,2024-06-14 11:17:48,PLN terbaik semoga ditingkatkan
Pengguna Google,5,2024-06-14 11:16:28,Pln mobelie sangat membantu kami terima kasih pln mobile
Pengguna Google,5,2024-06-14 11:15:55,PLN mobile semakin mantap.semua kemudahan ada di aplikasi ini.untuk gangguan listrik dan beli token listrik semua ada di aplikasi pln mobile.
Pengguna Google,5,2024-06-14 11:15:37,"Bagus, mempermudah"
Pengguna Google,5,2024-06-14 11:15:07,terimakasih petugas PLN...pemasangannya listrik baru sangat cepat
Pengguna Google,5,2024-06-14 11:11:58,"Apk yang sangat mudah membantu bertransaksi,pb,tambah daya,beli token dll."
Pengguna Google,5,2024-06-14 11:09:16,Pln pelayanan memuaskan
Pengguna Google,5,2024-06-14 11:08:53,Pln mobile semakin mantaaappp
Pengguna Google,5,2024-06-14 11:07:08,alhamdulillah luar biasa petugas cepat ramah dan lancar kerjanya... terimkasih My PLN Mobile
Pengguna Google,4,2024-06-14 11:04:34,"Mohon ada perbaikan di fitur live chat. ukuran hurufnya terlalu kecil, susah untuk membaca atau menulis dalam live chat tersebut"
Pengguna Google,5,2024-06-14 11:01:02,"Aplikasinya yg sangat membantu, dan sangat mempermudah pelanggan"
Pengguna Google,5,2024-06-14 10:59:14,Aplikasi pln mobile makin mantap.kami sangat terbantu saat ada gangguan listrik.petugasnya selalu siap melayani dengan baik.
Pengguna Google,5,2024-06-14 10:57:51,Sangat baik
Pengguna Google,5,2024-06-14 10:56:57,jos
Pengguna Google,5,2024-06-14 10:51:30,Ok
Pengguna Google,5,2024-06-14 10:49:14,"Degan aplikasi PLN Mobile ini jadi semakin memudahkan untuk bisa melakukan transaksi, pengaduan, dll"
