userName,score,at,content
marcell gaming,5,2024-05-28 02:04:37,Bagus dan mantap👍🏾👍🏾
patek cok,5,2024-05-28 02:03:46,Bagus
Dewi Delpina Pardede,5,2024-05-28 02:02:05,Bagusss
Abdul Munzil karim,5,2024-05-28 02:02:03,Mantap jiwa hhh
Rudi Santoso,5,2024-05-28 01:58:42,Baguss tpi komikk mantappp
Dian Yokanan,5,2024-05-28 01:57:15,Keren
Beb mut,5,2024-05-28 01:57:09,Bagus sekali komiknya 👍
Prank Man,5,2024-05-28 01:54:17,Pelayan oke cerita mantap nggak ngebosenin
Dinda febrian,5,2024-05-28 01:53:08,Ceritanya bagus bagus
Henni Annisa,5,2024-05-28 01:50:43,😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁
hafizh hafi,5,2024-05-28 01:50:00,bagus dan menghibur
hendrik Ria123,5,2024-05-28 01:48:33,Comic yang sangat bagus
Andri Subadri,5,2024-05-28 01:46:13,Bagus sekali
Khusnatun Darmayu,4,2024-05-28 01:43:33,Lumayan dan buat aku seneng. Apa lagi koin nya cuma perlu selesaikan tugas
You2 Lose,4,2024-05-28 01:43:31,Nice
Yuky Yoongi,1,2024-05-28 01:36:56,Baik
Iqbal Indra,5,2024-05-28 01:36:15,Ok
Fitri Anjani,5,2024-05-28 01:36:07,bagus bgt apk nya
evos family,5,2024-05-28 01:35:09,Mantappp
Putri Agustini,5,2024-05-28 01:32:58,Jugoouh
dy shan16,1,2024-05-28 01:31:21,Seharusnya aplikasi seperti ini untuk dewasa
Yusuf Asidik,5,2024-05-28 01:31:10,Good
Raf Yan,5,2024-05-28 01:29:24,Ok
Destiya Arum,5,2024-05-28 01:27:11,Bagus
Elin Sianturi,5,2024-05-28 01:24:38,Wawwwwww
Maulana-MC 01,5,2024-05-28 01:21:21,Sangat bagus dan tesk nya gampang di baca
Khairul Amri,5,2024-05-28 01:15:12,👍
triratna wulandari,5,2024-05-28 01:12:49,good
Arikosandi Reza,5,2024-05-28 01:03:12,Bagus komiknya
penganggur nyari kerjaan,5,2024-05-28 01:02:02,Aplikasi yang sangat bagus
Wibuu Kelazz,5,2024-05-28 01:00:53,Bagus komik nya
Azmi T,5,2024-05-28 00:59:45,walaupun gambar kadang rendering tapi josss polll buoyyy
adek rama rama,5,2024-05-28 00:59:18,bagus
Najibah Zahro,5,2024-05-28 00:59:04,sru
Asyarul Anandaa,5,2024-05-28 00:58:44,Sangat bagus
Vina Lapakoro,5,2024-05-28 00:56:42,Bagus
Jelita Nailatul,5,2024-05-28 00:56:35,apik
Rani Run,5,2024-05-28 00:55:59,Bagus sekalu
Baharuddin Samawa,5,2024-05-28 00:45:24,Mantap bagus app nya
X IPS 4 ANDI ABDUL JABAR,5,2024-05-28 00:44:21,Ok
Winda Ketapang,5,2024-05-28 00:43:10,Banyakin koin lah min
Agung Setiyo,5,2024-05-28 00:41:38,Baguhig
