userName,score,at,content
Pande Sutha,5,2024-08-01 04:00:08,mantap
Choirul Miftah AL Batra,4,2024-08-01 03:34:50,bagus sekali aplikasinya
Rizal Bgs13,1,2024-08-01 03:02:17,Error
07_EMIR MAISAN ARIYASAFAAT XI A2,5,2024-08-01 02:04:20,"Sangat amat membantu, setiap jawaban yg diberikan dicantumkan juga sumber informasinya, informasi akurat dan lengkap"
Ali Furqan,5,2024-07-31 17:38:55,bagus banget
Reza Marwan,5,2024-07-31 08:06:23,keren
human,5,2024-07-31 04:23:59,GG Sangat Membantu.
Mr. Alvian,5,2024-07-31 00:25:35,Sheesh
Dianmonica Tabuni,5,2024-07-30 21:59:52,baguss
Bach Riyan,5,2024-07-30 14:27:39,lebih jelas
Kiki Sasa,5,2024-07-30 10:00:28,"sangat mudah untuk digunakan, tidak kaya aplikasi sebelah harus bayar"
Pepen Parlos Nasution,5,2024-07-29 04:27:04,keren banget
Kgs solihin,5,2024-07-28 17:25:47,luar biasa
M.RAIHAN ADITYA 2010,5,2024-07-28 12:00:56,😆👍
Purnama Ray,5,2024-07-28 08:09:53,bagus waktu nyari jawaban dikasih sumbernya jadi bagus buat bikin makalah rekomen bangett
Stokml12 Gege,4,2024-07-27 22:22:54,"bagus, tapi kalo bisa Semua fitur nya free 😥🙏"
BreyWoc,5,2024-07-27 12:48:18,sangat memuaskan
Budi Utomo,5,2024-07-27 07:11:19,aplikasi terbaik
Sulastri Kp10,5,2024-07-26 11:56:55,keren
Harapan Express,4,2024-07-26 10:31:53,enak lo rek 💪🤫👊
herman felani,5,2024-07-26 00:21:18,Ok
Rima Sanjaya,4,2024-07-25 13:25:48,Bagus buat pengetahuan
Ovie Sweet (DEVIE YUNITA LUSIANNA),5,2024-07-25 09:48:55,👍perplexity said: ask am 😊✌
Bayu Permana,5,2024-07-25 02:45:59,paling keren si ini jawabannya
shodiq muhammad,5,2024-07-24 20:50:12,amazing 🤩
I wonder WhoisChris?,5,2024-07-24 15:09:45,Uhhhh
Reza Lafias,5,2024-07-24 09:56:44,so far
susilo sacova,5,2024-07-22 06:38:25,keren
Riza Riza Sabrina,5,2024-07-21 17:20:24,semua informasi tersedia
Mariani Mutiara,5,2024-07-20 04:55:53,masih permulaan ..sangat baik
Katak Bangkak,5,2024-07-20 01:49:05,All chat GPT-4 for Rootter
Nasruddin Nasir,5,2024-07-19 16:42:23,Sangat membantu dalam rangka urusan tugas kuliah
Hafid Ruslan,5,2024-07-19 16:18:22,Bagus sekali dan sangat membantu
John Dery,5,2024-07-19 10:23:42,good
Yosef Aris,5,2024-07-19 09:41:59,Sangat bermanfaat
inka anaote,5,2024-07-19 03:54:15,bagus aj
Agus Holid,4,2024-07-17 15:41:42,good
Amin Satria,5,2024-07-17 15:14:23,berguna
Muhamad Aufa,5,2024-07-17 13:31:25,pilihan cepat bagi yg kebingungan jawaban dan btuh jawaban cepat
RIZQI ROMANSYAH,5,2024-07-17 11:02:37,ai ini sangat membantu dalam pengerjaan tugas dan selalu memberikan jawaban dengan akurat.
Mmas Pras,4,2024-07-17 07:13:09,sejauh ini keren dan mantap 👍🏼
Kurniawan Sirajudin,5,2024-07-16 15:45:01,sangat luar biasa
Mellan Jata,5,2024-07-16 13:22:51,bagus
Dj FL Funky,5,2024-07-16 12:53:12,bagus cocok buat menemukan informasi yang saya perlukan
Petrus Pantur,5,2024-07-16 02:49:07,sangat bagus dan membantu saya untuk menyelesaikan tugas
Erina Saputri,5,2024-07-15 11:10:28,"Sangat bagus,"
Dicky atmawijaya,5,2024-07-15 06:55:42,mantap
Hasby Pallara,5,2024-07-14 16:28:06,sangat membantu
supra mamak,5,2024-07-14 06:46:01,good
Yuyun Agnes,5,2024-07-13 23:29:44,Saya sangat suka dengan apl ini
Abi,5,2024-07-13 16:27:20,terdapat bug dimana ai memberikan jawaban yang berulangkali hingga 50+ nomer
A'an Suhandi,5,2024-07-13 03:12:33,sangat membantu dan memberikan kemudahan mendapatkan informasi
FALAH PERCETAKAN,5,2024-07-12 15:42:03,nice dan mantap jiwa
Judith De Araujo,5,2024-07-12 02:33:48,it's so great
