userName,score,at,content
Nad Lori,5,2024-05-05 03:48:01,Tentang aplikasi ini saya suka sekali karna bisa membantu saya menemukan foto yang saya cari
PUTU RANI,5,2024-05-05 03:43:24,Bagus banget aplikasi ini saya sangat suka
Riski Pratama,3,2024-05-05 02:52:15,Apek Joss
Evie Ode,5,2024-05-05 02:30:29,Baguss!!! aku ingin mencari Foto Crush ku yaitu Gilang mama lelaa!!
PUTRA PUTRA,5,2024-05-05 02:24:45,Ini sangat bgus👍
Vino Henri,5,2024-05-05 01:31:21,apk nya bagus karena ada meme yang sangat lucu ini bagus untuk masyarakat Poly.AI di postingan hahahaha
Sri Susanti,5,2024-05-05 01:25:01,Hro
Abdul Hanafi,1,2024-05-05 00:19:17,Aplikasi jelek! Masa saya pas daftar pake akun google malah ga bisa! Tolong di perbaiki lagi!
Rahmawati dewi,5,2024-05-04 22:23:31,Apk nya bagus jadi kalau cari gambar jadi mudah
Pluto,1,2024-05-04 18:37:37,Susah login
CBX yonko,5,2024-05-04 18:37:18,Banyak bokep😋
Miranda Wado,5,2024-05-04 17:54:31,👍🥰
Suminta Yhooyoo,5,2024-05-04 16:42:44,Bagus
Shanumaina Qiandra,1,2024-05-04 15:50:26,"Maaf tapi aku kesusahan pas login tanggal lahir nya, Tolong kayak dulu lagi pas login tanggal lahir nya...."
Muntianah MTsN,5,2024-05-04 15:46:55,Bagus banget semua foto yg di cari pasti muncul💗🙌
Rahmadhiya Shafa,5,2024-05-04 15:35:59,Goodd
Kyoko San-,5,2024-05-04 15:14:58,"sejak saya menginstal aplikasi ini, hari hari saya menjadi lebih baik, kadang juga saya tertawa keras melihat pin yang ada disini, sangat saya recomend untuk mencari referensi dan hal hal lucu🙏."
aira vesile,5,2024-05-04 15:14:07,"ngebantu bgt buat cari² ide gituuu. so far so good, blum nemuin mines dri apk ini, bintang 5 !!!!"
sandi saepuloh,1,2024-05-04 14:47:14,Tolong dibenerin ini error gk bisa login udah instal ulang bbrp kli malah masih aja error padahal kemaren enggak sekarang malah gk bisa login pas install ulang karna ke hapus #minnnnbaca
Aiko Alleta Wijaya,5,2024-05-04 14:31:27,Berguna
Andita Arsaka,1,2024-05-04 14:31:01,"Banyak bug,gw mau login ke akun google gak bisa"
Eyang Siti,5,2024-05-04 14:24:00,Ututuuuu
Aisah Aqila,5,2024-05-04 14:08:11,Bagus
ani handayani,5,2024-05-04 13:57:46,keren
Mekami Gyaat,3,2024-05-04 13:25:27,Udah mulai berat buat hp ram 2 GB
IX-II,1,2024-05-04 13:24:43,Fitur pencarian foto nya kenapa ada masalah terus ya gabisa dipake.
Leazzx Aleaa4real,4,2024-05-04 13:23:17,"Tolong untuk developer,ini benar benar menganggu dan tidak sedikit pula pengguna Pinterest yang menyatakan keluhan ini..saat saya mencari pin serupa dengan foto tidak bisa dan selalu menampilkan teks ""Ada masalah kami tidak dapat memberikan hasil saat ini. Coba pencarian anda lagi."" Tetapi walau dicoba berkali kali tetap tidak bisa."
elvira anindya,2,2024-05-04 13:17:40,"Hi, kenapa Saya tidak bisa daftar di akun Google maupun Facebook? Padahal Saya sudah pernah log in. Mohon diperbaiki."
Yunyun vipassi,4,2024-05-04 12:46:01,"Mohon pengembang memposisikan ulang slide pop up menu, kadang sangat mengganggu ketika surf, selalu terpilih tanpa sengaja disembunyikan atau konten tidak bagus, alangkah baiknya diberikan tombol notch dibagian atas dan bawah akan sangat membantu simpel dan mudah dimengerti dan tombol hapus pesan, karena selalu tanpa sengaja terkirim ke orang lain"
Ahmad Ramadhan,1,2024-05-04 12:43:42,Yag jomblo boleh cet wa aku
Marselo Alshora,3,2024-05-04 12:04:20,Pokoknya terbaik bagi saya 👌👍
azkadina shakayla,5,2024-05-04 11:15:55,Bagus banget bisa cari cari foto yang diamau !!
Leli Sii Gadiez Sea Blue,3,2024-05-04 11:12:18,Awalnya saya sangat menyukai aplikasi ini tapi sekarang kenapa saya tak bisa login. Tulisannya kesalahan validasi bisa di jelaskan
Afrizal Tazar,5,2024-05-04 11:07:07,Karena bagus
Andrie P Putra,1,2024-05-04 10:46:36,Gimana cara masuk nya
