userName,score,at,content
athari azhari,5,2024-07-21 05:09:19,i like it
Eli Winarno,5,2024-07-17 01:46:09,Oke
Farida Yusuf,5,2024-07-02 12:29:40,Sangat membantu
rusman gho,3,2024-07-02 11:32:43,mantap
Wartomo Tomo,5,2024-06-28 10:15:26,keren..
fregart exodus,5,2024-06-27 08:13:49,bagus banget beneran membantu dalam proses penelitian serta edukasi
Hartuti,1,2024-06-26 03:39:18,Berbayar
Rendy Albian,5,2024-06-25 08:21:07,bagus bisa mengetahui tumbuh yng kita belum tahui sebelum
anton mulyadi,5,2024-06-23 03:12:44,"aplikasi yang sangat bagus, membantu sekali dalam merawat dan mengenali jenis tanaman."
Ajirly _Lye Nevada,4,2024-06-18 13:37:39,oke sekali
Karim Siradj,5,2024-06-13 04:07:33,mantab
saripudin maulani,5,2024-06-10 11:35:12,"aplikasi keren, mudah digunakan"
Gerbang Kehidupan85,1,2024-06-07 05:30:52,Berbayar 😂👎
Ferdi Alamsah,5,2024-06-07 00:54:02,good
Elli Hernawan,5,2024-05-31 08:45:39,"Sangat sangat membantu, terima kasih"
indra zambrong,5,2024-05-27 07:02:47,sangat membantu
Test 123,5,2024-05-23 04:48:51,nice
ANDROID TUTORIAL,5,2024-05-19 05:35:34,Keren }okoknya
Gabriel Alonso,5,2024-05-12 08:17:10,aplikasinya bagus dan bermanfaat serta mempermudah mengidentifikasi tumbuhan
mar jono,5,2024-05-10 09:28:14,keren sekali aplikasi'a..
Nur Yati,5,2024-05-05 06:04:08,Oke
eunoia senja,5,2024-04-29 05:15:49,"Saya jarang memberikan penilaian pada sebuah aplikasi, apalagi jika aplikasi tersebut jarang atau hanya sesekali saya gunakan. Namun aplikasi ini meskipun jarang saya gunakan, namun tetap ada pada perangkat saya selama 2 tahun. Saya puas menggunakannya. Pengenalan tanaman bukan sekadar menegenali jenis tanaman, tapi juga memberikan insight terkait kondisi kesehatan tanaman itu sendiri."
Hidayat pikrillah,5,2024-04-29 05:13:54,bagus
Kasmirah,4,2024-04-24 18:45:07,"Bagus banget Aplikasi ini Sangat Relevan pokoknya,Saya menggunakan fitur nya ok"
siska handayani,5,2024-04-11 01:51:52,bagus app nya
Rhonal Valent pay,5,2024-04-08 06:42:09,oke
dery setiyawan,5,2024-04-01 11:16:35,"bagus aplikasi yang membantu, lebih dilengkapi lagi tentang diskripsi dan cara merawatnya"
live jilbab,5,2024-03-21 20:42:44,bagus
Azka Zenit,1,2024-03-10 06:45:31,"Jelek lama sekali mendeteksi nya,di tunggu tidak keluar hasil"
Yoji Muhammad,5,2024-03-08 01:28:16,awesome
Harianto Harianto,3,2024-03-07 09:06:59,bagus sekali
Bara Nova,5,2024-03-05 01:29:22,good app
adi dandara,5,2024-02-27 01:00:48,mantap
Muhammad Zia-ulHaq,5,2024-02-14 22:28:34,kreen
Slamet Raharjo,5,2024-02-11 20:17:25,baik dan bagus untuk kesehatan serta kecepatan dalam rangka mencapai tujuan tertentu
Saepudin yuda manggala (Aep),5,2024-02-04 10:41:35,aplikasi ini membaca sangat optimal dan sangat cepat diterima.
