userName,score,at,content
Pengguna Google,5,2024-07-25 14:27:10,Quizizz ini sangat sangat seru buat saya lumayan kasih belajar di rumah gausah belajar dah main ini aku kasih bintang 5 terimah kasih devoloper ya buat ini saya menjadi pintar
Pengguna Google,5,2024-07-25 13:52:50,Sangat membantu dan bermanfaat sekali untuk pembelajaran
Pengguna Google,5,2024-07-25 12:32:13,Makasih
Pengguna Google,5,2024-07-25 10:37:05,Good
Pengguna Google,5,2024-07-25 08:54:30,Sangat bagus dan membantu
Pengguna Google,5,2024-07-25 08:49:03,Great 💯
Pengguna Google,5,2024-07-25 04:40:20,Bagus
Pengguna Google,5,2024-07-25 04:25:08,Aplikasi yg sangat membantu guru dalam membuat pembelajaran yang menyenangkan
Pengguna Google,5,2024-07-25 04:09:33,Good experient
Pengguna Google,1,2024-07-25 03:40:23,Gk guna
Pengguna Google,5,2024-07-25 01:36:24,Aku suak karan aku di sekolah sering belajar pakai quizizz
Pengguna Google,5,2024-07-24 13:46:35,Soal beragam dan tampilan bagus
Pengguna Google,5,2024-07-24 07:58:49,Bagus sekali aplikasi ini!
Pengguna Google,5,2024-07-24 06:56:49,😱🫰
Pengguna Google,5,2024-07-24 06:31:14,Aplikasinya bagus
Pengguna Google,5,2024-07-24 05:57:19,Menyenangkan sekali aplikasi ini
Pengguna Google,5,2024-07-24 04:40:52,Aku pintar terima lasih ikwan
Pengguna Google,5,2024-07-24 03:20:21,Kerennnn
Pengguna Google,5,2024-07-24 02:29:54,Mantap
Pengguna Google,5,2024-07-24 00:16:40,"no comment, good app"
Pengguna Google,3,2024-07-23 22:46:55,"Ada error, mode kertas tak jalan, hari ini,"
Pengguna Google,5,2024-07-23 12:49:15,Sangat mudah digunakan dan dipahami 👍👍
Pengguna Google,5,2024-07-23 12:09:57,Menarik
Pengguna Google,5,2024-07-23 10:11:21,Bagus
Pengguna Google,5,2024-07-23 09:09:10,Segat bagus untuk anak
Pengguna Google,5,2024-07-23 06:36:25,Good
Pengguna Google,5,2024-07-23 03:34:03,Seruuuu
Pengguna Google,5,2024-07-23 02:10:49,Mengasikkan
Pengguna Google,1,2024-07-23 00:55:33,Teman saya curang saat bermain
Pengguna Google,5,2024-07-22 15:13:04,Good!
Pengguna Google,4,2024-07-22 13:36:43,Bagus kalau bisa soalnya d perbarui terus
Pengguna Google,5,2024-07-22 09:06:35,Terbaik👍💯
Pengguna Google,5,2024-07-22 04:51:34,Puas dengan aplikasi ini
Pengguna Google,5,2024-07-22 03:25:04,Sangat membantu pembelajaran
Pengguna Google,5,2024-07-22 02:26:56,Good for teacher examination
Pengguna Google,4,2024-07-21 14:38:15,ceruuu eyy
Pengguna Google,5,2024-07-21 13:12:39,Oke bos
Pengguna Google,5,2024-07-21 05:26:49,Mantap
Pengguna Google,5,2024-07-21 05:22:19,kerennn
Pengguna Google,1,2024-07-20 08:57:41,Tidak bisa login menggunakan akun belajar. Id
Pengguna Google,5,2024-07-19 23:04:20,Good
Pengguna Google,5,2024-07-19 11:52:38,Seru bgt!!!
Pengguna Google,5,2024-07-19 11:36:13,👍
Pengguna Google,5,2024-07-19 11:29:06,Good
Pengguna Google,5,2024-07-19 10:48:47,Sangat bagus tapi tolong tambahkan fitur untuk mengganti pakaian obits walau quiz belum di mulai
Pengguna Google,5,2024-07-19 06:34:57,Bagus
Pengguna Google,5,2024-07-19 06:16:04,Bagus
Pengguna Google,5,2024-07-19 05:44:54,Bagus
Pengguna Google,5,2024-07-19 03:20:32,Keren
Pengguna Google,5,2024-07-19 03:19:30,bagus
Pengguna Google,5,2024-07-19 02:51:51,Sipppp
Pengguna Google,5,2024-07-19 01:42:20,bagus buat belajar
Pengguna Google,5,2024-07-19 00:30:00,Saya dapat bermain bersama teman saya walaupun kami berjauhan
Pengguna Google,5,2024-07-18 13:54:09,Sangat membantu dan seru
Pengguna Google,5,2024-07-18 13:20:17,Ini membuat kita semakin cerdas dan pintar
Pengguna Google,5,2024-07-18 09:09:03,Keren apalagi udah MOU sama kemdikbud
Pengguna Google,5,2024-07-18 07:12:39,Gara gara aplikasi ini sekolah gw bisa bawa hp wkwkwk
Pengguna Google,5,2024-07-18 05:20:42,"Suka banget sma apk ini, membantu dlm belajar juga buat ngisi wktu saat msa senggang 🤩"
Pengguna Google,5,2024-07-18 03:28:51,cara seru belajar sendirian dan melatih pemahaman tentang ber bagai aspek tetapi operasi yang lambat cukup menyulitkan
Pengguna Google,5,2024-07-18 02:11:37,Mantap
Pengguna Google,5,2024-07-18 02:06:21,Kenebeuebehhe
Pengguna Google,5,2024-07-18 01:15:37,Terima kasih banyak atas apknya. Karena dengan apk ini Pembelajaran menjadi lebih menarik dan menyenangkan
Pengguna Google,5,2024-07-18 01:06:01,Sangat bagus untuk pembelajaran
Pengguna Google,5,2024-07-18 00:51:50,Bagus bangat
Pengguna Google,5,2024-07-17 07:14:24,Aplikasi ini Sangat Membantu saya Dalam Belajar
Pengguna Google,5,2024-07-17 06:53:48,"bagus banget pokok, kayak anak yg belajar disini tu seru gitu kayak game tapi belajar keren dehh👍🏻👍🏻👍🏻"
Pengguna Google,5,2024-07-17 05:42:44,Good
Pengguna Google,5,2024-07-17 04:32:18,Very good
Pengguna Google,5,2024-07-17 03:31:11,Bagus
Pengguna Google,5,2024-07-17 02:47:47,Sangatlah bagus
Pengguna Google,2,2024-07-16 16:55:10,"I found a bug, I can't print/turn the quiz into Pdf. Just a blank white when I print the quiz. Please fix it."
