userName,score,at,content
Alfarizi Samania,5,2024-07-09 23:35:14,Good
Annas Kifayah,5,2024-07-09 17:27:11,Ok
Candra Kusmaidi,5,2024-07-09 17:14:21,Mudah
Intan Madhe,5,2024-07-09 15:59:19,Luar biasa 🫰🫰
Bambang Gunarto,5,2024-07-09 13:31:36,Sewa kamar yang terjangkau
Sutikno Inc.,4,2024-07-09 13:07:56,Sedikit susah di gunakan. Saran saya di mudahkan saat liat pilihan hotel biar ga salah booking aja
Adi Gunadi,1,2024-07-09 12:34:45,Salam beraktfitas
Ishlahuddin Ibnu Amin,5,2024-07-09 12:16:20,Sangat membantu
Hoseimah “Hoseima123” Sahudri,5,2024-07-09 12:10:20,Sangat senang karna bisa terhibur
Mili Sadewa,5,2024-07-09 09:22:38,Gampang dan cepat
Ahmad Saihu,5,2024-07-09 09:02:49,Good
Rafka Aditya Pratama,5,2024-07-09 04:21:58,Good
Adnan Danish,4,2024-07-09 03:26:16,Potongan/ disc kecil
Tugiono,5,2024-07-09 02:05:19,Murah dan mudah pesan lewat aplikasi ini. Terima kasih.
Erwiin prasetyaa,5,2024-07-09 00:38:57,ENCEP..STIAWAN
Muhammad Shodiqurrifqi,5,2024-07-09 00:05:35,Keren bgt aplikasi nya
Adzkia Farisi,5,2024-07-08 22:26:50,Sangat membantu
Billy,5,2024-07-08 15:07:43,Top
Reza glauber Parulian sinurat,5,2024-07-08 14:36:07,Oke
Supri atman,5,2024-07-08 10:13:25,Mudah booking di redddorz bisa bayar cod di hotel
Awal Darmawan,5,2024-07-08 10:07:54,Good
Heru Dbass,5,2024-07-08 09:51:11,Baguss...nyaman
Dedi Awaludin,5,2024-07-08 06:03:49,"Perfect untuk rate yg relatif murah,, service and cleanlines is excellent."
Gunawan Woles,5,2024-07-08 06:03:31,Mantap
sujat moko,5,2024-07-08 05:40:58,Mudah untuk pemesanan
Wira Wijaya,3,2024-07-08 05:04:19,Bagus
Indra Magetan,5,2024-07-08 03:00:43,Mempermudah mencari penginapan dah ragau terjakau
Abd Hamid,5,2024-07-08 02:49:33,Abdhamidasyupil
Gilang Ramadhon,5,2024-07-08 00:30:03,Bagus
Nuhersi17,5,2024-07-07 23:00:02,Pemesanan cepat dengan harga lebih murah
Muhamad Yusup,5,2024-07-07 15:30:34,Baikk
Khatami Dwi Angga Kusumah Baharuddin Soediro,1,2024-07-07 15:07:03,"Pengalaman terburuk saya memesan di aplikasi reddoorz di Pangandaran. Saya sudah pesan dan sudah bayar melalu m-banking. Tapi ketika datang kelokasi harus bayar lagi seharga 1 kamar hotel. Kata pemilik nya sudah lama tidak pernah di bayar sama reddoorz. Setiap orang yang pesan pasti masuk nya ke pihak aplikasi dan tak di bayarkan ke pemilik hotel. Tolong ini di tindak lanjuti, kasian pemilik hotel dan customer."
Weni Rusmiatin,5,2024-07-07 13:47:48,Enak nyaman bersih
blacknoir,5,2024-07-07 12:50:44,Percobaan pertama smg puas
Yuliyan rifqie,5,2024-07-07 10:12:55,Easy to use
Karyo Nyoto,1,2024-07-07 05:31:30,Asw
idris s,5,2024-07-07 05:20:15,Ok
Kembang Licik,5,2024-07-07 04:33:57,Keren
David Pramuditya,5,2024-07-07 03:57:59,Good Joob
ROMI SUNARDI,5,2024-07-07 03:49:57,Dangat baik
Namaku Irvan,1,2024-07-07 03:22:09,Jujur SANGAT KECEWA Pesen penginapan lewat aplikasi redorz tapi ngga diterima pembayaran lewat apk ini....jangan diinstal gaes apk ini merugikan waktu dan uang ....
Ari Physio,5,2024-07-07 01:54:28,"murah dan ok, pelayanan ditingkatkan lgi 💕💕💕"
M Nur Hasan,5,2024-07-07 01:50:55,Bgus
Junaidi Irawan,5,2024-07-06 11:22:33,Banyak pilihan...
Firman Kurniawan,1,2024-07-06 10:19:57,"Hotel sudah tutup masih saja di pasang,dan saya sudah terlanjur pesan dan membayar, masa dari pihak aplikasi hotel sudah tutup dari tahun 2023 tidak ta, apa emang disengaja biar orang kena tipu,minta refund proses 14 hari kerja, ini juga jelas"" Kesalahan dari pihak aplikasi, jelas"" Kita yang dirugikan masih nunggu lama buat refund, GAK JELAS..."
Firdaus Ardiansyah,1,2024-07-06 09:41:26,Tolong lebih diperhatikan lagi kualitas hotel2nya
M. Hadi Santoso,5,2024-07-06 06:31:12,Oke sangat membantu serta harga kompetitif
Tio Tristyo,4,2024-07-06 06:18:47,Coba dulu
Martin Octavianus,5,2024-07-06 04:11:03,BAGUS DAN MENYENANGKAN
Ganang Nang,5,2024-07-06 04:00:45,Bagus dan memuaskan
Rendi Adiyansah,5,2024-07-06 03:11:51,mantapp
Moktar Abidin,5,2024-07-06 03:07:53,Wwconm Moktar
chafidz muhasyim,5,2024-07-06 02:51:01,Nice
Ihsan Maulana ibrahim,5,2024-07-05 17:01:25,Mntap
Ari Wibowo,5,2024-07-05 13:28:40,best
KHAIRUL MU'MIN,5,2024-07-05 13:18:00,Mantaaaaaaaps
Ade Cinta,5,2024-07-05 13:07:39,Film anak
Tebyali,1,2024-07-05 12:59:55,"tolong yg di sunter di perbaiki, dijadiin tempat prostitusi, kotor, ac rusak, lampu kamar mandi ga nyala, kamar mandi bau, kamar bau, sprei kotor banget, seisi ruangan jember, parah"
Erwin Norman,5,2024-07-05 11:46:58,Top bgt 👍
Andry Wiguna,5,2024-07-05 10:25:36,Mudah dan praktis
Neltji Daliwu,1,2024-07-05 09:45:57,"PARAH SEKALI, TIDAK ADA KONTROL TERHADAP PROPERTI SAMPAI PROPERTI SUDAH TIDAK ADA TAPI TETAP DIJUAL DAN TIDAK BISA NYA MENGHUBUNGI LANGSUNG KE PROPERTI MEMBUAT TIDAK ADA KEPASTIAN APAKAH BOOKINGAN TELAH DITERIMA DARI PADA JADI KORBAN SEPERTI SAYA KARENA MEMESAN HOTEL YANG TIDAK ADA DAN RUGI WAKTU, UANG DAN TENAGA SEBAIKNYA JANGAN PESAN HOTEL DISINI SUNGGUH - SUNGGUH SANGAT MENGECEWAKAN 😡😡😡😡😡"
lutfi hidayat,5,2024-07-05 08:07:46,Menyenangkan
Hasyim,5,2024-07-05 07:57:17,Bagus
nanang AS,5,2024-07-05 04:37:29,Ok sangat membantu
Mas Ajit,5,2024-07-05 02:26:51,Bagus banget
Bee Tour & Travel,5,2024-07-04 17:12:33,Sangat bermanfaat dan lebih mudah mendapatkan tempat yg sesuai keinginan
Farhan Zaini Mashum,1,2024-07-04 16:14:44,Jelek ga ada fitur refund
sheva gemstone,5,2024-07-04 13:30:42,Good service
Kusmianto Yanto,5,2024-07-04 13:25:20,Bintang 5.untuk seharga ini
Tatik Tri setyowati,5,2024-07-04 11:09:24,Mudah cepat akurat
Anom Alfarizih,5,2024-07-04 09:52:58,Pokok krenz makanya gw kasih bintang 5
rsma annesiyah,1,2024-07-04 09:49:57,aplikasi yang di salah gunakan
Rizki Muhammad,5,2024-07-04 04:16:07,Nice
Galaxy A31,1,2024-07-04 00:24:43,"AC ngk dingin, TV ngk hidup"
Riza Rifai,5,2024-07-04 00:00:42,Ok
Alfin Sri Krisnawan,5,2024-07-03 19:21:41,Mantap
Arya Krisna,5,2024-07-03 16:59:25,"Aman nyaman tenang buat perjalanan dinas ditengah kota, tinggal tambah fasilitas air panas buat mandi"
Bolang Guardiant,5,2024-07-03 16:21:01,Untung sekarang memuaskan sudah 2x pakai reddoors kamar rekoment
ari fani,5,2024-07-03 12:25:23,Oke
HAR SONO,5,2024-07-03 09:26:54,Good proses
Herman Syah,5,2024-07-03 09:23:27,Mudah dan cepat
Windfis Channel Rafifa,5,2024-07-03 06:57:58,"Aplikasi ini memudahkan dalam mencari hotel sesuai kebutuhan, semoga terus ditingkatkan dan terjaga kualitasnya"
Pipin Arfian,5,2024-07-03 05:31:18,"Mantap kali.. jaya terus red doors, Bnyk2 kasih promo dn potongan hrg yg lbh bsr ya.."
Norman m2g,5,2024-07-03 05:10:45,bagus
ronny dolphin,5,2024-07-03 04:15:00,Mantap
aeprisnandardanrekan advokat,5,2024-07-03 04:12:34,Mudah dan terjangkau
abdul azis,1,2024-07-03 03:28:46,Banyak menu tidak bisa diakses
bangkit triasmoko,1,2024-07-03 03:18:14,Tidak recomended
nurufie31,5,2024-07-03 02:35:34,Joss mantap
muryadiryadi,5,2024-07-02 23:17:09,Good hotel
Tomi Kristianto,5,2024-07-02 23:13:46,"Berfungsi dgn baik,mempermudah"
Sadam Husen,5,2024-07-02 23:08:01,RedDorz Mantap Nyaman
FARROZ SHAQI,1,2024-07-02 22:47:35,data bocor
