userName,score,at,content
Aldi Donald,5,2024-05-20 00:52:31,👍😜
2M Meuthia & Mikhayla,5,2024-05-20 00:50:45,Terimakasih atas gamenya anak saya suka banget👍
Arlian Kuning S.E S.H,5,2024-05-20 00:45:37,Gemanya bagus walaupun ada bug loncat² sendiri
Gjgghjj Gjvgjh,1,2024-05-20 00:39:41,bintang satu aja suda cupkup
Rafa Soit,5,2024-05-20 00:38:03,"Semua Game Bagus Seru Dan Menyenangkan, Game Paling Seru Itu Game Toilet Tower Defense, Ninja Legends Dan Restaurant Tycoon 2, Terima Kasih Roblox Sudah Membuat Game Game Yang Banyak Ini Untuk Di Nikmati Banyak Orang, Dan Mohon Bug Bug Dan Masalah Di Perbaiki, Agar MainNya Bisa Lebih Enak, Sekian Dari Saya, Terima Kasih 🙏"
Abqari Arsenio,1,2024-05-20 00:36:29,jelek banget kaya momon sapi purba 🗿🗿
elvio febryan,5,2024-05-20 00:35:36,Game ini sangatlah seru aku sangat suka game ini🌟🌟🌟🌟🌟
Risky Aditya,5,2024-05-20 00:31:31,Bagus
Baharuddin Tola,5,2024-05-20 00:29:53,Di roblox banyak game dan game nya seru seru semua walaupun selalu disconected tapi tetap seru game yang paling ku suka blox fruit
salsabila ismi nurazizah,5,2024-05-20 00:28:38,Bagus banget bisa mabar dan bisa ganti ava
lady dwie,5,2024-05-20 00:26:52,so amaizing
Nenek ema,5,2024-05-20 00:22:45,Game jelek macam kentut
Gibran Saverio,5,2024-05-20 00:22:14,Kekee
Hakim Bengkel,1,2024-05-20 00:21:38,Seruuu
Akmal Abah,5,2024-05-20 00:17:35,Roblox adalah impian ku
Qiana N Salamah,4,2024-05-20 00:17:33,Aku udah minta karakter cewek malah cowok diperbaiki sendikit ya
Viero Chia,5,2024-05-19 23:51:50,Good
Yazid 6D Yaqzha 2C,4,2024-05-19 23:50:08,Game ini sangat seru sekali....
Rinda Safitri,5,2024-05-19 23:38:16,Gem nya sih bagus tapi di berek in stroy Bisa kekurung diluar rumah
Aira Chan has,5,2024-05-19 23:35:44,Enak banget ini roblox
sarina marssy,5,2024-05-19 23:35:33,Sangat enak mainnya gak bosan
Samsul Rijal,5,2024-05-19 23:35:07,"Game ini sangat bagus dan mantap tapi sayangnya setiap menulis ada sensornya tapi geme ini sudah enak dan mantap kok jadi aku kasih bintang lima ya , sekian terimakasih"
Hena Agustin,5,2024-05-19 23:34:27,Seru game nya ga nge bosenin dan map nya banyak
Riche Azzahra,5,2024-05-19 23:34:03,Gamenya bagus banget aku kasih bintang 5 😆
S4muelMg,5,2024-05-19 23:26:45,Aku Suka Game Bocil
sean bolvin,1,2024-05-19 23:26:43,"saya sudah berkali-kali mencoba masuk semua game tetapi tidak ada hasil, tetap tertulis ""unexpected client behavior"" padahal saya tidak menggunakan cheats,ataupun hacks. Walaupun saya tunggu sampai besok hari hasil nya tetap sama, tolong untuk diperbaiki fitur jni"
joeluis Joeluis04,5,2024-05-19 23:24:31,Roblox game bagus🙂😃❤️
Hmm talach,1,2024-05-19 23:20:53,Iya bener gameplay dah bagus tp keamanan akun tingkatin lah yakali aq dah 2x kena hack orang akunku padahal udah pake keamanan ganda dan email dan ntah knp kok bisa emailnya diganti ke email yg lain. Dah aq pensi
Pickaxe GamingD,1,2024-05-19 23:19:36,ROBLOX pls fix the internet bug i cant join roblox plz
sheevayathine callysta putri setiawan,5,2024-05-19 23:19:04,"I'm curious what happens when the old form of the event starts😻, I hope, I hope the event is good, if it's bad I'll just give it a 1 rating, if it's good I'll give it a 5, that's all and thank you👍🙂"
Ken Des,5,2024-05-19 23:18:18,Sangat bagus
Omega Cariu,5,2024-05-19 23:14:31,Bagus geme roblxo tapi suka ngelek ngisep paket ya cepet banget tapi gapapa aku kasi botang 5
RIFKI TAB,1,2024-05-19 23:13:54,game ini buruk sekali masuk ke game langsung keluar
Oppo A5 black,5,2024-05-19 23:12:31,wow permainan ini sangat seru saya bisa ke map kemana saja👍 hebat deh pokoknya
Ansen Ansen,5,2024-05-19 23:11:41,👍👍👍👍👍💯💯💯🔥🔥😍😍😍😁😁😁😁
Banker Satu,5,2024-05-19 23:10:26,Makasih Roblox ini Seru Bitang 5 soalnya keren Semua good ke atur Dan Baik Karena Aku gak Juga Caranya Buat Games di roblox tapi Ini seru Berhari hari aku mainin ini sebulan setahun Tapi gak seru karena Suara Dulu dihapus
M. Rifqi,1,2024-05-19 23:08:32,"Disconnected. ...!,;"
Marwan to,3,2024-05-19 23:02:14,Gimana sih padahal tinggal dikit lagi menang tapi malah koleksi jaringan terputus terus kode 277 harus nglangin lagi
Galang Banyu nurcahyono,5,2024-05-19 22:55:56,Serubanget ada brokeven ada semua di game di roblox
Muhammad Azhar,5,2024-05-19 22:53:56,bagus banget game nya dan seru banget buat mabar
Ni Wayan Seniasih,5,2024-05-19 22:53:49,Ini game seru aku dah lama main dari 2019👌
Berty_pazu pazu_Berty,1,2024-05-19 22:50:07,ewwwww noo
Khanza Putra,5,2024-05-19 22:48:58,Game nya bagus tapi ada bug
Nevan,5,2024-05-19 22:42:11,Game nya bagus tetapi game nya memakai banyak kuota yang kita punya ......
Asifluthfi Alviansyah,2,2024-05-19 22:39:58,Gak bisa di download mohon di perbaiki
Zihan lismadani Jihan,5,2024-05-19 22:38:52,"Gamenya si bagus cuma saat aku bermain map seperti Brookhaven, Nh terus aku ganti Avatar nya eh tiba tiba lag dong 😭 tolong di berikan perbaiki ya saya GK tau mau jelasin apa lagi 🙏"
Ami Fyl,5,2024-05-19 22:36:18,Bagus tp kadang geselin
RanZ,5,2024-05-19 22:35:14,Gtw mw ngomong apa
