userName,score,at,content
Marcelino Putra,5,2024-07-13 14:50:55,"Aplikasi cukup membantu sekali memonitoring kesehatan, thankyou samsung !"
Afifur Rohman,5,2024-07-11 12:42:06,Cukup bagus dan sangat membantu
Moktar Abidin,5,2024-07-06 03:10:40,Wwconm Moktar
Zahratul Hayati,5,2024-07-02 15:04:41,"Terima kasih Samsung! Aplikasi yang sangat membantu saya dalam hal periode menstruasi, mengingatkan saya untuk minum 2L sehari, dan me-monitoring jam tidur saya."
Togo Santiago,3,2024-07-01 17:46:56,ga bisa masuk ke aplikasi pakai hp redmi 12
salsabila m,1,2024-06-30 14:22:15,tidak bisa dibuka sehingga aplikasinya tidak bisa digunakan dengan baik. performa yang turun drastis dari samsung
Riyusheizy Izamikazhara,5,2024-06-28 23:50:35,"Sebenernya bagus bangut apk nya.. cuma kenapa hari ini asupan kalory, cairan, pemilihan olahraga, Keadaan tubuh dr mulai BB/TB/TD dkk nya hilang.. tinggal penghitung langkahnya saja.. 🥲 Sedih"
zuL sisutanmudo,5,2024-06-28 12:47:37,Good
Zul Kifli,5,2024-06-27 13:04:33,Terbaik
Riyan Bayu,2,2024-06-26 14:56:10,Gak bisa dibuka
SAMSURI BAGOS,5,2024-06-23 04:58:28,Ok
Arlin Rainer,4,2024-06-22 10:49:49,"Koneksi samsung fit3 dengan galaxy a55 tidak bisa sinkron, mulai olahraga dengan fit3 padahal bawa samsung a55 juga, setelah selesai olahraga data dikirim dari fit3 ke a55 hak muncul. Tolong perbaiki."
resky heryanto,5,2024-06-20 07:37:28,Menyala coy
MR EMO,5,2024-06-19 06:07:27,Sangat bermanfaat buat mengetahui kesehatan
Dedi Firman,3,2024-06-17 22:53:56,"Saat berjalan pakai device HP,,maps nya kacau tidak akurat.."
DIN Tubena,5,2024-06-16 04:38:10,"Lapor developer info aplikasi ini mengenai pemakeannya dalam bercinta,,itu lanjutnya developer"
Lolo Lo,5,2024-06-15 12:32:25,⭐🌟⭐🌟⭐
Corrie D Angel,5,2024-06-12 01:18:30,Aplikasinya bagus dan bermanfaat dengan sajian data yg akurat
Edi Yani,5,2024-06-11 20:03:29,Masuk
Fransisca Candra,2,2024-06-09 15:10:27,"sometimes it stops count the steps, there was no problem with my internet connection and permission but it just stopped, won't add my stars until it fully fixed"
Anton Sawisno,5,2024-06-07 13:55:09,mantaaaappp
Farid hermawan saputra,5,2024-06-07 03:54:30,Bagus
Putrawan Taseri,3,2024-06-06 14:38:39,"fitur bersepeda tadak berfungsi dengan benar tidak bisa mencatat jarak tempuh,ttapi fungsi waktu dan lainya berfungsi dengan baik. Sudah dicoba instal ulang namun fitur bersepeda tetap tidak bisa mencatat jarak tempuh.Apakah bisa toling diprrbaiki."
bolukaramel _6451,5,2024-06-06 05:33:07,Awesome
YANTI AYU KEMBAR,3,2024-06-04 07:27:36,Baru kepakek
IWajan Muliastra,5,2024-06-03 07:48:51,Ok
aalap 543,4,2024-06-02 22:32:47,Ok
MHD RUDI,4,2024-06-02 05:48:45,Bagus
PRIBADYO ADI TJAHJONO,5,2024-06-02 02:14:31,Samsung a6plus
joko arif,5,2024-06-01 02:40:16,Cukup membantu monitor jalan kaki..
indra ramli,5,2024-05-31 10:56:26,Mantul
F I,1,2024-05-30 09:54:04,Menguras batre dan tidak lengkap
Rcha Fao,5,2024-05-29 07:41:12,Sangat bagus
Kasidi 32,5,2024-05-29 06:03:12,Mantap
Nur Rahmah,5,2024-05-27 12:51:17,good and nice
Abdul Barr,1,2024-05-25 07:04:02,Bikin lag doang. Jangan nyala terus lah di latar belakang. Blokk
Ferdy Julianto,5,2024-05-25 01:59:47,Mantap pokoknya samsung
irianto hutauruk,5,2024-05-24 01:59:40,Memenuhi segala kebutuhan ekpetasi saya
Denny,5,2024-05-18 12:13:21,👍
Nina WT,3,2024-05-18 00:21:54,"Pas naik kendaraan kereta, mobil dan motor ternyata di hitung langkah kaki nya. Harusnya itu ga masuk langkah kaki kita"
Edo Jonathan,5,2024-05-12 06:27:34,Mantap
Widya Arum,5,2024-05-11 08:12:04,Good
putra jeka,5,2024-05-10 09:49:56,Bagus
Dwi Oktavianto Nugroho,5,2024-05-10 06:30:01,Good
H. Andy Ramantha,5,2024-05-09 11:38:39,Mantap banget ya
Isya Rian Harahap,5,2024-05-07 00:06:04,Ok banget
Mitha KR,5,2024-05-05 00:02:39,"Keren banget, semua jenis makanan ada. Merk makanan dan minuman di Indonesia pun ada. Kalau bisa kerjasama sama fatsecret Indonesia. Jadi ada database makanan biasa"
djie suwarno,5,2024-05-02 13:02:21,Hebat
Danny Ramdhani,2,2024-05-01 05:02:09,"Mohon segera diperbaiki aplikasinya, karena setelah update malah aplikasinya menjadi sangat lambat untuk membukanya, bahkan untuk bersepeda malah terjadi bug, terima kasih"
Putri,1,2024-04-27 02:13:24,Tidak bisa konekting dengan galaxy fit3 untuk rekam langkah kaki. Tolong dibenahi
Diana Santoso,1,2024-04-25 04:54:22,"Awal d pakai bagus, skrg ga bs sinkron otomatis dengan galaxy fit , sudah jalan junlah langkah 7000, di app samsung health hanya 600, tiba2 merubah jumlah langkah d galaxy fit mengikuti yg d samsung health. Lebjih bagus pake huawei ga pernah kendala"
badruncokrah cokrah,5,2024-04-25 00:46:55,Ok
Ilam kcl ilam kcl,5,2024-04-19 09:51:56,Bagus
ArisPati فت,5,2024-04-19 05:48:13,rabbana auwdzub8llahi min syarrma al namima
Alfian Adhar,2,2024-04-17 16:25:05,tidak bisa connect dgn galaxy fit 3
Nur Salim,5,2024-04-17 03:12:56,Sangat membantu mengecek aktifitas sehari hari
Samantha Manuella,3,2024-04-14 15:45:51,"Aplikasinya bagus, cums di perhitungan kalori harian. Makanan kurang lengkap, entah dari varuasu menunya, terus jg penentuan porsinya hanya ada gram. Bikin makanan kostum jg tdk bisa diatur brp porsinya atau beratnya. Masih bisa dibuat lebih baik lagi."
Amir Amiruddin123,5,2024-04-14 11:45:36,Langsung lima
miftah pauji,1,2024-04-07 19:39:24,Ngeselin amat kalo udah server error
nunur hasanah,1,2024-04-05 03:13:37,Sudah didowload knp ga bisa dibuka ya...
Hardhimansyah Hasibuan,4,2024-04-03 15:09:10,Bagus
Silmi Mumtaz,2,2024-04-03 01:48:01,Sangat tidak menyenangkan
Teguh,5,2024-04-02 22:16:06,Oke
Ayub Hagi,5,2024-04-02 07:51:19,Keren tuk aplikasi olah raga
yuma andy permata,5,2024-04-02 03:55:54,"Keren aplikasinya, sangat membantu"
Adriadi Novawan,5,2024-03-30 08:48:32,Aplikasi yg sgt bagus untuk membantu menjaga kesehatan kita
Arien Arranggha R R,5,2024-03-24 16:55:12,Oke👍
Kanaya Ramadani06,5,2024-03-24 08:01:36,Ok
Febrian Efendi,1,2024-03-21 06:39:35,Belum bisa digunakan. Jadi sementara saya kasih rating bintang 1
Gibson Sianipar,5,2024-03-20 08:19:13,Sangat membantu aktivitas
Wawan noer hilal,5,2024-03-19 21:33:37,Mantul
Ridwan Muhammad,1,2024-03-18 21:35:03,Not working. Please fixed.
Joni Nontel,5,2024-03-14 23:11:46,Ok
Nierani Official,1,2024-03-14 08:57:01,Mental trus
marasi tambunan,5,2024-03-13 03:55:58,tidak bisa dibuka
Gratia Amelia,1,2024-03-12 08:44:12,Kenapa saya tidak bisa membuka app ini?
Saleh Mulyana,5,2024-03-11 11:47:13,.bbuvymb
Babam Permana,3,2024-03-09 00:49:25,"Track by GPS often not accurate, running route is not actual im maps. Please fix it."
Burhani AS,5,2024-03-08 00:28:53,Tapi gak bisa dibuka gmn ya
Nofgi Yugo,2,2024-02-22 00:00:39,Di Galaxy watch 4 classic saya kok tifak bisa merekam tidur ya saat ini ?
Budi Anto,5,2024-02-21 15:48:48,Bagus
Mahrus,5,2024-02-21 13:53:47,lanjutkan mahrusoke
Fatan Alfan,3,2024-02-15 00:54:03,"apknya kurang akurat, pake sepedaan udah jauh bnget tapi yg kehitung jaraknya cuma setengah 😭"
KUMALA RINI HARTANTO,1,2024-02-09 16:54:59,ga bisa di buka
ramdani,5,2024-02-09 00:36:13,"Bagus aplikasi nya .., terus di kembangkan lagi biar makin bagus lagi untuk ke depan nya"
Fawwaz Harir,4,2024-02-06 23:36:12,"sebagai user samsung bagus,tpi kurang cuma di map nya doang,lbh bgs yg dulu"
Hendra Tan,1,2024-02-06 23:32:01,No Saturation?
Aup Sub,1,2024-02-06 18:23:34,Tdk bs pembaharuan dgn mudah dan lemot
Indri7 Kurniawarman,5,2024-02-03 09:17:56,👍
septien riana,2,2024-02-02 14:11:52,Sebel banget sekarang gak bisa digunakan Padaal sebelumnha normal2 aja.. tapi tiba2 pas dibuka loading lama.. udah coba uninstal pun malah gak bisa dibuka
Rid Wan,5,2024-02-02 09:45:28,Idhgd
Filipus Nainggolan,5,2024-02-01 07:56:32,FILIPUS HOTTUA EM NAINGGOLAN
Herry Bakrie,5,2024-01-30 04:40:20,blm di coba bos
Kenny Sugianto,4,2024-01-28 09:42:26,Membantu kebugaran dan stamina
Khatharina Samparaya,2,2024-01-23 00:47:40,"Pernah di gunakan tapi setelah itu tdk bisa lagi, di install ulang tetap tdk bisa. Harusnya ada help yang bisa membantu masalah. Jadi tidak terlalu mengecewakan. Ulasan sdh banyak tapi tidak ada jawaban dari pengembang aplikasi."
Alam Barjah,5,2024-01-19 07:35:14,Good
Ribet Dan,5,2024-01-17 03:03:01,Opsional
Momi Artha,5,2024-01-15 18:02:05,Keren
Sandi Salim,5,2024-01-14 11:16:37,ok
Emy Faishol,5,2024-01-06 03:37:06,Oke....
Arita Amayani,2,2024-01-05 04:58:39,Entah kenapa kok tapi habis aplikasinya diperbarui ke versi yang terbaru malah ada bug. Tiap kali mau lihat rincian jadwal/total waktu tidur rata2 dalam sepekan terakhir nggak bisa pasti nge crash terus & balik ke laman utama. Trus saya harus gimana ini?
Eddy Ryanto,5,2024-01-04 09:30:38,Sangat membantu
Rahel Lesnussa,5,2024-01-03 12:57:24,Wah
asraf ibrahim,5,2023-12-31 11:25:08,Ok
Aria kaivan Laksita,5,2023-12-29 07:38:51,Ok mantul
Eko S,5,2023-12-27 03:13:03,kayanya bagus tapi belum dipakai
Mr. Yuseriza Anugerah Leksana,3,2023-12-25 00:57:37,"Akan lebih baik jika dilengkapi monitor intermitten fasting dan tersambung dengan banyak aplikasi pihak ketiga selain strava, misalnya relive"
Ninik Siahaan,5,2023-12-23 10:06:38,Mantap saja jadi tau kesehatan saya 👍👍👍
Harta yaputra,5,2023-12-17 17:21:14,Aplikasi yang Bagus
Aang Setiadi,5,2023-12-15 23:18:23,Terbaik
Iwan Rabany,5,2023-12-15 07:09:12,Ok
Kornelius Raubun,5,2023-12-14 21:59:11,Sangat membantu
Anwar Sazali,5,2023-12-14 01:54:18,Ok
HIFNI NASHIF,3,2023-12-08 00:09:25,Alhamdulillah cukup
Idalio da Costa Araujo,4,2023-12-06 09:19:26,Bagus
Saepullah Sae,5,2023-12-06 09:04:39,Nice
Jendra Nababan,1,2023-12-06 07:57:18,"Ke hp Oppo gak suport, apl gak guna"
Christina Veronika,2,2023-12-05 22:59:25,Penghitungan langkah sering tak sesuai...sudah jalan jauh tp banyak yg tak terdeteksi... jd ragu
ROTARI GARDEN,1,2023-12-05 03:12:17,Error terus
Ollaaa Olla,1,2023-12-04 03:45:29,Kanap appnya g bisa dibuka? Tulisannya kesalahn server terus setiap di open.
T. Wahyudi,5,2023-12-04 03:28:16,sangat membantu saya utk aktivitas olah ragapagi
Yandhika Asa,2,2023-12-03 11:46:28,"mapsnya tidak sesuai,kilometer dan pace lari agak sedikit lambat. jadi ragu"
Jonson Sianipar,5,2023-12-02 22:18:35,Ok
Yadi,1,2023-12-02 10:59:44,Saya kasih bintang satu karna saat berkendaraan dihitung juga saya sedang berjalan kaki.
Devi Rouli,1,2023-12-02 06:27:36,"Sebelumnya baik2 saja, cek hari ini tidak bisa di pakai 👎👎👎"
Poniman Huang,1,2023-11-30 06:41:41,Tidak bisa buka
Safriyanto,3,2023-11-30 00:03:05,Maaf
Arsy Irfan,5,2023-11-29 13:08:58,"SANGAT BAGUS APLIKASINYA, MUDAHKAN SEGALANYA DAN JADIKAN YG LEBIH BAIK,ANTI RUWET, ANTI GANGGUAN...AMAN TERKENDALI OK. TOP ONE PRIMA⭐⭐⭐⭐⭐👍👍👍♥️🇲🇨."
rezaafnan najib,5,2023-11-27 13:51:56,Mqntap bgtz aplikasix
Dedi Suryadi,5,2023-11-25 13:01:36,Mantap
HANS 汉斯 (Hans),5,2023-11-17 02:04:01,"Bagus aplikasinya, berjalan dengan stabil 😍"
Nurul Ainun,5,2023-11-16 17:27:43,Bagus maa saya Allah
Danar Pradana,5,2023-11-15 07:35:58,Awesome👍
iwan mulyawan,1,2023-11-12 22:49:06,Kenapa jadi begini ... ga jelas apl. ini
Misran Misran,4,2023-11-12 09:55:48,Ok
Yunitha Spn,5,2023-11-12 00:55:03,Jika r di dunia
Dewi Ina,5,2023-11-11 10:36:51,Ok
angelica marcia,5,2023-11-07 04:56:53,Keren
Ono Sarya Suyatno,2,2023-11-05 03:05:15,"Maaf Sudah beberapa hari perangkat ini tdk berfungsi, mohon untuk sesegera mungkin diperbaiki.. tk"
G Joko Triyono,1,2023-11-04 07:04:42,Maaf sy beri bintang satu karena aplkasi samsung health ini tdk bisa digunakan setelah sebelumnya bisa digunakan.. sy sampai sdh ke samsung center tgl 04 Nov 2023 di cibubur junction.. dan tetap tetap bisa membantu walau sdh berulang diinstal lagi.. solusinya dari samsung center semua aplkasi harus dibackup dulu dan di instal ulang semua dan ini tdk mau saya jalankan.. krn.memgapa dampaknya ke aplkasi lain 🙄padahal ini aplkasi resmi dari samsung kok tdk bisa dipakai di HP samsung..
bon cis,5,2023-11-03 02:07:01,"Sangat menyenangkan, membantu program diet saya"
ASAN SAN,5,2023-11-02 03:46:58,Marketing
Sri Yuniastuti,3,2023-10-31 20:26:50,tidak pakai
kuswowo kuswowo,4,2023-10-31 14:16:03,Mudah dan cepaat
Joel Joel,5,2023-10-27 14:08:38,Akurat & bermamfaat saat berolah raga & beraktifitas sehari hari apalgi jika di padukan dengan galaxy watch tambah ok
Ekaliptus Tv,2,2023-10-27 09:40:14,Setelah di upgrade malah ga bisa dibuka
Remiki Remiki,5,2023-10-24 20:52:30,Ok lah.
war nudin,3,2023-10-21 00:54:35,y n .
angelica marcia,5,2023-10-19 06:42:14,keren
Sanik Wahab,2,2023-10-18 21:54:48,Knpa angka kilo nya skrg tak ada ya.... jadi males klo selesai jogging mau update... selalu nya dpt 1 km ada angka 1 nya n seterusnya
Rama Prasetya,5,2023-10-17 10:43:52,Top
marwan cut hasan,4,2023-10-15 23:27:47,Sangat menyenangkan bisa monitor.harian
Muhamad Nurrohman,5,2023-10-11 09:46:57,Always give a early ecosystem Samsung🥰
Bambang Edy Pamungkas,5,2023-10-11 08:44:29,Bagus
Dina Ning,4,2023-10-10 18:44:25,👌👌👌👌👌
Si Aming,1,2023-10-07 12:12:32,"Aplikasi paling buruk Masa buat akun, tanggal kita dikatakan tidak valid, yang tahu lu apa gua tentang tanggal lahir."
Aboy Bobii,5,2023-09-29 12:47:28,#profil & penandaan #profil coupe bareng dol #profil foto waestetik aboy bobok
liasta muham,5,2023-09-29 02:21:41,Bagus
Wismia SN,5,2023-09-28 16:01:41,👍👍😍😍😍❤️❤️❤️
"Urai Banjasari,S.Pd",5,2023-09-25 16:25:56,Lumayan mengajak untuk selalu sehat
Choirul Takdir Syahputra - Al-Ummiy,5,2023-09-25 13:17:13,Jika bisa foto langsung makanan minuman dan integrasi dengan AI untuk identifikasi lalu proses pengeditan setelahnya penyimpanan mungkin lebih baik. Penghitung langkah bekerja dengan baik khusus di luar ruangan.
Azriel Massie,2,2023-09-25 09:19:42,Keganggu banget ama workout resume terus2. Padahal gk pencet apa2🤦‍♂️
umar vaturusi,5,2023-09-17 12:21:07,Good job
Agus Susanto,5,2023-09-16 14:16:59,Mantap
indri yulianto,1,2023-09-16 11:37:38,Not good
Andi Edi Supriadi,2,2023-09-15 15:24:58,Barusan hapus trus download lagi tetap maps g keliatan 😥😥😥
Tawijis01,5,2023-09-09 03:15:31,Alhamfulillah
Tanaya one,1,2023-09-08 23:12:10,Tolong. Seharusnya ada sesi xiaumi lah
Hariono,5,2023-09-08 15:51:00,SAMSUNG
Miska,5,2023-09-08 14:42:37,Puas
Akhmd Wkhd,4,2023-09-08 07:59:16,Empat dulu yekan
James Gardon.m,5,2023-09-07 07:32:31,Mantap
Buat Batu,5,2023-09-05 17:02:41,🏝🏝🏝🐣🐣🐣
Toto Setiadi,2,2023-08-30 05:46:28,Kok gak ada histori peta-nya seperti aplikasi sebelah2 lain.. gak kekinian.. harusnya 1 bintang saja
Amir Siregar,5,2023-08-29 10:26:55,Sekarang samsung health saya tidak bisa dibuka
Soemiati 47,5,2023-08-26 22:41:16,Oke
Asep Supriadi,5,2023-08-22 23:43:42,Ok
Nurhidayat Jap Lay Khong,5,2023-08-21 15:29:12,Mantap
Mul N Mul 84,5,2023-08-20 09:13:41,Good n nice
arso soero,5,2023-08-19 22:57:11,Ok manrap
Satria Mahardika,3,2023-08-19 15:43:10,"Waktu klik Lihat Riwayat LATIHAN, dan klik di masing-masing tanggal, tampilan Tanggal beda 1 hari. Misal klik tanggal 19 Agu, di tampilan tertulis 18 Agu, kok bisa beda?"
Budi Susilo,2,2023-08-14 05:19:37,Ini naik sepeda motor di hitung jalan langkah ya min ?
zulfatli ardiansah,5,2023-08-13 17:52:10,Semoga bermanfaat.
Meity Meity,4,2023-08-12 09:40:55,Kenapa tidak bisa buka ya setelah di update ?
Purna Nugraha,5,2023-08-10 20:08:57,Bagus
Amie Fikrie,5,2023-08-10 18:17:20,Ok bgt
Ady Bane,5,2023-08-07 19:22:50,Nice oke
"Eka Pratama Widodo, SH",1,2023-08-06 13:45:09,"Lhaaaa makin kesini malah kesono gimna sih, di update malah loading² aja. Sung sung samsung"
Syam Suri,5,2023-08-05 16:42:55,Bagus
Ambar TA,3,2023-08-05 10:48:16,Per bulan agustus 2023 aplikasi tidak bisa dibuka. Mohon diperbaiki!
Adinda Arum,2,2023-08-05 07:01:30,Setelah diupaldate ndak bisa dibuka huhu emm
Monica Sebtaria Kembaren,1,2023-08-04 22:13:39,"tiap update , jadi susah buka Apk.. history juga hilang"
Ika Septy,3,2023-08-04 20:09:18,"Sudah berulang kali uninstal lalu instal ulang, tapi masih bermasalah. Tidak bisa dibuka, hanya loading terus. Mohon diperbaiki ya. Aplikasinya padahal bagus lho."
ida amira,5,2023-08-01 10:00:09,"Bagus, sangat membantu kontrol Bagus"
Kim Ralya,3,2023-08-01 02:26:34,"Si bangsat, loading mulu tai"
Dudy Sumawinata,5,2023-07-31 15:17:21,All We Need Is Faith!
Reny Ananda 14,2,2023-07-31 06:16:41,"Tolong banget ini mah, aku udah 4 kali ngehapus instal samsung healt gara-gara pas dibuka aplikasinya loading aja. Padahal aplikasinya berguna banget"
Medyarizka DANI,3,2023-07-30 03:25:37,"Sory, kasih bintang 3 dulu. Sebelum update mayor terakhir, untuk traking olahraga jalan bisa keliatan histori dlm bentuk jalur2 di maps, setelah update ga ada peta nya. Hanya grafik saja. Bugs lainnya mungkin di smartwatch nya, kadang pas olahraga jalan tiba2 restart dari awal lg. Mohon perbaikan software nya. Device yg saya gunakan galaxy watch4."
Saiin Sanusi,5,2023-07-29 05:52:29,Baik
Rahman Sah,5,2023-07-27 17:34:37,Mantap
Haris Munandar,1,2023-07-26 22:36:42,Tiba tiba tidak bisa dibuka
Adinda Rabiki,1,2023-07-26 14:07:34,Beres diupgrade malah loading terus ga bisa dibuka
Purwani Handayani,1,2023-07-24 04:54:18,Gak bisa dibuka setelah update. Sering gak bisa baca aktifitas. Dan saat di uninstal malah datanya lama juga hilang. Padahal sdh disingkronkan otomatis
Bambang Wiyoso,3,2023-07-23 00:39:24,Bagus
Karimuddin Karimuddin,5,2023-07-23 00:34:30,Bagus
Bukti H Damanik,4,2023-07-22 05:41:13,"Setelah di upgrade, aplikasi samsung health tidak bisa dibuka alias loading doang. Di uninstal bbrp waktu lalu di instal baru dpt digunakan"
Dian Np,1,2023-07-21 23:41:24,"Tidak bisa dibuka, terjadi kesalahan🤷‍♀️"
Gobai Gobaibo,5,2023-07-21 23:35:50,Iya
Yunus Hananto,5,2023-07-21 00:12:02,Mantap
Sarif Shannon,5,2023-07-19 22:49:09,Goood
Ibrahim Sultan,1,2023-07-18 23:41:09,"Hasil tidak akurat banget,berubah2 trus jaraknya meskipun jarak yg di tempuh sama dengan sebelumnya,parah banget"
Khatrin Sembiring,5,2023-07-18 01:23:52,Makasiii
Argon 76,5,2023-07-11 17:14:00,Dengan adanya aplikasi ini bijin hidup lebih hidup
Liong Mei Ling,5,2023-07-11 07:55:25,Membantu sekali
taufik hidayat,5,2023-07-09 13:45:04,Mau d coba dulu
Lilik Sugiharso,5,2023-07-09 06:00:45,👍
Sales 6 ohw,4,2023-07-07 06:30:41,"Aplikasi sangat membantu utk mengukur waktu dan perjalanan kita, dapat menjadi aplikasi penunjang kesehatan dan kebugaran tubuh."
christian justin alexander lim,5,2023-07-06 16:36:58,gak bisa di download
Shafari Ramli,5,2023-07-02 07:29:24,Bagus
Idris Apandi,5,2023-07-01 03:08:18,Bagus
