userName,score,at,content
hidjriah mustika,5,2024-07-18 01:02:14,Mantapz Tingkatkan lagi
Rahmat Alfian,5,2024-07-18 01:01:30,mantap
Rafli Jefry,5,2024-07-18 00:51:56,aplikasi bagus dan terpercaya
Ginanjar Putra Taksoko,5,2024-07-18 00:49:58,bagus
Siti Nadya,5,2024-07-18 00:44:07,cukup bintang yg bicara
Rita Biyat,5,2024-07-18 00:43:39,seabank mantap transfer cepat
Maw_official,5,2024-07-17 23:56:36,"gratis transfer ke bank lain adalah senjata unggulan seabank untuk menjadi opsi satu satu nya nasabah menggunakan seabank, keren dan pertahankan"
alizar ujengk,3,2024-07-17 23:49:36,mantap
Septian Jibi,5,2024-07-17 23:28:50,good
Mhmd Med,1,2024-07-17 23:27:24,"keamanan nya berlebihan,salah pamah dikit langsung di blokir akses masuknya customer service nya kaya raja gabisa diberi penjelasan tapi kita harus nerima penjelasan dia ,nasib uang saya nyangkut sekarang gabisa disentuh karena di blokir akunnya"
Sandi Adul,5,2024-07-17 23:13:12,allhamdulilah mantap
Fikri Indo,5,2024-07-17 23:11:21,bagus semakin menarik
Sakirah Aina,5,2024-07-17 22:34:36,"Sangat memuaskan, transaksi lancar dan aman disini,selain itu proses pembuatan akun sangat cepat ya sehingga siapapun bisa menabung menggunakan aplikasi nya, aplikasi ini juga sangat lengkap dari segi fitur-fitur nya sangat lengkap jadi sangat mudah ketika menggunakan aplikasi ini ya,pastinya ada banyak keuntungan yang bisa kita peroleh dengan menggunakan aplikasi ini,sistem dari aplikasi nya sangat jelas memberikan kemudahan dalam hal transaksi seperti membeli pulsa,top up wallet dan lainnya."
alex rumengan,5,2024-07-17 22:28:20,simpel
fikri sirojuddin,5,2024-07-17 22:04:01,good 👍
Bawek KreseK,5,2024-07-17 21:57:42,Ok
Tau Ripojie,5,2024-07-17 21:44:03,"Benar benar sangat menguntungkan menabung menggunakan aplikasi seabank ya,soal keamanan nya tak perlu diragukan lagi soalnya aplikasi nya sudah berada dibawah naungan OJK, Aplikasi ini terbaik diantara beberapa bank digital yang ada saat ini,kenyamanan dari konsumen adalah hal yang paling utama dari aplikasi ini,selain mudah di operasi kan aplikasi ini juga memberikan banyak keuntungan saat menggunakan aplikasi ini bertransaksi ya kawan, aplikasi nya sangat memuaskan banget menurut aku."
Pangeran Biru,5,2024-07-17 21:21:38,mudah digunakan
Singo Lie,5,2024-07-17 20:27:06,ok banget mudah bertransaksi
Mfajarrn 15190,5,2024-07-17 20:22:07,mantab
INIDIA NET,5,2024-07-17 20:19:44,"mantap,simpel, mudah"
Wawan Hudodo,5,2024-07-17 19:01:49,sangat mudah dan gratis transfernya sangat banyak
Fheynitha Fhey,5,2024-07-17 18:34:36,bagus
Zulfika Hermawan,5,2024-07-17 18:19:38,rekomendasi banget bagi yang suka rutinitas harian trf ke bank lainn ..maju terus dengan fitur yang terbaru
Sunarso S.Pd.I,5,2024-07-17 18:07:47,serba cepat dan aplikatif
Tf Hj,5,2024-07-17 18:05:41,Sangat efektif sekali.
Tokoemas Emas,5,2024-07-17 17:56:43,sangat bagus
Putra Sipayung,5,2024-07-17 17:54:08,mantap
Refni Puspita,5,2024-07-17 17:54:01,memang bank yang sangat baik
Muhammad Kholil,5,2024-07-17 17:53:31,bagus
Rizor 12,1,2024-07-17 17:41:24,Aplikasi apaan ini lama gak di pakai sekali nya di pakai login nya susah ga ada kirim OTP !! Sistem nya BURUK
Martunis,5,2024-07-17 17:31:36,mantap
Black Zamir,5,2024-07-17 17:10:59,good
Gilank Chekidot,2,2024-07-17 16:59:16,cukup senanglah
Joni Jon,3,2024-07-17 16:55:58,Baru mencoba
budi santoso,5,2024-07-17 16:54:31,is ok mantap
Yuniar,1,2024-07-17 16:40:28,Nga bisa log in lagi
racundu TMF,1,2024-07-17 16:40:13,"Saya menggunakan aplikasi ini udh hampir lama ,cuma pas saya mau ganti nomor hp saya ,karena tidak bisa login ,saya menghubungi cs ke Nomor cs nya ,saya udh bisa login dan nomor HPnya saya udh di update , tetapi anenya pas saya login dan password baru saldo saya hilang jadi kyk mna nih admin solusinya setiap orang TF tiba2 uang saya hilang"
Alin Setiani,5,2024-07-17 16:37:14,sangat membantu sekali ini seabank perthankan ya
syafril Alyyu,5,2024-07-17 16:29:53,seabank amazing
arno Pajawai,5,2024-07-17 16:26:24,mantap
Salman Parisi,5,2024-07-17 16:20:58,Alhamdulillah sampai saat ini seabank top untuk aplikasi tabungan transaksi dan lain lain sangat berguna banget
Wina Nha,5,2024-07-17 16:17:43,mantappppppp bangettt
diyah ayu,5,2024-07-17 15:58:10,mudah banget
Endro,5,2024-07-17 15:54:24,P Apl sangat bagus
Dava speed,5,2024-07-17 15:53:50,bagus sekali
Aditya Wisnu naraya,5,2024-07-17 15:52:43,senang sekali bisa menggunakan seabank karena biaya admin hampir 0 dan yang terpenting akses nya yang mudah serta keamanan yang tinggi membuat nya merasa nyama saat di pakai untuk transaksi sehari hari
Dedi Firmansyah,5,2024-07-17 15:41:50,cepat prosesnya
Rosendra Priansyah,5,2024-07-17 15:40:23,mantap
Dimas,1,2024-07-17 15:39:36,Tolong buat seabank jangan kirim code vertifikasi ke wa tapi ke sms karna wa saya ke blokir dan otomatis saya tidak bisa buka wa dan saya login seabank susah menerima code sms karna tidak masuk ke sms pasti ke wa dan otomatis saya tidak bisa login ke akun seabank saya dah lah pasrah aja ikhlasin akun seabank ga bisa di buka😁
yand Ahmad,5,2024-07-17 15:28:20,Ok
Nayla Saefulzahra,5,2024-07-17 15:14:17,mantap
Wahyu,5,2024-07-17 14:57:44,Membuat rekening mendapat untung. Beneran terimakasih banyak 🙏🙏 memudahkan untuk TF ke bank mana saja Sukses terus untuk SeaBank amin🤲🤲♥️
Alula tira azhalina,5,2024-07-17 14:53:04,Tf gratis mantap
Anggi Wardina,5,2024-07-17 14:51:20,sangat membantu 🥰
Hasbi Muntaha,5,2024-07-17 14:39:59,the best
Mutasarovi Akhiroh,5,2024-07-17 14:39:26,bNyak bunga. pembayaran shopee lebih mudah
Fiki Seni,5,2024-07-17 14:39:07,rekomended
Ariyan S,3,2024-07-17 14:34:27,kerennnn
Yogi Ananda anadia,5,2024-07-17 14:32:59,sangat bisa di andalkan terimakasih
Bos Ngapaks,5,2024-07-17 14:32:29,mantap jiwa no kaleng2
Eko Gitare,5,2024-07-17 14:30:07,Mantab
Arga Saputra,5,2024-07-17 14:20:58,"terimakasih untuk seabangk,trnsperya sangat mudah ke ewallet,dan tida ada biaya adminya"
Ela Lestari,5,2024-07-17 14:05:59,bagus
Gusti Atim,5,2024-07-17 14:04:10,mantap
Tartila Amin,5,2024-07-17 14:01:01,ok
Gin gin Ginanjar,5,2024-07-17 13:53:28,ok
Asputri Wulandari,5,2024-07-17 13:50:38,gratis biaya transaksi sangat puas
Anastasya Putri M,5,2024-07-17 13:46:35,"MANTAP, GAMPANG DAN TAK ADA KENDALA"
Toni Permana,5,2024-07-17 13:43:52,bsgus
Novi Meri,5,2024-07-17 13:42:15,sangat mudah dan membantu sekali
Putri Wijaya,5,2024-07-17 13:41:03,mantap
Mutih Kejo,5,2024-07-17 13:40:02,apk yang sangat bagus
Ella Marianurhayati,5,2024-07-17 13:28:21,trima kasih seabank semoga maju terus
JAJANG ABDUL HENDI (Rochhendhy),5,2024-07-17 13:25:12,praktis
inayah and friends,1,2024-07-17 13:22:06,promo pembukaan ada cashback ternyata hanya hoax
Zulfan Zian,5,2024-07-17 13:20:58,transaksi sangat mudah
Hariadi,5,2024-07-17 13:19:45,keren
Rina Nur Wahyuni,5,2024-07-17 13:19:43,mudah akses apapun
Asep Feri,5,2024-07-17 13:05:47,"puas banget sama aplikasi nya mantap, gampang dan simple dan sangat membantu.."
Trio Budi,5,2024-07-17 13:05:31,ok
Dody Bingal,5,2024-07-17 12:57:12,LANCAR DAN MUDAH
Herman Plani,4,2024-07-17 12:55:46,ok
Diranyuki Yuki,5,2024-07-17 12:54:20,sangat membantu
Richelle Azira,5,2024-07-17 12:53:34,tf kapan aja kmn aja freee admin 💞
Diyah Ayuni Ayy,5,2024-07-17 12:51:21,"sangat bagus, saya suka seabank"
Syahkeulana Putra,5,2024-07-17 12:48:49,"murah, cepat, hebat"
Heru Siswanto,5,2024-07-17 12:46:20,♨️
"Eric Kurniadi, ST",5,2024-07-17 12:42:46,keren
Umi Yuliani,5,2024-07-17 12:32:18,aplikasi yang sangat membantu .... tranfer kesemua bank hanya Rp0... kereeen ...kasih bintangnya fullllll
Bianca Cahaya,5,2024-07-17 12:29:35,Mantap
Rohmat Three,5,2024-07-17 12:24:29,"mudah, cepat, gratis transfer"
Fany azizah,4,2024-07-17 12:20:01,"heran suka bingung sendiri padahal transaksi setiap bulannya minimal lebih dari 10jt tapi ngga ada keluar fitur sea pinjam sedangkan yang transaksi jarang bahkan baru daftar langsung ada fitur sea pinjam bukannya gimana gimana ya tapi aneh ga si,hehehe"
Encuy Jtk,1,2024-07-17 12:16:29,Aplikasi buruk ngerugiin isi pulsa 2x ga pernah ada saldo terpotong pulsa nya ga ada
Wong Jowo,5,2024-07-17 12:16:17,oke mantap
Risman Nuram,5,2024-07-17 12:10:46,Sangat bermanfaat
arlyn wijaya,5,2024-07-17 12:07:20,"proses mudah cepat, kepuasan pelanggan yg utama dan perlu diperhatikan, trima kasih"
Baja Marulak,5,2024-07-17 12:05:11,mantap
M. Abdul Ghoni (Dul),5,2024-07-17 12:02:07,josss semoga selalu gratis pengiriman
Ringgo Mild,5,2024-07-17 11:56:27,sangat mudah dan terpercaya
tyo wijanarko,5,2024-07-17 11:50:35,TOP
Rizky Alvtra,5,2024-07-17 11:46:31,bagus transfer mudah
Ujang Suherman,5,2024-07-17 11:41:24,sangat membantu
ιsι ʀᴇғᴇʀᴀʟ ༼ A7BBVF ༽ dpat 5 juta,5,2024-07-17 11:36:07,"Aplikasi mantap poll,,, udah banyak mencoba aplikasi serupa dan hampir sama,,, tapi terlalu sulit untuk penggunaannya,,, serta terlalu mahal untuk biaya kirimnya,,, sangat beda dengan sea bank yg selalu mudah dalam penggunaan serta ada banyak gratis kirimnya,,, sehingga bisa melakukan banyak transaksi sekaligus dalam seharinya,,, untuk langkah daftar hanya perlu KTP saja,, dan proses verif identitas juga mudah terbaca,,, pokoknya sangat disarankan untuk mengunduh awal,,, karena sangat nyaman."
