userName,score,at,content
Kusumjaywati,1,2024-04-28 03:55:09,"Apk gak jelas di bukak malah keluar"" sendiri"
Baray Wijaya,3,2024-04-28 03:54:35,Kenapa shoppe saya di buka terus kembali keluar sendiri ya min
•TMBL _noob,4,2024-04-28 03:54:04,"Apa cuma saya aja, setiap buka shoee sering kepentall? Tolong dong min di perjelas"
ShafiraDN,1,2024-04-28 03:53:55,"Semenjak di update makin banyak bug. Baru masuk belum ada 10 detik balik lagi ke awal. Mau belanja mau liat"" ga ada 10 detik balik lagi ke awal. Gimana mau pake ni aplikasi hadehhh ga bisa check out."
baper gaming,1,2024-04-28 03:53:55,"Payah mau belanja apk nya sekarang suka close sendiri dan sering baru buka baru liat liat bentar udh close apk nya. Mau bayar spayletter aja susah close mulu apk nya udh instal ulang berkali kali tetep aja gitu,, giliran spayletter lewat japo nelponin mulu kaya ee...."
Badrul Mujib,2,2024-04-28 03:52:41,"Makin di update makin error tau knapa yaa.. malah semakin nglag. Sdh di unistall lalu install ulang tetep aja gitu.. Tolong segera ditangani dengan baik,jika berharap saya mengubah ulasan ini..🙏"
rizka aulia,1,2024-04-28 03:51:41,"Min, kenapa kok tetep gk bisa di buka aplikasi nya? Keluar"" terus secara otomatis. Udah nyoba hapus terus install lagi tetep aja gk bisa di buka. Gimana dong. Aku mau CO😭"
A Cahya,3,2024-04-28 03:51:13,aplikasi suka tiba tiba keluar
Amini Tobunggu,3,2024-04-28 03:51:05,Kok shopee skrng log out sendiri yaa.. mohon diperbaiki lagi
Hasegawa Ryota,4,2024-04-28 03:51:00,Kenapa ya sering bug keluar sendiri mohon diperbaiki min atau ada solusi lain mohon ferdbacknya
Victor Kalya,1,2024-04-28 03:48:52,"Error trus pdhal udah di install ulang, tiap klik kluar sndiri klo ga kmbali ke halaman awal"
yuda rakasiwi,1,2024-04-28 03:48:23,Tolong perbaiki...kok sering kaluar sendiri
annisa elfa,2,2024-04-28 03:47:13,"Udah sering kepental, banyak lag nya padahal kekuatan sinyal bagus, udah di update juga, cache juga udah dibersihkan tapi kok tetep aja ya?!, tolong ini diperbarui lagi!"
Naswa Alfina,5,2024-04-28 03:46:24,bagus
Mas Roni,2,2024-04-28 03:46:23,"Shopee sekakang banyak kekurangan. Terutama masalah pengiriman, terlalu lama. Kalau di bandingin dengan sebelah, jauh perbandingan shopee 3-7hari sedangkan sebelah 1-3 hari bahkan kadang pesan sore besok sudah datang.! Sejedar saran saja tolong di tingkatkan masalah pengiriman.!! Ya itu kalau di tanggapin sih sama pihak shopee."
siti stree,4,2024-04-28 03:46:13,"Gak bisa dipakai transaksi sudah beberapa hari selalu kembali ke halaman utama dan sudah log in beberapa kali juga tetap sama aja gak ada perubahan, tolong diperbaiki."
RY Fatraa,5,2024-04-28 03:45:48,Menyala 🔥
nesc okan,5,2024-04-28 03:45:24,Good
Adi Prima,1,2024-04-28 03:44:53,Sudah 3 kali barang saya hilang di jalan
Iwan Setiawan,1,2024-04-28 03:43:03,Ini aplikasi sering reload sendiri. Tolong perbaiki
dktau kotanyasaya,5,2024-04-28 03:42:55,Keren banyak dapat voucher gratis ongkir
MYaxlan,5,2024-04-28 03:42:45,Menarik🤔
BAWONO AJI,5,2024-04-28 03:42:07,perbanyak selalu ada gratis ongkir 0 rupiah dan promo barang murah original
