userName,score,at,content
Avey,1,2024-04-25 12:50:48,Memberi dislek tidak sesuai ekspektasi 👎🏿
War Yono,2,2024-04-03 12:47:14,Ga bisa kebuka game nya
Mauli Dan,5,2024-03-27 16:05:48,ini game horror PT silent hill terbaru guys
Joshua Nggiu,5,2024-03-13 09:07:39,Terima kasih sudah rilis game ini aku sangat senang main game horror terbaru gw mau bikin konten tapi leg juga sih tapih ini penjelasan gw terima kasih
注意note,1,2024-03-02 22:58:01,Sampah
Fajar Awan,1,2024-02-21 12:02:40,cashgrab
Deny Hendri,1,2024-01-29 00:49:10,Game gagal
Karman Hasan,4,2024-01-28 23:16:52,"Aplikasi ini ada batasan umur, daftarnya online, nontonnya online Jadi lihat batasan umur pada deskripsi aplikasi, dan sediakan wifi karena cukup menguras data jika pake cellular, game ini mirip RPG text game jadi bisa dibilang sebagai serial horror animation interaktif, karena meskipun tidak ada game play tetapi karakter bisa di modifikasi dan diberi gear"
Ahmad Yusuf Mochsin,1,2024-01-14 07:56:54,"Min Saya punya permintaan Min, tolong buatin Game Film Seperti ini lagi dong, tapi fersi petualangan seperti anime One Piece, tapi Semua Player adalah MCnya masing masing, tapi jalan ceritannya menurut Si MC tersebut, kalau bisa sih, tolong ya, dan kalau bisa ada bahasa Indonesiannya"
Fazri Nurdianto,1,2024-01-12 02:55:06,Penipuan
Adita Mahendra,1,2024-01-10 12:34:03,"Ini bukan game guys. Ini kayak kita nonton film tp dengan tema silent hill, dan harus bayar buat ikut voting jalan cerita mana yg mau kita pilih. Sangat gak recommended. Buat yang mau cari game Silent Hill, mending nunggu aja yang Silent Hill 2 remake. Itu baru game Silent Hill."
Nakashima 75,1,2023-12-31 01:07:31,"Kecewa berat, kirain gim"
Ravly Putra maulana,1,2023-12-21 06:53:51,"Langsung ke inti, gak bagus ."
Mas Taka,4,2023-12-16 14:29:18,Keren but sering ngelag
Kamoxerosonataremaros,4,2023-12-09 17:13:51,"Untung jalan ceritanya bagus, jadinya masih lumayan terselamatkan buat diikuti."
Michael Alessandro,1,2023-12-02 16:06:08,No gameplay just a video 💀
Dedadd Fajarr,1,2023-12-01 02:54:54,"Gameplay ga ada, ini mah bukan game"
Grey Biru,1,2023-12-01 00:42:40,Game ga jelas
Dam Santoso,1,2023-11-29 06:22:36,Game rusak
Pollymorph,1,2023-11-28 12:22:54,look how they massacred my boy
Ahmad diki Permana,1,2023-11-26 11:14:27,Ini bukan game jir wkwk
Ambri Muhammad,1,2023-11-26 09:13:46,"Cara masuk nya gimana,masuk gem nya aja susah"
Rafasya,1,2023-11-25 13:35:30,dikira bakal ada gameplay
Febi Apriliani,1,2023-11-25 07:07:19,Log-innya ribet
mushoku tensei,1,2023-11-23 18:38:51,aneh
Yun秒 “SuryaAdiKencana”,1,2023-11-21 17:50:11,Bored
Fatihh,1,2023-11-18 12:25:18,SAMPAH. Hapus aja nih game
Indrawati Indrawati,5,2023-11-18 05:07:52,GG gmag iesa Raindra
Djumia Mia,1,2023-11-17 07:20:53,Game nya jelek banget. Karna belum ku instal :)
Sasori Gaming,1,2023-11-15 19:06:48,Bukan gameplay
Pophyx Farrel,1,2023-11-14 06:46:10,what a game?!
Hoshino Kuiziki,1,2023-11-14 01:33:59,Kirai gameplay
Kunto Ardianto,1,2023-11-14 00:00:44,Worst silent hill game series
Bagas ramadhan,1,2023-11-13 20:15:11,Ngabisin kuota aja.
RAPZ,1,2023-11-12 11:12:04,How to play
Muhammad Irvinando Setiawan,1,2023-11-12 05:46:45,Not that fun for me
Assyifa Nur Faizin,5,2023-11-12 04:36:02,bagus banget
Bahra Rahmadi,1,2023-11-12 03:35:41,Silent (mid) game
Susmiati Mulkan,5,2023-11-12 03:01:27,Bagus
Doni Gameplay,1,2023-11-12 02:45:24,Game gaje
Kos di Banyuwangi,5,2023-11-11 16:11:11,Ada hadiahnya gaaak
Harry Pahlawan,3,2023-11-10 22:54:55,"Silent Hill deserved better. Better make it more like The Walking Dead Telltale's style than a LIVE Series, which is pointless unless you're watching it live. But the story overall is good this far. The graphics and gameplay is NOT really good. I hope the other Silent Hill games doesn't mess up this franchise."
Yogi Hardinop,1,2023-11-10 22:23:33,"Ini game bukan sih?? Harusnya game silent hill itu horror, bukannya malah gak jelas kayak gini ya... Bukannya dibikin langsung petualangan saja, gak usah begini begitu...."
HaykalGun6418,3,2023-11-09 15:15:03,"Scammm , tulis aja cerita klo mau buat game ,ada gameplay lah minimal"
Rifa Rahman,1,2023-11-09 10:30:23,Game kntl
Etetwew etetwew,1,2023-11-09 08:14:07,Hahaha susah kali di klik
Aryawan Lokantoro,1,2023-11-09 07:26:13,Jelek
Harris Alfanoza Dewanto,1,2023-11-08 10:19:20,"Mau main aja agak ga nyaman tombolnya ga kepencet mulu dan kebanyakan loading, game nya keliatan masih setengah jadi banyak hal yg perlu diperbaiki"
MUHAMAD ILHAM,5,2023-11-08 09:53:54,Aku akan buka dunia
Bryan Almanafidz,2,2023-11-08 01:36:28,"Saya Sangat Menikmati Permainannya.... Hanya Saja Yang Membuat Saya Kecewa Adalah Ketika Pemain Melewatkan Live Dan Sudah Ada Cerita Lanjutannya, Pemain Sudah Tidak Bisa Memvote Karena Outcome Sudah Muncul Dan Di Sinilah Menurut Saya Masalahnya. Seharusnya Outcome Di Munculkan Setelah Cerita Permainan Ini Selesai Jadi Setiap Pemain Yang Melewatkan Live... Tetap Bisa Memvote Pilihan Mereka Sendiri....."
Zakkeh,1,2023-11-07 16:10:41,loading nya lama pdlan wifi sudah kenceng di buat main game lainya lancar aja giliran ini lemot
Asyqar Muhammad,1,2023-11-07 15:01:01,"Game ga logis,baru masuk udah disuruh geser²in kalender,jama udah canggih game masih aja kek bgini"
Anyaaa Chann,1,2023-11-07 14:53:07,Tidak sesuai ekspetasi masbro kecewa berat udah download gitu gitu ae
Niqxu,1,2023-11-07 13:44:26,"I thought this would look like until dawn game alike, but it was wrong and I'm shocked that I have to watch the live stream to play?!!! Seriously?!!! Bro this isn't a game, this more like a voting where the game will act where the highest vote is triggered 💀💀💀, I'm uninstalling this 🗿🤦‍♂️"
Ivansyauta Van,1,2023-11-06 20:05:28,Astaga gw kira game nya ternyata story mending mah masukin di bioskop 🗿🤣🤣🤣
Hilyah Nj,1,2023-11-06 12:24:11,"muterr teruuusss, lama banget masuk game nya"
Soni Darson,2,2023-11-06 09:56:06,"Astaga..... loading nya lama betul ah,, ini bisa dimainin gak sih 😒😒"
Achmad Noer Zaky,1,2023-11-06 09:22:51,Gw kira ada gameplay
naZIRAH Joestar,1,2023-11-06 09:16:37,Game jleg
Alex Kuproy,1,2023-11-06 06:27:25,bawa nama besar tp ternyata ampas
TAHTA 17,1,2023-11-06 03:50:02,Gue kira game yg bisa kita gerakin eh ternyata muter2 video wkwkwk
Jask Beat Them All,1,2023-11-05 15:31:55,This isn't a game I'm familiar with. This is Silent Hill . I need a thrilling adventure
Shirokami,1,2023-11-05 15:24:42,"Kukira bakal kayak Dead by Daylight atau petualangan gitu , ternyata game ga jelas , jelek 🤣🤣 jangan di download njerrr"
vincentius denny,1,2023-11-05 13:30:42,Mau main aja ribet ni game.sori lah skip dl
Muhammad Aditya Fathur Rahman,1,2023-11-05 12:54:35,"Game scam ngoahaha, sebelum rilis ini gambar nya silent hill pt, tapi kok jadi begimni wkwk"
fachru f,1,2023-11-05 10:11:39,Trash
Iqbal Dg Sinring,1,2023-11-04 23:35:14,Kecewaaaaa
Tz Xind,5,2023-11-04 15:15:19,Yang ngasih bintang satu ketahuan nda pernah sekolah belajar baca tentang ni aplikasi wkwkwkw
Dhavid Setiawan KilluaDhavid,1,2023-11-04 13:02:14,"This game was a seriously joke, crashing in video buffer??? Man there some another interactive games are actually good rather than this For example like Telltale Games."
Ayanokoji,1,2023-11-04 10:01:37,Membayar/topup hanya untuk menonton film di dalam game? Lol 😂😂😂😂
Kiky,4,2023-11-04 05:18:15,how to play
Rheyno arzaqa,1,2023-11-04 03:30:25,Isn't a game
Andra Rizkia Eka Putra,1,2023-11-04 02:12:00,"Ini itu movie, pay to win juga, g*:""_"";"
Xontol Meledak,1,2023-11-04 01:42:25,gajelas
Chell L,3,2023-11-03 16:09:45,"Maaf baru bisa rating segini dulu soalnya setelah di download itu apk ny lancar² an di buka banyak history yang menarik udh bisa login dan lainnya tp yg saya bingung kan konsep dari aplikasi ini itu apaa? sebuah game? Film? Atau sebagai nya? Jika apk ny masih ad yg kurang jangan di rilis dulu sebaiknya, cukup itu saja dri saya terimakasih"
Ratna Dewi,5,2023-11-03 15:06:26,oke 100
Pan Pan,1,2023-11-03 14:18:10,"Muter mulu kayak film india, bukan salah jaringan. Game belom siap sudah rilis, mau main gk bisa nonton lingkaran mutet sampe 1 jam gk selesai Alah Jembot muter mulu gk bisa masuk sudah 2 jam nih MemeX lah. Gue Uninstal ini gmae"
Cloud,1,2023-11-03 14:16:04,"UI nya jelek (gabisa widescreen karna renderan videonya 19:8),ada tombol mute tapi buat apaan?? Fitur live chat cuma bisa masukin emoji.dan kaga ada pengaturan resolusi Bisa topup. Tapi untuk apa jir.300k cuma dapet cosmetic sama stiker"
Haydar Aja,2,2023-11-03 10:22:49,"Tombolnya tidak bisa ditekan, terima kasih."
Cecep Kosasih,5,2023-11-03 10:21:42,Harusnya bisa langsung main . Ga harus nunggu waktu . Biar seru.
Noval Nooraihan,1,2023-11-03 09:58:09,ini cuma nonton?
mei ndari,1,2023-11-03 08:59:36,Ini game apa nonton sih gimana mainnya
Apta Jalu,4,2023-11-03 06:44:53,Cerita nya bagus tapi training nya susah tambahin bahasa indonesia nya karna kalu saya makai bhs inggris akan kewalahan
A kbR,1,2023-11-03 06:19:16,"Mending nonton YouTube, kalau soal Video"" doank"
Pandora -,2,2023-11-03 04:01:06,Ku kira game-nya bisa di mainin/ngendaliin kayak game silent hill Pc rupanya mirip visual Novel bedanya itu ada Video/film nya.. Kecewa sih
mr. XXX,1,2023-11-03 01:05:57,ini game atau video saja ya. anehmumet aying
Mohamad Zukri,5,2023-11-03 01:02:19,Baru download :)
Wkwkwk wkwkw,1,2023-11-02 23:18:25,ini vido game
Nur Kholis,3,2023-11-02 23:13:44,"baru download kemarin langsung hapus karena nunggu server, malas nunggunya"
Rizky Ananda,5,2023-11-02 21:11:27,interesting
David Khong,1,2023-11-02 16:11:58,"Loading mulu, ga bisa dimainkan. Udah update, udah login email, masih ga bisa. Loading terus, stuck di opening. Nyesal download nya"
Iᑫᗷᗩᒪ GᖇEYᔕYᗩᗰ,1,2023-11-02 16:10:36,"Saya sbgai penggemar silent hill, menyatakan bahwa game ini tidak lain hanyalah sampah gacha,game yg membosankan,dan merusak citra silent hill itu sendiri, makan tuh trauma lu"
Halfi ardandi,1,2023-11-02 15:57:21,"I thought this was a game but in reality it was just watching videos, very disappointed"
RamdN,1,2023-11-02 13:03:41,Yo better dont release this game . Keep it hidden in trash
Rusdi Rusland,2,2023-11-02 12:55:53,Kirain bakal sama kyk game2 Playstation n ternyata gamenya seperti org live dan kita menentukan alur ceritanya berdasarkan voting terbanyak dr video tersebut... Kyk org lagi live horor trus komenan kt yg menentukan si yg live berbuat apa... Bnr bgtu g sih??? Kalo salah maaf....hehehe
Zyra “Zyra” Game,5,2023-11-02 12:39:08,Gg gaming 😘
Censel Gemes,1,2023-11-02 12:26:06,Setidaknya kau jelaskan tentang ini..ini gamenaoa tentang video aja..dan juga kau buat kan bahasan Indonesia biar mudah di mengerti.. Saya tunggu updatenya ok
Heru Pranata,3,2023-11-02 11:36:02,"Lebih ke game puzzle sepertinya. Kita diberi kesempatan untuk menenyukan alur cerita,tp hrs ngumpulin semacam poin yang bisa diperoleh dari menyelesaikan puzzle ataupun dengan real money"
Aas Bbbb,1,2023-11-02 10:24:47,Deskripsi nya hanya untuk menonton🤣🤣
Esdeath YT,4,2023-11-02 09:55:36,"tak tau ini game atau apa, tak ada yg bisa dimainin, cuma nonton doang buat apa, wkwk"
Anto Spincel,2,2023-11-02 09:19:09,Game apa ini dari kemarin connection err
zetssuna,5,2023-11-02 08:53:04,"BUAT WARGA INDONESIA TOLONG BACA DESKRIPSI YA BIAR GA SALAH DAN ASAL RATING, THANKS."
ALAKADAR NYA,1,2023-11-02 08:33:19,Kirain kaya series the walking dead
Donat Bulat,1,2023-11-02 07:41:34,Ngak sesuai ekspektasi
ADI CHANEL,1,2023-11-02 07:05:48,"Mending jangan download dah buang² kuota aja, simpen kuotanya jangan download game ini"
LU COA,1,2023-11-02 06:12:20,"Main game tapi bukan game, nonton film tapi bukan film, para developer mau kalian apa sih?"
Ade Luthfanusa (BalADEva),3,2023-11-02 06:09:35,"Ga ada gameplay.. Cuman ikuti cerita, pilih keputusan rame rame setiap live streaming. Kirain seru trnyata cuman serial horor. Rame rame yah ga ada yg menakutkan.. Pake headset biar immersive."
Mhmmd Umar,1,2023-11-02 05:13:40,"mainnya gimana siii masa pencet"" doanggggg!!!!!!!!"
Richy,2,2023-11-02 05:13:11,Gamenya lama stuck di loading doang tunggu 3menitan gak mulai 2
Frenzy Spy,1,2023-11-02 04:45:43,ga seru ini mah bukan game
Him Dapubeang,3,2023-11-02 01:22:12,"Please remove live from the game or stop it so that internet packages don't waste too much, and I'm still confused about how to play, is this a game or what?"
Gusta Sanjaya,1,2023-11-02 00:57:49,Jadi niatnya mau bikin game yg kaya gimana sih? Aneh.
Andrii [AME:ID],3,2023-11-01 23:55:46,Apaan inimah video doang gw kirain game
dont have a name,1,2023-11-01 23:54:28,Elik
Raja Chekmat,1,2023-11-01 23:51:10,Kgk siap rilis jgn d rilis
Faizal Dwi,1,2023-11-01 23:37:49,Game sampah
pratama Boy,4,2023-11-01 23:31:01,Ini gimana ya mainnya? Apa harus bayar 300k? Kok cuma trailer doang yh😤
Diva putra Januar,3,2023-11-01 23:26:03,Ini bisa main apa cuma liat video doang tolong developer nya
Jun AR,5,2023-11-01 17:53:27,Sabar lah Bru juga rilis kawann
Mar Ga,3,2023-11-01 17:39:58,Bagi yang ga tau main game nya . Ini game main nya ada jam nya musti nonton live stream biar bisa ikutin alur game nya terus ada voting buat pilihan nya Jadi biar bisa main game nya kudu musti ikut live stream intinya
Wndavenznchole,1,2023-11-01 17:32:54,game gajelas
TheUser777,2,2023-11-01 16:35:25,"Ga tau bingung tujuannya untuk apa, dan di dalam aplikasi juga terdapat pembelian pass dan lain nya, I really don't understand"
Amar Khadafi,3,2023-11-01 16:02:49,"Cepetan updet deh Perasaan pas.buka apk nya layar ku tertutup sma laci menu,ters layar atas juga keluar jadi cape juga main harus terpencet menu,terus gk bisa di rotasi layar,haduuh"
Akram Axyy,5,2023-11-01 15:47:43,Aku yang kedua
Raden Mas Eko Cahyono,5,2023-11-01 15:18:16,Subscribe channel ku RMEC REMIX
aa. rekaa,3,2023-11-01 15:03:03,No Indonesian language
amylee,1,2023-11-01 15:02:26,ini game apa gmn si cuma nonton doang mana buka pass nya 300rb
Donati Hulu,5,2023-11-01 14:48:35,Fix network
Zay,2,2023-11-01 14:48:12,G paham
Jerry Fatra,1,2023-11-01 14:38:28,Saya kira ini adalah game survival horror
Preslly Togas Nix,1,2023-11-01 14:26:02,Kenapa sih pas coba gk masuk masuk sih tolong di perbaiki dong garena pliss monton
Iskandar,2,2023-11-01 14:24:33,Sangat berat sekali dimainkan menggunakan android
Alvian Zulan,2,2023-11-01 14:18:50,What is this things?? YouTube with interactive button???
