userName,score,at,content
Dava Al faris,4,2024-05-19 01:07:00,"dari game play seru abis, tapi masih rada seret dan ada bug yang ngebuat layar item atau gak bisa di pencet, tapi selebihnya udah bagus"
Danz Squad,3,2024-05-19 01:05:09,perbaiki banyak bug min
Novi Agus,1,2024-05-19 01:03:04,Game buffering doang awkwkwk mending uninstall aja
AKIRAジ HAMZ,1,2024-05-19 00:54:59,tidak sesempurna di iklan
Ozy Lavino,2,2024-05-19 00:51:56,Why your game always crash
ilham saputra ramdani,1,2024-05-19 00:49:51,"banyak bugnya. Mulai dari setingan kontrol, loading setelah tutup menu, blankscreen, loading screen stuk di sekitar 70%"
Reni Puspitasari,4,2024-05-19 00:48:17,Bagus game nya tapi kurang tau cara dapetin item item nya Saran:di tambahin cara untuk dapetin item ny
Ogun Gaming,5,2024-05-19 00:45:52,bagus sediakan banyak Ques dan hadiah biar tetap stay di SOLO LEVELING.
Hasan Albana,4,2024-05-19 00:38:59,Beberrapa kali sempet Bug loading screen dan sempet beberapa kalo blackscreen Dari segi cerita dan gameplay udah bagus tinggal ditambahin aja rate gacha karakter sama ditingkatkan lagii Gass solevv
Wawan Rese,1,2024-05-19 00:35:48,Bug Doang ini game Beta apa gimana???
ADE SI YUGI,1,2024-05-19 00:35:22,Game ampas baru download langsung hapus buat ngikut tutor pertama J dah macet. Poco m5s jgn dah download buang2 quota. Padahal genshin impact J gk ngelag
Yoga F.H,1,2024-05-19 00:32:12,"selalu bug loading screen, jadi malas mau main"
VK Media,1,2024-05-19 00:30:15,"Bagus sih cuma setiap balik ke home dikit2 loading, dikit2 loading, kadang pas ke menu lain juga gitu dikit2 loading(update ulasan kacau gak tahan gw sama loadingnya dikit2 loading parah)"
Miftah Zulkarnain Rozak,1,2024-05-19 00:27:22,"Masa gw baru download kena bug, kaga bisa di gerakin analog nya..terus gimana cara gerakinnya kalo awal mainnn, kaga bisa di tap layar hp ny"
TETTABIN,1,2024-05-19 00:18:46,"sering stuck di loading, harus keluar dulu baru bisa main lagi. kadang diulangi terjadi lagi. belum ada update masalah itu."
Rido Muharoni,2,2024-05-19 00:03:04,Malah ngebug tolol
Lutfi Reza,1,2024-05-18 23:59:43,Stuck di loading screen
04. Andrean Rama Maulana,3,2024-05-18 23:59:18,"Orang"" problemnnya di loading. Gw loading ga da masalah tapi stuck ga ada tombol klo udh in game, karakternya juga masih smooth gerak"" berarti bukan masalah hp. Tandanya masih banyak bug"
Okky Dwi Saputra,1,2024-05-18 23:48:33,Its always loading stuck and get me really frustated when focused playing!!!!!!!!!!!
Ahmad Masdar,4,2024-05-18 23:36:22,nice
Lilia Mimi,2,2024-05-18 23:30:27,"Tolol tolil. Dah bagus2 malah ada autoplay. Autoplay ruin all of the excitement. Autoplay made every game became BORING, theres no strategy, its just brainded game after all."
M Daffa,5,2024-05-18 23:27:28,"pls fix bug in phone, bug stuck loading that's very disturbing"
JackFrost XIV,3,2024-05-18 23:17:40,kenapa masih kena bug controller sih udah rilis global
Djafar Yusuf,5,2024-05-18 23:02:16,Seru
Febry Salsa Firdaus,3,2024-05-18 23:00:08,Suka Bug terus
Aldhi Wijaya,1,2024-05-18 22:52:46,"Bug nya perbaiki plis, kestabilan server juga aduh masih blm enak buat di mainin ni game next update kalau udh di benerin gw kasi bintang 5 dari segi grafik dll udh bagus cuma bugnya ini kebanyakan dan ga stabil bgt"
Fatimah Humaeroh,5,2024-05-18 22:44:20,game nya seru :v
Nizam Hafiz,5,2024-05-18 22:19:16,Nizam Hafiz cuman suka ngebug aja game nya si seru
Catur Prawoso -Eyesoul Semarang,4,2024-05-18 22:10:44,"Gamenya bagus. Tapi sayang, suka berhenti di loading bhar."
Danar Ramadhan,2,2024-05-18 22:00:59,"masih banyak bugnya, truss buat kualitasnya sih masih bisa ditingkatkan lagi, dan kalo bisa dibuat lebih optimal biar mainnya bisa lebih lancar dan enak"
Aa Firmansyah,5,2024-05-18 21:58:12,"Untuk devloper sediain buat cari gold susah cari gold nya , dan klw ganti artefak ga harus pake gold"
Ancha Dark,5,2024-05-18 21:37:18,Good game
Afdal Kamra,5,2024-05-18 21:35:30,okelas
Portgas D Marco,5,2024-05-18 21:33:13,"Semua udah bagus, sayang ada bug yg ganggu, saat saya buka menu disamping kanan atas dan saya up Hunter atau senjata, dan saya keluar selalu harung nunggu loading, dan ada juga saat selesai dungeon, di bagian loading kadang saya stuck di angka 69% itu saya alami dari pas masih download di tap tap, sudah sih itu saya keluhan saya🙏"
Wahyzz XD,3,2024-05-18 21:23:06,"Please optimalkan di realme 10, so lag, g99, got 20fps , 8/128"
Ahsan_,3,2024-05-18 21:22:49,"Untuk versi hp masih banyak bug, loading stuck, tiba tiba masuk ke dalam tanah, fitur auto battle tidak berfungsi pada skill."
Muhamad Dika Aldi,2,2024-05-18 21:16:15,game lumayan.... tapi stuck ga bisa lanjut progresnya ga jalan cari exp susah sedangkan misi harus level tertentu ....kurang cocok buat player gratisan perbaiki lagi sistemnya kalo sudah saya rating b5
i nyoman juniartha,1,2024-05-18 21:13:14,rugi download mau tutor tp gk bs tekan apapun di xiaomi anjing game masih setengah setengah jangan rilis menang grapik aja bangga
Evans Aulia,5,2024-05-18 21:12:49,keren
Darryl fernanda12,5,2024-05-18 21:09:00,jin woo>>naruboru
Rois jr jr,5,2024-05-18 21:08:31,mntap
ANTU IND Chanel,2,2024-05-18 20:57:54,main 3 jam baru selesai chapt 2 gara² kebanyakan bug nya
