userName,score,at,content
Riva Riva,1,2024-04-28 05:04:55,Spotify ag te endah monyet
Chrisna Martadinata,1,2024-04-28 05:02:57,Semakin update makin jelek..lagu tidak ada yg bisa di putar
Daffa Gusalman,5,2024-04-28 05:02:17,jeiiririr
alya Azzahra risyadi,5,2024-04-28 05:01:53,Bgus
Alvina Natasya,5,2024-04-28 04:58:09,Bagus tapi mohon di kurangi iklan nya
Yadi Mangkulangit,1,2024-04-28 04:48:16,L..
Gani Gun,1,2024-04-28 04:23:00,Aplikasinya gaje
Hi Mutiara,1,2024-04-28 04:18:03,"Tolong dong knpa lyrics nya sering ngga muncul, tidak dapat memuat lah. Tolong diperbaiki dong."
Jason Christiano,5,2024-04-28 04:15:21,"Saya suka aplikasi spotify karena mereka menyediakan berbagai fitur dan konten musik yang bagus. Selain itu, kita bisa mengatur dan menyimpan lagu yang kita sukai di dalam album musik. Spotify juga menyarankan konten musik dari artis yang diatur dalam album lagu. Terima kasih spotify."
PAKUX GAMING,1,2024-04-28 04:10:54,Lagunya gk lengkap anj
Well Don,1,2024-04-28 03:55:04,Gabisa ganti potopropil
Rudi Prastome,4,2024-04-28 03:50:15,Saya cb dulu
Abdul Kosim,4,2024-04-28 03:46:57,Mantaf
Ida Bagus Nym Danika Tristan Naraya,1,2024-04-28 03:45:57,"Dulu Spotify setiap dengerin lagu selalu ada lirik lagunya, tapi setelah di update setiap mau dengerin lalu ga pernah ada lirik nya selalu ga tersinkron padahal koneksi sudah bagus, mohon update selanjutnya di tindak lanjuti lagi, setiap mau beli Spotify premium selalu jga transaksi gagal padahal baru jga beli pulsa udah pas jga tetep aja gagal aneh"
mujib,5,2024-04-28 03:45:06,sangatt baik
kutang robak,5,2024-04-28 03:43:17,Mantap dengan pilihan musik nyah
Review PodcastID,3,2024-04-28 03:39:13,"menu pembelian agar jadi spotify premium lewat chanel spotify (nomer seluler provider / e-wallet) dan Google playstore ...,kedua chanel pembayaran jni tak dapat di lanjutkan ke step selanjutnya. dg ditampilkan menu gagal dan coba lagi."
Wulan Daud,5,2024-04-28 03:37:27,good apk.
Budi eko CHANNEL,5,2024-04-28 03:36:44,BAGUS BANGET SUKSES SELALU YA
Fajry hurudji,5,2024-04-28 03:35:56,bagus banget
Nayyli _,5,2024-04-28 03:34:22,"Spotify adalah aplikasi streaming musik yang luar biasa. Dengan berbagai pilihan lagu, playlist, dan podcast, Spotify memungkinkan pengguna untuk menemukan musik baru sesuai dengan selera mereka👌"
Wahyu Indah Sari,5,2024-04-28 03:34:19,Aplikasi spotify keren dengerin musik terimakasih spotify
Rudhiyanto Affandi,5,2024-04-28 03:34:18,Very good
Sahrul Hamdani,5,2024-04-28 03:33:08,Good y very good 👌👌👌👌
Indri Andrian,5,2024-04-28 03:32:40,Good
Naura natania225 ya,5,2024-04-28 03:30:46,I really like this application
Nur maryana Maryana,5,2024-04-28 03:20:38,Muantapppp
Jay,1,2024-04-28 03:01:05,disuruh beli premium kan?kenapa setiap mau beli premium tidak dapat terhubung terus?!.alhasil jadi beli yang perhari dan ada pajak tembahan dari google play.perbaiki dong!
