userName,score,at,content
Widayanti Azra,5,2024-06-03 06:16:49,Game ini sangat bagus
Hermawan Putri,3,2024-06-03 06:14:07,Balikin stumble yg dulu
Andi Suherman,1,2024-06-03 06:09:32,Mendingan kitka games dari pada scopely
Celsi Syalifah,5,2024-06-03 06:05:19,sangat baguss tpi kalo bisa tambahkan denger suara satu sama lain biar bisa ngobrol bareng
Bayu Dara,1,2024-06-03 05:58:23,Gem kok adaa iklan nyaa.udaa gituu ngfrem nyaa melebihin ml
Abi Rama,3,2024-06-03 05:57:13,Hay juga scopely
Azan Ganesa,3,2024-06-03 05:47:46,Yang bikin setambelgus aku saat main ngelek dan saat sepin gak pernah dapat seki dapetnya token melulu
Fachrul Razi,1,2024-06-03 05:41:50,"Saya sangat menyesal karena game nya masi sama seperti dulu banyak bug, lag dll"
Bayu Aria,5,2024-06-03 05:34:57,dafa botak
Iin Indrasari,3,2024-06-03 05:32:57,Sering ngelek ping nya sampai 300
Galenia. A. Tjimeia 4D,5,2024-06-03 05:32:39,Seru sekalii sepertinya setiap hari aku bisa main ini mulu dehhhh
Siti Q,3,2024-06-03 05:32:18,Karena loginnnya lama banget jir
Rossy BinYuniswar,3,2024-06-03 05:31:28,Ngeselin
Ramlah Ramlah,1,2024-06-03 05:27:51,Jelek🤐🤮🤢
Nana Supriatna,1,2024-06-03 05:26:56,Stumble guys bintang
Sherafkaliza Liza,5,2024-06-03 05:25:31,Game ini sangat seruu
Aldian F,1,2024-06-03 05:22:50,Game apa louding lama setelah login ke akun kok bukan login tapi keluar tolong developer nya ya dibenerin🙏🙏
Agil Gregorius,5,2024-06-03 05:21:21,Ke mana kitka games ku yang sekarang😭
Ade Iwan,5,2024-06-03 05:18:03,Karna seru
Cari Cuan,1,2024-06-03 05:07:26,Jelek
Ridha Ramadan,4,2024-06-03 05:00:47,hp gua kok gak bisa
Supartini,5,2024-06-03 04:57:31,Game ini sangat rame tapi ada sedikit bug yang belum di hapus
Bambang Prmd,5,2024-06-03 04:55:58,Game bagusss
Muhammad akmal,1,2024-06-03 04:51:58,"Game banyak bug,sampah!!!!sinyal tiba² ngelag padahal jaringan bagus,gamenya patah² pdhal download genshin enggak patah²"
Muhammad Gazza Al Aqsa,3,2024-06-03 04:49:24,Kitka games kerenan dari scopely
Ramdani Garut,1,2024-06-03 04:49:01,Banyak citer
Soeyit Baru,5,2024-06-03 04:42:02,Sangat seru Dan sangat cocok buat saya
Anik Halimah,5,2024-06-03 04:39:22,Aku ingin token yang banyak
Mom Edgar,5,2024-06-03 04:37:27,Seru
Addgh Gghj,1,2024-06-03 04:37:09,Jelek
Muhammad Husni,1,2024-06-03 04:37:05,Yg buat game ini kayak anj*** ba** ta* mo****
Bella Bella,2,2024-06-03 04:27:25,Gamenya sangat bgs tapi seringnya ngelek terus jadi aku emosi sering keluar terus gitu sih pen dapatku semoga kalian suka ya terima kasih. Bye😉
Kartini Mamahiqbal,1,2024-06-03 04:26:40,Tidak bagus
Aqil Azka,1,2024-06-03 04:12:41,Ini bukan game sempurna karena map Icy heicht dan ice caramba harus diperbaiki atau dihapus itu map karena kedua map itu licin banget lalu di ice caramba pas jatuh ngespawnnya lama bet dah mogahan map kedua map itu dihapus atau diperbaiki developernya harus baca ini
Xafier Theodorus,4,2024-06-03 04:01:27,Seru kurang grafik
Arzanka Dylan,1,2024-06-03 03:49:49,Game ini. Sangat ko. Ntol
Ahmad sidiq Sidiq,5,2024-06-03 03:45:41,Bagus permainan ya
Wulanfebriana Wulanfebriana,1,2024-06-03 03:44:50,Game nya gak seru grafik nya juga aneh dan suka ngeleg padahal kouta ku 25 GB dan sering keluar sendiri dari game nya dan kok gam nya terlalu sulit dan aku lebih suka game minecraft dari pada game ini online jadi aku kasih bintang 1
Sena 56,5,2024-06-03 03:38:24,Sangat cocok untuk saya
Febry 3wan,2,2024-06-03 03:32:49,"Kok sekarang gak bisaa yaa login akun yg lama, masyak harus bikin akun baru lagiii"
Afrijoni Joni,5,2024-06-03 03:32:45,"GAME STUMBLE GUYS MENURUT KU SANGAT BAGUS. KARENA DI GAME INI KITA DAPAT BERMAIN DENGAN TEMAN ATAU SAUDARA, DI GAME INI JUGA ADA MAP ATAU PETA PERMAINAN YANG SANGAT MENARIK DAN BAGUS, DAN SKIN - SKIN YANG ADA DI GAME INI SANGAT MENARIK, DAN BAGUS. SEMOGA GAME STUMBLE GUYS DAPAT MENJADI GAME NOMOR 1 DIDUNIA."
rifai atta subiyanto,5,2024-06-03 03:22:26,Game nya seru banget bisa mental
ZidanEPEP,4,2024-06-03 03:02:23,Stumble guys seru tapi tidak bisa solo map🗿
Alwi Jelek,1,2024-06-03 02:48:39,Jangan mainin gem ini gemnya gajelas
Rafi Andra,3,2024-06-03 02:35:38,Halo developer setiap saya main stumble guys pas di ronde 1/2 suka keluar sendiri dan ada notifikasi ada masalah server tolong ya developer agar kedepannya tambah bagus lagi😊🙏
Faisal Abdrozak,5,2024-06-03 02:28:14,Game ini sangat bagus.aku udah ngedowload stumble guys udah punya skin EPIQ.mantap lah💯
Rasya putra,4,2024-06-03 02:05:30,",+🏆7--+"
ARJUNA Juna,1,2024-06-03 01:51:12,Gambar nya bagus pas dimainin gabisa masuk woi 🤬🤬
Dhilmi Bodalmi,5,2024-06-03 01:37:50,Bagus tapi sayangnya klo kita maen ada pembayaran nyaaa yang diamond warna hijauu
Tiayana Yana,1,2024-06-03 01:36:30,Geam ngeselin gak dapat sepisial
