userName,score,at,content
Muhammad Syafruddin,5,2024-05-30 03:11:26,Versi jalanan/kota Indonesia????kapan????
Niinut Niinut,5,2024-05-30 02:16:00,"Suka banget sama permainannya, thank you 😊"
Yuanita Nahda,5,2024-05-30 00:40:21,Tempat dan karakter ny unik gak mudah bosen pas main
Roif,5,2024-05-30 00:06:33,"Nice game,This is a masterpiece"
Marlina Ktb,4,2024-05-29 22:08:13,Lumayan bagus keren sih👍
Bim Bagas,5,2024-05-29 19:39:45,Bagus misalnya lagi gak ada kaitannya❤️‍🔥❤️‍🔥
Bang Latul,3,2024-05-29 19:14:52,Good
Laras Sani,5,2024-05-29 15:02:22,Permainannya seru banget 😀
Arlis arlis4444,4,2024-05-29 14:19:29,gem nya bagus cuman kangen sama efelin yang dulu yang orang nya ada montor nya kalo bisa orang yang ada motor nya di jadiin efelin lagi jangan di suruh bayar makasih tolong sebesar besarnya
Aditya Putra,5,2024-05-29 13:37:02,Gema nya sangat sangat mengidupasi dan bagus
Myvxy,1,2024-05-29 13:25:08,"gua gk mau banyak bacot,gua cuma mau blg, INI GAME, ANJ***K, bikin emosi aja,-_-"
khanza Azzahra,3,2024-05-29 13:23:38,Bagus gak banyak iklannya 😎😎😎😎😎
Iwan Fauji,5,2024-05-29 13:13:11,Gem nya seru banget 😊
haeruanang 30,5,2024-05-29 13:08:05,Sangat seru
Andhika Surya,5,2024-05-29 12:49:01,Bagus dan tidak membosankan
Rudi Rudi,5,2024-05-29 12:23:59,aga susah tapi bagus
lelak anisa,5,2024-05-29 12:23:00,Gamenya yeah cukup bag us Dan tidak membosankan
Cand Ra,4,2024-05-29 12:15:50,Sangat bagus permainanya
adelita Qaila Shofie,5,2024-05-29 12:06:22,Sagan bagus sekali 😁😁😁😁😁🌹
Titik Sudariyati,5,2024-05-29 12:04:25,👍👍👍
Vendy Andhika,5,2024-05-29 11:48:22,Okelah
Coco Pandan,5,2024-05-29 11:25:04,Bagus bgtt 😌
saskia aprila,5,2024-05-29 11:15:46,Tetap selalu update
yaya nayla azkya jovi,5,2024-05-29 11:12:02,Bagus👍🏻
Raisa putri,1,2024-05-29 11:08:05,Kamu nanya
Manatap Tua tambunan,5,2024-05-29 11:05:01,game nya seru dan udah lah pokoknya seru😊
Nugi Ferdiansyah,4,2024-05-29 10:56:00,Menyala subway surfers🔥🔥🔥q
Anggi House,2,2024-05-29 10:23:18,Lumayan lah buat bahan gabut
Tifa Inofa,5,2024-05-29 09:50:42,Gemenya keren baget
Nurranda Rahmahidayat,5,2024-05-29 09:00:26,Gem nya sangat seru
Wayan Doyok,5,2024-05-29 08:10:01,Gim ini bagus seru untuk dimainkan Cepetan cobak
Dika Dinata,2,2024-05-29 08:01:01,Jaringan terlalu lelet
Danil Siswanto,5,2024-05-29 07:45:47,Jos
Putri Hayati arum,4,2024-05-29 07:15:29,Bagus aja sih tapi item nya tambahin
yesha qeesha,5,2024-05-29 07:09:53,seruu bgttt tapi kalo udah level 4 susahh 😀👍🏻👍🏻
Abib Syaputra,5,2024-05-29 07:02:34,Gamenya bagus🗿
winona tc,5,2024-05-29 06:21:32,Nice
Moch Syaifullah,5,2024-05-29 06:06:53,Game legendaris sejak tahun kapan 🤣
Iman Soleh,5,2024-05-29 05:53:16,"wow bisa dibahasa indonesia, caranya tuh gampang tinggal pencet yang kaya gerigi yang ada di atas ke kanan sedikit pencet yang ada tulisanya bahasa nya terus tinggal pilih bahasa yang kalian mau.👍😗😇"
Keno Cobra,5,2024-05-29 05:47:10,Subway
Nur Syafni,5,2024-05-29 05:28:26,Cocok kalau bosan
Hendra Gunawan,3,2024-05-29 04:58:26,Karena offline
Novi Istirahayu,5,2024-05-29 04:32:29,Permainannya bagus dan tidak bikin kita bosan karena permainan ini tidak membosankan buruan yang belom download buruan download karena permainanya bagus.
Fakhri Nawwaf Almumtaz,5,2024-05-29 04:24:58,Sangat seru tapi karakter nya padamahal kalao bisa murahin sedikit
GUNTUR GUNTUR,1,2024-05-29 03:46:16,Ulasan ini sangat berguna
Devina Pramitha,5,2024-05-29 02:16:29,permainan ini sangat seru dan tidak bikin bosan kalau kalian lagi bosan bisa mainkan permainan ini seru sekali
Dewa,4,2024-05-29 02:10:51,Gemnya seru aku masuk peringkat 25
Juanda Prasetyo,5,2024-05-29 02:01:51,seru banget event nya
Akhmad Yani,1,2024-05-29 01:39:00,Game jelek gua belok kanan gak belok belok sapek ketabrak kereta udah gitu ada iklan yg tanda silangnya gak bisa dipencet
Pengguna Google,5,2024-05-28 23:46:27,Kalo epasny kok di beli pakai kunci kok ad wktunya
BSK・zakka ToP,1,2024-05-28 22:55:30,Kok gem ya jelek
Shakila Khairina,4,2024-05-28 22:01:59,Sumpah ini game aku suka banget!!
Vivo Y91c Ram 4GB,5,2024-05-28 17:37:26,Terimakasih
Nisa,5,2024-05-28 15:43:53,ini sangat membantu rasa bosan
AKUN FF Free fire,5,2024-05-28 15:01:58,Saya suka game ini 😚
Juli Sawati,5,2024-05-28 13:59:55,Kerena permaina ya bagus sekali
War seno,5,2024-05-28 13:52:37,"Sangat bagus dan melatih agar tangan kita lincah, pokoknya recomended"
Rio Nizam,3,2024-05-28 13:50:54,Seru banget
Kios_scooter Supply,5,2024-05-28 13:48:31,bagus sis
Afif Alfarisky,5,2024-05-28 13:29:18,Lengkap sudah
Putri Monika,5,2024-05-28 13:08:59,Subaisup aku suka subaisup
Vannia Ulayya,4,2024-05-28 12:44:57,Gemnya bagusih tapi aku heran kenapa Karakter alien egak bisa dipakai padahal aku udah punya karakter aliyennya tolog di perbarui lagiya
Aldi permana Aldi,5,2024-05-28 12:22:54,Bagus banget deh
Alfa Reno,3,2024-05-28 12:17:26,Gamenya keren
Perdana AlZikri,5,2024-05-28 12:00:43,Seruh banget geme ini
Rahmat Hidayat,5,2024-05-28 11:55:06,👌
Zhio Vivo,5,2024-05-28 11:47:55,Permainan subway surfers sangat seruh
Lana Channel,5,2024-05-28 11:17:28,Update lagi ke versi ke 2
Player- Playeran,2,2024-05-28 10:38:32,always bug problem connection.. and fix server connection
Heder Bahta,5,2024-05-28 10:28:44,Geme keren 👍👍👍
