userName,score,at,content
Didik Purwanto,5,2024-06-09 01:34:15,Aplikasi nya keren wak
Reza Arianto,4,2024-06-08 17:50:43,Lumayan apk nya
Aurora Athalia kurniawan,5,2024-06-08 11:55:22,Aplikasi nya sangat bagus
Neneng Yeti M,5,2024-06-08 09:28:31,Lah kok ga bisa download MLBB beta harus download yang versi full nya kalo cari di google katanya apk berbahaya
Whitetophat,5,2024-06-08 06:30:27,Mantap min bisa download game yang ga support
Aya Ampel,5,2024-06-08 00:58:01,Mantap
Amelia Rizal,5,2024-06-07 23:52:08,Sangat bagus👍👍👍👍👍👍👍
NACOS NOOB,5,2024-06-07 12:15:44,Mantap jiwa
Muammar Rifani,5,2024-06-07 08:46:45,Hari minggu depan mata dia clear cache
San Alex,5,2024-06-07 04:55:02,No comen
Sadam Allfidaa,5,2024-06-07 03:20:59,Tidak bisa berkata kata
Yetty Nurfarida,5,2024-06-06 22:49:54,Mantep Banget game nya🤩bisa download apk yg gk ada di PlayStore 🤩
Barry Pratama,4,2024-06-06 18:29:24,Coba dlu
Rahmat Seftiansyah,5,2024-06-06 16:13:32,Ok
LOCKING vip,5,2024-06-06 16:11:30,Mantap
Rusel Sel,5,2024-06-06 12:55:38,Bagus
Rafan,5,2024-06-06 07:49:47,Bagus
aska 123,5,2024-06-06 02:34:12,Game yang sangat bagus aplikasi yang tidak ada di play store ada di sini mangka nya saya kasih bintang 5
Muhammad Nurdandi,5,2024-06-05 13:57:31,Keren
Willy Firtos,5,2024-06-05 12:44:10,"Bagus ni apk sangat membantu, kalo gk percaya coba aja dowload"
Tioayang Tioayang,5,2024-06-05 09:37:39,Game nya bagus
Gatulansyah,5,2024-06-05 08:18:40,No ngerti
Fatir Al fatah,5,2024-06-05 07:17:31,Bagus
Mahmud Mahmud,5,2024-06-05 04:07:54,Keren
meteor asap,5,2024-06-04 07:38:30,Mantap aplikasi nya
Rizky Putra Majid Siregar,5,2024-06-04 04:31:38,Apk ini sangat worth untuk di gunakan
AnggaGnrng899 P,5,2024-06-03 23:54:06,free
Densa Gaming,5,2024-06-03 23:13:00,Best apk
TITIT Kontol,5,2024-06-03 13:20:24,Bagus
Hansen Chawnima le,2,2024-06-03 11:29:34,Halllo saya mau bilang kok data game nya tertulis sebagai cache ya pas saya hapus data cache nya data game nya ikutan kehapus jadi saya kasih bintang dua dulu kalo bugg nya udah dibetulin ya kalo udah nanti ku kasih bintang 5 kok ⭐⭐🌟⭐⭐
M Aditya Novan,5,2024-06-03 10:33:06,MANTAB MAN MEMANG KAU YANG TERBAIK MAN
Reni Saswita,5,2024-06-03 09:59:44,Bagus
Suriani,5,2024-06-03 06:03:35,Sangatlah bagus
Pujiyati Yk,5,2024-06-03 04:36:03,tap tap layar ges
ksdanu hendra,5,2024-06-02 16:56:45,"mantap apk ny sejauh yg saya pakai blm pernah ad bug tapi tolong lah develop game apk ini tolong muncul kan emulator amulator seperti aether sx2 dolphin,emulator,dan citra emulator karena di hp sy ini tdk bs download emulator"". itu udh sih sisanya oke smua"
Mansur Palko,5,2024-06-02 09:41:29,Bagus
wildan saputra,5,2024-06-02 07:41:50,Ok
Alexia Miollanaa,5,2024-06-02 07:04:53,apk nya bagus bgt
Bawok Bawok,5,2024-06-01 19:59:25,Bagaimana Cara menukar Vanguard coin
Louis Owen,5,2024-06-01 13:54:46,Mantap apk nya
Thethemeet Thewex,1,2024-06-01 12:47:13,apa apa an anj gabisa dimainin game nya yang bikin bego ngapain bikin kalo gabisa dipake tolol apk gaguna
Rahmat Tullah,5,2024-05-31 18:28:36,Lumayan ok
Ultraman Begeng,5,2024-05-31 15:59:15,bagus banget 👍👍👍
Dipa Fatih Pandega,5,2024-05-31 11:21:52,Bagus
Bima Azriel,5,2024-05-31 09:20:08,Bagus banget
Siva Silfani,5,2024-05-31 05:54:25,Lumayan sih
Utidani Saputra,5,2024-05-31 04:13:43,Mobile Legends Layla
Walid Wilwis,3,2024-05-30 22:53:39,Lumayan bagus
Narendra Muktananda,5,2024-05-30 22:32:13,Aplikasi nya mantap
Rhafa Somba,5,2024-05-30 11:35:28,Wow ini sangat bagus sekali sampay aku dapat diamond
Azmi Khair,5,2024-05-29 23:40:32,Cihuy
Monton Haha,5,2024-05-29 12:28:57,bagus
RXMA RXMAA,5,2024-05-29 09:45:15,Sumpah enak banget buat dongload ap ap
anjay kece,5,2024-05-29 07:34:04,Baik
Dhiya Latiffa,5,2024-05-28 19:03:28,Bagus
Raja,5,2024-05-28 16:48:30,Good
ari astuti,5,2024-05-28 14:06:38,Mantap👍
KIKI EFENDI,5,2024-05-28 13:06:13,Good
va rog,5,2024-05-28 10:26:27,Aplikasinya bagus😁
Fia Azzahra,5,2024-05-28 09:46:47,Bagus
Hafid,5,2024-05-28 08:36:45,Nice apl
Gunawan sgl,5,2024-05-28 07:47:50,mantap
Ikhsan Zakaria,5,2024-05-28 04:58:46,Apk nya bagus
Cewek Nya jamal,5,2024-05-27 05:55:45,Aplikasi apaan nih ini terlalu keren terlalu banyak aplikasi yang gak ada di play store jadi puyeng 🥴
Satya Pilar fatahila,5,2024-05-27 04:55:23,Bgus
Aldric Azka,5,2024-05-26 13:17:07,Bagus banget
Abdul Azzam El karim,5,2024-05-26 09:54:42,Aplikasi ini sangat bagus
Hatta aidil Akbar,4,2024-05-26 08:58:48,Susah untuk daptkanya mana harus beli
Padjar Maulana,5,2024-05-26 03:43:42,Okey
Leron Daghfal,5,2024-05-26 02:40:38,Sangat bagus geme nya
Abs ketring Abs,5,2024-05-25 16:45:57,Ada gemas ps 🤩🤩🤩🤩🤩🤩
Hafidz Nashrulloh,4,2024-05-25 14:43:37,Oke bagus
Farhan Bande,5,2024-05-24 18:33:10,Keren
Nazriel Azzam,5,2024-05-24 16:14:44,Bagus banget
Muhamad Raman Dika,5,2024-05-24 07:52:32,apa beda nya lima sama 5 angka sama lima hurup
Raffka Gara,5,2024-05-24 04:57:02,Dari dulu sampai hp saya ganti tetep milih aplikasi tap tap mantap
Alvansalafi22,5,2024-05-24 04:47:45,😄
adit gmr,5,2024-05-24 04:01:52,please provide compatible news about new games
Abdul Hamid,5,2024-05-24 02:04:40,bisa lihat update sakura nanti🫨
Hardian Pratama,5,2024-05-23 22:57:00,Lumayan
Heri Kurniawan,5,2024-05-23 11:56:31,Aplikasi nya keren bgtt bisa download blue lock
Mukhsin Ukhsin,5,2024-05-23 11:22:32,Game
Arkan Karim,5,2024-05-23 11:18:17,Mantap lur
Tinah Tinah,5,2024-05-23 10:25:30,★★★★
Fiqi Erni,5,2024-05-23 08:54:21,Aplikasi keren
Nanda Kecil,5,2024-05-22 23:51:40,Bagus
Nde Maulana,5,2024-05-22 23:26:19,Ok
phenow Christin,5,2024-05-22 15:52:40,Bagus
Desrina Mardian,5,2024-05-22 14:52:24,BagusMbatu
Elsha Phone,5,2024-05-22 14:31:28,Bagus sekali bisa update game
Hilmy Asyam,5,2024-05-22 12:22:52,Mantap
Awwal Emyudha Nauvally,5,2024-05-22 09:08:42,lengkap
goodfiles 04,5,2024-05-21 23:52:12,nice
