userName,score,at,content
Virgiawan setya,1,2024-04-26 17:36:55,Gak iso login
Fery Nurjaya,1,2024-04-25 17:55:22,Elor terus
Sann Preset,3,2024-04-25 17:53:07,"sekarang login gabisa, selalu eror"
Kaca Mata Elang,1,2024-04-25 17:43:30,"Menurut aq dari dulu sampai sekarang masih banyak kurangnya sihh. Andai kata ada kolom Story 30 detik dan itu free, aku yakin apk sebelah akan di tinggalkan. Ini upload foto/video sj udh d batasi, prabayar pula 🤣😂"
Kevin Kamarullah,1,2024-04-25 17:42:12,"Aplikasi ga jelas, udah masukin email, masukin kode, malah eror"
Toni David,1,2024-04-25 17:18:54,Tolong di perbaiki beranda saya kosong
PAK LURAH,1,2024-04-25 17:14:39,Apk login e Ra iso asu
Adhi Darmadi,5,2024-04-25 17:07:57,saat ini tidak bisa akses dari perangkat saya
Bint Syah,5,2024-04-25 16:51:08,Good
Dany Datz,3,2024-04-25 16:46:17,Vidio yang saya unduh tiba2 sering hilang. Sekarang tidak bisa tersimpan dengan baik di memori telpon
R2м Star844,1,2024-04-25 16:37:44,Matap broo
Ahmad Farhan Zidan,1,2024-04-25 16:15:24,"susahh bgtt co masuk ke web nya, sinyal bagus, pake wifi pake data juga, tetepp baee ngelagg parah"
Tegar Umar Sihab,3,2024-04-25 16:12:02,"Lemot untuk verifikasi code,mohon ditingkatkan lagi"
Rachmat Hasbullah,5,2024-04-25 15:59:45,Mantap
Satoh Waedi,1,2024-04-25 15:57:59,"Aplikasi sampah!!! Abis download banyak video, malah hilang semuanya.. Paket internet saya ketarik banyak"
Syafira Rajita,2,2024-04-25 15:53:35,"Telegram mengapa aku tidak mendapatkan kode dari SMS? apa itu eror, tolong beri aku kode, nomor telpn ku juga sudh benar tapi kenapa aku tidak mendapatkan kode? tolong beri kode pada SMS."
i'm jyoura putjas,3,2024-04-25 15:48:59,"aduh tolong dong, mau ganti username aja susah banget. selalu aja gabisa selalu aja ""username it's already taken"" padahal pas di cari ""username not found"" ini gimana ya? sebel banget perasaan kmrn ga kaya gini deh, tolong dong di perbaiki. kadangan juga kalo download foto/video suka lemot banget padahal wifi kenceng banget, di benerin lagi ya!."
Santoso tok,2,2024-04-25 15:39:03,Ribet
Bagus Irfan,1,2024-04-25 15:38:49,Gajelas tiba-tiba akun log out sendiri chat hilang semua
London Batik,1,2024-04-25 15:35:07,Jelek
Bejo Jaya,1,2024-04-25 15:21:58,"ANEH UDAH DI DOWNLOAD,DI MASUKAN NOMOR HP,DI MINTA MASUKAN PASWORD ,EH,,,,MALAH DI BILANG PASWORD SALAH TERUS ,YG SALAH SAYA APA TELEGRAMNYA YG SALAH ??!!!! SAYA KALAU INPUT PASWORD GAK PERNAH SALAH ,BARU KALI INI DI BILANG SALAH 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️"
Ara Naya,1,2024-04-25 15:17:39,Ini gaada sms masuk untuk kode verifikasi nya gmna sih
Winda Dwi,2,2024-04-25 15:13:20,Setelah update kenapa malah sering lemot ya .. terutama pas download file Lebih enak versi lama 👎👎
Sanjaya Sanjaya,5,2024-04-25 15:09:07,☺️☺️
Nizam Al faruq,1,2024-04-25 14:49:30,kenapa kodenya g pernah muncul di sms/wa saya ya?
Evan Yeremia,1,2024-04-25 14:12:45,Gabisa login lagi aneh
Marpin Bott,5,2024-04-25 14:12:09,"Apknya bagus,tpi ya gitulahh"
Nadia GAP,1,2024-04-25 14:09:54,"UDAH 2 NOMOR KU DIBLOKIR PADAHAL CUMA JOIN GRUP INFO BUMN BJIR GAK PERNAH SPAM PENIPUAN, DI EMAIL GAK PERNAH DIBALES, CAPEK DEH GUE"
Ade Kemang,5,2024-04-25 14:06:17,"AMAZING MANTAP BETUL,GOOD JOB"
Aldi Fauzi,1,2024-04-25 13:42:16,Telegram Sekarang Gila Ga Bisaa Di Putar Video Nya
ikashop04 ika,1,2024-04-25 13:42:12,"Semenjak pembaruan ditele jdi gak bsa login,versi skrg ribet beda sama yg dulu"
Fais Maulana,5,2024-04-25 13:36:04,Ok
Mohammad Riyan,5,2024-04-25 13:15:46,Very good
Arfan Ramadhan,1,2024-04-25 13:14:11,"tolong hapus aja ini banyak orng"" sagne yang nipu"". saya abis kena ini harus kirim uang dsb dia mau sebar foto saya gimana ini. coba di perketat lagi atau hapus aja aplikasinya dari playstore"
Gusti Hardiansyah Putra,5,2024-04-25 13:13:14,Aplikasi sangat bagus
