userName,score,at,content
Jemekan Kediri,5,2024-04-30 09:25:11,Bisa liat bokep
Daff GT,2,2024-04-30 09:24:43,Banyak iklan
月 EventryRizky R リズキ,2,2024-04-30 09:23:20,"Aplikasi nya bagus tetapi yang bikin ngeselin dari aplikasi ini yaitu banyak banget iklan nya setiap mau download selalu iklan, setiap buka aplikasi nya malah iklan, setiap habis ganti dari aplikasi lain pass mau buka aplikasi terabox nya lagi malah iklan, semua nya iklan aja. Ini aplikasi cuman ada IKLAN nya doang iklan terus dimana² kaga jelas. Lebih baik di website nya aja / di computer tidak ada iklan sama sekali, tetapi kalo di android malah iklan terus. Klo kgk ad iklan harus bayar z."
Listika Hasan,5,2024-04-30 09:21:22,fathur karisa
Guava Jam,1,2024-04-30 09:09:12,uninstall ah gak kuat iklannya 🤣🤣🤣
ADAM MIZU,5,2024-04-30 08:58:02,"terabox kreee,,, rekomendasi bingit utk penyimpanan maksimum"
Rassid jaelani,5,2024-04-30 08:47:31,baik
Mhmmd iqbal annaba Iqbal saja,5,2024-04-30 08:15:06,bagus penyimpanan nya baik luas enak
Mutiah Indey,5,2024-04-30 08:11:34,Mntap
Vin MLBB Hhh,1,2024-04-30 08:10:44,Pembodohan udah saya simpan video nya di terabox bukanya makin besar ram gw malah makin dikit jadi penuh ram aku
djie suwarno,5,2024-04-30 07:54:58,Hebat
Fernan Addam,5,2024-04-30 07:49:50,Dasar penonton bokep!!
Jushar Zagrana,5,2024-04-30 07:46:27,mayan
Doni Ardiansyah,1,2024-04-30 07:42:24,"apk bosok lolot,ngunduk file aja lolot bgt anj"
Dek Ivan,1,2024-04-30 07:21:31,Kebanyakan iklan nih apk jelek
GILANG Eldirass,1,2024-04-30 07:18:57,"developernya tolol fungsi aplikasi ½/10 9½ nya iklan,semoga di blokir kominfo aplikasi gaguna meresahkan"
Fadli Kattang,4,2024-04-30 07:16:26,👍👍👍
Rafi Kurniawan,4,2024-04-30 06:59:28,Sebenarnya bagus tapi kok di saya berbayar ya buknnya gratis
Hanif,1,2024-04-30 06:50:01,iklan nya banyak bgttt
agus tria,1,2024-04-30 06:49:42,Aplikasi penipu kita hanya disuruh nonton iklan
Muhammad dani dani,3,2024-04-30 06:35:46,Saya download saya akan coba dulu sementara bintang 3 dulu Karana saya belum terlalu mengerti cara pemakaiannya
andjas stwn,1,2024-04-30 06:28:10,Auto uninstall karena iklan yang sangat mengganggu
