userName,score,at,content
Sun GGL0l (Gamer),5,2024-06-07 09:27:45,Better than Minecraft
akun mati,5,2024-06-07 06:27:14,Well... I lost all my progress so... Good Luck for me👍
epang x,5,2024-06-06 18:19:07,"dulu pernah nyoba bajakan tpi gak paham kontrolnya trus uninstall lagi.. sekarang dapet playpass gratis trus coba"" install terarria mobile.. mencoba memahami stiap kontroler nya.. semakin hari semakin paham.. dan sekarang sudah 3 mingguan main game terraria dan sudah paham tentang semua alurnya.. dan charakter saya sendiri sudah dijalankan selama 70+ jam yah itu lumayan:v dan sekarang sudah hampir tamat, tinggal lawan boss moon lord (walau empres of light belum saya kalahkan krna susah bet anj)"
met gale,5,2024-06-06 16:41:38,OG game
Adit Game12,5,2024-06-06 07:31:17,👍
fathir electrik channel,5,2024-06-06 06:51:15,Bagus banget game nya trus ringan juga di hp jadi enak di mainin
blue king redking,4,2024-06-06 03:28:33,Nice
Bang Satgaming,5,2024-06-05 13:31:17,Ini game seru tapi lebih seru kalok ada fitur save data di email/google agar data/progresnya bisa di simpan kalau di hapus game nya
Dicky F,4,2024-06-04 12:03:02,Untuk gamenya si udah bagus dan kekurangannya cuman 1 aja ga ada tutorial nya
KRIM,5,2024-06-04 10:01:46,Minecraft is the best
Iwalz Tzy,5,2024-06-04 00:09:03,"Masa yang dapet tmodloader di pc doang, taruh di mobile juga dong, pengen main mod calamity:("
Muhammad Fakhri Fadhlurrahman,4,2024-06-03 16:28:24,"Ada dua bug, logo chestnya suka ngeblink sama kadang crash kalau mau buka world."
Rm Don't Cry,4,2024-05-29 12:05:09,"game nya seru,unik,tidak membosan kan,mines nya tutorial ya tidak terlalu dipahami,saran saya buatlah tutorialnya, sebenernya game terraria adalah salah satu game kelas atas terbaik.👍"
Zaffa Mifzal,5,2024-05-29 02:00:36,Game paling skibidii
Ardan Nurhasan,5,2024-05-29 01:27:23,Sedang menunggu update 1.4.5
Ryan Fitra,5,2024-05-28 13:18:38,Aku suka game ini
