userName,score,at,content
Wildan Yustisi,1,2024-05-29 08:02:34,Jelek kali gaca nya temn gw bgs2
Polnareff Escobar,2,2024-05-29 02:08:06,"Gameplay yang membosankan, coba dong gameplay nya kek game solo leveling, pasti gak bosan maennya"
much. eko saputro,1,2024-05-29 01:50:26,"Bagus bgt , game netmarble bagus² tapi penyakitnya netmarble cuma 1 jaringan"
RAIN,5,2024-05-28 16:46:30,Good game ever play
Zeee Leon,1,2024-05-28 14:40:14,"Cacat rate nya udah pull berapa 3 round dapat cuman berapa, kapitalis babik memang."
Aji Kurniawan,5,2024-05-28 13:36:46,Udah saya kasih bintang 5 semoga dapat gacha yang bagus wkwkwk
Jumyetti Djamal,5,2024-05-28 10:49:50,Terima kasih game baik
Szattt,1,2024-05-28 10:32:14,Game Tolol Kasih Boss Gak Ngotak Gk bisa dikalahin Tololll pepek game burik
Stanly Iswahyudhy,5,2024-05-28 10:16:58,Coy 3 UR
nonobu,2,2024-05-28 09:43:52,"untuk hero arena 300k cp, tim peri musuh terlalu kuat"
Rizal Ardiansyah,1,2024-05-28 09:24:17,Gimana mau ngejar gacha aja ampas
Lumine Aether,5,2024-05-28 07:13:00,"Sejauh ini rasanya mulai membaik dari segala aspek, tapi ai ketika di mode dead match kurang memuaskan karena sering menggunakan skill yang tidak memberikan dampak terhadap boss."
Nur Whady,5,2024-05-28 06:17:00,Ok gas
Snorx Tv,5,2024-05-28 06:02:39,"Buset, baru kali ini gw gacha dpt ssr banyak. Tumben lagi baik nih netmarble"
Sultan Alfath,5,2024-05-28 05:08:46,Game anime turn base terbaik
Ahmad zayid alhadi,5,2024-05-28 04:38:17,Thkns netmarbel
Story BSG,5,2024-05-28 04:13:09,"Yg stuck di loading login game, jgn pake wifi indihome/jaringan telkomsel, kalo bisa pake provider lain 😁"
DANIEL FERDINAND,4,2024-05-28 04:03:50,Nice improve
Rio Pamungkas,5,2024-05-28 03:31:06,Good game
Afi Xenon,5,2024-05-28 02:10:52,Gg ampas gacha
Mai Sandi,5,2024-05-28 01:09:10,Game bagus
Mohammad Ilham Ardani,4,2024-05-27 18:09:40,"Tolong developer perbaiki game nya ada bug sound dan glitch saat bermain game,dan saya menggunakan hp Vivo y15s"
Arjuna Wahono,5,2024-05-27 15:48:43,Saya suka main game ini hanya saja tidak bisa landscape dan ini game yang paling murah hati memberi pemainnya
Xabi Orlando,5,2024-05-25 15:10:17,Bagus
Rafa Iman,3,2024-05-24 07:20:04,"TOLONG LAH SISTEMNYA DALAM PEMBAGIAN KARTU BERASA GAK ADIL BANGET DI SETIAP ASPEK APAPUN,KAYAK TARO ALBEDO DI TENGAH/DEPAN/BELAKANG PAS LAWAN HRAESVELGER GAK DAPET KARTU STANCE SAMA SEKALI,MINIMAL DAPET 1 GITU SETIAP 3 TURN INI MAH GAK DAPET UDH 5 TURN LEBIH ALHASIL TIM MATI DULUAN KENA SERANG"
pohon berakar,5,2024-05-24 05:36:24,Beruntung aja kamu aku lagi baik
Tartar Sauce,1,2024-05-23 21:16:34,Wey BINATANG seven deadly sins TEAM terhina trus kalo di pvp
Muhammad Ferdy,1,2024-05-23 20:41:27,Ini devnya udah gakada kah? Pada ngeluh stuck loading lama ternyata masih ampe sekarang. Kecewa sih
Rahmat Yusuf,1,2024-05-22 18:23:51,Really hard for newbie to catch up with old player
Jun Cyber,5,2024-05-22 07:16:55,Gacha ampas
Ba八,5,2024-05-21 14:01:59,Oke
Kaoem Rebahan,5,2024-05-21 12:56:43,"Game nya bagus bngt, TPI sayang di hp ku ga bisa mode landscape"
Vanila Cokola,3,2024-05-21 06:54:14,Aku sudah bermain game ini lebih dari 2 tahun dan masalah nya cuma 1 ! makin ke sini gacha ku makin susah aku bahkan harus menghabiskan 900 diamond hanya untuk 1 Hero utama & ini selalu terjadi di tiap Baner baru..ini sangat menyebalkan!!
muhammad toyyiban dwitama,2,2024-05-21 05:30:45,"Terlalu bnyak tutor, di level"" awal, lebih baik di hilangin atau di persingkat sekali tp ke ulas semuanya. Tiap naik level dan ada hal yang baru pasti ada tutor, ya walaupun ada hadiahnya."
Ruka Chan,5,2024-05-21 04:18:25,Im speed
Xkoncell,5,2024-05-21 04:06:10,Keren
Hauli Wisnu Adwi Pradana,1,2024-05-20 14:29:31,"Kenapa saat Battle Dalam Gamenya Malah Bisu Gak Ada Suara sedikit pun, dan itu hanya berlaku saat memasuki Pertempuran???"
Muhammad Rahardi,4,2024-05-20 13:35:00,Tetep keren dri tahun ke tahun✌
Anann Zul,5,2024-05-20 13:14:32,Event kolaborasi nya mantap mantap di game ini tapi kalo bisa collab juga dengan anime date A live biar tambah seru
Steve Akbar,1,2024-05-20 11:43:51,"Download data lamanya gak ngotak, padahal cuma 10 an GB, Download gensin gak selama ini hadeh"
Malam sabtu,1,2024-05-20 00:55:19,"Sistem gacha nya yg bener aja lah, udh PT 400 lebih dapatnya aneh"" Udh lah hampir gk ada dapat ssr sekali dapat gk ada yg satu pun dari benner, yg ada ampas semua ngincer banner collab malah dapat yg lain""."
Gery Shalut,1,2024-05-18 15:49:04,Makin ke sini mlh bnyk pengurangan mending tutup sklian ae lh🗿
Raza Candra Anwar,1,2024-05-18 09:19:51,Gatcha ampas
Abi 5008,3,2024-05-18 06:15:18,"Game nya bagus + animasi memukau + Gacha Hoki²an ok lah , cuman quest event nya terlalu susah buat newbie,Bisa tambahin Fitur Quest PVP Mabar Gx biar ada yg bantu player baru main? Jujur ini susah banget Quest Event nya😂 serasa gx guna Char UR di quest Event😅"
Rizal Kurnia,2,2024-05-16 06:49:49,Rate gacha kecil kurang menarik
Ardell Yasfi,5,2024-05-14 12:40:42,Sangat bagus
ThAnmold,5,2024-05-14 11:52:05,Game yang bagus banget banyak yang mengatakan game ini stuck loading/koneksi/sistem gacha selama saya main game ini bagus bagus aja ngga ada kendala selain frame drop dikit diloading(spek HelioG85) tetapi itu tidak ngaruh banget di gameplay . Untuk gacha sudah bagus . Bagi yang ngeluh pity kemungkinan kurang hoki tidak bisa menyalahkan game.
Bocchi The Rock,5,2024-05-14 00:17:40,Nice game
bolt _sama,3,2024-05-13 08:46:38,"Tolong rate gacha nya di benerin , jangan AMPAS AMPAS amat"
Mhafidz W,1,2024-05-13 06:37:17,Bad server
