userName,score,at,content
Dafa,1,2024-04-26 11:39:15,bintang satu soal added terus
Manggg sate,5,2024-04-26 11:38:29,Mantap
Arlos Purba,5,2024-04-26 11:37:40,Aplikasi ini bagus banget dan cocok untuk hiburan
Tiara Manis,1,2024-04-26 11:35:14,Aplikasinya tiktok nya saat foto sudah tdk seperti dlu sekarang mesti pake wartepak nama dlu tidak pernah ad
Lek Pur,5,2024-04-26 11:35:06,Menghibur
Erina,5,2024-04-26 11:34:55,Baik
Melinda Linda,3,2024-04-26 11:33:24,kenapa sekarang susah dibuka yah aplikasinya padahal udh dipencet berkali-kali tapi ga kebuka app nya
Mas Hud,3,2024-04-26 11:33:15,Tiktok gak sebagus dulu karena ga bisa buat foto lagi😟
H M,1,2024-04-26 11:33:04,tiktok ngelek terus menerus bahkan kalo di buka selalu hanya keluar logo nya saja
Hanna Syifaunajah,1,2024-04-26 11:32:19,klo bisa di update sy kasih 5 bintang!
Agung Wijaya,1,2024-04-26 11:32:16,kalo chat fotonya kadang ga ke download 👎👎
aviero pratama,5,2024-04-26 11:31:09,Ini tiktoknya sangat bagus dan menarik yang setiap harinya kalau masih bosen Main gem itu.. aja bosen banget......................jadinya main tiktok aja seru...................................................................
inyet cila,5,2024-04-26 11:30:58,Ok banget
Magfiraa Fira,5,2024-04-26 11:30:28,Sangat kereeen👍
Salma Salma1,5,2024-04-26 11:29:47,Seru banget kalo main ini
Marlina Bulu,2,2024-04-26 11:29:37,Aplikasih paling keren
Ida Wahyuni,5,2024-04-26 11:29:34,Bagus
Wulan Tebing,5,2024-04-26 11:29:15,Bagus
Ahmad Syaipudin,5,2024-04-26 11:27:58,Mantaaaap
Suhartutik,4,2024-04-26 11:27:49,Oke
Agis Agas,5,2024-04-26 11:27:41,Keren banget
Slamet Hariadi,1,2024-04-26 11:27:25,Rewel
T0NA Paniki Satu,5,2024-04-26 11:27:09,Very good
Lina Kurniawati,5,2024-04-26 11:26:44,Bagus banget
Rahma Wati basir,5,2024-04-26 11:25:54,👍👍👍👍👍👍👍👍👍👍
Romy All,5,2024-04-26 11:25:52,Nice
Jkt Jkt,5,2024-04-26 11:24:13,Sangat bagus aku suka dengan fidio nya
Raisa Putri,5,2024-04-26 11:23:19,Yang pastinya seru ya
Bangsin,3,2024-04-26 11:23:14,Tik tok sering eror
darsono “bimo nongkrong” rosok,5,2024-04-26 11:23:01,Mantap
Naufal Muzaki,5,2024-04-26 11:21:52,Bagus
Oy Ya,5,2024-04-26 11:21:37,Kue dari Arul
Nur Sifak,2,2024-04-26 11:21:27,Aplikasi ini tidak bisa di buka
Saharia,5,2024-04-26 11:19:51,engkau sllu ada di hati ku syang
Arfiqram Channel,5,2024-04-26 11:19:27,X 0 45+
Isa Syahputri 1608,5,2024-04-26 11:18:33,Good
Astin Ibrahim,5,2024-04-26 11:17:25,Bagus TDK bikin stressss🤩🤩
DinataLovers,1,2024-04-26 11:17:07,WAGU GAK BISA UPLOAD KUALITAS TINGGI
Amin Rafa,1,2024-04-26 11:16:27,Parah ini buat media harus nya netral bos
Ade herawati Herawati,3,2024-04-26 11:16:26,"Ii ,z"
Yusimartini Yusi,5,2024-04-26 11:15:52,Saya suka aplikasi ini
Muh. Rian,5,2024-04-26 11:14:33,Menyenangkan
Botak GG,3,2024-04-26 11:12:51,Kenapa ya tiktok semakin hari semakin buruk dan banyak di makan kouta
Santi 01,5,2024-04-26 11:11:26,Oke bagus
muhammad dani,1,2024-04-26 11:10:55,main hpus komentar orang saja lo
Isni Isniastin,5,2024-04-26 11:08:39,Ongkir dan itu. .. dan l 5
Muchamat Anwar,5,2024-04-26 11:06:21,Sangat bagus saya bisa buat akun terimakasih tik tok
ilham Muharom,2,2024-04-26 11:04:07,tolong di perbaiki lagi tik tok masa saya follback di batasi mohon segera di perbaiki!!!!!
Muspirah Mustari,1,2024-04-26 11:04:04,"kok tiktoknya ga bisa di buka ya? ,kalo mau dibuka harus hapus dan download lagi aplikasi kocakk"
Maul Ramadhan,4,2024-04-26 11:03:18,"Ini kenapa toktok tiba² keluar sendiri trus ga bisa dibuka lg aplikasi nya ada yg bisa bantu kah ,,tiktok kenapa sih"
Rolly Kurniawan,5,2024-04-26 11:01:32,Aplikasinya bagus.
Asiyah 83,5,2024-04-26 11:01:18,BAGUS
Silviya Nabila,4,2024-04-26 11:00:36,"""tiktok tidak menanggapi"" maksudnya apa ya? padahal aku udh update"
Ahmad Fau,5,2024-04-26 11:00:20,Oke
Yuki Wulandari,4,2024-04-26 11:00:12,Bagus banget aplikasi nya
Niko Korompis,5,2024-04-26 10:58:03,Fransiskus Nikolaus Korompis
Nur Zaskia pertiwi,5,2024-04-26 10:56:39,Bagus tp kadang suka ngeleg
Yuli Secret,1,2024-04-26 10:56:23,"apaan bgt dah tiktok makin gjls, gw komen dihapus mulu pdhl masi bnyk komen yg kasar, mesum, dll yg g dihapus samsek ama tiktok pls ya jink, tiktok makin kocak aja😂"
Rapa,3,2024-04-26 10:55:48,Mengintal lama banget udah pake data sama aja
sahri sahri.s,5,2024-04-26 10:55:22,Bagus
Keisya Jasmine,1,2024-04-26 10:54:48,"Pas udh di perbarui malah gk ada yg buat nyimpen tnpa ada logo tiktok, nyesel gw:("
Aisyah Aza,4,2024-04-26 10:54:13,Suka bgt
Dava Pancaputra,4,2024-04-26 10:53:01,plis keluarin fitur hapus semua posting ulang sekaligus plisssss
Muhamad Arfan,5,2024-04-26 10:52:52,Ok
Laura maulani,4,2024-04-26 10:52:39,knp sekarang kalo mau nympn vidio yng dibuat sendiri harus ada tanda airnya???pls tiktok hapus tanda airnya lagi
Eras Rasiti,5,2024-04-26 10:52:02,aplikasi ini sangat berguna
Auliya Nuryulianti,1,2024-04-26 10:51:49,masa saya update tiktok terus tidak bisa dibuka lahi tiktoknya malah ngebung terus tolong dikasih solusinya saya jadi tidak bisa berbelanja di tiktok shop
Siti Rapid,5,2024-04-26 10:51:43,terimakasih
putri afriani,5,2024-04-26 10:50:28,Bagusan bngett
cari sensasi yang positif,5,2024-04-26 10:50:19,Very good 👍👍👍
raka ganz,1,2024-04-26 10:48:59,BALIKIN POSTING ULANG YG DULU ANJINGGGGGGGGGGGG
Azis Azis,5,2024-04-26 10:48:50,Mantapmen mmmmmmmm
Eddy Utomo,5,2024-04-26 10:48:25,bguzz 😜🙀🙀💯
Abd Waaffie,1,2024-04-26 10:47:51,👎🏻
AIDIL Mohammad,5,2024-04-26 10:47:44,bgs kak
Ssuci Rf,3,2024-04-26 10:47:44,Mengapa sekarang tiktok sering eror ga bisa dibuka aplikasinya
Fahri Zee,1,2024-04-26 10:47:22,Gk bisa di install
jeppy2 two,1,2024-04-26 10:47:17,Tiktok ini memang bagus ya guys karna kalau aku lagi gamon juga liat nya tiktok dan juga apabila lagi kenapa kenapa gitu liatnya pasti tiktok
Rafa Rizkij,5,2024-04-26 10:46:06,Lama nginstal
Fathur Rosi,1,2024-04-26 10:44:40,"Kalo nge bug gk nanggung"" bikin hp nge frame cok asu"
W Papua,5,2024-04-26 10:43:02,👍👍👍 sangatlah mudah dan praktis
Jihan Rafifah,1,2024-04-26 10:42:26,"Bikin kecewa aja ,😡🤬🤬😡😡😡😡😡😡😡😡😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬"
Allan Bao,5,2024-04-26 10:42:01,Aplikasi ini sangat bagus🥰
Muhamdad Saepul,5,2024-04-26 10:41:27,Menyenangkan
Nauval Manis,1,2024-04-26 10:40:18,"Kebanyakan di sensor saat mau komen padahal banyak yang kata"" kasar ga di sensor apk gajelas"
Muhammad Syahdevro Nakhlah Putra,2,2024-04-26 10:39:53,usia saya sudah 17 tahun tetapi mengapa saya tidak bisa mengirim pesan?
Risky Thohir,5,2024-04-26 10:38:15,Bagis
Djumaati Wagini,5,2024-04-26 10:37:48,aplikasinya bagus banget bisa membuat hiburan anak kecil
Aung Qbo,5,2024-04-26 10:37:32,Lagunya bagus bagus bisa di tambahkan ke faforit saya suka makasih ya
Peri Gunawan99,5,2024-04-26 10:35:01,Tergantung
Mirza Mirza,5,2024-04-26 10:34:30,Saya suka sama APK ini
ML & FF,5,2024-04-26 10:33:47,Mantappp menn
Asep Mhd,4,2024-04-26 10:33:04,👌👌👌👌
kholida nurhidayah,5,2024-04-26 10:32:15,bagus bgt
Chelsea Alfawwas,1,2024-04-26 10:31:00,Burikkk
