userName,score,at,content
Ian Wong,1,2024-05-30 19:34:40,Paid for lifetime premium subscription but it won't activate for me. Contacted the team by email and haven't heard back.
muhammad furqan,5,2024-05-30 00:14:17,nihongo benkyushimasu
Pa Pa,4,2024-05-29 10:08:41,This is good
EiPhyu Zin,5,2024-05-29 03:56:19,Love 💓
htet htet hlaing,5,2024-05-28 16:17:59,本当にたつかりました。ありがとうございました。
Timea Katona,5,2024-05-28 13:41:08,"App works well. I like the color coded levels. The audio is perfect. The grammatical analysis is helpful, as well as the dictionary. This app is the whole package."
Kaung Khant Zaw,5,2024-05-28 10:06:28,good app
Wai Thi Phoo,5,2024-05-27 11:36:37,Nice
Thoon Satt Phyo,5,2024-05-26 08:49:45,Good
Ei Thazin,5,2024-05-26 03:22:09,Vhhik
May Thin Kha,5,2024-05-25 17:36:51,Great app
Brian Crosby,4,2024-05-25 05:54:04,I am just a beginner & wish these where all labeled beginner intermediate & advanced levels to make it easier for people like to know which might be too much or just right to use to study.
pann yitmue,2,2024-05-24 15:01:16,Good app
william Wu,5,2024-05-24 04:29:57,Fantasy app
Sギメロス,5,2024-05-24 01:50:45,Very very recomended for japanese study
Thomas Bristol,5,2024-05-23 09:52:52,So many features and ways to learn. Easily my favorite app for studying Japanese. It's a good way to feel language immersion too! Even content for total beginners.
Lily Jeon,5,2024-05-22 09:52:16,👍👍👍👍
Felix P,3,2024-05-20 13:36:41,"Generally a great app, but selecting the words you want for translation is often impossible."
Arlansyah,1,2024-05-19 22:35:58,can't restore purchases 👎👎👎👎👎
Ei Myat Mon,5,2024-05-19 09:13:25,Great app very useful.👌
Terra,5,2024-05-18 03:40:48,"Really love the access to Japanese songs! I'm using it alongside Duolingo, and it really bridges the gap so I can practice pronunciation! I can't wait to be educated enough to read the articles too, it's great motivation!"
Aung Kyaw Thu,5,2024-05-16 15:46:42,It is really great app to learn japanese.
Terence O'Sullivan,1,2024-05-16 12:32:23,"Unless you're subscribed (with prices increasing every month, it seems), this app is worthless these days. To compound matters, one of the ads they pushed onto me (due to my being a free user) all but bricked my phone (The ad forced open my browser and kept reopening the ad's website when closed, over and over). Hope this company is making all the money their greed deserves."
Min Htet (Ash),4,2024-05-14 13:39:55,A really helpful app for japanese learner
Sanjana Srinivasan,5,2024-05-14 08:43:28,Wonderful app for learning dokkai
Soe Mya Sandar,2,2024-05-13 11:53:01,this app is very good
Bryan Robson,5,2024-05-12 11:43:00,good app
htet htet,5,2024-05-12 04:54:25,good
renc,1,2024-05-11 11:21:10,"Bought no ads, but restore purchase failed. Regretted supporting this dev.."
Manimekalai Rajendran,5,2024-05-11 02:10:32,Excellent
JK Tan,3,2024-05-10 14:53:36,"The audio buttons for the conversational lessons do not work most of the time, it seems. Just paid for the premium version. So this is a great disappointment."
Demon killer22,5,2024-05-10 04:59:54,初めにありがとう that's great application... Guys I recommend this app...
Moon Nova,5,2024-05-08 20:13:19,It's a big help when practicing lectures and listening
Pippe ML,5,2024-05-07 23:55:59,"Just wow, This is a great way to get used to Japanese. Kudos. Maybe improve a bit more voice read... sounds a bit robotic... and maybe give the option choose between different voices. Solid 5 star app."
Sam Bullis,5,2024-05-06 16:49:58,"More features and resources than you actually need, but that's what makes it better than every other app for learning Japanese!"
RanStuff Pedia,5,2024-05-05 14:15:41,Best app so far
Anil Rai,5,2024-05-04 03:37:54,veary good
Ashishkumar Rokaya,1,2024-05-03 00:04:59,App free
Kesang Lama,5,2024-05-01 23:58:32,Good but not so
Nikki,5,2024-05-01 03:32:42,"Incredible app, nearly everything a long time student and appreciator of Japanese culture needs to keep immersed in the language. Kanji and reading materials, as well as some JLPT (which I am studying for) are centralised into one place. The premium account option is absolutely worth it for the curation of the content alone."
Myat Thiri Kyaw,4,2024-04-29 15:15:54,it's really so good
oknow ok,5,2024-04-29 05:50:59,Very useful forme
Corben Scotton,5,2024-04-27 13:02:55,"Game changing app for practicing Japanese. Unlimited trap to translate, study guides, flash cards, the text highlights along with the audio to follow along. It's like 3 practice apps in 1. I love it."
Eternal,5,2024-04-24 20:38:21,"Update: Deleted and reinstalled the app, it works now. Original Comment: I really like this app and would love to rate it higher, but the text highlighting is extremely tedious, making it hard to select a part you would like to translate. I tested it in their App for learning German, and it works flawlessly there."
Ty,3,2024-04-20 00:01:05,Good app but highlighting a word to the translation is almost impossible. Instead it will go and highlight almost anything other than the word I am trying to highlight. This makes it very difficult to use.
Khaing Kyi Phyu,1,2024-04-14 03:30:24,I like this
Olivia,5,2024-04-12 21:25:22,Very fun way to learn and improve Japanese.
May Htet Htet Maung,5,2024-04-04 01:13:56,Very good for me
Clus Agus,3,2024-04-04 01:12:18,Text selection still not perfect
Kal M8,5,2024-04-03 13:45:08,The best app ever to learn Japanese
KhaingTha ZinSoe,5,2024-04-03 03:35:57,Good
Khin Maung,5,2024-04-02 05:22:08,Good app
theingi aung,5,2024-04-01 04:35:41,Helpful for japanese learning students.
Joshua Liang,3,2024-03-31 18:01:14,"I've purchased lifetime premium on the app, but it does not sync the premium to the website when on PC. Will change this back to 5 stars once it works."
Misheel Ochirbat,5,2024-03-31 02:18:54,Good job!
Chucky Teo,5,2024-03-30 21:45:47,Good articles that are simple to read for beginners.
Mon mon Khaing,3,2024-03-30 18:23:40,Good app
