userName,score,at,content
Bakmi Jawa,5,2024-06-30 20:34:27,The best
Hakiki,4,2024-06-30 13:12:11,Semoga aplikasi ini bisa menambah knowledge bagi saya yg gaptek
Tikno Bro,5,2024-06-28 12:52:49,Bisa membuka dark web
xzy bitz,1,2024-06-26 19:49:08,di update malah tambah lelet
Smart CCTV Sidoarjo,5,2024-06-20 14:28:10,Good
Masamune Kun.,1,2024-06-20 02:18:54,It's not good and it doesn't work well
Ak- 47 (GG),4,2024-06-16 14:48:48,Rada lelet
Bill (KICKBOXER),4,2024-06-13 11:02:38,Apk nya mantap sih tapi koneksi sering error
iXUQi,4,2024-06-10 22:31:58,Good
Estupido,1,2024-06-06 11:45:43,Gila super lemot
Yehezkiel Chalvin,3,2024-06-01 17:58:25,Harus di tingkatkan lagi aga lelet masuk minta tolong untuk agar bisa buka blokir situs yang diblock dan tutorialnya bisa di buat opsi agar bisa dibuka situsnya dan beserta tutorialnya. tks
Wariyah Prakerja,1,2024-05-29 14:11:56,Tidak berguna
Andi Tirta,5,2024-05-28 18:32:25,membantu bgt
Rizki Aje,5,2024-05-24 03:33:17,Aplikasi bagusssss
Mulyanto Yanto,5,2024-05-21 05:26:42,suka
KUALITAS RENDAH,3,2024-05-20 18:35:31,Not good
AlMelkids Batik,5,2024-05-18 10:58:09,Lebih terjamin
Naufal Saka,5,2024-05-17 07:36:06,Tidak Ada Histori HAHAHAHAHAHA😈😈😈😈 BROWSER PALING AMAN🔥🔥🔥
zulfikar tegar,5,2024-05-13 15:33:32,Mantap sangat memuaskan.
Aghis Maulana,5,2024-05-13 15:30:38,Sekarang saya bisa mengakses website lebih aman dari pada menggunakan vpn
FARID NAHUMARURY,5,2024-05-12 13:47:32,privacy is paramount. This is the best application because it prioritizes privacy. But there is a slight problem or rather a drawback. The downside of this Tor browser is that it is too slow. I hope this application can be faster.
Dimas,4,2024-05-10 08:18:42,Tolong developer buat supaya kita bisa mengatur ip dengan sesuai keinginan tidak secara acak
Gsm Gaming,5,2024-05-08 14:55:32,Aman dan cepat
Andartomo Fauzan,3,2024-05-06 17:31:01,Itu aja cukup..🤫
Joni Nathan,5,2024-05-02 05:47:07,👍👍
Ismail Mail,5,2024-04-28 15:24:37,bagus banget
Arga Pratama,2,2024-04-27 06:47:24,terkadang saat mencari sesuatu loadingnya terlalu lama
Hasim Kenari,5,2024-04-26 15:06:11,Pokoknya mantap Isa lihat BF geratis
Nathan Ori,5,2024-04-24 06:35:48,Block ads.... But spam mail losss
hendri yoyong,5,2024-04-22 17:38:39,Hendri hendri
Minhajul Hidayah MH,2,2024-04-22 08:37:54,KENAPA SEKARANG MAH LAMA LOADINGNYA PAS MUTER VIDEO 🤦
baka sencho,2,2024-04-21 20:17:39,"Leemotnya Minta Ampun, Browser macam Apa ini? 4 G Full Siinyal, Pake Kuota Boosting, Tetep Lemot Loading nunggu Masuk Congfigurasi ajah Sampai 1 jam Jelek sekali"
Bai Gun,4,2024-04-20 11:58:35,Good apk Really can take your privasy
Nurodin,1,2024-04-16 07:54:39,Tidak bisa menfonlod aplikasi ini error' terus
Muslih Valker,5,2024-04-15 16:41:03,pls add support for chrome extension
Tio Susanto,5,2024-04-14 17:16:01,god banget
Inry Dave,5,2024-04-14 15:24:13,Saya ke dark web
Zahir Hauzan,5,2024-04-14 07:55:15,Cara bgakses darkweb
Tidak Ada Yang Tahu,5,2024-04-12 17:47:49,Lambat tapi berguna
Hirohito Stevie Punuh (Itho),4,2024-04-12 04:05:54,👍👍👍
Delanggu Delanggu,4,2024-04-10 11:59:56,bagus
ardi 29,1,2024-04-09 12:49:09,Lemot
Henz Pm94,5,2024-04-07 18:27:19,Josss
Na nggal,5,2024-04-05 18:08:18,Private brow
Benyamin amo,5,2024-03-28 19:44:06,Aplikasinya sangat bgs sy suka...
Aminur Rahman,5,2024-03-28 11:25:07,MKasi. Semua. Nya
Rooney Arseta,1,2024-03-27 12:58:47,Ga jelas...
bacox asep,5,2024-03-26 12:32:54,Gak setajam versi PC nya ketika di pakai browsing internet dalam... But it's oke lah...
Arman Arman,1,2024-03-21 23:11:28,gak bisa terinstal
Agil Hunzz,5,2024-03-16 17:40:37,Browser yang mantap
Antonius Diki,5,2024-03-16 10:07:51,Lumayan buat nntn bok*p lancar
Dedet jusman,5,2024-03-14 15:01:20,Bagus
Endro Prasetiyo,4,2024-03-08 18:03:03,coba duu
Rino Sitanggang,2,2024-03-06 15:40:56,Coba dulu nanti saya nbah kalau bagus
Ahmad Adiq,5,2024-03-05 22:38:45,Bokeh
Ronata Dinata,5,2024-02-28 14:55:57,Saya senang menonton japanese
Demuna Adji Ramadhani,5,2024-02-28 08:58:12,Bagus sekali!
Mubarok 123,5,2024-02-28 02:09:01,mntap
Aulia Mamana,5,2024-02-24 20:49:57,good
frankens hnd,5,2024-02-22 14:57:53,Menjelajah makin aman
Tut Balix Sudarsana,3,2024-02-18 00:12:20,"Menyambungkan dari seluler ke server tor lama. lalu tak pilih option bridge...agak cepet sedikit. Nyambung tapi lemot. Tapi makasi banyak, sy masih awam"
New be free Do,5,2024-02-16 05:31:32,"Bagus ,,cuman loading agak lama ya bos,q"
Ahmad Supian911,5,2024-02-11 03:48:01,of all the browsers this is the best
Sofyan Property Depok,5,2024-02-10 15:32:05,Good
Yady frons Susanto,5,2024-02-02 15:33:00,Oke👍👍
Saiman Banten,5,2024-01-31 02:44:35,Voba dulu
Vivi Artika,1,2024-01-29 19:32:03,Coba dulu bagus nnti tmbah 4
Pay Vsee,1,2024-01-29 08:09:23,"Browser lambat, berat susah lagi"
Andrik TV,1,2024-01-25 19:24:16,Lemot.
Imron Rosi,5,2024-01-24 13:33:51,Mantep
Ferdynov,1,2024-01-24 08:59:58,Aplikasi lemot
Ano Sajah,2,2024-01-23 01:55:47,Lama lowading nya
Ebi Dar,4,2024-01-18 12:59:19,Best private browser sejauh ini..
Afif Wildan,4,2024-01-17 08:37:29,good
Satrio Banyu Biru,5,2024-01-13 03:18:15,Untuk gua sih Mayan lah bisa cari cari pengalaman lebih dalam lagi.....!! Hehehehe
DRIVER ONLINE,5,2024-01-05 14:15:45,Mantap
agus maolana,5,2024-01-02 10:48:15,Ok
blayulimit Limit,3,2024-01-01 05:34:55,Apk yang mudah di pakai sangat membantu
CX7Z,5,2023-12-29 05:38:33,Fantastic 👑
Asmat Jkt (Jemon),4,2023-12-28 18:55:29,Hanya untuk edukasi saja itu Fun ...
Ramdan fauzi Akbar,5,2023-12-27 20:35:01,Good
Putu Sindy,5,2023-12-26 12:53:12,"cocok banget nih apk,makanya aq langsung kasih bintang ⭐⭐⭐⭐⭐mantap👍"
Asal Asalan,5,2023-12-22 08:09:10,hemat batre asik
Moh Aryanto,3,2023-12-18 19:19:18,ok
Mentari Pagi,4,2023-12-18 01:26:29,"walau jaringan wifi lalot tetep masih bisa dibuka, besttt sih, ini salah satu browser paling cepat, aku slalu pake ini gak ada masalah sama jaringannya, kalo soal kecepatan thebestttt,apalagiii banyak bgtttt pilihan pilihannya. saran aja sih tambahin fitur download sama translate, trus video video lain gbsa dibuka tlong diperbaiki agar bisa di buka semua situs nya dan bisa di download, itu aja sih selebih nya goooodd bgttt, makasiiih"
Adam Gustiar,5,2023-12-17 22:17:57,Good
Sodron 29,1,2023-12-17 20:59:17,Aplikasi ndak jelasss parahhh
Tomi Johan,4,2023-12-17 14:09:08,karna gak bisa download vidio youtube / facebok
ZeaL,4,2023-12-16 15:02:22,Download sometimes error
Bang Buyung,5,2023-12-14 23:59:49,Wow keren.
Eko Siswanto,5,2023-12-09 06:46:08,agak lemot tapi darkworld bisa kejangkau
Mas Redie Islami Pratama,5,2023-12-08 14:56:19,Semoga bisa dan gak lemot
AK Limz,5,2023-12-07 05:50:24,Good
Suweca Mantara,3,2023-12-05 12:51:26,Gak ngerti
Siti Rukayah,5,2023-12-01 17:07:32,Lumayan bagus👍
BAng Rus,2,2023-11-28 14:18:51,koneksi nya lemah
Bedul Asu,1,2023-11-28 11:52:49,Sinyal lelet macam apa lo
Mohammad Farid,5,2023-11-26 11:25:33,Gw bisa buka dark web sekarang
Naoki,5,2023-11-26 07:07:11,"buat kalian yang ingin berselancar di internet dengan aman, tor browser bisa jadi pilihan"
Juned Tet,5,2023-11-24 10:47:41,I.m coming baby hahahahahahaha
Felix Still Learning,3,2023-11-19 14:42:19,bagus buat nonton animasi 3D 😁
Sumarno Sidomulyo,5,2023-11-16 15:48:59,agak susah tolong dibenahi
Su Marno,5,2023-11-13 17:00:49,bagus
Amir Hamzah,5,2023-11-12 16:01:32,I Like You
alexs barons,5,2023-11-11 22:50:05,Mantap lah meskipun lemot
Pak Inul,5,2023-11-11 09:49:24,Aplikasi vpn paling keren yg penah saya pake
Sugi Yanto,5,2023-11-08 13:25:58,jooz
Oja Stevano,4,2023-11-07 05:57:20,Buka yg lain lanjar jaya tapi klo download2 knpa cuma mentok 500kb/s
Andi Sul,5,2023-11-06 17:18:52,ok
Ino,5,2023-11-06 10:08:55,Sangat bagus buat orang gabut kek gwejh yang iseng menjelajah dark web
Ahmad Yanto,5,2023-11-05 23:51:38,The best
An Shevche,5,2023-11-04 04:17:53,99 make smart n healthy
surya 12,5,2023-11-04 00:54:24,mantap...ini yang saya cari
ZennithStorm02,5,2023-11-03 10:45:12,"I've been using the Tor Browser for a while now, and I'm incredibly impressed with its online privacy and security. It's a fantastic tool for maintaining anonymity while browsing the web. The built-in features make it easy to access the dark web and protect your identity. I'm even installed this on PC though. Highly recommend it to anyone who values their online privacy :)"
Nina Nina man arfa,1,2023-11-02 07:31:13,knp gw kasih satu karna ini adalah salah satu apk yng bisa . masuk ke drak web sama juga ke dep wen
Jacky Chan,5,2023-10-30 05:41:08,oke
Azhari wave,5,2023-10-30 03:32:47,sangat baik sekali!!!
Gani Ilhan,5,2023-10-28 07:46:53,goooddddd👍👍
Andra Eka,5,2023-10-27 23:02:02,"What about, Create a new app for donation version? Maybe just create and add the ""donate"" icon on android home( Tor Browser Donate ). Rather than in the browser because many people don't have Visa, etc. Just like my other application I have on my phone. I think it better or than add code for donation""Inn App Purchase"".. or ( Tor Browser Donate + inn app purchase inside )"
Fer 339,5,2023-10-27 13:16:04,"Browser yang bagus,cocok untuk membuka situs terblokir atau mungkin D3ep Web/Dark W3b. Buat kalian yang merasa lemot sama aplikasi nya,ini karena Tor Browser ini menggunakan 3 Relay dalam pembukaan situs,jadinya Website akan lebih aman digunakan. Tor ini tidak disarankan untuk menjelajahi surface web jika jaringan nya lamban,Tor ini biasa digunakan untuk membuka situs yang di blokir oleh negara atau untuk membuka situs pemerintah yang di letakan di Deep web,contohnya Organisasi Intelejen."
Ahmad Mohamad,5,2023-10-27 10:38:26,ini Adalah Pintu Gerbang Menuju Dark Web
YOGAK,4,2023-10-23 12:40:36,Saran tambahkan fitur translate seperti chrome agar pengguna yang tidak faham dengan teks di website bisa menerjemahkan teks
Uciha Sasuke,5,2023-10-23 01:58:04,Bagus 👍
Rein Zaka,4,2023-10-21 02:45:42,cool
abdul aj79,5,2023-10-20 07:38:58,Untuk sementara ini bagus
RRIS Dua2 (Kuadrat),5,2023-10-19 16:27:05,"Lemot tapi fiturnya sangat membantu, kasih bintang 5 semoga kedepannya lebih baik lagi👍"
Leo Nardo,1,2023-10-18 22:13:18,"Aplikasi konyol gak ada yg bisa d buka, mending yang mau pake ini aplikasi STOP"
Randi Tiopambudi,5,2023-10-17 15:25:19,Bagus
Muhammmad Ilham,5,2023-10-17 14:21:01,"Menurut gw sih ini apk bagus, gw sih nggak masalah sama jaringan nya yang lelet atau apa😁👍"
Bennymggi,5,2023-10-12 00:21:27,good
Muhammad Rickza,1,2023-10-11 08:36:02,"Padahal pake wifi, kok loading nya lama bgt"
Mamase Mase,5,2023-10-07 09:13:40,Sabar ya bro sabar itu subur pasti akan di perbaiki oleh hak cipta mantap
Anas A Lubis,5,2023-10-06 17:20:01,okelah
M FAUZI,5,2023-10-03 00:13:12,Good
Ariswanto wanto,5,2023-10-02 11:31:59,Langsung
flores animal,5,2023-09-24 15:37:24,ok
Suharto Suharto,5,2023-09-24 07:38:33,Bagus
Rahmat PUBG,5,2023-09-23 12:45:37,Biarkan bintang yg menjawab
Djunina Sari,5,2023-09-18 07:29:33,Akhirnya gw bisa masuk darkweb
Farel Ilyas,1,2023-09-17 19:43:59,Yesal gue instal lambat🤬
Robby Oby,5,2023-09-17 12:25:41,Mantap bosq
achmad chamim,4,2023-09-16 18:33:36,Bagus
Muhammad Ridho,5,2023-09-16 13:29:53,Good
Error NotFound,5,2023-09-15 06:20:08,Good 👍
Sayankk Aku,4,2023-09-15 01:31:38,Mantap
Rumahtingkat Kuning,5,2023-09-14 10:42:51,🙏🙏🙏🙏🙏
Wardi Wardio,3,2023-09-14 01:46:38,Aku kasih 3dulu
Agus Hisar Tambunan (Ad311980ad),5,2023-09-12 14:19:20,amplikasi bagus dan cepat.
Edi Handoyo,5,2023-09-07 14:30:48,Bagus dan mudah
Umar Muchtar,5,2023-09-01 23:53:08,Go
Diki Bulin,5,2023-08-31 07:52:18,Lemot sekali efribadi
Warih Wibowo,1,2023-08-30 10:21:15,Aplikasi gak jelas sudah gak bisa dibuka
Faesal Haq,5,2023-08-23 18:03:23,ok oce
D. Liu,1,2023-08-22 16:15:21,Lemot mau kembali aja selalu harus 2 kali ketuk males ah
Rila Aja,4,2023-08-22 15:01:24,Sangat la bagus
Gio SAMP V1.0,5,2023-08-22 01:33:34,Free no ads. Love u
Yogi Firmansyah,5,2023-08-17 03:13:12,Bagus sih karena bisa buka semua web tapi cuma lag aja sih mungkin pihak developer bisa memperbaiki nya
Erick Sudrajat,5,2023-08-12 18:23:46,The best browser you can trusted..
Perwira Miharja,5,2023-08-12 11:10:45,Fine..
Ambatukam Xteam,1,2023-08-12 01:27:04,tidak bisa masuk ke website cp
Yann 666,5,2023-08-11 20:59:27,Sangat membantu untuk membuka darkweb !
Lie Luk,5,2023-08-11 13:07:22,go honey go
agus dedi,5,2023-08-05 14:23:45,Great
Grock,1,2023-07-28 11:42:54,Crashes on android 5.1
Deden Sptr,2,2023-07-26 19:49:33,Alus
Muhamad Alfin Athailah,5,2023-07-25 09:47:46,dark side of internet
m nur,3,2023-07-22 09:52:22,lumayanlah
HRS SIHITE,5,2023-07-20 08:23:54,Bisa membuka dark web
Joro 1,5,2023-07-18 03:06:25,Gabut aja gw
Kastur Turi,5,2023-07-13 15:59:38,"ini yg paling cocok menurut saya, bisa buka apa aja ,tnp iklan ,gratis moga gratis terus dan tentunya aman buat data2 penting kita."
Muslim Baskoro,5,2023-07-12 04:04:04,hahaha ak 47 is my dream
Robbi Rahasia,5,2023-07-06 02:37:41,Robbi is money
Tri Wahyuniingsih,5,2023-07-05 14:06:09,"I don't know, I'm just curious"
Soeroto Tjokro,5,2023-07-05 09:32:25,Good browser..nice
M Luthfi,5,2023-07-02 14:45:32,"Bagus, sangat bagus"
HASYIM56,4,2023-07-01 23:44:07,"Tor browser ini sangat mengesankan cuma mengalami beberapa kekurangan yang banyak orang tidak menyukainya, yaitu selalu slow saat search diweb tor, padahal jaringannya sedang cepat, suka load yg suka lama. Beberapa kekurangan itu yang membuat saya tidak nyaman saat menggunakan tor browser, terimakasih"
jaya pramono,5,2023-06-30 09:37:25,LBH BAIK DARI PADA PUFFIN
Defalt,5,2023-06-29 15:24:47,nice
Ryan Yahya,5,2023-06-28 00:05:33,Gak rekomen klo cuman mau buka situs yg diblokir di Indonesia karena lemot & banyak IP exit node yg kena blacklist tp klo lebih mengutamakan anonimitas atau mau buka deep web yg cuman bisa dibuka pake Tor baru rekomen
Marvelle Prasetya,4,2023-06-26 14:20:02,kalian para pedofil cari apa🧐🧐🧐
Jovan Pratama,2,2023-06-25 21:41:41,Buat nonton bokep 🗿
Sam Dani,5,2023-06-22 05:39:44,Bagus
Novita Dewi,5,2023-06-21 04:27:46,ok
Wildan Wildan,4,2023-06-20 18:15:46,Saya suka aplikasi ini. Tp sayang gk bs d buka..
Devanic,5,2023-06-20 17:29:04,Bagus
Yoga Cakra,5,2023-06-20 14:54:54,GG geming
Nagma Firzy,1,2023-06-19 06:50:31,Baru download tiba tiba force close gk bisa di pake
Asian samsul,5,2023-06-17 17:00:15,bagus
Ankush. CIA . Clay cyber security,5,2023-06-17 09:38:50,Thank you TOR browser
Nyi Munir,5,2023-06-16 17:44:54,Ok
