userName,score,at,content
Muhamad Syahrobi,5,2024-05-31 14:44:01,Bagaimana cara memasukan kupon di aplikasi ini?
Rina Nuzulia,5,2024-05-28 13:59:17,keren bisa belajar sambil rebahan
Najmatu SAFA,1,2024-05-26 22:36:51,g bisa masuk akunnya
Noval lian,5,2024-05-23 10:17:58,The best
Junaidi,5,2024-05-21 18:13:50,Mantap
Baba Yaga,1,2024-05-14 06:19:58,"Aplikasi cacad, buat download aja tiba tiba crash, dah gitu gk bisa login lagi"
Syarif Hidayat,5,2024-05-11 14:47:33,very recomended for longlife learner
Kak Anang,2,2024-04-29 00:08:37,Tolong bantu saya saat ini saya ingin daftar tapi terkendala keterangan terjadi masalah saat membuat akun anda.
Dawut Suseno,3,2024-04-25 16:18:44,"App udemy di handphone saya tidak dapat dibuka, padahal sudah update pembaharuan.. Adakah solusi untuk masalah ini?"
Khamzat Kadirov,2,2024-04-19 04:46:48,"saya kecewa dgn udemy, tolong ya pihak udemy di periksa. course yg saya beli hilang semua setelah update. Bagaimana cara mengembalikan nya???"
andrew Cahya,5,2024-04-19 00:21:24,very good
Doom Gaming_12 Doom Gaming_12,2,2024-04-14 07:52:49,Punten.. Kok saya mau daftar via google knp bermasalah terus ya?
Muhamad Syamsudin,3,2024-04-09 07:25:35,"Udemy perlu melakukan update saat ini, karena meski video sudah di download, untuk memutarnya masih butuh koneksi internet & malah ada beberapa video yang tidak bisa diputar, harus keluar aplikasi lalu masuk kembali baru bisa untuk memutar video."
Ferza Unity 19,1,2024-04-09 02:54:54,Terjadi masalah saat login
Yuga azka al razzak,3,2024-03-31 09:23:02,kenapa ya saya login gak bisa padahal saya sudah ada banyak video di dalam nya :v
Fredio Pratama D,5,2024-03-28 04:53:28,I get many knowledge from here
Hs Rogue,3,2024-03-26 10:05:14,"Maaf, mohon tanggapannya dari developer. Saya baru saja menginstal app ini & mau membuat akun, tapi gagal terus. Selalu saja ada tulisan : TERJADI MASALAH DALAM MEMBUAT AKUN ANDA. PERIKSA APAKAH ALAMAT EMAIL ANDA DIEJA DENGAN BENAR. Padahal saya sudah memasukkan nama, alamat email, membuat password dengan benar. Mohon tanggapannya. Terima kasih.."
Nadhia Dewi,5,2024-03-22 19:12:15,"Penjelasan singkat, padat dan sangat mudah dimengerti"
Erlangga Fikriansyah,5,2024-03-16 07:19:57,Course app untuk upgrade skill terbaik
Bambang Suhermanto,5,2024-03-10 18:42:46,"ngikuti saran dr developer nya,, skarang udah lancar,, ok thnx"
Sinta Rahmawati,1,2024-03-10 07:58:11,Kok gk bisa daftar akun
tutri hanggari,5,2024-03-07 22:59:49,aplikasi ini sangat membantu untuk belajar skill baru
Theyni Josua Korompis,5,2024-03-01 09:56:25,Banyak promo dan sangat membantu
Rindra Aniko,3,2024-02-27 17:13:33,saya mau video tp sebagian malah artikel
Yudha Permana,5,2024-02-22 05:07:07,bermanfaat
Moh. Iklas Ramadhan,4,2024-02-20 16:03:25,Sediakan terjemahan Indonesia
ratna susanti,5,2024-02-19 12:55:54,Bagus sangat membantu bagi diri yg butuh pengajar tanpa biaya. Walaupun ada yg berbayar
Arif Irawan,5,2024-02-16 02:33:49,Kereeen
rifqi sakho,5,2024-02-15 23:46:12,Sangat membantu
Bim Bim,2,2024-02-12 06:25:54,"Payah banget padahal udah login. Malah ada masalah Mulu, coba perbaiki lagi dong. Ganggu aja kan kalo ginih"
Aurora11 Studio & Printing,5,2024-02-08 14:28:47,tambah subtitle Indonesia dong untuk pelatihan
Putra Wii,5,2024-02-07 14:01:21,Very helpful for improving skills to get freelance or remote work. Please ask Udemy or Udemy teachers to provide Indonesian subtitles. Because many Indonesian citizens are willing to study and pay but are fluent in English. Hopefully in the future many teachers will provide Indonesian subtitles
bandung driver,5,2024-02-05 01:08:29,bagus
Gedhe Darma Yuda (GedheYuda),5,2024-02-02 01:51:19,Bagus
Retno Fadilah,2,2024-01-28 06:20:09,"Selalu gagal membuat akun baru, padahal email yang tertera sudah benar, tapi tetap tidak bisa buat akun baru."
Nandym,5,2024-01-26 03:07:03,Apk yang saya butuhkan.Cukup banyak kursus mulai dari berbayar maupun gratis.Pengajar kompeten menguasai bidang dan memberi arahan maupun saran.Tapi disayangkan yang gak bisa bahasa inggris kesulitan memahami.Semoga kedepannya support bahasa/pengajar Indonesia.
DANIEL MERZANDI TIO SASSIA,4,2024-01-22 06:13:15,"Untuk pembelajaran dan semua pengaturan video yang ada, sangat bagus dan tidak membuat kita sebagai murid kebingungan. Cuma ada beberapa video yg subtitlenya tidak ada atau tidak muncul. Padahal disitu terdapat tulisan ""caption sedang dimuat"" tapi setelah menonton kurang lebih 5 video mempelajaran, subtitle tersebut tetap tidak muncul juga. Saya tidak tahu apakah masalah jaringan atau perangkat saya, tetapi jika memang merupakan bug yg ada, mohon diperbaiki😘🙏"
Roberto Mario Uta,5,2024-01-19 14:22:32,Sudah selesaikan pelatihan tapi sertifikat tidak bisa diakses 👎🏻
Josh TWO,4,2024-01-18 02:42:20,bagussssssssss
Anril Tasa Siregar,5,2024-01-17 03:53:39,bagus bgt
Moch Adam Kurniawan,3,2024-01-15 14:10:07,"Tolong tambahkan terjemahan bagian video dan pada menu tanya jawab, tolong tambahkan terjemahan saat mendapatkan jawaban ."
Sul Scyres,5,2024-01-14 09:50:48,Good
yuli setyawan,5,2024-01-10 17:36:48,"Bagus, banyak pelajaran yang sangat bagus sekali"
Natanael Calvin,5,2024-01-09 16:56:58,sangat membantu dengan skill yang diperlukan 😊
Krisna Dwipayana,5,2024-01-09 15:47:34,good
Baskoro Ramadhan,4,2024-01-09 09:39:35,"Instruktur nya jelas dalam penyampaian. Pelajaran juga terstruktur. Hanya Aplikasi perlu lebih stabil, kadang sering ngebug"
Hadiyan Nur Fikri,5,2024-01-04 05:19:14,"Bermanfaat sekali, terima kasih"
Isnaeni Setiyadi,3,2024-01-04 00:50:12,lambat
Sicklez,1,2024-01-03 12:21:50,"Apk jelek gak bisa login, udah mau login malah keluar pesan ""email gak bisa dieja dengan benar"""
Rudy Anggara,5,2023-12-29 02:45:29,perfect
Gian Sirait,5,2023-12-26 01:55:00,mantap
Hardiansyah,5,2023-12-14 21:29:18,terimakasih udemy.
Ahmad Sahrija,5,2023-11-30 10:58:04,Berguna karena saya dikejar deadline 😁🙏
Muhammad Faris Shafwan,1,2023-11-29 10:49:32,Tidak bisa login dengan google dan loading sangat lama saat menggunakan jaringan internet seluler
Nico Satria amando,5,2023-11-23 13:15:55,mantaf
M R Amin,5,2023-11-20 03:11:48,sangat membantu dalam proses belajar
Asurya,1,2023-11-18 21:09:35,tidak praktis dan berbayar
Hamba Allah,5,2023-11-13 21:36:51,Terdapat banyak diskon dan instrukturnya berkualitas
alan burhannudin,1,2023-11-11 07:53:18,"tidak bisa play video. Di download lama kali, udah didownload gak bisa dibuka. tolong perbaiki, ini sudah hampir 1 Minggu gak bisa."
M Feri Maulana Muttaqin,5,2023-11-08 03:42:16,bagus
gibson 400,4,2023-11-02 02:27:28,"Aplikasi ini menarik tapi harus selalu update setiap 1 minggu berjalan,apps tidak fokus dalam optimalisasi kestablilan versi... Wajar nya jika minimal 1 bulan sekali update versi"
M. FAQIH,1,2023-11-01 17:51:25,"Setelah update loading video sangat lama, padahal internet lancar. Dan download video, parah sekali lemotnya, download satu video bisa menghabiskan waktu sampai 10 menit."
Andrians앙,5,2023-10-16 18:22:02,Please add Indonesian subtitles
Sandra Warsih,5,2023-10-12 03:20:49,"Sangat membantu buat belaajar lebih dan bisa di ulang ulang,tapi sayang tidak ada translate bahasa"
