userName,score,at,content
Hp Jos,3,2024-04-30 23:39:25,NASDGM
Gistananjar mau gk,3,2024-04-30 23:24:57,RCTI MNCtv global mana.
khaironi hasdian,2,2024-04-30 22:37:01,Mau downoad video kok harus langganan dulu gak kayak dulu Jelek sekarang aplikasinya
RobiiMd,3,2024-04-30 21:06:46,Entah kenapa kalo nonton di tv suka tiba2 berheti langsung layar hitam
Javier Ananta,1,2024-04-30 20:57:04,"Aplikasi maling ,tau² motong saldo .mending ilangi aja dr muka bumi"
Mtegar Mtegar,5,2024-04-30 20:02:30,Hala Madrid
Noviindah Pertiwi,1,2024-04-30 19:56:34,Di login di tv lewat QR giliran masuk ga bisa nonton blang hitam. Padahal di HP bisa. Jaringan padahal sama.. bahkan cuman TV aja yg bisa di tonton percuma berbayar woy
Dafa,1,2024-04-30 19:44:05,gila ni aplikasi udah bayar iklan nya masih banyak
RIFAN CAHAYA,1,2024-04-30 19:40:47,"Aplikasi komunis,,,tayangan SCTV selain bola lancar lancar aja,,giliran liga Champions tayang disuruh beralih ke platinum atau apalah itu vevek,, padahal di tv gratis live liga Championsnya,,,apa karena penonton yang nonton tv sekarang berkurang drastis???wkwkwk sampah"
Ahmad Najiyulloh,1,2024-04-30 19:39:48,Aplikasi ngga jelas
Ignu Agil,1,2024-04-30 19:35:14,"Apk ga layak ditonton,alergi apk vidio ayo hapus apk vidio"
Marvell Z,2,2024-04-30 19:31:55,"Aplikasi nya bagus cuma pas nonton apaan banget sering delay, terus ngelag sendiri padahal jaringan bagus"
Yudi Fajri,1,2024-04-30 19:22:23,aplikasi sampah yg buat anak anjg iklan mulu
Raditya Warman,1,2024-04-30 19:18:08,"masa saya udah beli paket nonton bola, tapi pas baru sekali nonton udah disuruh beli lagi,bukanya penipuan ini kan katanya selama 1 bulan,nyesel gua nonton disini"
Nderek Dawuhe Guru,1,2024-04-30 19:15:20,"Kurang memuaskan, mau nonton live UCL Semi Final, gak bisa di buka"
lauraadekia 30,5,2024-04-30 19:11:56,"hi, salken ya, apk ny bagus kokkk"
Nency Novia,1,2024-04-30 17:35:34,"Kecewa, baru pakai paket setengah bulan harus beli paket baru lagi. Lama lama ngk ada yang mau gunakan aplikasi ini"
Fransiskus Jeki,4,2024-04-30 17:05:50,mau download aplikasi nya di pc kx susah sekali ya
Aulia Adilaputri,1,2024-04-30 16:53:38,Saat saya cari film nya malah muncul film lain
Amanah Isman,5,2024-04-30 16:26:33,"Bagus, selama aku pakai ini. Alhamdulillah aku bisa lihat film favorit aku. Senang deh🥰❤️"
Sadek Vivo,4,2024-04-30 15:36:02,Kasi 4 bintang dulu
Al Wiyah,5,2024-04-30 15:23:56,Apk ny bagus tpi bnyk yg premium
Nisrina Sabila Channel,1,2024-04-30 15:04:28,apk jelek jgn mau download aplg berlangganan. video nya macet² walaupun sudah berlangganan juga. cari apk lain yg bagus. ga worth it apk vidio ini
Oktavia Wahyu Dwita,2,2024-04-30 14:56:51,Kenapa setiap malam liat channel trans7 gk bisa trs
I Gede Sulastrawan,1,2024-04-30 14:46:23,"Aplikasinya bagus tapi sangat disayangkan paketnya penipuan, berlangganan bulanan belum ada satu bulan sudah tidak bisa di pakai nonton liga Champions 🗿"
Nova Riansyah,1,2024-04-30 14:07:40,Apk nya bagus tapi harus berlangganan biar videonya gak 1 atau 2 menit jadi malas buat nonton disini
Ajis,3,2024-04-30 13:24:06,"Bagus,tapi sering gangguan ..."
Syamsul Kocret,1,2024-04-30 13:22:01,Aplikasi ini emang bagus tapi gak terlalu bagus. Soal nya gak bisa lihat live bola bolly atau lain nya. Kalok mau live harus beli atau langganan. Mendingan lihat di aplikasi lain atau di TV. Maaf saya kasih bintang satu soal nya aplikasi nya ribet pakek beli paket lagi. Kalok beli paket lagi terus paket yang udah saya beli buat apa dong pengen ngabisin paketan yang banyak eh pas download aplikasi ini malah di suruh pindah lagi. Mendingan liat ke aplikasi lain nya ajah🙏🙏🙏🙏
Jingga Ayu,1,2024-04-30 13:13:53,"kok apk dihp saya ga bisa dibuka ya padahal kemaren2 lancar,sekarang dibuka nunggu lama trs kembali ga bisa dibuka sama sekali,mana udah langganan premier lagi kan sayang ga dibuat nonton"
Dabira Dabi,5,2024-04-30 13:11:44,Amazing
Aulia,5,2024-04-30 13:09:32,Apk nya bagus aku suka tapi untuk iklan akan lebih bagus di kurang kan
mulki 02,2,2024-04-30 12:58:21,P noton final ralmdrid vs bayan
candra aryan,1,2024-04-30 10:50:06,"Gw top up 50 rbu tapi kaga masuk masuk saldo nya, gw lapora tapi kaga bisa ngirim fto, dah 3x gw gagal top up, sudah rugi 150rbu gw ini"
Arian Syah,1,2024-04-30 10:20:57,"Gk bisa beli paket, padahal saldo mencukupi, malas ngikutin peraturan ini itu, kenapa sih harus di bikin repot"
Batam Batama,2,2024-04-30 10:03:48,Tlng dikasih kerendahan saat nonton film anak sekolahan tampa kuota dri episode pertama sampai episode & terlalu banyak iklan terakhir mksh:) Semoga dibikinin Amiin²
Agung Bhians,1,2024-04-30 09:55:02,"Aplikasi gak jelas, buat aph gua bayar paket yg sama 2kali. Tanpa konfirmasi dlu lagi"
Agus San,1,2024-04-30 09:38:44,"Padahal udah langganan masih aja vidio gak bisa di putar, coba download vidio masih aja gak bisa di putar, ini apk makin kesini makin ngaco"
Nom Nom,1,2024-04-30 09:14:22,Kenapa harus mayar lebih baik menunggu dia membayar hutang dari pada harus membayar hanya 1x lihat saja
Muhamad Yusuf Allimudin,1,2024-04-30 09:12:42,bayar langganan cuman buat live streaming yang buffering nya minta ampun(*KONEKSI INTERNET SUDAH STABIL NONTON DI YOUTUBE SAJA BISA 1080p) nih apk video nya saja yang buruk
Adindayoga Perdana,1,2024-04-30 09:09:13,"Saya buat streaming gabisa harus beli paket langganan dulu,payah!!!"
Muhammad Ramdan,2,2024-04-30 09:02:34,Payah setiap pembelian paket langganan selalu tidak bisa di klaim. Sedang kan saya beli nya berbarengan sama paket kuota
Pera Veronika,5,2024-04-30 08:41:25,aplikasi yang digunakan berguna begitupun dengan fitur yang ada memudahkan seseorang dalam mengoperasikan aplikasi yang tertera
Faisal Ramdani,1,2024-04-30 08:38:05,Susah amat mau beli paket juga
Ica,4,2024-04-30 08:34:10,Apkny udah bagus tapi kok gak ada film the mandalorian?
Ujang Wildan,1,2024-04-30 08:29:29,Udah di install tapi gak bisa nonton bri liga 1 gimana ini saat menginstal aplikasi ini beraharap agar bisa nonton persib karena gak tayang di tv ehh pas udah di install malah gak bisa dinonton persib sama sekali kecewa saya
Khodijah Garsel,1,2024-04-30 08:19:32,🤫 tdk usah di jelaskan ⭐bintang jg mengetahui
Fadhil Aldiansyah,1,2024-04-30 08:18:35,eror
Abdul Kodir,1,2024-04-30 07:40:31,Banyak error nya
aponilato,5,2024-04-30 07:32:44,"wow,keren"
Emiastia,4,2024-04-30 07:10:16,"Mohon maaf mungkin saya tadi salah pengertian kak, apakah video mini paket itu memang tidak bisa menonton semua film? Dan video mini paket itu untuk nonton apa saja yah kak?"
King Pro,5,2024-04-30 07:08:57,Sangat bagus aplikasi ini
Dadang Suryana,1,2024-04-30 06:33:32,Ff di a
Putang Ina,1,2024-04-30 06:02:52,"Ribet gak bisa pembayaran di indomaret or alfamart , PAYAHHHHHH"
Salman Alpariji,5,2024-04-30 05:51:02,Bagus sekali
Andrianto Priyatmoko,3,2024-04-30 04:05:12,Kenapa sih sekarang sering banget ngelag.. kadang tidak loading sama sekali padahal koneksi internet full
Mateus Barro,5,2024-04-30 03:10:44,😫😫
Desi Nurmalasari,1,2024-04-30 02:02:10,"Woy lah kenapa uang saya masih kalian tarik, padahal saya udah gk pernah langganan dan sudah memutuskan langganan dari 1tahun yg lalu, ini tidak hanya sekali atau dua kalinya. Uang saya selalu dicuri kalian tanpa perizinan saya!! Saya selalu diam dan memaklumi tapi ini udah keseringan yah, tolong kerja samanya!!"
Helmi,1,2024-04-30 01:28:53,"Aplikasi banyak masalah, saya buka apk vidio di smart tv nge stuck di loading screen padahal udh instal ulang berkali kali"
KRISDIANTO KRIS,5,2024-04-29 23:52:38,Good
Joni Wahyudi,5,2024-04-29 22:14:38,Kadang macet2.salurqn cenel y kurang lebgkap
Rapa Maulana,5,2024-04-29 18:06:36,"Mohon kepada developer saya meminta tolong agar semua film harus lengkap supaya semuanya bisa seneng melihat film kesukaan mereka seperti film kesukaan saya yang nama SCRISSON SEVEN, mohon ya kepada developer tambahin film kesukaan saya 🙏🙏🙏😅😅"
Egha Aprillia Kartika,1,2024-04-29 18:05:21,Mau berlangganan tapi selalu error pdahal ada saldo nya hadehhh
Dani Solar,5,2024-04-29 18:01:23,Vobia
Farhan AbdulMalik14,1,2024-04-29 18:01:05,"knp saya g bsa berlangganan, aneh banget, padahal pulsa bnyak, lebih dri pada pembayaran, tapi sayang sekali g bisa berlangganan"
D6000/96/97 Smr,1,2024-04-29 16:37:34,Paketnya mahal masih ada iklan malas
Arjhuna Dhimas,1,2024-04-29 15:51:25,apk bego
Risty,4,2024-04-29 15:46:25,Chenel TV nya kurang lengkap masa gak ada RCTI nya
Syamsir sam,4,2024-04-29 15:40:51,Baik sekali
Muh Kar,5,2024-04-29 15:33:02,Ok
Nur Muhammad,1,2024-04-29 15:30:00,Semua tv streaming android kena blokir tidak bisa nonton sepak boya
Diana Wati,1,2024-04-29 15:28:46,Tidk rekomdasi aplikasinya suka logout sendiri. Sudh di update tapi tetp saja sama.
Didot Siregar,1,2024-04-29 15:19:18,Aplikasi jelek
UnNamed Nomaden,1,2024-04-29 15:18:30,KONTLO DI GOOGLE ADA TULISAN RCTI DI LINK MVIDEO TAPI GW PREMIUMIN KAGAK ADA
Krisjhon Lumbantoruan,1,2024-04-29 15:14:38,Buang buang kuota saja
Jeffry Donal oskar,5,2024-04-29 15:13:15,baik
Fortunate,1,2024-04-29 15:08:20,Useless
Annas Syakirin,5,2024-04-29 15:05:39,Kocakkk wkwkwkkwkwkk
Alan Sumitra,5,2024-04-29 15:05:06,👋
Isti Yani,5,2024-04-29 14:56:29,Sangat puas
Azaam Fakhri30,1,2024-04-29 14:53:49,butut eweh rcti!!!
Salsa Salsa,5,2024-04-29 14:49:52,Apliakasi nya sangat bagus.
Laki Laki,1,2024-04-29 14:48:18,"JANGAN MAU DI JAJAH APLIKASI VIDEO, TIMNAS YG MAIN KITA HARUS BAYAR PADAHAL QUOTA JUGA KENA TAPI NONTON TIMNAS HARUS BAYAR, APLIKASI TOLOL,JANGAN DOWNLOAD APLIKASI VIDEO,BOIKOT APLIKASI VIDEO"
Muchammad Arief,1,2024-04-29 14:44:30,Udah langganan. Mau nonton live streaming bola aja gak bisa! Nyesel
Patra Gobi,2,2024-04-29 14:41:54,coba dulu
liga dua,5,2024-04-29 14:41:34,Good job
Gladak Tengah,2,2024-04-29 14:41:04,No rcti
NOR HIDAYAH,2,2024-04-29 14:38:45,tiap kali saya putar di tv kadang terhenti dan keluar applikasi..lebih sering macetnya..tolong diperbaiki ya biar gak macet2 lg..soalnya dirumah saya sdh pakai WIFI jd bukan karena sinyal dong
Persebaya 1927,5,2024-04-29 14:37:15,Mntp dah
Irna Wati,5,2024-04-29 14:34:48,Aplikasi nya bagus yang ngga bagus dompet saya aja sih buat berlangganan 😖
Faisal Nanda,1,2024-04-29 14:30:54,Apk busuk ga bisa live lagsung Bayak iklan lagi
Yuzarmen Emen,1,2024-04-29 14:30:27,Gajelas
Muhammad Zacky,1,2024-04-29 14:29:05,Mau nonton Indonesia vs Uzbekistan ga begitu kelihatan.
Dedi Rosida,5,2024-04-29 14:19:17,User frendly
Yudi Ardiannor,1,2024-04-29 14:15:41,Banyak iklan nya
Bayu Kusumaatmanegara,1,2024-04-29 14:09:22,Ga lengkap jir
Made Rustawan,1,2024-04-29 14:08:58,Jelek
Mitra Mandiri Motor,5,2024-04-29 14:08:14,Mantepp
Reza Pratama,5,2024-04-29 14:01:53,Ini saya udh paketin diamond tapi ngga bisa nonton yg premier gimna sih
Fauzi Ujie,5,2024-04-29 14:00:17,Ok
Ghozi Al Gholib,5,2024-04-29 14:00:07,tempek
Muhammad Reza Arrazaq,1,2024-04-29 13:59:56,payah
Rizal Saputra,3,2024-04-29 13:52:55,Saya kasih bintang 3 dulu untuk pemula
Mumtaz Auladil Ula,1,2024-04-29 13:39:54,Siaran tv tdk lngkap
fredy nashihin,1,2024-04-29 13:37:26,Sudah langganan platinum tpi tetep iklan muncul dimana. Mana. Hufff
Boedax Ghoib,1,2024-04-29 13:31:30,Aplikasinya titid gak bisa di buka dasar mau duit aja buat aplikasi gak ada guna
Erik Line,5,2024-04-29 13:29:10,Ok goods
FF FF,2,2024-04-29 13:18:19,"Jrgnnya didayow bolsel kurang bagus alias jelek, mau nonton siaran lgsg susah siarannya."
ahmad muzzammil,1,2024-04-29 12:26:39,TERLALU BANYAK IKLANNNNN
Muhammad Yusuf,5,2024-04-29 12:15:50,Mantap
MUH MUQSIH GHYATS,5,2024-04-29 12:12:11,😈
Sasmito Hermawan,4,2024-04-29 12:11:44,sukses..terus perbaruii..tks
Fabel Pratama,5,2024-04-29 12:06:04,Aku coba kasi bintang 5 dulu kalo bagus tetap bintang 5 kalau tidak aku akan kurang kan bintangnya
Wir Yanto,1,2024-04-29 12:04:11,Harus bayar lg
emen juliarso,5,2024-04-29 11:50:54,Kuuuaammpprrooeet.. kok banyak yg berbayar... Katanya gratis..
Gadget Idola,1,2024-04-29 11:30:34,Voucher nya gk bisa di gunakan Sama aja bo ong Mending gak usah pke Voucher Voucher an Bikin ilfil Nonton di amazon prime sama disney hotstar aja dah cukup bundling telkomsel
Expras 0625,4,2024-04-29 10:56:28,Apakah bisa nonton timnas u23
Laily Sari,2,2024-04-29 10:34:27,"Saya langganan untuk semua perangkat tapi nggak bisa di sambungkan ke Tv Keterangan harus beli paket yg untuk srmua perangkat gimana sih, rugi dong aneh banget🤬🤬🤬"
Dani Firmansyah,1,2024-04-29 09:50:53,"Terlalu banyak iklan nya, udah iklan di tv show-nya , iklan juga di videonya"
Ridho Alhudori,5,2024-04-29 09:49:58,"Ok kak, sudah mantap lagi 🤩"
Xiang Meithing,5,2024-04-29 09:21:54,Good
Sue Banget,1,2024-04-29 09:01:44,Kenapa tidak ada chanel RCTI dan News TV Sangat lola
Sugiarto Gicox,5,2024-04-29 08:00:08,Mantap
elsa zirra,3,2024-04-29 07:40:53,"Kenapa sekarsng kalI download videony selalu harus bayar, gak kyak dulu langsung bisa download tanpa minta bayar langganan."
Dika Kurnianda,5,2024-04-29 07:05:45,"aplikasi nya bagus video yang ada berkualitas tinggi,dan langganan di aplikasi ini sangat murah."
Masria Siregar,5,2024-04-29 07:05:39,"Bagus sekali, pokoknya rekomendasi banget deh."
Natalia Xiang,4,2024-04-29 07:01:29,"Mau daftar paket platinum aja gagal terus ,"
Galaxy Mobile,1,2024-04-29 06:36:41,video banyak yg mengulang dan tidak lancar
Zieta Freti Valerie,5,2024-04-29 06:11:26,Bagus banget untuk nonton filmmm🩷😁
HiCan oficial,1,2024-04-29 05:48:38,Aplikasi payah padahal saya sudah berhenti langganan tapi saldo gopay saya kepotong dan dilihat historinya perpanjang langganan tidak ada ini gimana ceritanya bisa begitu korupsi banget mohon coba kalo punya aplikasi itu managementnya yang bener bisa sampe kayak gini ngerugiin orang semoga tidak terjadi diorang lain aplikasi parah
01 Zero one,5,2024-04-29 03:36:16,"Tambahin lagi film"" shrek atau dreamworks yg lain. Terimakasih"
Sahala Tua,5,2024-04-29 03:18:56,Mantap
Arifin,5,2024-04-29 00:30:31,Bagus
Muh.rahmat Anugrah,4,2024-04-29 00:17:57,Aplikasi top marketop bang 😀
Chandra kirana pajak,5,2024-04-29 00:14:18,Siaran News tv ngk ada dengan RCTI
Agung Hardianto,3,2024-04-29 00:08:06,"Aplikasinya tidak support untuk Mirroring dengan T Link Head unit Avanza 2023. Cuma keluar suara dan teks saja, gambarnya tidak ada dilayar."
Irvan Triwibowo,1,2024-04-28 23:58:02,kebanyakan iklan
Sujei Laok,5,2024-04-28 23:21:26,vitmet
abinya Hauro',5,2024-04-28 21:34:01,Mantap
ONE CREATOR,1,2024-04-28 18:18:06,Aplikasi gak berguna harus bayar dan bayar
Sinta Bella,5,2024-04-28 18:07:50,"Sukaa, apk nya membantu ngedit vidio atau foto jdi lbih aestetick 🥰"
Sandria Gusrianda Sitinjak,2,2024-04-28 17:13:00,"Minimal kalau harga naik, kualitas perbaiki, Nonton lag lag"
Raja Siregar,1,2024-04-28 17:07:22,Terlalu banyak errornya
Fajar Handi,1,2024-04-28 17:06:49,Lelet sekali padahal sudh pake jaringan wifi tapi masih saja lelet
Diyan Widiyantoro,1,2024-04-28 16:58:59,"Pulsa sudah terpotong tapi paket belum aktif"".apa""an!!!!"
Irfan Saputra,5,2024-04-28 16:34:57,Bisakah nonton live Indonesia vs Uzbekistan di aplikasi video
Sarah Jessica Christabella,5,2024-04-28 15:25:46,"Vidio: Sports, Movies, Series is the best"
Babby Elvina Huang,2,2024-04-28 15:02:11,"Bisa didijelaskan oh admin video,saya sudah membeli paket Diamond (premier league + platinum) 59000/ bulan tapi pas mau nonton katanya saya gk ada paket bisa tolong bantuuuuuu??????? Terus ini apk klu mau nonton lamaaaaaa bgt loadingnya gk mungkin jaringan wifi,sedangkan buka youtube lancar jaya ."
Deden Balongan,2,2024-04-28 14:52:12,"Saya udah bayar bulanan, kenapa tiap nonton harus dimulai dgn iklan. Kecuali saya gratis silahkan iklan sepuasnya"
Juniardi Balukh,1,2024-04-28 14:36:59,Nonotn film kebanyakan leg.. ngga seru.. lebih baik netfilx.
Tyo Alexander,1,2024-04-28 14:34:16,Paket premier+platinum tp tetep gak bisa nonton liga inggris
Rifki Rifki,4,2024-04-28 14:32:09,min tolong diupdate lagi aplikasi nya ko saya ga bisa mode full layar ya.... Terima kasih🙏
Luigi amirul Riviera sinaga,2,2024-04-28 14:18:11,min. gimana yah masa aku ga bisa nonton padahal aku dah berlangganan. malah aku disuruh bayar lagi min. mohon penjelasan nya min.
Oedink Pribumi,1,2024-04-28 13:31:55,Vidio bangke banyakan iklan asuh..
Stempel Flash Official,1,2024-04-28 13:19:37,Nonton voli aja harus bayar
RIZKI ILHAMSYAH,1,2024-04-28 13:14:22,busuk
Sujati,5,2024-04-28 13:08:44,Pokok nya buat video debettt banget deh Semua film ada disitu dan episode nya lengkap bangettttt. Aku paling suka buat nonton drakor. Pokoknya yang terbaik buat aplikasi Vidio 🤗
Erik Wahyudi,4,2024-04-28 13:03:24,tolong diperbaiki terlalu sering macet ketika menonton. untuk kwalitas gambar oke lah
Alifah Fitriani,3,2024-04-28 12:50:43,Sumpah ngga lengkap banget Chanel tv nya
Setro borot,1,2024-04-28 12:49:15,Jelek mbayar semua
Dasep mustofa,5,2024-04-28 12:37:32,Ok bagus
Rizki Nazarudin Hamid,1,2024-04-28 12:13:49,Kenapa live streaming harus bayar sih????
NAG220 18,3,2024-04-28 12:05:22,Ok
