userName,score,at,content
ahhafcosh Cosh,5,2024-05-23 00:45:10,Wkwkwkw kemare masuk notiv hahaha
Brandall Nime,5,2024-05-23 00:43:31,Ini saatnya 🥰🥰
Luthfy Fachrul imam,1,2024-05-23 00:40:16,Why not support Language Indonesian? Your game is famous in Indonesia. You just add translate with language Indonesia if you want indonesia people play this game. I hope you respect end update soon. Big Love from genshin impact player
Dinara Safira,5,2024-05-23 00:37:26,"Dear developer, semoga game ini tidak kikir seperti game sebelah ya. Untuk grafik, fight nya lumayan menarik saya lihat di video. Good luck Wuthering Waves!"
AlgesIrsa,5,2024-05-23 00:37:12,Panjang panjang gem baik
alldiandro Stiwen,5,2024-05-23 00:34:03,"Bagus, gameplay nya terlihat seru dan menyenangkan aku sedang nunggu server nya.💯"
Eka Maulani,5,2024-05-23 00:28:55,"Saya sudah menunggu ini dari lama, saya yakin dan percaya kalau ini tidak akan mengecewakan"
Cireng Kuah,5,2024-05-23 00:25:19,"Gamenya bagus, dari segi grafik, story asik. Next update bakalan asik paras si, bagi yg ga bisa bahasa inggris lu gaush main tolol skola 12 tahun ga bisa bhsa inggris gobloknya Ampe akar, yg sering for close itu hp/sinyal lu lagi busuk ato ga hp lu penyimpanannya mepet mknya ga bisa masuk tolol Jngn asal kasi bintang 1 cmn gegara ga ada BHS indo/game sering for close di hp lu."
Kazumi,4,2024-05-23 00:24:00,Sesekali ada fitur sub indo soalnya di pgr gak ada anjir 🗿
Kacang Hijau,5,2024-05-23 00:23:55,Terlihat dari cbt nya saja sudah membuat saya yakin bahwa game ini akun bagus dan enjoyable😁
Timur tri hidayat,5,2024-05-23 00:23:49,"This is a great game, I've been waiting for it for a long time. Bummer for those who compare it to Genshin, bro, just enjoy the game"
Rizki Rizaldi,5,2024-05-23 00:22:42,kuro fans
MusriyanTo,5,2024-05-23 00:22:16,Game g ada bahasa Indonesianya pasti sepi Mending ku sepam b5 buar tutup server😡
Sabbir Achtar,5,2024-05-23 00:22:11,"Game nya bagus dan menarik,saingan genshin si ini😂"
Vlnyz,5,2024-05-23 00:20:33,"Let's goo boy, game bagus gini harus bisa bertahan sehat sehat game baik, ga kek game kikir pelit 7 turunan"
Muklis- san,4,2024-05-23 00:16:10,"Game nya bagus, tapi kurang menguntungkan buat hp kentang"
Bertho Oktovian,4,2024-05-23 00:16:08,Kenapa Force close mulu ya
Ruii krinj,5,2024-05-23 00:15:33,Plot yg menarik disertai grafis yg wow game ini tau cara menyenangkan playernya tidak seperti game sebelah
Uzumaki Kagami,5,2024-05-23 00:15:18,Semoga bahasa Indonesia di tambahin
NurHan Wijaya,4,2024-05-23 00:14:56,Karena gak ada bahasa Indonesia jadi 4 aja bintangnya
ferza renz,5,2024-05-23 00:14:14,"Bagi kalian yang ngeluh gak ada bahasa Indonesia nya, mending berpikir dulu.anggap saja sambil belajar bahasa Inggris biar orang indo gak terlihat bodoh"" amat."
ADITYA BINTANG SYAWAL 05,5,2024-05-23 00:13:32,"Bang kuro game , plis compres minimum spek nya dong , laptop aku bisa main low medium , gw pengen main bang kuro game 🥹 bang kuro"
Rooney123 A.P,5,2024-05-23 00:13:26,"Keren, lebih detail dari genshin, grafic bagus bngt"
Aris Lyn,5,2024-05-23 00:13:26,Bocil HP KENTANG gk usah download yah
Vania,5,2024-05-23 00:12:10,🥰
pesawat kertas24,1,2024-05-23 00:10:46,tambahkan bahasa Indonesia kalk udah gw tambahin bintang
anggika 371,5,2024-05-23 00:08:56,masih nunggu
Kusuma,5,2024-05-23 00:08:52,Rawr
Putra Ganteng,5,2024-05-23 00:08:19,"Gamenya bagus bagus aja, tapi bang kasih bahasa indonesia nya biar paham lore"
Imam,5,2024-05-23 00:07:46,Jejak
Miruu,5,2024-05-23 00:00:38,"Yang protes karna gada B.Indo dan ngasi rate 1, udah skill issues malah nambah lagi language issues"
Rendi Setiawan,1,2024-05-22 23:58:55,How do not exit yourself while playing this game?
Andreanputra Pradana,4,2024-05-22 23:55:03,"Saya kasih 4 bintang dulu , if it's listened to by the developer, please provide the Indonesian dub 😄 later I will give 5 stars."
Reckless PANDA,5,2024-05-22 23:54:15,genshin could never
Andika Rahilal,5,2024-05-22 23:53:37,"Game yang ditunggu tunggu,semoga nanti ada sub indonesia nya"
Wijaya Laksana putra,5,2024-05-22 23:53:16,Mantap sih 👍 Gak bisa dijelasin dgn kata2
Chairil,5,2024-05-22 23:52:26,Bagus
Gam,5,2024-05-22 23:49:22,ditunggu² akhirnya keluar juga
FAHMI UCHIHA,5,2024-05-22 23:45:52,Game nya keren!!
Mr. Sixteen,3,2024-05-22 23:40:33,Will add it if the game as good as rumored
Crisisdevils,5,2024-05-22 23:39:55,GASKEUN GA SIH
kevan setiawan,5,2024-05-22 23:39:24,Yg HP kentang mohon sadar diri ygy
