userName,score,at,content
fairy grass,1,2024-05-06 01:04:44,dr kemarin mau login aja g bs anj
Ruhin Gaming,1,2024-05-06 00:26:56,"hapus aja lah ni apk gc guna,mohon maaf ya klo bisa buat apa2 yg guna dikit klo gc ada guna mending diam aja👍"
Jackyhadi Jack,4,2024-05-06 00:01:12,Masih belum banyak berita viralnya yg trangkat.. tapi harus lebih selektif untk up Newsnya yaa..
Miguel,5,2024-05-05 23:15:19,GG gaming
Gregorio Jenali,1,2024-05-05 22:43:36,Sangat jelek..... Sering terjadi eror saat direfresh
Yudi Akbar,5,2024-05-05 22:32:56,bagus
Gilang Abdian,1,2024-05-05 21:49:26,Ga bisa mainnya hhhhh
Faryd Farland,1,2024-05-05 20:51:22,Saya tidak bisa mendaftar dan selalu gagal saat verifikasi no hp saya padahal no hp saya aktif
rulman ramal,1,2024-05-05 20:48:13,Lama2 apk nya membosankan. Video dan foto selagu lag.
Robbi murdani,1,2024-05-05 19:54:55,Gmn ini..rating makin turun....hello owner ellon musk..
M KHALIS,1,2024-05-05 19:36:45,"Aplikasi ter anj!!! Nggaa bangett, gajelas"
Bismarandal Chaniago,5,2024-05-05 19:28:34,Mantap
Farel Ardiana,1,2024-05-05 19:13:51,Besok yang buat aplikasi ini mati aja dah mau login ke akun aja ribet
Gory,1,2024-05-05 18:50:53,Apk gajelas
Kastalani,5,2024-05-05 18:34:19,Sangat bermanfaat
Kurisy Mano,1,2024-05-05 18:31:55,Eror
Gibran Perdana,5,2024-05-05 18:14:27,kerenn
Aditya Rama,5,2024-05-05 18:11:18,Good
Arifin Gaming,5,2024-05-05 17:41:07,ok
Diana Safara,1,2024-05-05 16:53:45,"mau masuk ke akun lama ga bisa karena harus pakai kode, kode nya dikirim ke email tapi malah ga masuk tuh.. mau buat akun baru juga ga bisa katanya no telfon ga bisa dibuat daftar, apasii maksudnya?? capek"
Filauhfi Mahfudz,1,2024-05-05 16:35:03,Aplikasi kebanyakan erornya
Vngvnthv (Gvncshl),1,2024-05-05 16:32:36,"Aplikasi ini benar benar menguji kesabaran orang, apa aplikasi ini tidak bisa dikembangkan dengan lebih baik? Cuman untuk login saja harus kesana kesini tidak jelas!. Kenapa aplikasi ini tidak seperti dulu yang nyaman dan mudah memakainya, tolong diperbaiki jika memang aplikasi nya error, tidak bisa kah saya mendapatkan akun saya dengan mudah tidak bisa kah saya memainkan aplikasi ini dengan tenang? Aplikasi sialan!!!!!! Payahh....."
Janatan Al fathan Nur Muhammad,1,2024-05-05 16:28:04,Tololll anjay
Jordy Rafaelkirana,1,2024-05-05 16:27:44,Makin D Perbaharui makin Buruk
Min Tarmin,1,2024-05-05 16:04:49,Nomor udah bener tapi nggak di kasih kode. Emang anjink
Krisna 28,5,2024-05-05 15:27:40,Ok
Zikrullah Zaien,5,2024-05-05 15:27:18,Lancar jaya
Orang Pinggiran,1,2024-05-05 15:22:20,iklan kek tai anying jumpscare mulu isinya
Elin Dian,3,2024-05-05 15:16:27,Ini kenapa ya kok akhir² ini sering banhet harus login tiap mau buka apps nya sedihh bgt ih
Cloningan Mitsuki,3,2024-05-05 15:10:28,"Sejauh ini baik-baik saja semuanya, namun ada kendala disaat saya mau mendaftar akun, karena pengiriman no telepon saya selalu tidak bisa terkirim mohon untuk bug yang terjadi segeralah untuk di Fix."
memed Guwef4,5,2024-05-05 15:02:41,di buka di lihat dan bertanggung jawab aplikasi bikin keluarga bahagia
Oppo Crbn,1,2024-05-05 14:55:40,"Sekarang kenapa login selalu gagal trus yang beda sama yg dulu aku kasih bintang 1 karena sekarang login nya gk bisa """
Xyy Lee,1,2024-05-05 14:47:23,Setiap sayang mau masukan no tlpn selalu gagal terus
Satria Aji,1,2024-05-05 14:44:07,Lemot
Aan Nicun,1,2024-05-05 14:17:44,Gue kasih satu bintang aja udh nyesel. Daftarin gak bisa bisa dari kemaren susah nyesel gue download ini apk.
Feli,1,2024-05-05 14:15:27,akun aku ga kenapa kenapa di suspend kocak. katanya ngelanggar rules x padahal mah engga.
Feri98 Mguireee,5,2024-05-05 14:12:12,Ok
Oktovianus Bere bria,2,2024-05-05 14:05:55,Kren
Lana Fatimah Zuhro,3,2024-05-05 13:59:18,Hmmm gagal login gara2 verifikasi lewat SMS gak masuk2
Reza,1,2024-05-05 13:50:53,Kinerja nya parah udah gk kaya dulu
salwa salsabila,4,2024-05-05 13:50:33,"bagus, disini lebih gercep drpd medsos lain"
eka wahyuni,3,2024-05-05 13:48:34,Mw bikin akun stip masukin nomor pasti notifnya maaf utk saat ini tidak dapat mendaftarkan nomor ini. Gimana nih.. Sulit bngt bkin akun di X gak kya medsos yg lain.
Vicent,1,2024-05-05 13:45:33,kebanyakan bokep
CMONK Btc (MONK),1,2024-05-05 13:17:25,"Algoritma nya ngaco, gue user dari 2012 tetiba di suspend, gue banding ditolak, alasannya melanggar rule, rule yang mana Dev, kagak dijelasin, semenjak di beli Elon jadi ngaco deh, saat owner-nya Jack semuanya baik-baik saja, Piss 🤘🤘"
Nietzsche,1,2024-05-05 13:04:29,Account banned for no reason
Hazi ma,1,2024-05-05 12:53:43,"Kembaliin waktu gue yang berharga gue mau daftar selalu gagal pakek akun google buat akun selalu aja ""nomor ini tidak bisa terdaftar"" sebaliknya juga dengan akun google saya kembali in twitter kek dulu"
FarEy chanel,1,2024-05-05 12:47:17,2x akun kena suspend aneh bgt sumpah...padahal akun aku bukan akun prokasi SARA dll..eh giliran akun² fulgar aman² aja ..kecewa sama X
Harun Ar Rasyid,1,2024-05-05 12:28:54,Gk berguna
mifta fajar,5,2024-05-05 12:18:41,Tolong kurangi konten 18+
rifai arifiyanto,4,2024-05-05 12:02:06,Good
Herul,1,2024-05-05 11:44:08,Banyak bokep nya
Sh4ka001,5,2024-05-05 11:43:51,"ya bagus aja, lagian aku pake cmn buat baca au"
roni Sontani,5,2024-05-05 11:17:22,Sayaaaa sangat suka sekali mantaaaaap
Humaimah Syahaf,3,2024-05-05 11:16:54,"aku kena limit mulu engga bisa follow acc orang, tolong dong di perbaiki lagi, foto yang udah di likee juga engga semua di tampilkan"
Nolius Kogoya,1,2024-05-05 11:00:13,baik
Areta Aulia,4,2024-05-05 10:59:20,Habis verifikasi ga bisa dibuka anjir gajelas prik jelek
RYO YAMADA,1,2024-05-05 10:53:58,"no telepon saya gabisa dipake, aneh"
Muhammad Dahyatul Qalbi,1,2024-05-05 10:46:53,Aplikasi kaga ad gunanya
Ravalino,1,2024-05-05 10:16:52,Aplikasinya jelek bgtt g bsa login ktnya no hpnya g bsa di muat jelekk bgt
Muhammad Arya Denis septian,5,2024-05-05 10:15:08,sangat bagus dan lumayan mantap
Wagie Mien,4,2024-05-05 10:10:50,Berita cepat akurat.
h.indra takashi,5,2024-05-05 10:01:54,bagus
Erich Gilberth,2,2024-05-05 10:00:35,Kalemin wae atuh hyrupph
Licc Nanda,2,2024-05-05 09:44:27,login pun susah daftar baru apa lgi huh
Asrafli,1,2024-05-05 09:02:18,Sinyal kenceng wifi nyala sekedar muter video 5 detik aja gabisa
Yohanna Sunshine,5,2024-05-05 08:22:15,Oke
Didik Baser,3,2024-05-05 08:22:10,Akun saya di tangguhkan padahal tidak melanggar
Viona Panggalo,5,2024-05-05 08:17:10,sangat bagus
Hafzz kece,5,2024-05-05 08:01:40,Metrobot x x x x x x...
Alby Luthfy,1,2024-05-05 07:40:07,Jelek parah ngasi bintang jg ogah Sy kasi bintang 1 jg trpaksa krn dipaksa sama X
alanryy mobile,1,2024-05-05 07:39:18,Lucu
Haura Kultsum Wedyakamila,1,2024-05-05 07:30:51,"Makin lama makin jelek apk nya,loading nya lama bngt"
sumarlik Pitonno,1,2024-05-05 07:15:49,Saat vertifikasi nomernya kgk bisa
banyak cerita,5,2024-05-05 07:15:24,Mantap
Dena Deni,1,2024-05-05 07:07:38,aplikasi apaan akun saya tiba² di tangguhkan/banned permanent padahal daya tidak melanggar apapun di dalam aplikasi!tolong kembalikan akun saya
Han “JI U” Z,1,2024-05-05 07:06:09,"Dari semua platfrom media sosial yang pernah saya gunakan,X adalah media sosial yang paling Toxic.Gak heran sih isinya kan generasi muda si paling open minded,dan biasanya nongkrongnya di cafe cafe gituh."
Apa Adanya,1,2024-05-05 06:54:46,"Apk gak jelas,orang mau masukin nomor aj gak bisa"" Mana gak ada pilihan untuk skip pula aneh, susuh lakuin registrasi tapi kok di persulit.. NYESEL GW DOWNLOAD!!"
Imelda Yustanza,3,2024-05-05 06:39:38,"susah untuk loogin, nomor tida terdaftar mulu,ribet"
Muhammad Abidin,5,2024-05-05 06:12:15,apik su
Webi purnama Ibrani,1,2024-05-05 05:47:44,"Sekarang app X ini benar-benar jelek bgt parah .. masa dari bulan januari sampe sekrang bulan mei tidak bisa daftar ke akun X, pas di bagian no hp selalu gagal dan gagal terus .. haduhh"
Bondank Bonk,5,2024-05-05 05:47:09,Keren
Putri Deeana,1,2024-05-05 05:46:07,Kenapa sekarang X ini sering keluar keluar sendiri? Lagi enaknya ngetik langsung keluar. Di pemberitahuan aplikasinya crash? Tolonglah diperbaiki. Saya pengguna sejak 2014 makin tidak nyaman dengan aplikasi ini.
Boy Mono,5,2024-05-05 05:42:13,Keren
Husaini Palero,3,2024-05-05 05:42:11,Semogq membantu
junior lamuri,5,2024-05-05 05:37:50,likeeee
Jholeee To Kaili,5,2024-05-05 05:33:21,sangat baik dari sebelumnya..
Fandi Abas,5,2024-05-05 05:28:18,Ok
Aisya Oktavia,5,2024-05-05 05:24:12,Baguss
Muhammad iko Al fajri,2,2024-05-05 05:05:42,Mau daftar aja di rumit in
Nadhe Sico,1,2024-05-05 04:32:45,saya tidak bisa daftar tiap kali mau memasukan nomer hp selalu gagal terus
Steven Panggo,5,2024-05-05 04:19:24,Ok banget
Aku Yong,1,2024-05-05 04:12:03,GA BISA LOGIN APLIKASI BERMASALAH AHH PAYAHH!!!
Malvin Ong,5,2024-05-05 04:08:15,Aplikasi ini bagus sekali
Hannie Syeirah,1,2024-05-05 04:02:01,Benar benar ya aplikasi twitter skrg tuh membuat emosi. Masa tiap hari suspend akun gw. Jancokk bgttt.
Muhammad Wahyudinor,1,2024-05-05 04:00:14,Apa nama akun novi bang?
Febriano 25,5,2024-05-05 03:47:01,Kuntul
Muhammad Adam Saufi,1,2024-05-05 03:46:16,"he did it via the WA application and spread it via the Twitter and Instagram applications, for Instagram it has been taken care of and for Twitter why is it so difficult, because you have no interest at all in helping the victims, right?"
Ira Wati,1,2024-05-05 03:28:30,Aplikasi SETAN 😈
Akunfifa Fifa,5,2024-05-05 03:27:19,Kalian download ini bukan karena liat bokep kan
Itz_Bella Chanelz,2,2024-05-05 03:25:42,setelah ganti nama jadi sering ngehang... tolong diperbaiki🙏
ZIKRA NF.,2,2024-05-05 03:10:58,Semakin banyak error yh
Blyat Cyka,5,2024-05-05 03:10:10,mantap mantap
Qnoy Faylassufa,1,2024-05-05 02:44:38,Akun gw ilang bangsat
GERAL CALZ,1,2024-05-05 01:56:39,"Sangat buruk sih, padahal twiter yang dulu daftar enak lo, ngga seribet sekarang. Kenapa ya sekarang mau buat akun aja susah ribet minta ampun. Ini yang bikin, orang"" Jadi pindah ke apk lain. Perbarui lagi lah apk nya. Keuntungan di download sama orang kan juga ada, masa kita yang masih repot"
Aura Yanti,5,2024-05-05 01:54:26,Oke
Muh Aswar,5,2024-05-05 01:54:21,Sangat cocok
Ikhsan Wsb,5,2024-05-05 01:48:01,Oke
