userName,score,at,content
Hbsyi_doang,1,2024-08-22 14:17:58,"Gabisa login, gada internet padahal wifi kenceng 5G"
ηαilα ηαshihα.,1,2024-08-22 14:12:17,"lag mulu apk lu, pdhl gw udh hapus cache masih jg lag bodo"
Erfina Santi,2,2024-08-22 13:46:37,Wow bisa Mabar👁️👄👁️🥰🥰🥰🥰
Yanti MSI17,2,2024-08-22 13:35:29,"harga item nya mahal-mahal, dulu harga nya 1 zem sekarang jadi 6 zem, harga zem nya juga jadi mahal, awal nya 29.000 malah jadi 34.000"
Nor Aida,5,2024-08-22 13:08:12,sangat bagus
Naysila Cantika,5,2024-08-22 13:05:27,Apik
Yoningsih efendi,4,2024-08-22 12:39:25,Permaianan nya bagus tapi pas mau ganti akun malah ga bisa mohon betulkan lagi ya kk
Aisyah Efriyanti,5,2024-08-22 12:22:40,Seru juga main nya
Sifa Sifa,5,2024-08-22 12:12:32,"ZEPETO sangat seruuu,🖕🏻"
Muhamad Ihsan,1,2024-08-22 11:41:38,Bagus sekali geme ini
Silva Silpa,5,2024-08-22 11:26:16,game nya bagus banget tapi yang dulu harga 1zem tapi sekarang malah dinaikin zem nya jadi 4zem padahal gak semua orang punya zem banyak semoga ini bermanfaat yaaaaaa
wawan kurniawan,4,2024-08-22 10:50:46,Aneh pas aku pake gak bisa dolnut game nya
Afiqah Lathif,5,2024-08-22 10:49:22,wow bagussssss
secret.,3,2024-08-22 10:27:34,"Bagus, tapi masih ada beberapa bug lain, juga harga item+zem yang meningkat membuat player merasa frustasi pastinya (termasuk gue Dev, asli, kere lama lama ini jir) tolong setidaknya jika harga meningkat, berilah dengan gratis beberapa zem setiap sebulan sekali (pls bgt Dev🥺) Dev, pls ini bug menyusahkan banget, kenapa setiap baru masuk apk tetiba keluar lagi!?? gue ga sesabar itu Dev, tolong cepet diperbaiki🙏, gue jadi ga bisa main smpe sekarang jirr"
Viona Sihotang,5,2024-08-22 10:26:27,permainan yg lelet dah mahal
Nur Aini,4,2024-08-22 10:08:36,"menurut saya game ini sangat bagus, saya juga suka tapi untuk sekarang saya sudah agak bosen dengan Zepeto, game nya emng ga Ngebosenin pas awal² tapi pas kamu Uda punya segalanya jadi Gaa seru lagi, apalagi sama harga item zem nya 1z uda jarang dapet buat beli baju /dll, apalagi cara dapetin nya susah bangett, ngerjain misi zem kalo beruntung, main jump master juga tergantung beruntung engga nya tapi menurutku game ini sudah bagus bangett ! :3"
Lampilimani Lampilimani,5,2024-08-22 09:57:31,🙏🙏🙏🙏🙏 maaf ya sopan sekali
Ahmad Fikri,1,2024-08-22 09:56:27,Aplikasi nya jelekkkkk wleeweee
Lise Fatrila,5,2024-08-22 09:48:55,tolong kalo belum 30hari udh bisa ngegift
Alisyakhanzamaulida02,4,2024-08-22 09:00:48,Bagus tapi aku kalau mau ke tempat kan harus memuat lamabanget
titiek pratiwi,4,2024-08-22 08:30:37,Bagus yapi harus make zem dan itu mahal bangett
